Acquired on 5/10/2021 at 12:29:27
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20353475E+002	
-9.98649484E+000	-1.20024862E+002	
-9.96578154E+000	-1.19700367E+002	
-9.94506823E+000	-1.19443504E+002	
-9.92435493E+000	-1.19213497E+002	
-9.90364162E+000	-1.18977782E+002	
-9.88292832E+000	-1.18762848E+002	
-9.86221501E+000	-1.18542528E+002	
-9.84150171E+000	-1.18353017E+002	
-9.82078840E+000	-1.18174112E+002	
-9.80007509E+000	-1.17965463E+002	
-9.77936179E+000	-1.17776522E+002	
-9.75864848E+000	-1.17720727E+002	
-9.73793518E+000	-1.17746807E+002	
-9.71722187E+000	-1.17745321E+002	
-9.69650857E+000	-1.17753783E+002	
-9.67579526E+000	-1.17826767E+002	
-9.65508196E+000	-1.17809331E+002	
-9.63436865E+000	-1.17751068E+002	
-9.61365535E+000	-1.17745350E+002	
-9.59294204E+000	-1.17756920E+002	
-9.57222874E+000	-1.17797652E+002	
-9.55151543E+000	-1.17827163E+002	
-9.53080213E+000	-1.17805737E+002	
-9.51008882E+000	-1.17835995E+002	
-9.48937552E+000	-1.17854898E+002	
-9.46866221E+000	-1.17843441E+002	
-9.44794890E+000	-1.17815075E+002	
-9.42723560E+000	-1.17764368E+002	
-9.40652229E+000	-1.17751393E+002	
-9.38580899E+000	-1.17718050E+002	
-9.36509568E+000	-1.17713126E+002	
-9.34438238E+000	-1.17665935E+002	
-9.32366907E+000	-1.17634587E+002	
-9.30295577E+000	-1.17638618E+002	
-9.28224246E+000	-1.17643401E+002	
-9.26152916E+000	-1.17595396E+002	
-9.24081585E+000	-1.17530237E+002	
-9.22010255E+000	-1.17508753E+002	
-9.19938924E+000	-1.17540895E+002	
-9.17867594E+000	-1.17508161E+002	
-9.15796263E+000	-1.17496538E+002	
-9.13724932E+000	-1.17555041E+002	
-9.11653602E+000	-1.17565895E+002	
-9.09582271E+000	-1.17544250E+002	
-9.07510941E+000	-1.17535587E+002	
-9.05439610E+000	-1.17524846E+002	
-9.03368280E+000	-1.17404895E+002	
-9.01296949E+000	-1.17392362E+002	
-8.99225619E+000	-1.17395908E+002	
-8.97154288E+000	-1.17435520E+002	
-8.95082958E+000	-1.17445556E+002	
-8.93011627E+000	-1.17468976E+002	
-8.90940297E+000	-1.17492277E+002	
-8.88868966E+000	-1.17515471E+002	
-8.86797636E+000	-1.17504051E+002	
-8.84726305E+000	-1.17510949E+002	
-8.82654974E+000	-1.17494663E+002	
-8.80583644E+000	-1.17516104E+002	
-8.78512313E+000	-1.17510828E+002	
-8.76440983E+000	-1.17514454E+002	
-8.74369652E+000	-1.17578956E+002	
-8.72298322E+000	-1.17600944E+002	
-8.70226991E+000	-1.17536296E+002	
-8.68155661E+000	-1.17516666E+002	
-8.66084330E+000	-1.17544503E+002	
-8.64013000E+000	-1.17502339E+002	
-8.61941669E+000	-1.17454289E+002	
-8.59870339E+000	-1.17475369E+002	
-8.57799008E+000	-1.17475089E+002	
-8.55727678E+000	-1.17447958E+002	
-8.53656347E+000	-1.17574383E+002	
-8.51585017E+000	-1.17583489E+002	
-8.49513686E+000	-1.17578606E+002	
-8.47442355E+000	-1.17565197E+002	
-8.45371025E+000	-1.17581632E+002	
-8.43299694E+000	-1.17615275E+002	
-8.41228364E+000	-1.17586560E+002	
-8.39157033E+000	-1.17576845E+002	
-8.37085703E+000	-1.17621546E+002	
-8.35014372E+000	-1.17639274E+002	
-8.32943042E+000	-1.17665051E+002	
-8.30871711E+000	-1.17613323E+002	
-8.28800381E+000	-1.17648784E+002	
-8.26729050E+000	-1.17644224E+002	
-8.24657720E+000	-1.17636264E+002	
-8.22586389E+000	-1.17615840E+002	
-8.20515059E+000	-1.17667228E+002	
-8.18443728E+000	-1.17664010E+002	
-8.16372397E+000	-1.17647651E+002	
-8.14301067E+000	-1.17609685E+002	
-8.12229736E+000	-1.17622931E+002	
-8.10158406E+000	-1.17632713E+002	
-8.08087075E+000	-1.17625191E+002	
-8.06015745E+000	-1.17598724E+002	
-8.03944414E+000	-1.17543248E+002	
-8.01873084E+000	-1.17565133E+002	
-7.99801753E+000	-1.17566123E+002	
-7.97730423E+000	-1.17564955E+002	
-7.95659092E+000	-1.17543843E+002	
-7.93587762E+000	-1.17560321E+002	
-7.91516431E+000	-1.17598784E+002	
-7.89445101E+000	-1.17591613E+002	
-7.87373770E+000	-1.17569046E+002	
-7.85302439E+000	-1.17566426E+002	
-7.83231109E+000	-1.17546002E+002	
-7.81159778E+000	-1.17591136E+002	
-7.79088448E+000	-1.17611741E+002	
-7.77017117E+000	-1.17631032E+002	
-7.74945787E+000	-1.17648140E+002	
-7.72874456E+000	-1.17667679E+002	
-7.70803126E+000	-1.17632161E+002	
-7.68731795E+000	-1.17665993E+002	
-7.66660465E+000	-1.17657690E+002	
-7.64589134E+000	-1.17661378E+002	
-7.62517804E+000	-1.17665781E+002	
-7.60446473E+000	-1.17585814E+002	
-7.58375143E+000	-1.17609203E+002	
-7.56303812E+000	-1.17645531E+002	
-7.54232482E+000	-1.17709846E+002	
-7.52161151E+000	-1.17694067E+002	
-7.50089820E+000	-1.17700919E+002	
-7.48018490E+000	-1.17682976E+002	
-7.45947159E+000	-1.17727865E+002	
-7.43875829E+000	-1.17655964E+002	
-7.41804498E+000	-1.17572740E+002	
-7.39733168E+000	-1.17602403E+002	
-7.37661837E+000	-1.17602885E+002	
-7.35590507E+000	-1.17610637E+002	
-7.33519176E+000	-1.17636973E+002	
-7.31447846E+000	-1.17661077E+002	
-7.29376515E+000	-1.17647790E+002	
