Acquired on 5/10/2021 at 15:39:09
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20304191E+002	
-9.98649484E+000	-1.19979937E+002	
-9.96578154E+000	-1.19655501E+002	
-9.94506823E+000	-1.19402485E+002	
-9.92435493E+000	-1.19168902E+002	
-9.90364162E+000	-1.18930250E+002	
-9.88292832E+000	-1.18718137E+002	
-9.86221501E+000	-1.18496857E+002	
-9.84150171E+000	-1.18305141E+002	
-9.82078840E+000	-1.18126681E+002	
-9.80007509E+000	-1.17918654E+002	
-9.77936179E+000	-1.17731875E+002	
-9.75864848E+000	-1.17673426E+002	
-9.73793518E+000	-1.17702861E+002	
-9.71722187E+000	-1.17702868E+002	
-9.69650857E+000	-1.17712303E+002	
-9.67579526E+000	-1.17785754E+002	
-9.65508196E+000	-1.17771634E+002	
-9.63436865E+000	-1.17718610E+002	
-9.61365535E+000	-1.17715200E+002	
-9.59294204E+000	-1.17728202E+002	
-9.57222874E+000	-1.17769558E+002	
-9.55151543E+000	-1.17800938E+002	
-9.53080213E+000	-1.17785979E+002	
-9.51008882E+000	-1.17817299E+002	
-9.48937552E+000	-1.17835496E+002	
-9.46866221E+000	-1.17823698E+002	
-9.44794890E+000	-1.17797044E+002	
-9.42723560E+000	-1.17742837E+002	
-9.40652229E+000	-1.17733867E+002	
-9.38580899E+000	-1.17700890E+002	
-9.36509568E+000	-1.17697175E+002	
-9.34438238E+000	-1.17649923E+002	
-9.32366907E+000	-1.17618367E+002	
-9.30295577E+000	-1.17625429E+002	
-9.28224246E+000	-1.17629450E+002	
-9.26152916E+000	-1.17585804E+002	
-9.24081585E+000	-1.17520999E+002	
-9.22010255E+000	-1.17498756E+002	
-9.19938924E+000	-1.17530995E+002	
-9.17867594E+000	-1.17500422E+002	
-9.15796263E+000	-1.17488354E+002	
-9.13724932E+000	-1.17548186E+002	
-9.11653602E+000	-1.17552934E+002	
-9.09582271E+000	-1.17530465E+002	
-9.07510941E+000	-1.17519960E+002	
-9.05439610E+000	-1.17505062E+002	
-9.03368280E+000	-1.17382292E+002	
-9.01296949E+000	-1.17373957E+002	
-8.99225619E+000	-1.17379062E+002	
-8.97154288E+000	-1.17422627E+002	
-8.95082958E+000	-1.17425267E+002	
-8.93011627E+000	-1.17458096E+002	
-8.90940297E+000	-1.17482949E+002	
-8.88868966E+000	-1.17501502E+002	
-8.86797636E+000	-1.17489254E+002	
-8.84726305E+000	-1.17495803E+002	
-8.82654974E+000	-1.17476744E+002	
-8.80583644E+000	-1.17496543E+002	
-8.78512313E+000	-1.17490829E+002	
-8.76440983E+000	-1.17490119E+002	
-8.74369652E+000	-1.17554287E+002	
-8.72298322E+000	-1.17576520E+002	
-8.70226991E+000	-1.17508321E+002	
-8.68155661E+000	-1.17483711E+002	
-8.66084330E+000	-1.17507021E+002	
-8.64013000E+000	-1.17462137E+002	
