Acquired on 5/10/2021 at 15:59:34
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20332512E+002	
-9.98649484E+000	-1.20009056E+002	
-9.96578154E+000	-1.19682489E+002	
-9.94506823E+000	-1.19430945E+002	
-9.92435493E+000	-1.19199922E+002	
-9.90364162E+000	-1.18965396E+002	
-9.88292832E+000	-1.18749962E+002	
-9.86221501E+000	-1.18530181E+002	
-9.84150171E+000	-1.18341232E+002	
-9.82078840E+000	-1.18157540E+002	
-9.80007509E+000	-1.17947782E+002	
-9.77936179E+000	-1.17761520E+002	
-9.75864848E+000	-1.17701872E+002	
-9.73793518E+000	-1.17729377E+002	
-9.71722187E+000	-1.17721877E+002	
-9.69650857E+000	-1.17725257E+002	
-9.67579526E+000	-1.17791035E+002	
-9.65508196E+000	-1.17769449E+002	
-9.63436865E+000	-1.17706930E+002	
-9.61365535E+000	-1.17704207E+002	
-9.59294204E+000	-1.17720593E+002	
-9.57222874E+000	-1.17762897E+002	
-9.55151543E+000	-1.17789231E+002	
-9.53080213E+000	-1.17768727E+002	
-9.51008882E+000	-1.17799659E+002	
-9.48937552E+000	-1.17817874E+002	
-9.46866221E+000	-1.17797740E+002	
-9.44794890E+000	-1.17761586E+002	
-9.42723560E+000	-1.17707463E+002	
-9.40652229E+000	-1.17689515E+002	
-9.38580899E+000	-1.17652787E+002	
-9.36509568E+000	-1.17641427E+002	
-9.34438238E+000	-1.17592019E+002	
-9.32366907E+000	-1.17565906E+002	
-9.30295577E+000	-1.17572665E+002	
-9.28224246E+000	-1.17575531E+002	
-9.26152916E+000	-1.17523280E+002	
-9.24081585E+000	-1.17458352E+002	
-9.22010255E+000	-1.17440217E+002	
