Acquired on 5/10/2021 at 16:08:17
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20266680E+002	
-9.98649484E+000	-1.19942409E+002	
-9.96578154E+000	-1.19612978E+002	
-9.94506823E+000	-1.19349716E+002	
-9.92435493E+000	-1.19121789E+002	
-9.90364162E+000	-1.18890336E+002	
-9.88292832E+000	-1.18678547E+002	
-9.86221501E+000	-1.18465460E+002	
-9.84150171E+000	-1.18278076E+002	
-9.82078840E+000	-1.18100133E+002	
-9.80007509E+000	-1.17890831E+002	
-9.77936179E+000	-1.17702056E+002	
-9.75864848E+000	-1.17637901E+002	
-9.73793518E+000	-1.17663277E+002	
-9.71722187E+000	-1.17660982E+002	
-9.69650857E+000	-1.17668396E+002	
-9.67579526E+000	-1.17732986E+002	
-9.65508196E+000	-1.17714209E+002	
-9.63436865E+000	-1.17661387E+002	
-9.61365535E+000	-1.17654238E+002	
-9.59294204E+000	-1.17670566E+002	
-9.57222874E+000	-1.17713036E+002	
-9.55151543E+000	-1.17747470E+002	
-9.53080213E+000	-1.17733853E+002	
-9.51008882E+000	-1.17761493E+002	
-9.48937552E+000	-1.17779618E+002	
-9.46866221E+000	-1.17767399E+002	
-9.44794890E+000	-1.17745286E+002	
-9.42723560E+000	-1.17694835E+002	
-9.40652229E+000	-1.17681666E+002	
-9.38580899E+000	-1.17649716E+002	
-9.36509568E+000	-1.17642498E+002	
-9.34438238E+000	-1.17596920E+002	
-9.32366907E+000	-1.17572771E+002	
-9.30295577E+000	-1.17587769E+002	
-9.28224246E+000	-1.17593329E+002	
-9.26152916E+000	-1.17551802E+002	
-9.24081585E+000	-1.17497799E+002	
-9.22010255E+000	-1.17476424E+002	
-9.19938924E+000	-1.17508835E+002	
-9.17867594E+000	-1.17491017E+002	
-9.15796263E+000	-1.17484964E+002	
-9.13724932E+000	-1.17541936E+002	
-9.11653602E+000	-1.17553217E+002	
-9.09582271E+000	-1.17530869E+002	
-9.07510941E+000	-1.17519607E+002	
-9.05439610E+000	-1.17508515E+002	
-9.03368280E+000	-1.17389546E+002	
-9.01296949E+000	-1.17377625E+002	
-8.99225619E+000	-1.17376397E+002	
-8.97154288E+000	-1.17421526E+002	
-8.95082958E+000	-1.17437836E+002	
-8.93011627E+000	-1.17460636E+002	
-8.90940297E+000	-1.17481233E+002	
-8.88868966E+000	-1.17498612E+002	
-8.86797636E+000	-1.17484835E+002	
