Acquired on 5/10/2021 at 15:41:59
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20335375E+002	
-9.98649484E+000	-1.20007004E+002	
-9.96578154E+000	-1.19676846E+002	
-9.94506823E+000	-1.19419302E+002	
-9.92435493E+000	-1.19191051E+002	
-9.90364162E+000	-1.18953981E+002	
-9.88292832E+000	-1.18740192E+002	
-9.86221501E+000	-1.18515086E+002	
-9.84150171E+000	-1.18323712E+002	
-9.82078840E+000	-1.18151012E+002	
-9.80007509E+000	-1.17944638E+002	
-9.77936179E+000	-1.17762118E+002	
-9.75864848E+000	-1.17706312E+002	
-9.73793518E+000	-1.17737509E+002	
-9.71722187E+000	-1.17736911E+002	
-9.69650857E+000	-1.17746368E+002	
-9.67579526E+000	-1.17813726E+002	
-9.65508196E+000	-1.17789365E+002	
-9.63436865E+000	-1.17729816E+002	
-9.61365535E+000	-1.17722265E+002	
-9.59294204E+000	-1.17733660E+002	
-9.57222874E+000	-1.17772561E+002	
-9.55151543E+000	-1.17795667E+002	
-9.53080213E+000	-1.17775305E+002	
-9.51008882E+000	-1.17808046E+002	
-9.48937552E+000	-1.17829136E+002	
-9.46866221E+000	-1.17812168E+002	
-9.44794890E+000	-1.17783358E+002	
-9.42723560E+000	-1.17734039E+002	
-9.40652229E+000	-1.17718462E+002	
-9.38580899E+000	-1.17682928E+002	
-9.36509568E+000	-1.17681410E+002	
-9.34438238E+000	-1.17637876E+002	
-9.32366907E+000	-1.17601981E+002	
-9.30295577E+000	-1.17607276E+002	
-9.28224246E+000	-1.17605568E+002	
-9.26152916E+000	-1.17555066E+002	
-9.24081585E+000	-1.17486876E+002	
-9.22010255E+000	-1.17467847E+002	
-9.19938924E+000	-1.17498196E+002	
-9.17867594E+000	-1.17467371E+002	
-9.15796263E+000	-1.17465326E+002	
-9.13724932E+000	-1.17526141E+002	
-9.11653602E+000	-1.17532923E+002	
