Acquired on 5/10/2021 at 16:44:35
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20310711E+002	
-9.98649484E+000	-1.19984425E+002	
-9.96578154E+000	-1.19664154E+002	
-9.94506823E+000	-1.19408122E+002	
-9.92435493E+000	-1.19178461E+002	
-9.90364162E+000	-1.18944339E+002	
-9.88292832E+000	-1.18724813E+002	
-9.86221501E+000	-1.18501058E+002	
-9.84150171E+000	-1.18315789E+002	
-9.82078840E+000	-1.18139348E+002	
-9.80007509E+000	-1.17923370E+002	
-9.77936179E+000	-1.17736338E+002	
-9.75864848E+000	-1.17674828E+002	
-9.73793518E+000	-1.17694709E+002	
-9.71722187E+000	-1.17698263E+002	
-9.69650857E+000	-1.17707747E+002	
-9.67579526E+000	-1.17775063E+002	
-9.65508196E+000	-1.17759784E+002	
-9.63436865E+000	-1.17711219E+002	
-9.61365535E+000	-1.17709172E+002	
-9.59294204E+000	-1.17723824E+002	
-9.57222874E+000	-1.17762744E+002	
-9.55151543E+000	-1.17778175E+002	
-9.53080213E+000	-1.17755687E+002	
-9.51008882E+000	-1.17788967E+002	
-9.48937552E+000	-1.17808340E+002	
-9.46866221E+000	-1.17788011E+002	
-9.44794890E+000	-1.17754483E+002	
-9.42723560E+000	-1.17704464E+002	
-9.40652229E+000	-1.17693018E+002	
-9.38580899E+000	-1.17664531E+002	
-9.36509568E+000	-1.17664189E+002	
-9.34438238E+000	-1.17607092E+002	
-9.32366907E+000	-1.17569883E+002	
-9.30295577E+000	-1.17585431E+002	
-9.28224246E+000	-1.17589427E+002	
-9.26152916E+000	-1.17544362E+002	
-9.24081585E+000	-1.17486664E+002	
-9.22010255E+000	-1.17456857E+002	
-9.19938924E+000	-1.17484515E+002	
-9.17867594E+000	-1.17455689E+002	
-9.15796263E+000	-1.17449406E+002	
-9.13724932E+000	-1.17510554E+002	
-9.11653602E+000	-1.17516046E+002	
-9.09582271E+000	-1.17493607E+002	
-9.07510941E+000	-1.17484980E+002	
-9.05439610E+000	-1.17480340E+002	
-9.03368280E+000	-1.17360202E+002	
-9.01296949E+000	-1.17351861E+002	
-8.99225619E+000	-1.17351846E+002	
-8.97154288E+000	-1.17398791E+002	
-8.95082958E+000	-1.17412194E+002	
-8.93011627E+000	-1.17441156E+002	
-8.90940297E+000	-1.17458415E+002	
-8.88868966E+000	-1.17480822E+002	
-8.86797636E+000	-1.17470386E+002	
-8.84726305E+000	-1.17482547E+002	
-8.82654974E+000	-1.17464819E+002	
-8.80583644E+000	-1.17485858E+002	
-8.78512313E+000	-1.17481033E+002	
-8.76440983E+000	-1.17484987E+002	
-8.74369652E+000	-1.17547865E+002	
-8.72298322E+000	-1.17578019E+002	
-8.70226991E+000	-1.17516025E+002	
-8.68155661E+000	-1.17496806E+002	
-8.66084330E+000	-1.17520451E+002	
-8.64013000E+000	-1.17473091E+002	
-8.61941669E+000	-1.17424823E+002	
-8.59870339E+000	-1.17447642E+002	
-8.57799008E+000	-1.17451840E+002	
-8.55727678E+000	-1.17424437E+002	
-8.53656347E+000	-1.17544668E+002	
-8.51585017E+000	-1.17545335E+002	
-8.49513686E+000	-1.17545404E+002	
-8.47442355E+000	-1.17540553E+002	
-8.45371025E+000	-1.17563736E+002	
-8.43299694E+000	-1.17593982E+002	
-8.41228364E+000	-1.17566310E+002	
-8.39157033E+000	-1.17549799E+002	
-8.37085703E+000	-1.17589819E+002	
-8.35014372E+000	-1.17604745E+002	
-8.32943042E+000	-1.17638132E+002	
-8.30871711E+000	-1.17585987E+002	
-8.28800381E+000	-1.17620168E+002	
-8.26729050E+000	-1.17621648E+002	
-8.24657720E+000	-1.17619128E+002	
-8.22586389E+000	-1.17589948E+002	
-8.20515059E+000	-1.17636189E+002	
-8.18443728E+000	-1.17629444E+002	
-8.16372397E+000	-1.17616598E+002	
-8.14301067E+000	-1.17584177E+002	
-8.12229736E+000	-1.17604749E+002	
-8.10158406E+000	-1.17610008E+002	
-8.08087075E+000	-1.17609625E+002	
-8.06015745E+000	-1.17585187E+002	
-8.03944414E+000	-1.17540307E+002	
-8.01873084E+000	-1.17571170E+002	
-7.99801753E+000	-1.17566279E+002	
-7.97730423E+000	-1.17551921E+002	
-7.95659092E+000	-1.17518246E+002	
-7.93587762E+000	-1.17530439E+002	
-7.91516431E+000	-1.17573836E+002	
-7.89445101E+000	-1.17569118E+002	
-7.87373770E+000	-1.17548739E+002	
-7.85302439E+000	-1.17543585E+002	
-7.83231109E+000	-1.17525406E+002	
-7.81159778E+000	-1.17568493E+002	
-7.79088448E+000	-1.17591754E+002	
-7.77017117E+000	-1.17605516E+002	
-7.74945787E+000	-1.17610746E+002	
-7.72874456E+000	-1.17630658E+002	
-7.70803126E+000	-1.17588310E+002	
-7.68731795E+000	-1.17632544E+002	
-7.66660465E+000	-1.17627967E+002	
-7.64589134E+000	-1.17634306E+002	
-7.62517804E+000	-1.17627888E+002	
-7.60446473E+000	-1.17544425E+002	
-7.58375143E+000	-1.17561446E+002	
-7.56303812E+000	-1.17597176E+002	
-7.54232482E+000	-1.17665471E+002	
-7.52161151E+000	-1.17654755E+002	
-7.50089820E+000	-1.17655902E+002	
-7.48018490E+000	-1.17643090E+002	
-7.45947159E+000	-1.17695936E+002	
-7.43875829E+000	-1.17628839E+002	
-7.41804498E+000	-1.17543194E+002	
-7.39733168E+000	-1.17582537E+002	
-7.37661837E+000	-1.17585591E+002	
-7.35590507E+000	-1.17600323E+002	
-7.33519176E+000	-1.17622581E+002	
-7.31447846E+000	-1.17651049E+002	
-7.29376515E+000	-1.17637123E+002	
-7.27305185E+000	-1.17609358E+002	
-7.25233854E+000	-1.17638137E+002	
-7.23162524E+000	-1.17641776E+002	
-7.21091193E+000	-1.17636444E+002	
-7.19019862E+000	-1.17624672E+002	
-7.16948532E+000	-1.17666420E+002	
-7.14877201E+000	-1.17733041E+002	
-7.12805871E+000	-1.17782762E+002	
-7.10734540E+000	-1.17872000E+002	
-7.08663210E+000	-1.17907116E+002	
-7.06591879E+000	-1.17885695E+002	
-7.04520549E+000	-1.17868813E+002	
-7.02449218E+000	-1.17845608E+002	
-7.00377888E+000	-1.17826811E+002	
-6.98306557E+000	-1.17852669E+002	
-6.96235227E+000	-1.17810817E+002	
-6.94163896E+000	-1.17844519E+002	
-6.92092566E+000	-1.17902732E+002	
