Acquired on 5/10/2021 at 16:47:23
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20280887E+002	
-9.98649484E+000	-1.19955636E+002	
-9.96578154E+000	-1.19627347E+002	
-9.94506823E+000	-1.19370703E+002	
-9.92435493E+000	-1.19141606E+002	
-9.90364162E+000	-1.18911400E+002	
-9.88292832E+000	-1.18697876E+002	
-9.86221501E+000	-1.18478598E+002	
-9.84150171E+000	-1.18289562E+002	
-9.82078840E+000	-1.18113191E+002	
-9.80007509E+000	-1.17903147E+002	
-9.77936179E+000	-1.17717640E+002	
-9.75864848E+000	-1.17661855E+002	
-9.73793518E+000	-1.17692497E+002	
-9.71722187E+000	-1.17691386E+002	
-9.69650857E+000	-1.17702550E+002	
-9.67579526E+000	-1.17778153E+002	
-9.65508196E+000	-1.17760788E+002	
-9.63436865E+000	-1.17705233E+002	
-9.61365535E+000	-1.17704840E+002	
-9.59294204E+000	-1.17720676E+002	
-9.57222874E+000	-1.17752278E+002	
-9.55151543E+000	-1.17779730E+002	
-9.53080213E+000	-1.17764193E+002	
-9.51008882E+000	-1.17801026E+002	
-9.48937552E+000	-1.17817867E+002	
-9.46866221E+000	-1.17806224E+002	
-9.44794890E+000	-1.17780193E+002	
-9.42723560E+000	-1.17730380E+002	
-9.40652229E+000	-1.17715281E+002	
-9.38580899E+000	-1.17682142E+002	
-9.36509568E+000	-1.17673790E+002	
-9.34438238E+000	-1.17625305E+002	
-9.32366907E+000	-1.17595233E+002	
-9.30295577E+000	-1.17606716E+002	
-9.28224246E+000	-1.17612052E+002	
-9.26152916E+000	-1.17558787E+002	
-9.24081585E+000	-1.17494901E+002	
-9.22010255E+000	-1.17475265E+002	
-9.19938924E+000	-1.17507105E+002	
-9.17867594E+000	-1.17478110E+002	
-9.15796263E+000	-1.17467851E+002	
-9.13724932E+000	-1.17531530E+002	
-9.11653602E+000	-1.17539225E+002	
-9.09582271E+000	-1.17516511E+002	
-9.07510941E+000	-1.17513367E+002	
-9.05439610E+000	-1.17503848E+002	
-9.03368280E+000	-1.17387048E+002	
-9.01296949E+000	-1.17376694E+002	
-8.99225619E+000	-1.17385614E+002	
-8.97154288E+000	-1.17433116E+002	
-8.95082958E+000	-1.17443214E+002	
-8.93011627E+000	-1.17469201E+002	
-8.90940297E+000	-1.17492783E+002	
-8.88868966E+000	-1.17517134E+002	
-8.86797636E+000	-1.17507675E+002	
-8.84726305E+000	-1.17514956E+002	
-8.82654974E+000	-1.17496514E+002	
-8.80583644E+000	-1.17511798E+002	
-8.78512313E+000	-1.17503040E+002	
-8.76440983E+000	-1.17507503E+002	
-8.74369652E+000	-1.17572079E+002	
-8.72298322E+000	-1.17593722E+002	
-8.70226991E+000	-1.17526880E+002	
-8.68155661E+000	-1.17503801E+002	
-8.66084330E+000	-1.17530824E+002	
-8.64013000E+000	-1.17486108E+002	
-8.61941669E+000	-1.17441964E+002	
-8.59870339E+000	-1.17465680E+002	
-8.57799008E+000	-1.17463843E+002	
-8.55727678E+000	-1.17434332E+002	
-8.53656347E+000	-1.17552598E+002	
-8.51585017E+000	-1.17555004E+002	
-8.49513686E+000	-1.17545343E+002	
-8.47442355E+000	-1.17529923E+002	
-8.45371025E+000	-1.17550253E+002	
-8.43299694E+000	-1.17581350E+002	
-8.41228364E+000	-1.17550767E+002	
-8.39157033E+000	-1.17536726E+002	
-8.37085703E+000	-1.17587038E+002	
-8.35014372E+000	-1.17607809E+002	
-8.32943042E+000	-1.17639285E+002	
-8.30871711E+000	-1.17589756E+002	
-8.28800381E+000	-1.17624169E+002	
-8.26729050E+000	-1.17623401E+002	
-8.24657720E+000	-1.17619681E+002	
-8.22586389E+000	-1.17600137E+002	
-8.20515059E+000	-1.17653791E+002	
-8.18443728E+000	-1.17655473E+002	
-8.16372397E+000	-1.17640388E+002	
-8.14301067E+000	-1.17604363E+002	
-8.12229736E+000	-1.17619955E+002	
-8.10158406E+000	-1.17628649E+002	
-8.08087075E+000	-1.17626971E+002	
-8.06015745E+000	-1.17604333E+002	
-8.03944414E+000	-1.17547956E+002	
-8.01873084E+000	-1.17564737E+002	
-7.99801753E+000	-1.17563029E+002	
-7.97730423E+000	-1.17556545E+002	
-7.95659092E+000	-1.17528713E+002	
-7.93587762E+000	-1.17549496E+002	
-7.91516431E+000	-1.17587193E+002	
-7.89445101E+000	-1.17582211E+002	
-7.87373770E+000	-1.17552195E+002	
-7.85302439E+000	-1.17544487E+002	
-7.83231109E+000	-1.17524329E+002	
-7.81159778E+000	-1.17571743E+002	
-7.79088448E+000	-1.17592392E+002	
-7.77017117E+000	-1.17614973E+002	
-7.74945787E+000	-1.17626098E+002	
-7.72874456E+000	-1.17639512E+002	
-7.70803126E+000	-1.17598191E+002	
-7.68731795E+000	-1.17629636E+002	
-7.66660465E+000	-1.17627487E+002	
-7.64589134E+000	-1.17639497E+002	
-7.62517804E+000	-1.17641424E+002	
-7.60446473E+000	-1.17558175E+002	
-7.58375143E+000	-1.17571330E+002	
-7.56303812E+000	-1.17612027E+002	
-7.54232482E+000	-1.17681256E+002	
-7.52161151E+000	-1.17671426E+002	
-7.50089820E+000	-1.17682440E+002	
-7.48018490E+000	-1.17668879E+002	
-7.45947159E+000	-1.17716652E+002	
-7.43875829E+000	-1.17639032E+002	
-7.41804498E+000	-1.17561135E+002	
-7.39733168E+000	-1.17595129E+002	
-7.37661837E+000	-1.17596557E+002	
-7.35590507E+000	-1.17611769E+002	
-7.33519176E+000	-1.17637769E+002	
-7.31447846E+000	-1.17662460E+002	
-7.29376515E+000	-1.17651139E+002	
-7.27305185E+000	-1.17625904E+002	
-7.25233854E+000	-1.17652760E+002	
-7.23162524E+000	-1.17651319E+002	
-7.21091193E+000	-1.17641382E+002	
-7.19019862E+000	-1.17629885E+002	
-7.16948532E+000	-1.17670701E+002	
-7.14877201E+000	-1.17733459E+002	
-7.12805871E+000	-1.17772282E+002	
-7.10734540E+000	-1.17851982E+002	
-7.08663210E+000	-1.17889115E+002	
-7.06591879E+000	-1.17860192E+002	
-7.04520549E+000	-1.17849003E+002	
-7.02449218E+000	-1.17829965E+002	
-7.00377888E+000	-1.17804844E+002	
-6.98306557E+000	-1.17836059E+002	
-6.96235227E+000	-1.17801496E+002	
-6.94163896E+000	-1.17843027E+002	
-6.92092566E+000	-1.17902930E+002	
-6.90021235E+000	-1.17912804E+002	
-6.87949904E+000	-1.17893431E+002	
-6.85878574E+000	-1.17871572E+002	
-6.83807243E+000	-1.17891327E+002	
-6.81735913E+000	-1.17899808E+002	
-6.79664582E+000	-1.17851765E+002	
-6.77593252E+000	-1.17879978E+002	
-6.75521921E+000	-1.17825173E+002	
-6.73450591E+000	-1.17824199E+002	
-6.71379260E+000	-1.17803084E+002	
-6.69307930E+000	-1.17804036E+002	
-6.67236599E+000	-1.17764707E+002	
-6.65165269E+000	-1.17745961E+002	
-6.63093938E+000	-1.17751503E+002	
-6.61022608E+000	-1.17766647E+002	
-6.58951277E+000	-1.17760681E+002	
-6.56879947E+000	-1.17743948E+002	
-6.54808616E+000	-1.17711881E+002	
-6.52737285E+000	-1.17694677E+002	
-6.50665955E+000	-1.17724502E+002	
-6.48594624E+000	-1.17760793E+002	
-6.46523294E+000	-1.17789532E+002	
-6.44451963E+000	-1.17712091E+002	
-6.42380633E+000	-1.17666140E+002	
-6.40309302E+000	-1.17651799E+002	
-6.38237972E+000	-1.17630837E+002	
-6.36166641E+000	-1.17634972E+002	
-6.34095311E+000	-1.17633110E+002	
-6.32023980E+000	-1.17624951E+002	
-6.29952650E+000	-1.17639029E+002	
-6.27881319E+000	-1.17607918E+002	
-6.25809989E+000	-1.17625527E+002	
-6.23738658E+000	-1.17614944E+002	
-6.21667327E+000	-1.17598429E+002	
-6.19595997E+000	-1.17605735E+002	
-6.17524666E+000	-1.17592510E+002	
-6.15453336E+000	-1.17596770E+002	
-6.13382005E+000	-1.17586361E+002	
-6.11310675E+000	-1.17594792E+002	
-6.09239344E+000	-1.17589442E+002	
-6.07168014E+000	-1.17551459E+002	
-6.05096683E+000	-1.17630558E+002	
-6.03025353E+000	-1.17636937E+002	
-6.00954022E+000	-1.17609964E+002	
-5.98882692E+000	-1.17559781E+002	
-5.96811361E+000	-1.17565032E+002	
-5.94740031E+000	-1.17611130E+002	
-5.92668700E+000	-1.17658695E+002	
-5.90597369E+000	-1.17669278E+002	
-5.88526039E+000	-1.17711731E+002	
-5.86454708E+000	-1.17732326E+002	
-5.84383378E+000	-1.17701867E+002	
-5.82312047E+000	-1.17709972E+002	
-5.80240717E+000	-1.17676666E+002	
-5.78169386E+000	-1.17690986E+002	
-5.76098056E+000	-1.17693903E+002	
-5.74026725E+000	-1.17695890E+002	
-5.71955395E+000	-1.17731366E+002	
-5.69884064E+000	-1.17732671E+002	
-5.67812734E+000	-1.17761691E+002	
-5.65741403E+000	-1.17753382E+002	
-5.63670073E+000	-1.17757222E+002	
-5.61598742E+000	-1.17732660E+002	
-5.59527412E+000	-1.17694292E+002	
-5.57456081E+000	-1.17758587E+002	
-5.55384750E+000	-1.17676197E+002	
-5.53313420E+000	-1.17613342E+002	
-5.51242089E+000	-1.17634579E+002	
-5.49170759E+000	-1.17641373E+002	
-5.47099428E+000	-1.17626893E+002	
-5.45028098E+000	-1.17683366E+002	
-5.42956767E+000	-1.17725048E+002	
-5.40885437E+000	-1.17707073E+002	
-5.38814106E+000	-1.17704150E+002	
-5.36742776E+000	-1.17678364E+002	
-5.34671445E+000	-1.17712272E+002	
-5.32600115E+000	-1.17717235E+002	
-5.30528784E+000	-1.17738222E+002	
-5.28457454E+000	-1.17717636E+002	
-5.26386123E+000	-1.17697229E+002	
-5.24314792E+000	-1.17643084E+002	
-5.22243462E+000	-1.17629510E+002	
-5.20172131E+000	-1.17634738E+002	
-5.18100801E+000	-1.17600883E+002	
-5.16029470E+000	-1.17601455E+002	
-5.13958140E+000	-1.17558089E+002	
-5.11886809E+000	-1.17533902E+002	
-5.09815479E+000	-1.17547025E+002	
-5.07744148E+000	-1.17512029E+002	
-5.05672818E+000	-1.17586823E+002	
-5.03601487E+000	-1.17610795E+002	
-5.01530157E+000	-1.17644054E+002	
-4.99458826E+000	-1.17647953E+002	
-4.97387496E+000	-1.17586101E+002	
-4.95316165E+000	-1.17580452E+002	
-4.93244834E+000	-1.17534293E+002	
-4.91173504E+000	-1.17527787E+002	
-4.89102173E+000	-1.17513062E+002	
-4.87030843E+000	-1.17538607E+002	
-4.84959512E+000	-1.17520008E+002	
-4.82888182E+000	-1.17479311E+002	
-4.80816851E+000	-1.17469653E+002	
-4.78745521E+000	-1.17482115E+002	
-4.76674190E+000	-1.17506389E+002	
-4.74602860E+000	-1.17521401E+002	
-4.72531529E+000	-1.17567497E+002	
-4.70460199E+000	-1.17553029E+002	
-4.68388868E+000	-1.17591852E+002	
-4.66317538E+000	-1.17576598E+002	
-4.64246207E+000	-1.17624300E+002	
-4.62174877E+000	-1.17665912E+002	
-4.60103546E+000	-1.17690314E+002	
-4.58032215E+000	-1.17708740E+002	
-4.55960885E+000	-1.17670314E+002	
-4.53889554E+000	-1.17705922E+002	
-4.51818224E+000	-1.17629241E+002	
-4.49746893E+000	-1.17588819E+002	
-4.47675563E+000	-1.17639725E+002	
-4.45604232E+000	-1.17626829E+002	
-4.43532902E+000	-1.17629707E+002	
-4.41461571E+000	-1.17626025E+002	
-4.39390241E+000	-1.17637642E+002	
-4.37318910E+000	-1.17646879E+002	
-4.35247580E+000	-1.17632179E+002	
-4.33176249E+000	-1.17628615E+002	
-4.31104919E+000	-1.17626134E+002	
-4.29033588E+000	-1.17622878E+002	
-4.26962257E+000	-1.17616182E+002	
-4.24890927E+000	-1.17656847E+002	
-4.22819596E+000	-1.17660974E+002	
-4.20748266E+000	-1.17696105E+002	
-4.18676935E+000	-1.17657681E+002	
-4.16605605E+000	-1.17664413E+002	
-4.14534274E+000	-1.17669804E+002	
-4.12462944E+000	-1.17622207E+002	
-4.10391613E+000	-1.17617541E+002	
-4.08320283E+000	-1.17612147E+002	
-4.06248952E+000	-1.17602832E+002	
-4.04177622E+000	-1.17560097E+002	
-4.02106291E+000	-1.17590751E+002	
-4.00034961E+000	-1.17592930E+002	
-3.97963630E+000	-1.17554188E+002	
-3.95892299E+000	-1.17555704E+002	
-3.93820969E+000	-1.17526476E+002	
-3.91749638E+000	-1.17541288E+002	
-3.89678308E+000	-1.17510583E+002	
-3.87606977E+000	-1.17453363E+002	
-3.85535647E+000	-1.17459916E+002	
-3.83464316E+000	-1.17445974E+002	
-3.81392986E+000	-1.17441306E+002	
-3.79321655E+000	-1.17463223E+002	
-3.77250325E+000	-1.17415778E+002	
-3.75178994E+000	-1.17434325E+002	
-3.73107664E+000	-1.17435130E+002	
-3.71036333E+000	-1.17380199E+002	
-3.68965003E+000	-1.17393866E+002	
-3.66893672E+000	-1.17436873E+002	
-3.64822342E+000	-1.17404121E+002	
-3.62751011E+000	-1.17427493E+002	
-3.60679680E+000	-1.17431936E+002	
-3.58608350E+000	-1.17429189E+002	
-3.56537019E+000	-1.17453426E+002	
-3.54465689E+000	-1.17454189E+002	
-3.52394358E+000	-1.17479359E+002	
-3.50323028E+000	-1.17520108E+002	
-3.48251697E+000	-1.17552910E+002	
-3.46180367E+000	-1.17589070E+002	
-3.44109036E+000	-1.17607277E+002	
-3.42037706E+000	-1.17637327E+002	
-3.39966375E+000	-1.17681789E+002	
-3.37895045E+000	-1.17723831E+002	
-3.35823714E+000	-1.17718760E+002	
-3.33752384E+000	-1.17726059E+002	
-3.31681053E+000	-1.17730360E+002	
-3.29609722E+000	-1.17708402E+002	
-3.27538392E+000	-1.17732332E+002	
-3.25467061E+000	-1.17746297E+002	
-3.23395731E+000	-1.17746112E+002	
-3.21324400E+000	-1.17771271E+002	
-3.19253070E+000	-1.17779535E+002	
-3.17181739E+000	-1.17747653E+002	
-3.15110409E+000	-1.17730470E+002	
-3.13039078E+000	-1.17727204E+002	
-3.10967748E+000	-1.17768475E+002	
-3.08896417E+000	-1.17748332E+002	
-3.06825087E+000	-1.17730135E+002	
-3.04753756E+000	-1.17761005E+002	
-3.02682426E+000	-1.17736229E+002	
-3.00611095E+000	-1.17670627E+002	
-2.98539764E+000	-1.17718295E+002	
-2.96468434E+000	-1.17682472E+002	
-2.94397103E+000	-1.17664558E+002	
-2.92325773E+000	-1.17619355E+002	
-2.90254442E+000	-1.17603086E+002	
-2.88183112E+000	-1.17621755E+002	
-2.86111781E+000	-1.17662759E+002	
-2.84040451E+000	-1.17703799E+002	
-2.81969120E+000	-1.17735253E+002	
-2.79897790E+000	-1.17807515E+002	
-2.77826459E+000	-1.17774218E+002	
-2.75755129E+000	-1.17747148E+002	
-2.73683798E+000	-1.17757238E+002	
-2.71612468E+000	-1.17709256E+002	
-2.69541137E+000	-1.17700974E+002	
-2.67469807E+000	-1.17769465E+002	
-2.65398476E+000	-1.17801699E+002	
-2.63327145E+000	-1.17793512E+002	
-2.61255815E+000	-1.17736115E+002	
-2.59184484E+000	-1.17743834E+002	
-2.57113154E+000	-1.17742211E+002	
