Acquired on 8/13/2021 at 16:58:41
Calibrated on 8/13/2021 at 15:48:05
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  10.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19913696E+002	
-9.98649484E+000	-1.18393474E+002	
-9.96578154E+000	-1.17545206E+002	
-9.94506823E+000	-1.17665713E+002	
-9.92435493E+000	-1.17715024E+002	
-9.90364162E+000	-1.17429329E+002	
-9.88292832E+000	-1.17640214E+002	
-9.86221501E+000	-1.17661634E+002	
-9.84150171E+000	-1.17785804E+002	
-9.82078840E+000	-1.17856198E+002	
-9.80007509E+000	-1.17796135E+002	
-9.77936179E+000	-1.17849213E+002	
-9.75864848E+000	-1.17776174E+002	
-9.73793518E+000	-1.17664918E+002	
-9.71722187E+000	-1.17687059E+002	
-9.69650857E+000	-1.17802949E+002	
-9.67579526E+000	-1.17958710E+002	
-9.65508196E+000	-1.18025536E+002	
-9.63436865E+000	-1.18049436E+002	
-9.61365535E+000	-1.18093775E+002	
-9.59294204E+000	-1.17977902E+002	
-9.57222874E+000	-1.17956022E+002	
-9.55151543E+000	-1.17889424E+002	
-9.53080213E+000	-1.17869356E+002	
-9.51008882E+000	-1.17795302E+002	
-9.48937552E+000	-1.18019295E+002	
-9.46866221E+000	-1.17818209E+002	
-9.44794890E+000	-1.17807652E+002	
-9.42723560E+000	-1.17568128E+002	
-9.40652229E+000	-1.17592539E+002	
-9.38580899E+000	-1.17551376E+002	
-9.36509568E+000	-1.17744237E+002	
-9.34438238E+000	-1.17929739E+002	
-9.32366907E+000	-1.18278230E+002	
-9.30295577E+000	-1.18232949E+002	
-9.28224246E+000	-1.18316164E+002	
-9.26152916E+000	-1.17878416E+002	
-9.24081585E+000	-1.17754685E+002	
-9.22010255E+000	-1.17475977E+002	
-9.19938924E+000	-1.17454490E+002	
-9.17867594E+000	-1.17387053E+002	
-9.15796263E+000	-1.17650859E+002	
-9.13724932E+000	-1.17597220E+002	
-9.11653602E+000	-1.17616910E+002	
-9.09582271E+000	-1.17747099E+002	
-9.07510941E+000	-1.17624313E+002	
-9.05439610E+000	-1.17494228E+002	
-9.03368280E+000	-1.17306813E+002	
-9.01296949E+000	-1.17481576E+002	
-8.99225619E+000	-1.17615815E+002	
-8.97154288E+000	-1.17597408E+002	
-8.95082958E+000	-1.17860722E+002	
-8.93011627E+000	-1.18211275E+002	
-8.90940297E+000	-1.17956302E+002	
-8.88868966E+000	-1.17602601E+002	
-8.86797636E+000	-1.17970174E+002	
-8.84726305E+000	-1.17780886E+002	
-8.82654974E+000	-1.17295418E+002	
-8.80583644E+000	-1.17460489E+002	
-8.78512313E+000	-1.17631550E+002	
-8.76440983E+000	-1.17589423E+002	
-8.74369652E+000	-1.17689633E+002	
-8.72298322E+000	-1.18065977E+002	
-8.70226991E+000	-1.18048906E+002	
-8.68155661E+000	-1.18008142E+002	
-8.66084330E+000	-1.17940687E+002	
-8.64013000E+000	-1.17940900E+002	
-8.61941669E+000	-1.17777963E+002	
-8.59870339E+000	-1.17751487E+002	
-8.57799008E+000	-1.17799542E+002	
-8.55727678E+000	-1.17683217E+002	
-8.53656347E+000	-1.17845321E+002	
-8.51585017E+000	-1.17889398E+002	
-8.49513686E+000	-1.17632338E+002	
-8.47442355E+000	-1.17582005E+002	
-8.45371025E+000	-1.17625656E+002	
-8.43299694E+000	-1.17456558E+002	
-8.41228364E+000	-1.17456313E+002	
-8.39157033E+000	-1.17678935E+002	
-8.37085703E+000	-1.17646997E+002	
-8.35014372E+000	-1.17681671E+002	
-8.32943042E+000	-1.18029225E+002	
-8.30871711E+000	-1.18070544E+002	
-8.28800381E+000	-1.18221662E+002	
-8.26729050E+000	-1.18286336E+002	
-8.24657720E+000	-1.18406163E+002	
-8.22586389E+000	-1.18357090E+002	
-8.20515059E+000	-1.18096416E+002	
-8.18443728E+000	-1.18039662E+002	
