Acquired on 8/13/2021 at 17:31:49
Calibrated on 8/13/2021 at 15:48:05
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  10.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20003792E+002	
-9.98649484E+000	-1.18423582E+002	
-9.96578154E+000	-1.17586590E+002	
-9.94506823E+000	-1.17706237E+002	
-9.92435493E+000	-1.17742587E+002	
-9.90364162E+000	-1.17494772E+002	
-9.88292832E+000	-1.17726443E+002	
-9.86221501E+000	-1.17750363E+002	
-9.84150171E+000	-1.17843756E+002	
-9.82078840E+000	-1.17904666E+002	
-9.80007509E+000	-1.17825090E+002	
-9.77936179E+000	-1.17870857E+002	
-9.75864848E+000	-1.17753277E+002	
-9.73793518E+000	-1.17627511E+002	
-9.71722187E+000	-1.17679760E+002	
-9.69650857E+000	-1.17838340E+002	
-9.67579526E+000	-1.17996039E+002	
-9.65508196E+000	-1.18100394E+002	
-9.63436865E+000	-1.18135813E+002	
-9.61365535E+000	-1.18147113E+002	
-9.59294204E+000	-1.18004422E+002	
-9.57222874E+000	-1.17999113E+002	
-9.55151543E+000	-1.17927597E+002	
-9.53080213E+000	-1.17923125E+002	
-9.51008882E+000	-1.17867421E+002	
-9.48937552E+000	-1.18128544E+002	
-9.46866221E+000	-1.17918052E+002	
-9.44794890E+000	-1.17897927E+002	
-9.42723560E+000	-1.17668214E+002	
-9.40652229E+000	-1.17673768E+002	
-9.38580899E+000	-1.17613668E+002	
-9.36509568E+000	-1.17796535E+002	
-9.34438238E+000	-1.17986892E+002	
-9.32366907E+000	-1.18297101E+002	
-9.30295577E+000	-1.18227787E+002	
-9.28224246E+000	-1.18334877E+002	
-9.26152916E+000	-1.17932512E+002	
-9.24081585E+000	-1.17808863E+002	
-9.22010255E+000	-1.17525976E+002	
-9.19938924E+000	-1.17516273E+002	
-9.17867594E+000	-1.17437181E+002	
-9.15796263E+000	-1.17646165E+002	
-9.13724932E+000	-1.17553049E+002	
-9.11653602E+000	-1.17584230E+002	
-9.09582271E+000	-1.17694720E+002	
-9.07510941E+000	-1.17578008E+002	
-9.05439610E+000	-1.17491872E+002	
-9.03368280E+000	-1.17328257E+002	
-9.01296949E+000	-1.17502977E+002	
-8.99225619E+000	-1.17629452E+002	
-8.97154288E+000	-1.17586008E+002	
-8.95082958E+000	-1.17839605E+002	
-8.93011627E+000	-1.18204602E+002	
-8.90940297E+000	-1.17944788E+002	
-8.88868966E+000	-1.17597196E+002	
-8.86797636E+000	-1.17994685E+002	
-8.84726305E+000	-1.17817423E+002	
-8.82654974E+000	-1.17323368E+002	
-8.80583644E+000	-1.17505583E+002	
-8.78512313E+000	-1.17694410E+002	
-8.76440983E+000	-1.17641724E+002	
-8.74369652E+000	-1.17725130E+002	
-8.72298322E+000	-1.18104728E+002	
-8.70226991E+000	-1.18081145E+002	
