Acquired on 8/13/2021 at 16:37:32
Calibrated on 8/13/2021 at 15:48:05
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  10.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19935234E+002	
-9.98649484E+000	-1.18390638E+002	
-9.96578154E+000	-1.17546800E+002	
-9.94506823E+000	-1.17668528E+002	
-9.92435493E+000	-1.17684608E+002	
-9.90364162E+000	-1.17426582E+002	
-9.88292832E+000	-1.17636072E+002	
-9.86221501E+000	-1.17647849E+002	
-9.84150171E+000	-1.17746003E+002	
-9.82078840E+000	-1.17816612E+002	
-9.80007509E+000	-1.17725335E+002	
-9.77936179E+000	-1.17747467E+002	
-9.75864848E+000	-1.17630757E+002	
-9.73793518E+000	-1.17546967E+002	
-9.71722187E+000	-1.17610575E+002	
-9.69650857E+000	-1.17763137E+002	
-9.67579526E+000	-1.17950973E+002	
-9.65508196E+000	-1.18060390E+002	
-9.63436865E+000	-1.18026658E+002	
-9.61365535E+000	-1.18043990E+002	
-9.59294204E+000	-1.17917038E+002	
-9.57222874E+000	-1.17905516E+002	
-9.55151543E+000	-1.17847939E+002	
-9.53080213E+000	-1.17857194E+002	
-9.51008882E+000	-1.17782772E+002	
-9.48937552E+000	-1.18005136E+002	
-9.46866221E+000	-1.17794187E+002	
-9.44794890E+000	-1.17780555E+002	
-9.42723560E+000	-1.17517956E+002	
-9.40652229E+000	-1.17540053E+002	
-9.38580899E+000	-1.17484716E+002	
-9.36509568E+000	-1.17673889E+002	
-9.34438238E+000	-1.17833478E+002	
-9.32366907E+000	-1.18186852E+002	
-9.30295577E+000	-1.18144391E+002	
-9.28224246E+000	-1.18241010E+002	
-9.26152916E+000	-1.17803367E+002	
-9.24081585E+000	-1.17701920E+002	
-9.22010255E+000	-1.17404909E+002	
-9.19938924E+000	-1.17375572E+002	
-9.17867594E+000	-1.17315168E+002	
