Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19959055E+002	
-9.98649484E+000	-1.18411230E+002	
-9.96578154E+000	-1.17556802E+002	
-9.94506823E+000	-1.17701105E+002	
-9.92435493E+000	-1.17743658E+002	
-9.90364162E+000	-1.17493834E+002	
-9.88292832E+000	-1.17734709E+002	
-9.86221501E+000	-1.17772991E+002	
-9.84150171E+000	-1.17871805E+002	
-9.82078840E+000	-1.17931412E+002	
-9.80007509E+000	-1.17819885E+002	
-9.77936179E+000	-1.17842769E+002	
-9.75864848E+000	-1.17732509E+002	
-9.73793518E+000	-1.17615339E+002	
-9.71722187E+000	-1.17664754E+002	
-9.69650857E+000	-1.17847962E+002	
-9.67579526E+000	-1.18010261E+002	
-9.65508196E+000	-1.18118866E+002	
-9.63436865E+000	-1.18125374E+002	
-9.61365535E+000	-1.18119068E+002	
-9.59294204E+000	-1.17983524E+002	
-9.57222874E+000	-1.17967187E+002	
-9.55151543E+000	-1.17889917E+002	
-9.53080213E+000	-1.17904271E+002	
-9.51008882E+000	-1.17839957E+002	
-9.48937552E+000	-1.18060954E+002	
-9.46866221E+000	-1.17854052E+002	
-9.44794890E+000	-1.17846534E+002	
-9.42723560E+000	-1.17624982E+002	
-9.40652229E+000	-1.17650185E+002	
-9.38580899E+000	-1.17618136E+002	
-9.36509568E+000	-1.17810951E+002	
-9.34438238E+000	-1.17991813E+002	
-9.32366907E+000	-1.18302759E+002	
-9.30295577E+000	-1.18251372E+002	
-9.28224246E+000	-1.18335947E+002	
-9.26152916E+000	-1.17927126E+002	
-9.24081585E+000	-1.17807650E+002	
-9.22010255E+000	-1.17512526E+002	
-9.19938924E+000	-1.17500251E+002	
-9.17867594E+000	-1.17452305E+002	
-9.15796263E+000	-1.17716324E+002	
-9.13724932E+000	-1.17673131E+002	
-9.11653602E+000	-1.17707276E+002	
-9.09582271E+000	-1.17812578E+002	
-9.07510941E+000	-1.17678973E+002	
-9.05439610E+000	-1.17530523E+002	
-9.03368280E+000	-1.17337230E+002	
-9.01296949E+000	-1.17500231E+002	
-8.99225619E+000	-1.17634571E+002	
-8.97154288E+000	-1.17581842E+002	
-8.95082958E+000	-1.17836208E+002	
-8.93011627E+000	-1.18181599E+002	
-8.90940297E+000	-1.17951091E+002	
-8.88868966E+000	-1.17597764E+002	
-8.86797636E+000	-1.17978705E+002	
-8.84726305E+000	-1.17823112E+002	
-8.82654974E+000	-1.17334197E+002	
-8.80583644E+000	-1.17487907E+002	
-8.78512313E+000	-1.17657068E+002	
-8.76440983E+000	-1.17620213E+002	
-8.74369652E+000	-1.17666794E+002	
-8.72298322E+000	-1.18053988E+002	
-8.70226991E+000	-1.18076965E+002	
-8.68155661E+000	-1.18033646E+002	
