Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19922343E+002	
-9.98649484E+000	-1.18406819E+002	
-9.96578154E+000	-1.17528097E+002	
-9.94506823E+000	-1.17663902E+002	
-9.92435493E+000	-1.17719353E+002	
-9.90364162E+000	-1.17482638E+002	
-9.88292832E+000	-1.17698002E+002	
-9.86221501E+000	-1.17739331E+002	
-9.84150171E+000	-1.17826321E+002	
-9.82078840E+000	-1.17884275E+002	
-9.80007509E+000	-1.17768378E+002	
-9.77936179E+000	-1.17818202E+002	
-9.75864848E+000	-1.17726439E+002	
-9.73793518E+000	-1.17631532E+002	
-9.71722187E+000	-1.17686275E+002	
-9.69650857E+000	-1.17859417E+002	
-9.67579526E+000	-1.18035193E+002	
-9.65508196E+000	-1.18125293E+002	
-9.63436865E+000	-1.18113016E+002	
-9.61365535E+000	-1.18132915E+002	
-9.59294204E+000	-1.18009441E+002	
-9.57222874E+000	-1.18004586E+002	
-9.55151543E+000	-1.17940347E+002	
-9.53080213E+000	-1.17955506E+002	
-9.51008882E+000	-1.17906531E+002	
-9.48937552E+000	-1.18091064E+002	
-9.46866221E+000	-1.17866030E+002	
-9.44794890E+000	-1.17842946E+002	
-9.42723560E+000	-1.17571136E+002	
-9.40652229E+000	-1.17562564E+002	
-9.38580899E+000	-1.17522882E+002	
-9.36509568E+000	-1.17698821E+002	
-9.34438238E+000	-1.17902447E+002	
-9.32366907E+000	-1.18275989E+002	
-9.30295577E+000	-1.18232013E+002	
-9.28224246E+000	-1.18347412E+002	
-9.26152916E+000	-1.17932808E+002	
-9.24081585E+000	-1.17812382E+002	
-9.22010255E+000	-1.17526140E+002	
-9.19938924E+000	-1.17502697E+002	
-9.17867594E+000	-1.17441275E+002	
-9.15796263E+000	-1.17697499E+002	
-9.13724932E+000	-1.17592796E+002	
-9.11653602E+000	-1.17603797E+002	
-9.09582271E+000	-1.17726798E+002	
-9.07510941E+000	-1.17607569E+002	
-9.05439610E+000	-1.17489569E+002	
-9.03368280E+000	-1.17346090E+002	
-9.01296949E+000	-1.17523101E+002	
-8.99225619E+000	-1.17647884E+002	
-8.97154288E+000	-1.17611964E+002	
-8.95082958E+000	-1.17842167E+002	
-8.93011627E+000	-1.18157796E+002	
-8.90940297E+000	-1.17930498E+002	
-8.88868966E+000	-1.17578407E+002	
-8.86797636E+000	-1.17957208E+002	
-8.84726305E+000	-1.17832638E+002	
-8.82654974E+000	-1.17352198E+002	
-8.80583644E+000	-1.17526722E+002	
-8.78512313E+000	-1.17733121E+002	
-8.76440983E+000	-1.17711542E+002	
-8.74369652E+000	-1.17789110E+002	
-8.72298322E+000	-1.18172917E+002	
-8.70226991E+000	-1.18137756E+002	
-8.68155661E+000	-1.18066119E+002	
-8.66084330E+000	-1.17960572E+002	
-8.64013000E+000	-1.17960687E+002	
-8.61941669E+000	-1.17762746E+002	
-8.59870339E+000	-1.17727788E+002	
-8.57799008E+000	-1.17781454E+002	
-8.55727678E+000	-1.17670719E+002	
-8.53656347E+000	-1.17827980E+002	
-8.51585017E+000	-1.17905564E+002	
-8.49513686E+000	-1.17647930E+002	
-8.47442355E+000	-1.17601744E+002	
-8.45371025E+000	-1.17675692E+002	
-8.43299694E+000	-1.17521166E+002	
-8.41228364E+000	-1.17516219E+002	
-8.39157033E+000	-1.17751197E+002	
-8.37085703E+000	-1.17691310E+002	
-8.35014372E+000	-1.17716236E+002	
-8.32943042E+000	-1.18038102E+002	
-8.30871711E+000	-1.18062103E+002	
-8.28800381E+000	-1.18206238E+002	
-8.26729050E+000	-1.18296271E+002	
-8.24657720E+000	-1.18416121E+002	
-8.22586389E+000	-1.18388961E+002	
-8.20515059E+000	-1.18136102E+002	
-8.18443728E+000	-1.18076680E+002	
-8.16372397E+000	-1.18225921E+002	
-8.14301067E+000	-1.18102119E+002	
-8.12229736E+000	-1.17919421E+002	
-8.10158406E+000	-1.18003398E+002	
-8.08087075E+000	-1.18006407E+002	
-8.06015745E+000	-1.17771091E+002	
-8.03944414E+000	-1.17561582E+002	
-8.01873084E+000	-1.17761889E+002	
-7.99801753E+000	-1.17778263E+002	
-7.97730423E+000	-1.17576344E+002	
-7.95659092E+000	-1.17610300E+002	
-7.93587762E+000	-1.17523251E+002	
-7.91516431E+000	-1.17331519E+002	
-7.89445101E+000	-1.17408034E+002	
-7.87373770E+000	-1.17527385E+002	
-7.85302439E+000	-1.17408483E+002	
-7.83231109E+000	-1.17532011E+002	
-7.81159778E+000	-1.17758562E+002	
-7.79088448E+000	-1.17717376E+002	
-7.77017117E+000	-1.17760315E+002	
-7.74945787E+000	-1.18016158E+002	
-7.72874456E+000	-1.18331188E+002	
-7.70803126E+000	-1.18245744E+002	
-7.68731795E+000	-1.18208224E+002	
-7.66660465E+000	-1.18274733E+002	
-7.64589134E+000	-1.18268259E+002	
-7.62517804E+000	-1.17777757E+002	
-7.60446473E+000	-1.18042286E+002	
-7.58375143E+000	-1.18286177E+002	
-7.56303812E+000	-1.18272263E+002	
-7.54232482E+000	-1.18240976E+002	
-7.52161151E+000	-1.18269973E+002	
-7.50089820E+000	-1.18044528E+002	
-7.48018490E+000	-1.17772036E+002	
-7.45947159E+000	-1.17597023E+002	
-7.43875829E+000	-1.17458669E+002	
-7.41804498E+000	-1.17274979E+002	
-7.39733168E+000	-1.17076175E+002	
-7.37661837E+000	-1.17194400E+002	
-7.35590507E+000	-1.17463087E+002	
-7.33519176E+000	-1.17693728E+002	
-7.31447846E+000	-1.18143082E+002	
-7.29376515E+000	-1.18211702E+002	
-7.27305185E+000	-1.18144756E+002	
-7.25233854E+000	-1.18077559E+002	
-7.23162524E+000	-1.17790454E+002	
-7.21091193E+000	-1.17610136E+002	
-7.19019862E+000	-1.17818453E+002	
-7.16948532E+000	-1.17882727E+002	
-7.14877201E+000	-1.18008958E+002	
-7.12805871E+000	-1.18235239E+002	
-7.10734540E+000	-1.18392586E+002	
-7.08663210E+000	-1.18316620E+002	
-7.06591879E+000	-1.18189603E+002	
-7.04520549E+000	-1.18230364E+002	
-7.02449218E+000	-1.18245081E+002	
-7.00377888E+000	-1.17982738E+002	
-6.98306557E+000	-1.18052084E+002	
-6.96235227E+000	-1.18151080E+002	
-6.94163896E+000	-1.18199501E+002	
-6.92092566E+000	-1.18249907E+002	
-6.90021235E+000	-1.18403125E+002	
-6.87949904E+000	-1.18362759E+002	
-6.85878574E+000	-1.18208941E+002	
-6.83807243E+000	-1.18141349E+002	
-6.81735913E+000	-1.17997785E+002	
-6.79664582E+000	-1.17949373E+002	
-6.77593252E+000	-1.18007739E+002	
-6.75521921E+000	-1.17754393E+002	
-6.73450591E+000	-1.17799558E+002	
-6.71379260E+000	-1.18043973E+002	
-6.69307930E+000	-1.17982691E+002	
-6.67236599E+000	-1.17926736E+002	
-6.65165269E+000	-1.18215891E+002	
-6.63093938E+000	-1.18217484E+002	
-6.61022608E+000	-1.18257796E+002	
-6.58951277E+000	-1.18270546E+002	
-6.56879947E+000	-1.18308986E+002	
-6.54808616E+000	-1.18083758E+002	
-6.52737285E+000	-1.17948467E+002	
-6.50665955E+000	-1.17615266E+002	
-6.48594624E+000	-1.17587018E+002	
-6.46523294E+000	-1.17503830E+002	
-6.44451963E+000	-1.17661263E+002	
-6.42380633E+000	-1.17923114E+002	
-6.40309302E+000	-1.18269304E+002	
-6.38237972E+000	-1.18364228E+002	
-6.36166641E+000	-1.18187994E+002	
-6.34095311E+000	-1.18061591E+002	
-6.32023980E+000	-1.17849881E+002	
-6.29952650E+000	-1.17832018E+002	
-6.27881319E+000	-1.18047886E+002	
-6.25809989E+000	-1.18338206E+002	
-6.23738658E+000	-1.17890729E+002	
-6.21667327E+000	-1.17978406E+002	
-6.19595997E+000	-1.17809186E+002	
-6.17524666E+000	-1.17407391E+002	
-6.15453336E+000	-1.17536604E+002	
-6.13382005E+000	-1.17971532E+002	
-6.11310675E+000	-1.18049031E+002	
-6.09239344E+000	-1.18114219E+002	
-6.07168014E+000	-1.18197441E+002	
-6.05096683E+000	-1.18044724E+002	
-6.03025353E+000	-1.17826239E+002	
-6.00954022E+000	-1.17543520E+002	
-5.98882692E+000	-1.17549825E+002	
-5.96811361E+000	-1.17513459E+002	
-5.94740031E+000	-1.17527257E+002	
-5.92668700E+000	-1.17857044E+002	
-5.90597369E+000	-1.18082273E+002	
-5.88526039E+000	-1.18133777E+002	
-5.86454708E+000	-1.17972026E+002	
-5.84383378E+000	-1.18323880E+002	
-5.82312047E+000	-1.18043712E+002	
-5.80240717E+000	-1.17909694E+002	
-5.78169386E+000	-1.18062401E+002	
-5.76098056E+000	-1.18271537E+002	
-5.74026725E+000	-1.17972229E+002	
-5.71955395E+000	-1.18134410E+002	
-5.69884064E+000	-1.18327579E+002	
-5.67812734E+000	-1.18282998E+002	
-5.65741403E+000	-1.18218291E+002	
-5.63670073E+000	-1.18356457E+002	
-5.61598742E+000	-1.18389885E+002	
-5.59527412E+000	-1.18269588E+002	
-5.57456081E+000	-1.18169355E+002	
-5.55384750E+000	-1.18166029E+002	
-5.53313420E+000	-1.17983934E+002	
-5.51242089E+000	-1.17933101E+002	
-5.49170759E+000	-1.17869674E+002	
-5.47099428E+000	-1.17911384E+002	
-5.45028098E+000	-1.17950656E+002	
-5.42956767E+000	-1.18034428E+002	
-5.40885437E+000	-1.17988691E+002	
-5.38814106E+000	-1.18028187E+002	
-5.36742776E+000	-1.18028499E+002	
-5.34671445E+000	-1.17693792E+002	
-5.32600115E+000	-1.17437748E+002	
-5.30528784E+000	-1.17529082E+002	
-5.28457454E+000	-1.17406165E+002	
-5.26386123E+000	-1.17708990E+002	
-5.24314792E+000	-1.18183454E+002	
-5.22243462E+000	-1.18560623E+002	
-5.20172131E+000	-1.18575926E+002	
-5.18100801E+000	-1.18628707E+002	
-5.16029470E+000	-1.18352038E+002	
-5.13958140E+000	-1.18296754E+002	
-5.11886809E+000	-1.18254142E+002	
-5.09815479E+000	-1.18210870E+002	
-5.07744148E+000	-1.18063676E+002	
-5.05672818E+000	-1.17902078E+002	
-5.03601487E+000	-1.17350258E+002	
-5.01530157E+000	-1.17250741E+002	
-4.99458826E+000	-1.17156336E+002	
-4.97387496E+000	-1.17152683E+002	
-4.95316165E+000	-1.17201442E+002	
-4.93244834E+000	-1.17538205E+002	
-4.91173504E+000	-1.17376512E+002	
-4.89102173E+000	-1.17563890E+002	
-4.87030843E+000	-1.17555150E+002	
-4.84959512E+000	-1.17699117E+002	
-4.82888182E+000	-1.17675954E+002	
-4.80816851E+000	-1.17933025E+002	
-4.78745521E+000	-1.17827091E+002	
-4.76674190E+000	-1.17800213E+002	
-4.74602860E+000	-1.18043446E+002	
-4.72531529E+000	-1.18012309E+002	
-4.70460199E+000	-1.17916691E+002	
-4.68388868E+000	-1.18083251E+002	
-4.66317538E+000	-1.18318843E+002	
-4.64246207E+000	-1.18000927E+002	
-4.62174877E+000	-1.18126842E+002	
-4.60103546E+000	-1.18046262E+002	
-4.58032215E+000	-1.18129854E+002	
-4.55960885E+000	-1.17892480E+002	
-4.53889554E+000	-1.17866246E+002	
-4.51818224E+000	-1.17803997E+002	
-4.49746893E+000	-1.17850324E+002	
-4.47675563E+000	-1.17587092E+002	
-4.45604232E+000	-1.17672330E+002	
-4.43532902E+000	-1.17924054E+002	
-4.41461571E+000	-1.18020411E+002	
-4.39390241E+000	-1.18127140E+002	
-4.37318910E+000	-1.18294402E+002	
-4.35247580E+000	-1.18270464E+002	
-4.33176249E+000	-1.18019141E+002	
-4.31104919E+000	-1.17588744E+002	
-4.29033588E+000	-1.17424864E+002	
-4.26962257E+000	-1.17561573E+002	
-4.24890927E+000	-1.17634939E+002	
-4.22819596E+000	-1.17786696E+002	
-4.20748266E+000	-1.18083313E+002	
-4.18676935E+000	-1.18246533E+002	
-4.16605605E+000	-1.18254250E+002	
-4.14534274E+000	-1.17977398E+002	
-4.12462944E+000	-1.18026162E+002	
-4.10391613E+000	-1.17878564E+002	
-4.08320283E+000	-1.17847459E+002	
-4.06248952E+000	-1.17794053E+002	
-4.04177622E+000	-1.18071312E+002	
-4.02106291E+000	-1.18124942E+002	
-4.00034961E+000	-1.18471754E+002	
-3.97963630E+000	-1.17932468E+002	
-3.95892299E+000	-1.17999531E+002	
-3.93820969E+000	-1.18009546E+002	
-3.91749638E+000	-1.17874690E+002	
-3.89678308E+000	-1.17821223E+002	
-3.87606977E+000	-1.18102153E+002	
-3.85535647E+000	-1.17795782E+002	
-3.83464316E+000	-1.17753294E+002	
-3.81392986E+000	-1.17568684E+002	
-3.79321655E+000	-1.17355651E+002	
-3.77250325E+000	-1.17432819E+002	
-3.75178994E+000	-1.17608922E+002	
-3.73107664E+000	-1.17703188E+002	
-3.71036333E+000	-1.17753062E+002	
-3.68965003E+000	-1.17815640E+002	
-3.66893672E+000	-1.17569251E+002	
-3.64822342E+000	-1.17546991E+002	
-3.62751011E+000	-1.17455745E+002	
-3.60679680E+000	-1.17588563E+002	
-3.58608350E+000	-1.17697764E+002	
-3.56537019E+000	-1.17659437E+002	
-3.54465689E+000	-1.17763271E+002	
-3.52394358E+000	-1.17841610E+002	
-3.50323028E+000	-1.17644898E+002	
-3.48251697E+000	-1.17822456E+002	
-3.46180367E+000	-1.17973978E+002	
-3.44109036E+000	-1.17869345E+002	
-3.42037706E+000	-1.17890336E+002	
-3.39966375E+000	-1.18056923E+002	
-3.37895045E+000	-1.18052694E+002	
-3.35823714E+000	-1.17980317E+002	
-3.33752384E+000	-1.17936010E+002	
-3.31681053E+000	-1.18066853E+002	
-3.29609722E+000	-1.17961525E+002	
-3.27538392E+000	-1.18003813E+002	
-3.25467061E+000	-1.18344748E+002	
-3.23395731E+000	-1.18470023E+002	
-3.21324400E+000	-1.18523058E+002	
-3.19253070E+000	-1.18686315E+002	
-3.17181739E+000	-1.18377854E+002	
-3.15110409E+000	-1.18229070E+002	
-3.13039078E+000	-1.18010291E+002	
-3.10967748E+000	-1.17881275E+002	
-3.08896417E+000	-1.17681848E+002	
-3.06825087E+000	-1.17716324E+002	
-3.04753756E+000	-1.17648029E+002	
-3.02682426E+000	-1.17796924E+002	
-3.00611095E+000	-1.17692194E+002	
-2.98539764E+000	-1.17827946E+002	
-2.96468434E+000	-1.17851183E+002	
-2.94397103E+000	-1.17670289E+002	
-2.92325773E+000	-1.17674588E+002	
-2.90254442E+000	-1.17950871E+002	
-2.88183112E+000	-1.17931931E+002	
-2.86111781E+000	-1.17933631E+002	
-2.84040451E+000	-1.18147911E+002	
-2.81969120E+000	-1.17779595E+002	
-2.79897790E+000	-1.17585627E+002	
-2.77826459E+000	-1.17739819E+002	
-2.75755129E+000	-1.17775415E+002	
-2.73683798E+000	-1.17689648E+002	
-2.71612468E+000	-1.17992740E+002	
-2.69541137E+000	-1.18215570E+002	
-2.67469807E+000	-1.18107089E+002	
-2.65398476E+000	-1.18340038E+002	
-2.63327145E+000	-1.18489183E+002	
-2.61255815E+000	-1.18847819E+002	
-2.59184484E+000	-1.18696099E+002	
-2.57113154E+000	-1.18170301E+002	
-2.55041823E+000	-1.18039982E+002	
-2.52970493E+000	-1.17856990E+002	
-2.50899162E+000	-1.17385581E+002	
-2.48827832E+000	-1.17363773E+002	
-2.46756501E+000	-1.17910032E+002	
-2.44685171E+000	-1.17790558E+002	
-2.42613840E+000	-1.17742746E+002	
-2.40542510E+000	-1.17964185E+002	
