Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19777588E+002	
-9.98649484E+000	-1.18265673E+002	
-9.96578154E+000	-1.17445786E+002	
-9.94506823E+000	-1.17559020E+002	
-9.92435493E+000	-1.17628446E+002	
-9.90364162E+000	-1.17378444E+002	
-9.88292832E+000	-1.17584437E+002	
-9.86221501E+000	-1.17576519E+002	
-9.84150171E+000	-1.17673067E+002	
-9.82078840E+000	-1.17721491E+002	
-9.80007509E+000	-1.17641894E+002	
-9.77936179E+000	-1.17661810E+002	
-9.75864848E+000	-1.17572728E+002	
-9.73793518E+000	-1.17448353E+002	
-9.71722187E+000	-1.17518474E+002	
-9.69650857E+000	-1.17690214E+002	
-9.67579526E+000	-1.17874592E+002	
-9.65508196E+000	-1.17972601E+002	
-9.63436865E+000	-1.18022879E+002	
-9.61365535E+000	-1.18054037E+002	
-9.59294204E+000	-1.17909455E+002	
-9.57222874E+000	-1.17901209E+002	
-9.55151543E+000	-1.17848265E+002	
-9.53080213E+000	-1.17821542E+002	
-9.51008882E+000	-1.17742332E+002	
-9.48937552E+000	-1.17973158E+002	
-9.46866221E+000	-1.17761800E+002	
-9.44794890E+000	-1.17737087E+002	
-9.42723560E+000	-1.17472921E+002	
-9.40652229E+000	-1.17494475E+002	
-9.38580899E+000	-1.17406246E+002	
-9.36509568E+000	-1.17553596E+002	
-9.34438238E+000	-1.17715910E+002	
-9.32366907E+000	-1.18037961E+002	
-9.30295577E+000	-1.17962776E+002	
-9.28224246E+000	-1.18060927E+002	
-9.26152916E+000	-1.17667585E+002	
-9.24081585E+000	-1.17576885E+002	
-9.22010255E+000	-1.17306345E+002	
-9.19938924E+000	-1.17323545E+002	
-9.17867594E+000	-1.17310214E+002	
-9.15796263E+000	-1.17546126E+002	
-9.13724932E+000	-1.17458899E+002	
-9.11653602E+000	-1.17474289E+002	
-9.09582271E+000	-1.17565211E+002	
-9.07510941E+000	-1.17451491E+002	
-9.05439610E+000	-1.17348510E+002	
-9.03368280E+000	-1.17185910E+002	
-9.01296949E+000	-1.17385835E+002	
-8.99225619E+000	-1.17520941E+002	
-8.97154288E+000	-1.17475235E+002	
-8.95082958E+000	-1.17741762E+002	
-8.93011627E+000	-1.18053412E+002	
-8.90940297E+000	-1.17803815E+002	
-8.88868966E+000	-1.17437515E+002	
-8.86797636E+000	-1.17802048E+002	
-8.84726305E+000	-1.17599873E+002	
-8.82654974E+000	-1.17137696E+002	
-8.80583644E+000	-1.17308703E+002	
-8.78512313E+000	-1.17477962E+002	
-8.76440983E+000	-1.17432833E+002	
-8.74369652E+000	-1.17563633E+002	
-8.72298322E+000	-1.17917736E+002	
-8.70226991E+000	-1.17890808E+002	
-8.68155661E+000	-1.17833314E+002	
-8.66084330E+000	-1.17753371E+002	
-8.64013000E+000	-1.17755020E+002	
-8.61941669E+000	-1.17608522E+002	
-8.59870339E+000	-1.17573208E+002	
-8.57799008E+000	-1.17639852E+002	
-8.55727678E+000	-1.17512404E+002	
-8.53656347E+000	-1.17650880E+002	
-8.51585017E+000	-1.17695644E+002	
-8.49513686E+000	-1.17455371E+002	
-8.47442355E+000	-1.17447898E+002	
-8.45371025E+000	-1.17541192E+002	
-8.43299694E+000	-1.17401667E+002	
-8.41228364E+000	-1.17408355E+002	
-8.39157033E+000	-1.17626525E+002	
-8.37085703E+000	-1.17547286E+002	
-8.35014372E+000	-1.17590379E+002	
-8.32943042E+000	-1.17914802E+002	
-8.30871711E+000	-1.17917759E+002	
-8.28800381E+000	-1.18048817E+002	
-8.26729050E+000	-1.18148094E+002	
-8.24657720E+000	-1.18272159E+002	
-8.22586389E+000	-1.18273550E+002	
-8.20515059E+000	-1.18059107E+002	
-8.18443728E+000	-1.18023079E+002	
-8.16372397E+000	-1.18127757E+002	
-8.14301067E+000	-1.17963437E+002	
-8.12229736E+000	-1.17750966E+002	
-8.10158406E+000	-1.17862829E+002	
-8.08087075E+000	-1.17893937E+002	
-8.06015745E+000	-1.17704906E+002	
-8.03944414E+000	-1.17532499E+002	
-8.01873084E+000	-1.17741810E+002	
-7.99801753E+000	-1.17706591E+002	
-7.97730423E+000	-1.17474755E+002	
-7.95659092E+000	-1.17472846E+002	
-7.93587762E+000	-1.17395590E+002	
