Acquired on 8/13/2021 at 17:29:05
Calibrated on 8/13/2021 at 15:48:05
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  10.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20044279E+002	
-9.98649484E+000	-1.18503711E+002	
-9.96578154E+000	-1.17637491E+002	
-9.94506823E+000	-1.17776435E+002	
-9.92435493E+000	-1.17810130E+002	
-9.90364162E+000	-1.17539425E+002	
-9.88292832E+000	-1.17740030E+002	
-9.86221501E+000	-1.17767221E+002	
-9.84150171E+000	-1.17854635E+002	
-9.82078840E+000	-1.17906174E+002	
-9.80007509E+000	-1.17812578E+002	
-9.77936179E+000	-1.17843703E+002	
-9.75864848E+000	-1.17728501E+002	
-9.73793518E+000	-1.17624937E+002	
-9.71722187E+000	-1.17684324E+002	
-9.69650857E+000	-1.17845135E+002	
-9.67579526E+000	-1.18029315E+002	
-9.65508196E+000	-1.18137378E+002	
-9.63436865E+000	-1.18126617E+002	
-9.61365535E+000	-1.18153122E+002	
-9.59294204E+000	-1.18017392E+002	
-9.57222874E+000	-1.17982917E+002	
-9.55151543E+000	-1.17906161E+002	
-9.53080213E+000	-1.17898049E+002	
-9.51008882E+000	-1.17791665E+002	
-9.48937552E+000	-1.18005438E+002	
-9.46866221E+000	-1.17815292E+002	
-9.44794890E+000	-1.17809143E+002	
-9.42723560E+000	-1.17614892E+002	
-9.40652229E+000	-1.17665321E+002	
-9.38580899E+000	-1.17626608E+002	
-9.36509568E+000	-1.17807049E+002	
-9.34438238E+000	-1.17975700E+002	
-9.32366907E+000	-1.18287732E+002	
-9.30295577E+000	-1.18219227E+002	
-9.28224246E+000	-1.18320063E+002	
-9.26152916E+000	-1.17914739E+002	
-9.24081585E+000	-1.17816639E+002	
-9.22010255E+000	-1.17541256E+002	
-9.19938924E+000	-1.17512821E+002	
-9.17867594E+000	-1.17434979E+002	
-9.15796263E+000	-1.17684878E+002	
-9.13724932E+000	-1.17575492E+002	
-9.11653602E+000	-1.17591990E+002	
