Acquired on 8/13/2021 at 17:19:53
Calibrated on 8/13/2021 at 15:48:05
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  10.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19933931E+002	
-9.98649484E+000	-1.18428534E+002	
-9.96578154E+000	-1.17584743E+002	
-9.94506823E+000	-1.17718842E+002	
-9.92435493E+000	-1.17759672E+002	
-9.90364162E+000	-1.17500977E+002	
-9.88292832E+000	-1.17700714E+002	
-9.86221501E+000	-1.17721092E+002	
-9.84150171E+000	-1.17831682E+002	
-9.82078840E+000	-1.17901472E+002	
-9.80007509E+000	-1.17812364E+002	
-9.77936179E+000	-1.17854111E+002	
-9.75864848E+000	-1.17741457E+002	
-9.73793518E+000	-1.17618710E+002	
-9.71722187E+000	-1.17663381E+002	
-9.69650857E+000	-1.17817847E+002	
-9.67579526E+000	-1.17980604E+002	
-9.65508196E+000	-1.18081481E+002	
-9.63436865E+000	-1.18094547E+002	
-9.61365535E+000	-1.18115611E+002	
-9.59294204E+000	-1.17992092E+002	
-9.57222874E+000	-1.17977690E+002	
-9.55151543E+000	-1.17934456E+002	
-9.53080213E+000	-1.17957952E+002	
-9.51008882E+000	-1.17865363E+002	
-9.48937552E+000	-1.18060248E+002	
-9.46866221E+000	-1.17863380E+002	
-9.44794890E+000	-1.17815202E+002	
-9.42723560E+000	-1.17563942E+002	
-9.40652229E+000	-1.17622824E+002	
-9.38580899E+000	-1.17590805E+002	
-9.36509568E+000	-1.17784759E+002	
-9.34438238E+000	-1.17996093E+002	
-9.32366907E+000	-1.18327986E+002	
-9.30295577E+000	-1.18242278E+002	
-9.28224246E+000	-1.18335687E+002	
-9.26152916E+000	-1.17866550E+002	
-9.24081585E+000	-1.17727219E+002	
-9.22010255E+000	-1.17460794E+002	
-9.19938924E+000	-1.17486921E+002	
-9.17867594E+000	-1.17420539E+002	
-9.15796263E+000	-1.17681579E+002	
-9.13724932E+000	-1.17592764E+002	
-9.11653602E+000	-1.17616628E+002	
-9.09582271E+000	-1.17710961E+002	
-9.07510941E+000	-1.17627094E+002	
-9.05439610E+000	-1.17541601E+002	
-9.03368280E+000	-1.17356849E+002	
-9.01296949E+000	-1.17524332E+002	
-8.99225619E+000	-1.17639619E+002	
-8.97154288E+000	-1.17604626E+002	
-8.95082958E+000	-1.17842711E+002	
-8.93011627E+000	-1.18230302E+002	
-8.90940297E+000	-1.17982110E+002	
-8.88868966E+000	-1.17628164E+002	
-8.86797636E+000	-1.17980022E+002	
-8.84726305E+000	-1.17823989E+002	
-8.82654974E+000	-1.17329346E+002	
-8.80583644E+000	-1.17501645E+002	
-8.78512313E+000	-1.17691513E+002	
-8.76440983E+000	-1.17660518E+002	
-8.74369652E+000	-1.17751519E+002	
-8.72298322E+000	-1.18153103E+002	
-8.70226991E+000	-1.18120804E+002	
-8.68155661E+000	-1.18057221E+002	
-8.66084330E+000	-1.17974252E+002	
-8.64013000E+000	-1.17991252E+002	
-8.61941669E+000	-1.17810041E+002	
-8.59870339E+000	-1.17809807E+002	
-8.57799008E+000	-1.17865063E+002	
-8.55727678E+000	-1.17704107E+002	
