Acquired on 8/13/2021 at 17:12:24
Calibrated on 8/13/2021 at 15:48:05
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  10.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19983202E+002	
-9.98649484E+000	-1.18450262E+002	
-9.96578154E+000	-1.17606776E+002	
-9.94506823E+000	-1.17731998E+002	
-9.92435493E+000	-1.17769601E+002	
-9.90364162E+000	-1.17534159E+002	
-9.88292832E+000	-1.17729295E+002	
-9.86221501E+000	-1.17723789E+002	
-9.84150171E+000	-1.17814996E+002	
-9.82078840E+000	-1.17869089E+002	
-9.80007509E+000	-1.17766067E+002	
-9.77936179E+000	-1.17815650E+002	
-9.75864848E+000	-1.17726480E+002	
-9.73793518E+000	-1.17612431E+002	
-9.71722187E+000	-1.17656323E+002	
-9.69650857E+000	-1.17798258E+002	
-9.67579526E+000	-1.17973689E+002	
-9.65508196E+000	-1.18061170E+002	
-9.63436865E+000	-1.18075786E+002	
-9.61365535E+000	-1.18104147E+002	
-9.59294204E+000	-1.17976124E+002	
-9.57222874E+000	-1.17948354E+002	
-9.55151543E+000	-1.17908396E+002	
-9.53080213E+000	-1.17900576E+002	
-9.51008882E+000	-1.17828872E+002	
-9.48937552E+000	-1.18049665E+002	
-9.46866221E+000	-1.17841742E+002	
-9.44794890E+000	-1.17807256E+002	
-9.42723560E+000	-1.17584225E+002	
-9.40652229E+000	-1.17614465E+002	
-9.38580899E+000	-1.17587746E+002	
-9.36509568E+000	-1.17789158E+002	
-9.34438238E+000	-1.17988345E+002	
-9.32366907E+000	-1.18330388E+002	
-9.30295577E+000	-1.18263820E+002	
-9.28224246E+000	-1.18343548E+002	
-9.26152916E+000	-1.17894940E+002	
-9.24081585E+000	-1.17739875E+002	
-9.22010255E+000	-1.17435548E+002	
-9.19938924E+000	-1.17435587E+002	
-9.17867594E+000	-1.17384532E+002	
-9.15796263E+000	-1.17640858E+002	
-9.13724932E+000	-1.17581405E+002	
-9.11653602E+000	-1.17637395E+002	
-9.09582271E+000	-1.17755649E+002	
-9.07510941E+000	-1.17638609E+002	
-9.05439610E+000	-1.17537973E+002	
-9.03368280E+000	-1.17364562E+002	
-9.01296949E+000	-1.17506553E+002	
-8.99225619E+000	-1.17629499E+002	
-8.97154288E+000	-1.17591261E+002	
-8.95082958E+000	-1.17823186E+002	
-8.93011627E+000	-1.18148103E+002	
-8.90940297E+000	-1.17891504E+002	
-8.88868966E+000	-1.17544479E+002	
-8.86797636E+000	-1.17914705E+002	
-8.84726305E+000	-1.17789850E+002	
-8.82654974E+000	-1.17336901E+002	
-8.80583644E+000	-1.17523271E+002	
-8.78512313E+000	-1.17715360E+002	
-8.76440983E+000	-1.17670823E+002	
-8.74369652E+000	-1.17733714E+002	
-8.72298322E+000	-1.18101329E+002	
-8.70226991E+000	-1.18067789E+002	
-8.68155661E+000	-1.18011936E+002	
-8.66084330E+000	-1.17917521E+002	
-8.64013000E+000	-1.17921292E+002	
-8.61941669E+000	-1.17755581E+002	
-8.59870339E+000	-1.17717348E+002	
-8.57799008E+000	-1.17763201E+002	
-8.55727678E+000	-1.17636706E+002	
-8.53656347E+000	-1.17773998E+002	
-8.51585017E+000	-1.17811442E+002	
-8.49513686E+000	-1.17581625E+002	
-8.47442355E+000	-1.17543058E+002	
-8.45371025E+000	-1.17655279E+002	
-8.43299694E+000	-1.17529243E+002	
-8.41228364E+000	-1.17521146E+002	
-8.39157033E+000	-1.17747161E+002	
-8.37085703E+000	-1.17687491E+002	
-8.35014372E+000	-1.17670629E+002	
-8.32943042E+000	-1.17992249E+002	
-8.30871711E+000	-1.18047816E+002	
-8.28800381E+000	-1.18192549E+002	
-8.26729050E+000	-1.18285941E+002	
-8.24657720E+000	-1.18430506E+002	
-8.22586389E+000	-1.18431409E+002	
-8.20515059E+000	-1.18175395E+002	
-8.18443728E+000	-1.18097423E+002	
-8.16372397E+000	-1.18233050E+002	
-8.14301067E+000	-1.18086610E+002	
-8.12229736E+000	-1.17856536E+002	
-8.10158406E+000	-1.17933843E+002	
-8.08087075E+000	-1.17966471E+002	
-8.06015745E+000	-1.17762948E+002	
-8.03944414E+000	-1.17574965E+002	
-8.01873084E+000	-1.17773318E+002	
-7.99801753E+000	-1.17768053E+002	
-7.97730423E+000	-1.17546962E+002	
-7.95659092E+000	-1.17556189E+002	
-7.93587762E+000	-1.17476195E+002	
-7.91516431E+000	-1.17308304E+002	
-7.89445101E+000	-1.17404481E+002	
-7.87373770E+000	-1.17505297E+002	
-7.85302439E+000	-1.17380679E+002	
-7.83231109E+000	-1.17501384E+002	
-7.81159778E+000	-1.17718948E+002	
-7.79088448E+000	-1.17639626E+002	
-7.77017117E+000	-1.17703208E+002	
-7.74945787E+000	-1.17953202E+002	
-7.72874456E+000	-1.18192244E+002	
-7.70803126E+000	-1.18082893E+002	
-7.68731795E+000	-1.18083824E+002	
-7.66660465E+000	-1.18165800E+002	
-7.64589134E+000	-1.18200354E+002	
-7.62517804E+000	-1.17771022E+002	
-7.60446473E+000	-1.18046973E+002	
-7.58375143E+000	-1.18271682E+002	
-7.56303812E+000	-1.18247719E+002	
-7.54232482E+000	-1.18185888E+002	
-7.52161151E+000	-1.18227719E+002	
-7.50089820E+000	-1.18005143E+002	
-7.48018490E+000	-1.17763800E+002	
-7.45947159E+000	-1.17588906E+002	
-7.43875829E+000	-1.17451943E+002	
-7.41804498E+000	-1.17250543E+002	
-7.39733168E+000	-1.17033650E+002	
-7.37661837E+000	-1.17114959E+002	
-7.35590507E+000	-1.17408800E+002	
-7.33519176E+000	-1.17649621E+002	
-7.31447846E+000	-1.18135656E+002	
-7.29376515E+000	-1.18266384E+002	
-7.27305185E+000	-1.18216016E+002	
-7.25233854E+000	-1.18143943E+002	
-7.23162524E+000	-1.17832139E+002	
-7.21091193E+000	-1.17618136E+002	
-7.19019862E+000	-1.17805278E+002	
-7.16948532E+000	-1.17889387E+002	
-7.14877201E+000	-1.17998211E+002	
-7.12805871E+000	-1.18239228E+002	
-7.10734540E+000	-1.18420070E+002	
-7.08663210E+000	-1.18299075E+002	
-7.06591879E+000	-1.18145466E+002	
-7.04520549E+000	-1.18209697E+002	
-7.02449218E+000	-1.18216762E+002	
