Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19965840E+002	
-9.98649484E+000	-1.18438316E+002	
-9.96578154E+000	-1.17586091E+002	
-9.94506823E+000	-1.17692695E+002	
-9.92435493E+000	-1.17760823E+002	
-9.90364162E+000	-1.17515814E+002	
-9.88292832E+000	-1.17684895E+002	
-9.86221501E+000	-1.17694904E+002	
-9.84150171E+000	-1.17787000E+002	
-9.82078840E+000	-1.17813297E+002	
-9.80007509E+000	-1.17734995E+002	
-9.77936179E+000	-1.17814547E+002	
-9.75864848E+000	-1.17716298E+002	
-9.73793518E+000	-1.17634643E+002	
-9.71722187E+000	-1.17682095E+002	
-9.69650857E+000	-1.17853650E+002	
-9.67579526E+000	-1.18023675E+002	
-9.65508196E+000	-1.18104839E+002	
-9.63436865E+000	-1.18111246E+002	
-9.61365535E+000	-1.18132058E+002	
-9.59294204E+000	-1.17984374E+002	
-9.57222874E+000	-1.17972106E+002	
-9.55151543E+000	-1.17933273E+002	
-9.53080213E+000	-1.17951551E+002	
-9.51008882E+000	-1.17901575E+002	
-9.48937552E+000	-1.18152321E+002	
-9.46866221E+000	-1.17951961E+002	
-9.44794890E+000	-1.17903433E+002	
-9.42723560E+000	-1.17653555E+002	
-9.40652229E+000	-1.17666186E+002	
-9.38580899E+000	-1.17599777E+002	
-9.36509568E+000	-1.17789222E+002	
-9.34438238E+000	-1.17997751E+002	
-9.32366907E+000	-1.18308612E+002	
-9.30295577E+000	-1.18224023E+002	
-9.28224246E+000	-1.18328394E+002	
-9.26152916E+000	-1.17897071E+002	
-9.24081585E+000	-1.17760878E+002	
-9.22010255E+000	-1.17488958E+002	
-9.19938924E+000	-1.17487064E+002	
-9.17867594E+000	-1.17414037E+002	
-9.15796263E+000	-1.17660917E+002	
-9.13724932E+000	-1.17549816E+002	
-9.11653602E+000	-1.17578561E+002	
-9.09582271E+000	-1.17698077E+002	
-9.07510941E+000	-1.17585873E+002	
-9.05439610E+000	-1.17497371E+002	
-9.03368280E+000	-1.17391393E+002	
-9.01296949E+000	-1.17580851E+002	
-8.99225619E+000	-1.17698632E+002	
-8.97154288E+000	-1.17680980E+002	
-8.95082958E+000	-1.17927781E+002	
-8.93011627E+000	-1.18227362E+002	
-8.90940297E+000	-1.17953468E+002	
-8.88868966E+000	-1.17616167E+002	
-8.86797636E+000	-1.17966484E+002	
-8.84726305E+000	-1.17791426E+002	
-8.82654974E+000	-1.17325207E+002	
-8.80583644E+000	-1.17494229E+002	
-8.78512313E+000	-1.17664101E+002	
-8.76440983E+000	-1.17630663E+002	
-8.74369652E+000	-1.17727999E+002	
-8.72298322E+000	-1.18130594E+002	
-8.70226991E+000	-1.18130359E+002	
-8.68155661E+000	-1.18109674E+002	
-8.66084330E+000	-1.18048127E+002	
-8.64013000E+000	-1.18066633E+002	
-8.61941669E+000	-1.17864941E+002	
-8.59870339E+000	-1.17822192E+002	
-8.57799008E+000	-1.17828677E+002	
-8.55727678E+000	-1.17635825E+002	
-8.53656347E+000	-1.17779546E+002	
-8.51585017E+000	-1.17844522E+002	
-8.49513686E+000	-1.17621547E+002	
-8.47442355E+000	-1.17624394E+002	
-8.45371025E+000	-1.17773870E+002	
-8.43299694E+000	-1.17617765E+002	
-8.41228364E+000	-1.17599836E+002	
-8.39157033E+000	-1.17791182E+002	
-8.37085703E+000	-1.17732159E+002	
-8.35014372E+000	-1.17713542E+002	
-8.32943042E+000	-1.18021419E+002	
-8.30871711E+000	-1.18066037E+002	
-8.28800381E+000	-1.18200226E+002	
-8.26729050E+000	-1.18285374E+002	
-8.24657720E+000	-1.18426132E+002	
-8.22586389E+000	-1.18432935E+002	
-8.20515059E+000	-1.18167748E+002	
-8.18443728E+000	-1.18109819E+002	
-8.16372397E+000	-1.18243676E+002	
-8.14301067E+000	-1.18112524E+002	
-8.12229736E+000	-1.17903675E+002	
-8.10158406E+000	-1.17999185E+002	
-8.08087075E+000	-1.18031198E+002	
-8.06015745E+000	-1.17799224E+002	
-8.03944414E+000	-1.17575676E+002	
-8.01873084E+000	-1.17762657E+002	
-7.99801753E+000	-1.17766943E+002	
-7.97730423E+000	-1.17592086E+002	
-7.95659092E+000	-1.17608008E+002	
-7.93587762E+000	-1.17550546E+002	
-7.91516431E+000	-1.17360113E+002	
-7.89445101E+000	-1.17433768E+002	
-7.87373770E+000	-1.17491393E+002	
-7.85302439E+000	-1.17371098E+002	
-7.83231109E+000	-1.17474888E+002	
-7.81159778E+000	-1.17701717E+002	
-7.79088448E+000	-1.17652859E+002	
-7.77017117E+000	-1.17698581E+002	
-7.74945787E+000	-1.17953852E+002	
-7.72874456E+000	-1.18243523E+002	
-7.70803126E+000	-1.18121540E+002	
-7.68731795E+000	-1.18095419E+002	
-7.66660465E+000	-1.18209182E+002	
-7.64589134E+000	-1.18267755E+002	
