Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19940774E+002	
-9.98649484E+000	-1.18448197E+002	
-9.96578154E+000	-1.17606199E+002	
-9.94506823E+000	-1.17734931E+002	
-9.92435493E+000	-1.17752840E+002	
-9.90364162E+000	-1.17514559E+002	
-9.88292832E+000	-1.17685052E+002	
-9.86221501E+000	-1.17708675E+002	
-9.84150171E+000	-1.17833068E+002	
-9.82078840E+000	-1.17886591E+002	
-9.80007509E+000	-1.17765760E+002	
-9.77936179E+000	-1.17817012E+002	
-9.75864848E+000	-1.17675706E+002	
-9.73793518E+000	-1.17540523E+002	
-9.71722187E+000	-1.17593684E+002	
-9.69650857E+000	-1.17752424E+002	
-9.67579526E+000	-1.17939583E+002	
-9.65508196E+000	-1.18080136E+002	
-9.63436865E+000	-1.18110738E+002	
-9.61365535E+000	-1.18147091E+002	
-9.59294204E+000	-1.18006211E+002	
-9.57222874E+000	-1.17960636E+002	
-9.55151543E+000	-1.17883310E+002	
-9.53080213E+000	-1.17879286E+002	
-9.51008882E+000	-1.17799009E+002	
-9.48937552E+000	-1.18036804E+002	
-9.46866221E+000	-1.17852348E+002	
-9.44794890E+000	-1.17827780E+002	
-9.42723560E+000	-1.17596357E+002	
-9.40652229E+000	-1.17629619E+002	
-9.38580899E+000	-1.17605060E+002	
-9.36509568E+000	-1.17770023E+002	
-9.34438238E+000	-1.17971078E+002	
-9.32366907E+000	-1.18322293E+002	
-9.30295577E+000	-1.18237217E+002	
-9.28224246E+000	-1.18311097E+002	
-9.26152916E+000	-1.17902215E+002	
-9.24081585E+000	-1.17773035E+002	
-9.22010255E+000	-1.17472362E+002	
-9.19938924E+000	-1.17462307E+002	
-9.17867594E+000	-1.17394017E+002	
-9.15796263E+000	-1.17645314E+002	
-9.13724932E+000	-1.17582000E+002	
-9.11653602E+000	-1.17619096E+002	
-9.09582271E+000	-1.17726837E+002	
-9.07510941E+000	-1.17621649E+002	
-9.05439610E+000	-1.17509256E+002	
-9.03368280E+000	-1.17319226E+002	
-9.01296949E+000	-1.17473895E+002	
-8.99225619E+000	-1.17621704E+002	
-8.97154288E+000	-1.17604402E+002	
-8.95082958E+000	-1.17860899E+002	
-8.93011627E+000	-1.18221430E+002	
-8.90940297E+000	-1.17969066E+002	
-8.88868966E+000	-1.17585080E+002	
-8.86797636E+000	-1.17933900E+002	
-8.84726305E+000	-1.17754826E+002	
-8.82654974E+000	-1.17273874E+002	
-8.80583644E+000	-1.17453234E+002	
-8.78512313E+000	-1.17646553E+002	
-8.76440983E+000	-1.17608269E+002	
-8.74369652E+000	-1.17705292E+002	
-8.72298322E+000	-1.18089158E+002	
-8.70226991E+000	-1.18083225E+002	
-8.68155661E+000	-1.18051921E+002	
-8.66084330E+000	-1.17999930E+002	
-8.64013000E+000	-1.18017785E+002	
-8.61941669E+000	-1.17838264E+002	
-8.59870339E+000	-1.17800001E+002	
-8.57799008E+000	-1.17820720E+002	
-8.55727678E+000	-1.17657173E+002	
-8.53656347E+000	-1.17800169E+002	
-8.51585017E+000	-1.17823192E+002	
-8.49513686E+000	-1.17578497E+002	
-8.47442355E+000	-1.17538816E+002	
-8.45371025E+000	-1.17622157E+002	
-8.43299694E+000	-1.17456951E+002	
-8.41228364E+000	-1.17498756E+002	
-8.39157033E+000	-1.17740706E+002	
-8.37085703E+000	-1.17694200E+002	
-8.35014372E+000	-1.17715195E+002	
-8.32943042E+000	-1.18076503E+002	
-8.30871711E+000	-1.18092968E+002	
-8.28800381E+000	-1.18206466E+002	
-8.26729050E+000	-1.18279668E+002	
-8.24657720E+000	-1.18430816E+002	
-8.22586389E+000	-1.18397903E+002	
-8.20515059E+000	-1.18157213E+002	
-8.18443728E+000	-1.18099845E+002	
-8.16372397E+000	-1.18253339E+002	
-8.14301067E+000	-1.18095934E+002	
-8.12229736E+000	-1.17908490E+002	
-8.10158406E+000	-1.18011721E+002	
-8.08087075E+000	-1.18040165E+002	
-8.06015745E+000	-1.17815240E+002	
-8.03944414E+000	-1.17609854E+002	
-8.01873084E+000	-1.17773433E+002	
-7.99801753E+000	-1.17748333E+002	
-7.97730423E+000	-1.17546575E+002	
-7.95659092E+000	-1.17555353E+002	
-7.93587762E+000	-1.17462870E+002	
-7.91516431E+000	-1.17313359E+002	
-7.89445101E+000	-1.17416428E+002	
-7.87373770E+000	-1.17526893E+002	
-7.85302439E+000	-1.17412327E+002	
-7.83231109E+000	-1.17535454E+002	
-7.81159778E+000	-1.17721061E+002	
-7.79088448E+000	-1.17623444E+002	
-7.77017117E+000	-1.17665317E+002	
-7.74945787E+000	-1.17925924E+002	
-7.72874456E+000	-1.18229181E+002	
-7.70803126E+000	-1.18172382E+002	
-7.68731795E+000	-1.18175524E+002	
-7.66660465E+000	-1.18249275E+002	
-7.64589134E+000	-1.18251560E+002	
-7.62517804E+000	-1.17763606E+002	
-7.60446473E+000	-1.18013002E+002	
-7.58375143E+000	-1.18256230E+002	
-7.56303812E+000	-1.18249472E+002	
-7.54232482E+000	-1.18214803E+002	
-7.52161151E+000	-1.18241769E+002	
-7.50089820E+000	-1.18016121E+002	
-7.48018490E+000	-1.17765928E+002	
-7.45947159E+000	-1.17587482E+002	
-7.43875829E+000	-1.17465860E+002	
-7.41804498E+000	-1.17284114E+002	
-7.39733168E+000	-1.17053157E+002	
