Acquired on 8/13/2021 at 11:48:31
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20580297E+002	
-9.98649484E+000	-1.20253260E+002	
-9.96578154E+000	-1.19898053E+002	
-9.94506823E+000	-1.19636786E+002	
-9.92435493E+000	-1.19405405E+002	
-9.90364162E+000	-1.19160983E+002	
-9.88292832E+000	-1.18947295E+002	
-9.86221501E+000	-1.18740238E+002	
-9.84150171E+000	-1.18543246E+002	
-9.82078840E+000	-1.18363789E+002	
-9.80007509E+000	-1.18162473E+002	
-9.77936179E+000	-1.17963061E+002	
-9.75864848E+000	-1.17906254E+002	
-9.73793518E+000	-1.17921360E+002	
-9.71722187E+000	-1.17915413E+002	
-9.69650857E+000	-1.17914017E+002	
-9.67579526E+000	-1.17971882E+002	
-9.65508196E+000	-1.17952270E+002	
-9.63436865E+000	-1.17900635E+002	
-9.61365535E+000	-1.17905073E+002	
-9.59294204E+000	-1.17936207E+002	
-9.57222874E+000	-1.17961625E+002	
-9.55151543E+000	-1.17977092E+002	
-9.53080213E+000	-1.17972138E+002	
-9.51008882E+000	-1.18003167E+002	
-9.48937552E+000	-1.18029522E+002	
-9.46866221E+000	-1.18027510E+002	
-9.44794890E+000	-1.17995857E+002	
-9.42723560E+000	-1.17951655E+002	
-9.40652229E+000	-1.17952694E+002	
-9.38580899E+000	-1.17928069E+002	
-9.36509568E+000	-1.17918703E+002	
-9.34438238E+000	-1.17882464E+002	
-9.32366907E+000	-1.17851875E+002	
-9.30295577E+000	-1.17849852E+002	
-9.28224246E+000	-1.17867075E+002	
-9.26152916E+000	-1.17819509E+002	
-9.24081585E+000	-1.17762078E+002	
-9.22010255E+000	-1.17752898E+002	
-9.19938924E+000	-1.17790134E+002	
-9.17867594E+000	-1.17775582E+002	
-9.15796263E+000	-1.17780595E+002	
-9.13724932E+000	-1.17842442E+002	
-9.11653602E+000	-1.17844073E+002	
-9.09582271E+000	-1.17796553E+002	
-9.07510941E+000	-1.17804741E+002	
-9.05439610E+000	-1.17806480E+002	
-9.03368280E+000	-1.17677107E+002	
-9.01296949E+000	-1.17663332E+002	
-8.99225619E+000	-1.17664971E+002	
-8.97154288E+000	-1.17718158E+002	
-8.95082958E+000	-1.17739796E+002	
-8.93011627E+000	-1.17767121E+002	
-8.90940297E+000	-1.17784340E+002	
-8.88868966E+000	-1.17811298E+002	
-8.86797636E+000	-1.17804450E+002	
-8.84726305E+000	-1.17820206E+002	
-8.82654974E+000	-1.17808937E+002	
-8.80583644E+000	-1.17821392E+002	
-8.78512313E+000	-1.17824959E+002	
-8.76440983E+000	-1.17844492E+002	
-8.74369652E+000	-1.17905644E+002	
-8.72298322E+000	-1.17927568E+002	
-8.70226991E+000	-1.17863829E+002	
-8.68155661E+000	-1.17834461E+002	
-8.66084330E+000	-1.17867719E+002	
-8.64013000E+000	-1.17835418E+002	
-8.61941669E+000	-1.17797763E+002	
-8.59870339E+000	-1.17842120E+002	
-8.57799008E+000	-1.17840440E+002	
-8.55727678E+000	-1.17803424E+002	
-8.53656347E+000	-1.17930144E+002	
-8.51585017E+000	-1.17957311E+002	
-8.49513686E+000	-1.17960290E+002	
-8.47442355E+000	-1.17942115E+002	
-8.45371025E+000	-1.17974517E+002	
-8.43299694E+000	-1.18014084E+002	
-8.41228364E+000	-1.17981258E+002	
-8.39157033E+000	-1.17953853E+002	
-8.37085703E+000	-1.17998364E+002	
-8.35014372E+000	-1.18012812E+002	
-8.32943042E+000	-1.18032729E+002	
-8.30871711E+000	-1.17986704E+002	
-8.28800381E+000	-1.18023350E+002	
-8.26729050E+000	-1.18005653E+002	
-8.24657720E+000	-1.17997070E+002	
-8.22586389E+000	-1.17974337E+002	
-8.20515059E+000	-1.18019575E+002	
-8.18443728E+000	-1.18012645E+002	
-8.16372397E+000	-1.17991696E+002	
-8.14301067E+000	-1.17944323E+002	
-8.12229736E+000	-1.17958313E+002	
-8.10158406E+000	-1.17954363E+002	
-8.08087075E+000	-1.17952570E+002	
-8.06015745E+000	-1.17930685E+002	
-8.03944414E+000	-1.17871585E+002	
-8.01873084E+000	-1.17882155E+002	
-7.99801753E+000	-1.17863198E+002	
-7.97730423E+000	-1.17858890E+002	
-7.95659092E+000	-1.17819234E+002	
-7.93587762E+000	-1.17824604E+002	
-7.91516431E+000	-1.17859132E+002	
-7.89445101E+000	-1.17856162E+002	
-7.87373770E+000	-1.17829536E+002	
-7.85302439E+000	-1.17822627E+002	
-7.83231109E+000	-1.17804164E+002	
-7.81159778E+000	-1.17860980E+002	
-7.79088448E+000	-1.17884071E+002	
-7.77017117E+000	-1.17903191E+002	
-7.74945787E+000	-1.17913683E+002	
-7.72874456E+000	-1.17926286E+002	
-7.70803126E+000	-1.17882033E+002	
-7.68731795E+000	-1.17916209E+002	
-7.66660465E+000	-1.17907965E+002	
-7.64589134E+000	-1.17906270E+002	
-7.62517804E+000	-1.17886999E+002	
-7.60446473E+000	-1.17819224E+002	
-7.58375143E+000	-1.17833053E+002	
-7.56303812E+000	-1.17864563E+002	
-7.54232482E+000	-1.17928189E+002	
-7.52161151E+000	-1.17919970E+002	
-7.50089820E+000	-1.17935698E+002	
