Acquired on 8/13/2021 at 12:11:47
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20679775E+002	
-9.98649484E+000	-1.20346169E+002	
-9.96578154E+000	-1.19992468E+002	
-9.94506823E+000	-1.19728384E+002	
-9.92435493E+000	-1.19494606E+002	
-9.90364162E+000	-1.19249409E+002	
-9.88292832E+000	-1.19027032E+002	
-9.86221501E+000	-1.18819048E+002	
-9.84150171E+000	-1.18618056E+002	
-9.82078840E+000	-1.18436147E+002	
-9.80007509E+000	-1.18233630E+002	
-9.77936179E+000	-1.18035012E+002	
-9.75864848E+000	-1.17980687E+002	
-9.73793518E+000	-1.17991862E+002	
-9.71722187E+000	-1.17989567E+002	
-9.69650857E+000	-1.17990175E+002	
-9.67579526E+000	-1.18045231E+002	
-9.65508196E+000	-1.18028128E+002	
-9.63436865E+000	-1.17973549E+002	
-9.61365535E+000	-1.17978031E+002	
-9.59294204E+000	-1.18009577E+002	
-9.57222874E+000	-1.18028272E+002	
-9.55151543E+000	-1.18040834E+002	
-9.53080213E+000	-1.18033303E+002	
-9.51008882E+000	-1.18066698E+002	
-9.48937552E+000	-1.18090423E+002	
-9.46866221E+000	-1.18084424E+002	
-9.44794890E+000	-1.18055000E+002	
-9.42723560E+000	-1.18006800E+002	
-9.40652229E+000	-1.18000702E+002	
-9.38580899E+000	-1.17982725E+002	
-9.36509568E+000	-1.17966161E+002	
-9.34438238E+000	-1.17932641E+002	
-9.32366907E+000	-1.17910281E+002	
-9.30295577E+000	-1.17913434E+002	
-9.28224246E+000	-1.17932077E+002	
-9.26152916E+000	-1.17877626E+002	
-9.24081585E+000	-1.17814587E+002	
-9.22010255E+000	-1.17800644E+002	
-9.19938924E+000	-1.17840381E+002	
-9.17867594E+000	-1.17827837E+002	
-9.15796263E+000	-1.17829642E+002	
-9.13724932E+000	-1.17885375E+002	
-9.11653602E+000	-1.17888192E+002	
-9.09582271E+000	-1.17839575E+002	
-9.07510941E+000	-1.17842371E+002	
-9.05439610E+000	-1.17850411E+002	
-9.03368280E+000	-1.17728726E+002	
-9.01296949E+000	-1.17711808E+002	
-8.99225619E+000	-1.17717581E+002	
-8.97154288E+000	-1.17767796E+002	
-8.95082958E+000	-1.17786726E+002	
-8.93011627E+000	-1.17817836E+002	
-8.90940297E+000	-1.17841723E+002	
-8.88868966E+000	-1.17869728E+002	
-8.86797636E+000	-1.17866795E+002	
-8.84726305E+000	-1.17885118E+002	
-8.82654974E+000	-1.17863317E+002	
-8.80583644E+000	-1.17873039E+002	
-8.78512313E+000	-1.17870204E+002	
-8.76440983E+000	-1.17891957E+002	
-8.74369652E+000	-1.17955362E+002	
-8.72298322E+000	-1.17975693E+002	
-8.70226991E+000	-1.17900699E+002	
-8.68155661E+000	-1.17860893E+002	
-8.66084330E+000	-1.17893559E+002	
-8.64013000E+000	-1.17870578E+002	
-8.61941669E+000	-1.17835718E+002	
-8.59870339E+000	-1.17878075E+002	
-8.57799008E+000	-1.17881915E+002	
-8.55727678E+000	-1.17838556E+002	
-8.53656347E+000	-1.17951620E+002	
-8.51585017E+000	-1.17975154E+002	
-8.49513686E+000	-1.17977054E+002	
-8.47442355E+000	-1.17963891E+002	
-8.45371025E+000	-1.17992789E+002	
-8.43299694E+000	-1.18029233E+002	
-8.41228364E+000	-1.17991675E+002	
-8.39157033E+000	-1.17965751E+002	
-8.37085703E+000	-1.18008954E+002	
-8.35014372E+000	-1.18021271E+002	
-8.32943042E+000	-1.18044497E+002	
-8.30871711E+000	-1.18002737E+002	
-8.28800381E+000	-1.18039134E+002	
-8.26729050E+000	-1.18025161E+002	
-8.24657720E+000	-1.18022446E+002	
-8.22586389E+000	-1.18000866E+002	
-8.20515059E+000	-1.18050679E+002	
-8.18443728E+000	-1.18051983E+002	
-8.16372397E+000	-1.18035741E+002	
-8.14301067E+000	-1.17982379E+002	
-8.12229736E+000	-1.17994615E+002	
-8.10158406E+000	-1.17990005E+002	
-8.08087075E+000	-1.17985206E+002	
-8.06015745E+000	-1.17962455E+002	
-8.03944414E+000	-1.17902634E+002	
-8.01873084E+000	-1.17916055E+002	
-7.99801753E+000	-1.17898061E+002	
-7.97730423E+000	-1.17889646E+002	
-7.95659092E+000	-1.17862694E+002	
-7.93587762E+000	-1.17870539E+002	
-7.91516431E+000	-1.17914574E+002	
-7.89445101E+000	-1.17909839E+002	
-7.87373770E+000	-1.17888184E+002	
-7.85302439E+000	-1.17884370E+002	
-7.83231109E+000	-1.17863276E+002	
-7.81159778E+000	-1.17914521E+002	
-7.79088448E+000	-1.17939157E+002	
-7.77017117E+000	-1.17957574E+002	
-7.74945787E+000	-1.17970216E+002	
-7.72874456E+000	-1.17980684E+002	
-7.70803126E+000	-1.17937305E+002	
-7.68731795E+000	-1.17971722E+002	
-7.66660465E+000	-1.17971402E+002	
-7.64589134E+000	-1.17973413E+002	
-7.62517804E+000	-1.17957005E+002	
-7.60446473E+000	-1.17893098E+002	
-7.58375143E+000	-1.17910576E+002	
-7.56303812E+000	-1.17943675E+002	
-7.54232482E+000	-1.18019221E+002	
-7.52161151E+000	-1.18006565E+002	
-7.50089820E+000	-1.18021394E+002	
-7.48018490E+000	-1.17998776E+002	
-7.45947159E+000	-1.18038275E+002	
-7.43875829E+000	-1.17968047E+002	
-7.41804498E+000	-1.17875953E+002	
-7.39733168E+000	-1.17928576E+002	
-7.37661837E+000	-1.17946634E+002	
-7.35590507E+000	-1.17954412E+002	
-7.33519176E+000	-1.17973329E+002	
-7.31447846E+000	-1.17994185E+002	
-7.29376515E+000	-1.17968824E+002	
-7.27305185E+000	-1.17936924E+002	
-7.25233854E+000	-1.17967843E+002	
-7.23162524E+000	-1.17985792E+002	
-7.21091193E+000	-1.17984178E+002	
-7.19019862E+000	-1.17983774E+002	
-7.16948532E+000	-1.18031105E+002	
-7.14877201E+000	-1.18103957E+002	
-7.12805871E+000	-1.18164954E+002	
-7.10734540E+000	-1.18239756E+002	
-7.08663210E+000	-1.18270475E+002	
-7.06591879E+000	-1.18247056E+002	
