Acquired on 8/13/2021 at 13:02:43
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20750335E+002	
-9.98649484E+000	-1.20417326E+002	
-9.96578154E+000	-1.20058823E+002	
-9.94506823E+000	-1.19791556E+002	
-9.92435493E+000	-1.19560765E+002	
-9.90364162E+000	-1.19319237E+002	
-9.88292832E+000	-1.19100740E+002	
-9.86221501E+000	-1.18889897E+002	
-9.84150171E+000	-1.18688823E+002	
-9.82078840E+000	-1.18508666E+002	
-9.80007509E+000	-1.18307808E+002	
-9.77936179E+000	-1.18106807E+002	
-9.75864848E+000	-1.18048368E+002	
-9.73793518E+000	-1.18061309E+002	
-9.71722187E+000	-1.18059945E+002	
-9.69650857E+000	-1.18055293E+002	
-9.67579526E+000	-1.18112365E+002	
-9.65508196E+000	-1.18098823E+002	
-9.63436865E+000	-1.18043511E+002	
-9.61365535E+000	-1.18046023E+002	
-9.59294204E+000	-1.18075947E+002	
-9.57222874E+000	-1.18094445E+002	
-9.55151543E+000	-1.18108059E+002	
-9.53080213E+000	-1.18099036E+002	
-9.51008882E+000	-1.18133698E+002	
-9.48937552E+000	-1.18161809E+002	
-9.46866221E+000	-1.18163263E+002	
-9.44794890E+000	-1.18133378E+002	
-9.42723560E+000	-1.18088369E+002	
-9.40652229E+000	-1.18085628E+002	
-9.38580899E+000	-1.18064210E+002	
-9.36509568E+000	-1.18055139E+002	
-9.34438238E+000	-1.18021003E+002	
-9.32366907E+000	-1.17991833E+002	
-9.30295577E+000	-1.17989622E+002	
-9.28224246E+000	-1.18006229E+002	
-9.26152916E+000	-1.17956912E+002	
-9.24081585E+000	-1.17899877E+002	
-9.22010255E+000	-1.17888132E+002	
-9.19938924E+000	-1.17926793E+002	
-9.17867594E+000	-1.17911749E+002	
-9.15796263E+000	-1.17910919E+002	
-9.13724932E+000	-1.17975604E+002	
-9.11653602E+000	-1.17979191E+002	
-9.09582271E+000	-1.17926954E+002	
-9.07510941E+000	-1.17933963E+002	
-9.05439610E+000	-1.17937482E+002	
-9.03368280E+000	-1.17817728E+002	
-9.01296949E+000	-1.17805948E+002	
-8.99225619E+000	-1.17807699E+002	
-8.97154288E+000	-1.17854723E+002	
-8.95082958E+000	-1.17873716E+002	
-8.93011627E+000	-1.17899396E+002	
-8.90940297E+000	-1.17921753E+002	
-8.88868966E+000	-1.17944040E+002	
-8.86797636E+000	-1.17937627E+002	
-8.84726305E+000	-1.17948778E+002	
-8.82654974E+000	-1.17935054E+002	
-8.80583644E+000	-1.17951955E+002	
-8.78512313E+000	-1.17958025E+002	
-8.76440983E+000	-1.17975933E+002	
-8.74369652E+000	-1.18035242E+002	
-8.72298322E+000	-1.18051316E+002	
-8.70226991E+000	-1.17982451E+002	
-8.68155661E+000	-1.17949218E+002	
-8.66084330E+000	-1.17982050E+002	
-8.64013000E+000	-1.17953879E+002	
-8.61941669E+000	-1.17909721E+002	
-8.59870339E+000	-1.17955269E+002	
-8.57799008E+000	-1.17956975E+002	
-8.55727678E+000	-1.17914544E+002	
-8.53656347E+000	-1.18029354E+002	
-8.51585017E+000	-1.18051902E+002	
-8.49513686E+000	-1.18056684E+002	
-8.47442355E+000	-1.18043320E+002	
-8.45371025E+000	-1.18075515E+002	
-8.43299694E+000	-1.18115084E+002	
-8.41228364E+000	-1.18075015E+002	
-8.39157033E+000	-1.18050424E+002	
-8.37085703E+000	-1.18097484E+002	
-8.35014372E+000	-1.18114520E+002	
-8.32943042E+000	-1.18133740E+002	
-8.30871711E+000	-1.18095174E+002	
-8.28800381E+000	-1.18125923E+002	
-8.26729050E+000	-1.18110813E+002	
-8.24657720E+000	-1.18102960E+002	
-8.22586389E+000	-1.18082585E+002	
-8.20515059E+000	-1.18125911E+002	
-8.18443728E+000	-1.18120891E+002	
-8.16372397E+000	-1.18106346E+002	
-8.14301067E+000	-1.18063055E+002	
-8.12229736E+000	-1.18082237E+002	
-8.10158406E+000	-1.18078135E+002	
-8.08087075E+000	-1.18074291E+002	
-8.06015745E+000	-1.18055446E+002	
-8.03944414E+000	-1.18000239E+002	
-8.01873084E+000	-1.18013569E+002	
-7.99801753E+000	-1.17998495E+002	
-7.97730423E+000	-1.17988776E+002	
-7.95659092E+000	-1.17955418E+002	
-7.93587762E+000	-1.17969109E+002	
-7.91516431E+000	-1.18011517E+002	
-7.89445101E+000	-1.18010797E+002	
-7.87373770E+000	-1.17991642E+002	
-7.85302439E+000	-1.17988135E+002	
-7.83231109E+000	-1.17973343E+002	
-7.81159778E+000	-1.18022054E+002	
-7.79088448E+000	-1.18052730E+002	
-7.77017117E+000	-1.18076311E+002	
-7.74945787E+000	-1.18091230E+002	
-7.72874456E+000	-1.18102578E+002	
-7.70803126E+000	-1.18062481E+002	
-7.68731795E+000	-1.18098033E+002	
-7.66660465E+000	-1.18087503E+002	
-7.64589134E+000	-1.18083774E+002	
-7.62517804E+000	-1.18064303E+002	
-7.60446473E+000	-1.18002969E+002	
-7.58375143E+000	-1.18015521E+002	
-7.56303812E+000	-1.18047359E+002	
-7.54232482E+000	-1.18114511E+002	
-7.52161151E+000	-1.18101679E+002	
-7.50089820E+000	-1.18114604E+002	
-7.48018490E+000	-1.18089497E+002	
-7.45947159E+000	-1.18135394E+002	
-7.43875829E+000	-1.18070659E+002	
-7.41804498E+000	-1.17983077E+002	
-7.39733168E+000	-1.18035790E+002	
-7.37661837E+000	-1.18046511E+002	
-7.35590507E+000	-1.18051335E+002	
-7.33519176E+000	-1.18067112E+002	
-7.31447846E+000	-1.18082582E+002	
-7.29376515E+000	-1.18048703E+002	
-7.27305185E+000	-1.18017131E+002	
-7.25233854E+000	-1.18048376E+002	
-7.23162524E+000	-1.18065006E+002	
-7.21091193E+000	-1.18063016E+002	
-7.19019862E+000	-1.18064052E+002	
-7.16948532E+000	-1.18116269E+002	
-7.14877201E+000	-1.18191269E+002	
-7.12805871E+000	-1.18249762E+002	
-7.10734540E+000	-1.18323369E+002	
-7.08663210E+000	-1.18358589E+002	
-7.06591879E+000	-1.18336288E+002	
-7.04520549E+000	-1.18320591E+002	
-7.02449218E+000	-1.18293787E+002	
-7.00377888E+000	-1.18257636E+002	
-6.98306557E+000	-1.18301301E+002	
-6.96235227E+000	-1.18259247E+002	
-6.94163896E+000	-1.18281388E+002	
-6.92092566E+000	-1.18350974E+002	
-6.90021235E+000	-1.18332408E+002	
-6.87949904E+000	-1.18294719E+002	
-6.85878574E+000	-1.18282511E+002	
-6.83807243E+000	-1.18311323E+002	
-6.81735913E+000	-1.18328312E+002	
-6.79664582E+000	-1.18287915E+002	
-6.77593252E+000	-1.18326595E+002	
-6.75521921E+000	-1.18276227E+002	
-6.73450591E+000	-1.18265183E+002	
-6.71379260E+000	-1.18231831E+002	
-6.69307930E+000	-1.18231102E+002	
-6.67236599E+000	-1.18188711E+002	
-6.65165269E+000	-1.18166809E+002	
-6.63093938E+000	-1.18186503E+002	
-6.61022608E+000	-1.18210329E+002	
-6.58951277E+000	-1.18203625E+002	
-6.56879947E+000	-1.18192662E+002	
-6.54808616E+000	-1.18178108E+002	
-6.52737285E+000	-1.18160250E+002	
-6.50665955E+000	-1.18190918E+002	
-6.48594624E+000	-1.18232739E+002	
-6.46523294E+000	-1.18273389E+002	
-6.44451963E+000	-1.18213293E+002	
-6.42380633E+000	-1.18171734E+002	
-6.40309302E+000	-1.18172795E+002	
-6.38237972E+000	-1.18145925E+002	
-6.36166641E+000	-1.18145518E+002	
-6.34095311E+000	-1.18145358E+002	
-6.32023980E+000	-1.18133269E+002	
-6.29952650E+000	-1.18141748E+002	
-6.27881319E+000	-1.18117601E+002	
-6.25809989E+000	-1.18130759E+002	
-6.23738658E+000	-1.18123094E+002	
-6.21667327E+000	-1.18117291E+002	
-6.19595997E+000	-1.18129328E+002	
-6.17524666E+000	-1.18120561E+002	
-6.15453336E+000	-1.18121431E+002	
-6.13382005E+000	-1.18100471E+002	
-6.11310675E+000	-1.18102093E+002	
-6.09239344E+000	-1.18098134E+002	
-6.07168014E+000	-1.18049996E+002	
-6.05096683E+000	-1.18119824E+002	
-6.03025353E+000	-1.18134023E+002	
-6.00954022E+000	-1.18123278E+002	
-5.98882692E+000	-1.18074482E+002	
-5.96811361E+000	-1.18083838E+002	
-5.94740031E+000	-1.18123857E+002	
-5.92668700E+000	-1.18160276E+002	
-5.90597369E+000	-1.18177413E+002	
-5.88526039E+000	-1.18228554E+002	
-5.86454708E+000	-1.18246935E+002	
-5.84383378E+000	-1.18215751E+002	
-5.82312047E+000	-1.18241976E+002	
-5.80240717E+000	-1.18219093E+002	
-5.78169386E+000	-1.18232305E+002	
-5.76098056E+000	-1.18228365E+002	
-5.74026725E+000	-1.18226060E+002	
-5.71955395E+000	-1.18267507E+002	
-5.69884064E+000	-1.18265598E+002	
-5.67812734E+000	-1.18292922E+002	
-5.65741403E+000	-1.18282340E+002	
-5.63670073E+000	-1.18293075E+002	
-5.61598742E+000	-1.18270121E+002	
-5.59527412E+000	-1.18233546E+002	
-5.57456081E+000	-1.18295736E+002	
-5.55384750E+000	-1.18213367E+002	
-5.53313420E+000	-1.18144332E+002	
-5.51242089E+000	-1.18151905E+002	
-5.49170759E+000	-1.18147692E+002	
-5.47099428E+000	-1.18119725E+002	
-5.45028098E+000	-1.18177770E+002	
