Acquired on 8/13/2021 at 12:02:39
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20659147E+002	
-9.98649484E+000	-1.20322890E+002	
-9.96578154E+000	-1.19966752E+002	
-9.94506823E+000	-1.19700907E+002	
-9.92435493E+000	-1.19463084E+002	
-9.90364162E+000	-1.19221458E+002	
-9.88292832E+000	-1.19001877E+002	
-9.86221501E+000	-1.18793353E+002	
-9.84150171E+000	-1.18591772E+002	
-9.82078840E+000	-1.18412130E+002	
-9.80007509E+000	-1.18213561E+002	
-9.77936179E+000	-1.18014679E+002	
-9.75864848E+000	-1.17957084E+002	
-9.73793518E+000	-1.17959800E+002	
-9.71722187E+000	-1.17952262E+002	
-9.69650857E+000	-1.17951117E+002	
-9.67579526E+000	-1.18002619E+002	
-9.65508196E+000	-1.17982463E+002	
-9.63436865E+000	-1.17930294E+002	
-9.61365535E+000	-1.17933792E+002	
-9.59294204E+000	-1.17963397E+002	
-9.57222874E+000	-1.17982386E+002	
-9.55151543E+000	-1.17999397E+002	
-9.53080213E+000	-1.17988839E+002	
-9.51008882E+000	-1.18023330E+002	
-9.48937552E+000	-1.18049271E+002	
-9.46866221E+000	-1.18046288E+002	
-9.44794890E+000	-1.18015976E+002	
-9.42723560E+000	-1.17975661E+002	
-9.40652229E+000	-1.17969231E+002	
-9.38580899E+000	-1.17947236E+002	
-9.36509568E+000	-1.17936369E+002	
-9.34438238E+000	-1.17899934E+002	
-9.32366907E+000	-1.17869208E+002	
-9.30295577E+000	-1.17866397E+002	
-9.28224246E+000	-1.17882653E+002	
-9.26152916E+000	-1.17835021E+002	
-9.24081585E+000	-1.17777995E+002	
-9.22010255E+000	-1.17767709E+002	
-9.19938924E+000	-1.17808951E+002	
-9.17867594E+000	-1.17793420E+002	
-9.15796263E+000	-1.17796427E+002	
-9.13724932E+000	-1.17854560E+002	
-9.11653602E+000	-1.17860929E+002	
-9.09582271E+000	-1.17818517E+002	
-9.07510941E+000	-1.17827525E+002	
-9.05439610E+000	-1.17826287E+002	
-9.03368280E+000	-1.17709159E+002	
-9.01296949E+000	-1.17693870E+002	
-8.99225619E+000	-1.17697319E+002	
-8.97154288E+000	-1.17749435E+002	
-8.95082958E+000	-1.17771204E+002	
-8.93011627E+000	-1.17794664E+002	
-8.90940297E+000	-1.17819835E+002	
-8.88868966E+000	-1.17845448E+002	
-8.86797636E+000	-1.17836234E+002	
-8.84726305E+000	-1.17854691E+002	
-8.82654974E+000	-1.17847937E+002	
-8.80583644E+000	-1.17862439E+002	
-8.78512313E+000	-1.17866883E+002	
-8.76440983E+000	-1.17885641E+002	
-8.74369652E+000	-1.17948089E+002	
-8.72298322E+000	-1.17962384E+002	
-8.70226991E+000	-1.17892449E+002	
-8.68155661E+000	-1.17858503E+002	
-8.66084330E+000	-1.17895566E+002	
-8.64013000E+000	-1.17869842E+002	
-8.61941669E+000	-1.17829464E+002	
-8.59870339E+000	-1.17868633E+002	
-8.57799008E+000	-1.17871333E+002	
-8.55727678E+000	-1.17831111E+002	
-8.53656347E+000	-1.17946094E+002	
-8.51585017E+000	-1.17971813E+002	
-8.49513686E+000	-1.17979511E+002	
-8.47442355E+000	-1.17963454E+002	
-8.45371025E+000	-1.17988987E+002	
-8.43299694E+000	-1.18025981E+002	
-8.41228364E+000	-1.17988317E+002	
-8.39157033E+000	-1.17968485E+002	
-8.37085703E+000	-1.18016675E+002	
-8.35014372E+000	-1.18029941E+002	
-8.32943042E+000	-1.18046253E+002	
-8.30871711E+000	-1.17997820E+002	
