Acquired on 8/13/2021 at 12:43:57
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20713458E+002	
-9.98649484E+000	-1.20384477E+002	
-9.96578154E+000	-1.20033135E+002	
-9.94506823E+000	-1.19765170E+002	
-9.92435493E+000	-1.19533990E+002	
-9.90364162E+000	-1.19287240E+002	
-9.88292832E+000	-1.19065221E+002	
-9.86221501E+000	-1.18853516E+002	
-9.84150171E+000	-1.18653500E+002	
-9.82078840E+000	-1.18469726E+002	
-9.80007509E+000	-1.18271910E+002	
-9.77936179E+000	-1.18075634E+002	
-9.75864848E+000	-1.18017753E+002	
-9.73793518E+000	-1.18030690E+002	
-9.71722187E+000	-1.18024861E+002	
-9.69650857E+000	-1.18024986E+002	
-9.67579526E+000	-1.18080676E+002	
-9.65508196E+000	-1.18062919E+002	
-9.63436865E+000	-1.18008692E+002	
-9.61365535E+000	-1.18009258E+002	
-9.59294204E+000	-1.18037304E+002	
-9.57222874E+000	-1.18053314E+002	
-9.55151543E+000	-1.18069372E+002	
-9.53080213E+000	-1.18061593E+002	
-9.51008882E+000	-1.18093437E+002	
-9.48937552E+000	-1.18118845E+002	
-9.46866221E+000	-1.18113770E+002	
-9.44794890E+000	-1.18086593E+002	
-9.42723560E+000	-1.18040413E+002	
-9.40652229E+000	-1.18042052E+002	
-9.38580899E+000	-1.18025875E+002	
-9.36509568E+000	-1.18018412E+002	
-9.34438238E+000	-1.17982795E+002	
-9.32366907E+000	-1.17953494E+002	
-9.30295577E+000	-1.17948275E+002	
-9.28224246E+000	-1.17963278E+002	
-9.26152916E+000	-1.17916744E+002	
-9.24081585E+000	-1.17860661E+002	
-9.22010255E+000	-1.17851639E+002	
-9.19938924E+000	-1.17888331E+002	
-9.17867594E+000	-1.17872078E+002	
