Acquired on 8/13/2021 at 13:12:40
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20751370E+002	
-9.98649484E+000	-1.20420147E+002	
-9.96578154E+000	-1.20071257E+002	
-9.94506823E+000	-1.19804132E+002	
-9.92435493E+000	-1.19569544E+002	
-9.90364162E+000	-1.19323561E+002	
-9.88292832E+000	-1.19103955E+002	
-9.86221501E+000	-1.18891371E+002	
-9.84150171E+000	-1.18689379E+002	
-9.82078840E+000	-1.18505921E+002	
-9.80007509E+000	-1.18306000E+002	
-9.77936179E+000	-1.18108255E+002	
-9.75864848E+000	-1.18048121E+002	
-9.73793518E+000	-1.18059289E+002	
-9.71722187E+000	-1.18053477E+002	
-9.69650857E+000	-1.18053102E+002	
-9.67579526E+000	-1.18107486E+002	
-9.65508196E+000	-1.18090461E+002	
-9.63436865E+000	-1.18037939E+002	
-9.61365535E+000	-1.18041531E+002	
-9.59294204E+000	-1.18075443E+002	
-9.57222874E+000	-1.18101419E+002	
-9.55151543E+000	-1.18113762E+002	
-9.53080213E+000	-1.18100925E+002	
-9.51008882E+000	-1.18133737E+002	
-9.48937552E+000	-1.18161396E+002	
-9.46866221E+000	-1.18156523E+002	
-9.44794890E+000	-1.18132215E+002	
-9.42723560E+000	-1.18088141E+002	
-9.40652229E+000	-1.18085681E+002	
-9.38580899E+000	-1.18065820E+002	
-9.36509568E+000	-1.18056282E+002	
-9.34438238E+000	-1.18022277E+002	
-9.32366907E+000	-1.17999219E+002	
-9.30295577E+000	-1.17998848E+002	
-9.28224246E+000	-1.18014843E+002	
-9.26152916E+000	-1.17969019E+002	
-9.24081585E+000	-1.17914352E+002	
-9.22010255E+000	-1.17906794E+002	
-9.19938924E+000	-1.17944568E+002	
-9.17867594E+000	-1.17933013E+002	
-9.15796263E+000	-1.17938648E+002	
-9.13724932E+000	-1.17995569E+002	
-9.11653602E+000	-1.17997845E+002	
-9.09582271E+000	-1.17951775E+002	
-9.07510941E+000	-1.17960604E+002	
-9.05439610E+000	-1.17963527E+002	
-9.03368280E+000	-1.17844212E+002	
-9.01296949E+000	-1.17829010E+002	
-8.99225619E+000	-1.17830857E+002	
-8.97154288E+000	-1.17881494E+002	
-8.95082958E+000	-1.17895157E+002	
-8.93011627E+000	-1.17921447E+002	
-8.90940297E+000	-1.17947656E+002	
-8.88868966E+000	-1.17974461E+002	
-8.86797636E+000	-1.17965855E+002	
-8.84726305E+000	-1.17982437E+002	
-8.82654974E+000	-1.17971568E+002	
-8.80583644E+000	-1.17985474E+002	
-8.78512313E+000	-1.17984960E+002	
-8.76440983E+000	-1.18003110E+002	
-8.74369652E+000	-1.18060330E+002	
-8.72298322E+000	-1.18075290E+002	
-8.70226991E+000	-1.18005746E+002	
-8.68155661E+000	-1.17971173E+002	
-8.66084330E+000	-1.18003174E+002	
-8.64013000E+000	-1.17979521E+002	
-8.61941669E+000	-1.17940601E+002	
-8.59870339E+000	-1.17984790E+002	
-8.57799008E+000	-1.17983964E+002	
-8.55727678E+000	-1.17941890E+002	
-8.53656347E+000	-1.18059110E+002	
-8.51585017E+000	-1.18084636E+002	
-8.49513686E+000	-1.18091589E+002	
-8.47442355E+000	-1.18074486E+002	
-8.45371025E+000	-1.18105242E+002	
-8.43299694E+000	-1.18148222E+002	
-8.41228364E+000	-1.18109109E+002	
-8.39157033E+000	-1.18080089E+002	
-8.37085703E+000	-1.18127457E+002	
-8.35014372E+000	-1.18142806E+002	
-8.32943042E+000	-1.18161997E+002	
-8.30871711E+000	-1.18116763E+002	
-8.28800381E+000	-1.18155991E+002	
-8.26729050E+000	-1.18138470E+002	
-8.24657720E+000	-1.18126676E+002	
-8.22586389E+000	-1.18105953E+002	
-8.20515059E+000	-1.18151376E+002	
-8.18443728E+000	-1.18153763E+002	
-8.16372397E+000	-1.18138538E+002	
-8.14301067E+000	-1.18085153E+002	
-8.12229736E+000	-1.18099477E+002	
-8.10158406E+000	-1.18092506E+002	
-8.08087075E+000	-1.18087888E+002	
-8.06015745E+000	-1.18075833E+002	
-8.03944414E+000	-1.18015420E+002	
-8.01873084E+000	-1.18028744E+002	
-7.99801753E+000	-1.18004981E+002	
-7.97730423E+000	-1.17999711E+002	
-7.95659092E+000	-1.17969863E+002	
-7.93587762E+000	-1.17980132E+002	
-7.91516431E+000	-1.18019780E+002	
-7.89445101E+000	-1.18019503E+002	
-7.87373770E+000	-1.18001549E+002	
-7.85302439E+000	-1.17997182E+002	
-7.83231109E+000	-1.17973867E+002	
-7.81159778E+000	-1.18025205E+002	
-7.79088448E+000	-1.18048037E+002	
-7.77017117E+000	-1.18073090E+002	
-7.74945787E+000	-1.18092074E+002	
-7.72874456E+000	-1.18102659E+002	
-7.70803126E+000	-1.18062827E+002	
-7.68731795E+000	-1.18094653E+002	
-7.66660465E+000	-1.18084672E+002	
-7.64589134E+000	-1.18088159E+002	
-7.62517804E+000	-1.18076480E+002	
-7.60446473E+000	-1.18016213E+002	
-7.58375143E+000	-1.18028142E+002	
-7.56303812E+000	-1.18053994E+002	
-7.54232482E+000	-1.18127398E+002	
-7.52161151E+000	-1.18117986E+002	
-7.50089820E+000	-1.18139033E+002	
-7.48018490E+000	-1.18115145E+002	
-7.45947159E+000	-1.18162061E+002	
-7.43875829E+000	-1.18094848E+002	
-7.41804498E+000	-1.18008451E+002	
-7.39733168E+000	-1.18060936E+002	
-7.37661837E+000	-1.18071824E+002	
-7.35590507E+000	-1.18075482E+002	
-7.33519176E+000	-1.18098750E+002	
-7.31447846E+000	-1.18115575E+002	
-7.29376515E+000	-1.18090324E+002	
-7.27305185E+000	-1.18053412E+002	
-7.25233854E+000	-1.18083360E+002	
-7.23162524E+000	-1.18100927E+002	
-7.21091193E+000	-1.18097493E+002	
-7.19019862E+000	-1.18098414E+002	
-7.16948532E+000	-1.18145353E+002	
-7.14877201E+000	-1.18218734E+002	
-7.12805871E+000	-1.18270536E+002	
-7.10734540E+000	-1.18339544E+002	
-7.08663210E+000	-1.18377707E+002	
-7.06591879E+000	-1.18357629E+002	
-7.04520549E+000	-1.18340352E+002	
-7.02449218E+000	-1.18314886E+002	
-7.00377888E+000	-1.18277293E+002	
-6.98306557E+000	-1.18315726E+002	
-6.96235227E+000	-1.18271180E+002	
-6.94163896E+000	-1.18288879E+002	
-6.92092566E+000	-1.18357149E+002	
-6.90021235E+000	-1.18340318E+002	
-6.87949904E+000	-1.18308704E+002	
-6.85878574E+000	-1.18296949E+002	
-6.83807243E+000	-1.18322898E+002	
-6.81735913E+000	-1.18337112E+002	
-6.79664582E+000	-1.18296596E+002	
-6.77593252E+000	-1.18338668E+002	
-6.75521921E+000	-1.18291631E+002	
-6.73450591E+000	-1.18279121E+002	
-6.71379260E+000	-1.18253289E+002	
