Acquired on 8/13/2021 at 11:40:12
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20575669E+002	
-9.98649484E+000	-1.20241945E+002	
-9.96578154E+000	-1.19881872E+002	
-9.94506823E+000	-1.19618953E+002	
-9.92435493E+000	-1.19382689E+002	
-9.90364162E+000	-1.19139553E+002	
-9.88292832E+000	-1.18925976E+002	
-9.86221501E+000	-1.18710724E+002	
-9.84150171E+000	-1.18508931E+002	
-9.82078840E+000	-1.18326614E+002	
-9.80007509E+000	-1.18127296E+002	
-9.77936179E+000	-1.17926561E+002	
-9.75864848E+000	-1.17861308E+002	
-9.73793518E+000	-1.17865477E+002	
-9.71722187E+000	-1.17864896E+002	
-9.69650857E+000	-1.17869249E+002	
-9.67579526E+000	-1.17925369E+002	
-9.65508196E+000	-1.17908376E+002	
-9.63436865E+000	-1.17856747E+002	
-9.61365535E+000	-1.17856792E+002	
-9.59294204E+000	-1.17885287E+002	
-9.57222874E+000	-1.17906943E+002	
-9.55151543E+000	-1.17919329E+002	
-9.53080213E+000	-1.17912060E+002	
-9.51008882E+000	-1.17941012E+002	
-9.48937552E+000	-1.17962163E+002	
-9.46866221E+000	-1.17963477E+002	
-9.44794890E+000	-1.17933349E+002	
-9.42723560E+000	-1.17892887E+002	
-9.40652229E+000	-1.17890165E+002	
-9.38580899E+000	-1.17864224E+002	
-9.36509568E+000	-1.17854888E+002	
-9.34438238E+000	-1.17820677E+002	
-9.32366907E+000	-1.17797384E+002	
-9.30295577E+000	-1.17794742E+002	
-9.28224246E+000	-1.17809221E+002	
-9.26152916E+000	-1.17768515E+002	
-9.24081585E+000	-1.17718069E+002	
-9.22010255E+000	-1.17707747E+002	
-9.19938924E+000	-1.17742763E+002	
