Acquired on 8/13/2021 at 11:20:32
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  10.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.19833930E+002	
-9.98649484E+000	-1.18305052E+002	
-9.96578154E+000	-1.17495300E+002	
-9.94506823E+000	-1.17635306E+002	
-9.92435493E+000	-1.17692415E+002	
-9.90364162E+000	-1.17455446E+002	
-9.88292832E+000	-1.17685109E+002	
-9.86221501E+000	-1.17678028E+002	
-9.84150171E+000	-1.17775059E+002	
-9.82078840E+000	-1.17832315E+002	
-9.80007509E+000	-1.17738402E+002	
-9.77936179E+000	-1.17745319E+002	
-9.75864848E+000	-1.17668750E+002	
-9.73793518E+000	-1.17558298E+002	
-9.71722187E+000	-1.17613810E+002	
-9.69650857E+000	-1.17767055E+002	
-9.67579526E+000	-1.17957776E+002	
-9.65508196E+000	-1.18036039E+002	
-9.63436865E+000	-1.18036967E+002	
-9.61365535E+000	-1.18064290E+002	
-9.59294204E+000	-1.17918505E+002	
-9.57222874E+000	-1.17903261E+002	
-9.55151543E+000	-1.17835986E+002	
-9.53080213E+000	-1.17847439E+002	
-9.51008882E+000	-1.17770038E+002	
-9.48937552E+000	-1.17999198E+002	
-9.46866221E+000	-1.17791658E+002	
-9.44794890E+000	-1.17775239E+002	
-9.42723560E+000	-1.17522456E+002	
-9.40652229E+000	-1.17570137E+002	
-9.38580899E+000	-1.17533850E+002	
-9.36509568E+000	-1.17703560E+002	
-9.34438238E+000	-1.17896591E+002	
-9.32366907E+000	-1.18222103E+002	
-9.30295577E+000	-1.18145772E+002	
-9.28224246E+000	-1.18226538E+002	
-9.26152916E+000	-1.17828611E+002	
-9.24081585E+000	-1.17736031E+002	
-9.22010255E+000	-1.17473412E+002	
-9.19938924E+000	-1.17470656E+002	
-9.17867594E+000	-1.17430034E+002	
-9.15796263E+000	-1.17667901E+002	
-9.13724932E+000	-1.17569931E+002	
-9.11653602E+000	-1.17594806E+002	
-9.09582271E+000	-1.17711446E+002	
-9.07510941E+000	-1.17576821E+002	
-9.05439610E+000	-1.17430781E+002	
-9.03368280E+000	-1.17249408E+002	
-9.01296949E+000	-1.17418222E+002	
-8.99225619E+000	-1.17523087E+002	
-8.97154288E+000	-1.17482289E+002	
-8.95082958E+000	-1.17768291E+002	
-8.93011627E+000	-1.18097362E+002	
-8.90940297E+000	-1.17833070E+002	
-8.88868966E+000	-1.17489627E+002	
-8.86797636E+000	-1.17863461E+002	
-8.84726305E+000	-1.17673847E+002	
-8.82654974E+000	-1.17202326E+002	
-8.80583644E+000	-1.17384838E+002	
-8.78512313E+000	-1.17560992E+002	
-8.76440983E+000	-1.17527087E+002	
-8.74369652E+000	-1.17648190E+002	
-8.72298322E+000	-1.18029988E+002	
-8.70226991E+000	-1.18038047E+002	
-8.68155661E+000	-1.17986483E+002	
-8.66084330E+000	-1.17913546E+002	
-8.64013000E+000	-1.17918867E+002	
-8.61941669E+000	-1.17742678E+002	
-8.59870339E+000	-1.17711358E+002	
-8.57799008E+000	-1.17751365E+002	
-8.55727678E+000	-1.17591515E+002	
-8.53656347E+000	-1.17737775E+002	
-8.51585017E+000	-1.17787609E+002	
-8.49513686E+000	-1.17528731E+002	
-8.47442355E+000	-1.17511903E+002	
-8.45371025E+000	-1.17610294E+002	
-8.43299694E+000	-1.17458578E+002	
-8.41228364E+000	-1.17447244E+002	
-8.39157033E+000	-1.17646407E+002	
-8.37085703E+000	-1.17585275E+002	
-8.35014372E+000	-1.17602849E+002	
-8.32943042E+000	-1.17934356E+002	
-8.30871711E+000	-1.17963625E+002	
-8.28800381E+000	-1.18158877E+002	
-8.26729050E+000	-1.18238689E+002	
-8.24657720E+000	-1.18342622E+002	
-8.22586389E+000	-1.18327225E+002	
-8.20515059E+000	-1.18071890E+002	
-8.18443728E+000	-1.17979635E+002	
-8.16372397E+000	-1.18130307E+002	
-8.14301067E+000	-1.17996902E+002	
-8.12229736E+000	-1.17802094E+002	
-8.10158406E+000	-1.17910337E+002	
-8.08087075E+000	-1.17957730E+002	
-8.06015745E+000	-1.17742071E+002	
-8.03944414E+000	-1.17578843E+002	
-8.01873084E+000	-1.17791312E+002	
-7.99801753E+000	-1.17767722E+002	
-7.97730423E+000	-1.17542360E+002	
-7.95659092E+000	-1.17538580E+002	
-7.93587762E+000	-1.17430559E+002	
-7.91516431E+000	-1.17245916E+002	
-7.89445101E+000	-1.17327367E+002	
-7.87373770E+000	-1.17434252E+002	
-7.85302439E+000	-1.17309597E+002	
-7.83231109E+000	-1.17433970E+002	
-7.81159778E+000	-1.17634417E+002	
-7.79088448E+000	-1.17577347E+002	
-7.77017117E+000	-1.17635656E+002	
-7.74945787E+000	-1.17931867E+002	
-7.72874456E+000	-1.18237809E+002	
-7.70803126E+000	-1.18138280E+002	
-7.68731795E+000	-1.18120348E+002	
-7.66660465E+000	-1.18195303E+002	
-7.64589134E+000	-1.18197677E+002	
-7.62517804E+000	-1.17725958E+002	
-7.60446473E+000	-1.18003561E+002	
-7.58375143E+000	-1.18235369E+002	
-7.56303812E+000	-1.18225453E+002	
-7.54232482E+000	-1.18152086E+002	
-7.52161151E+000	-1.18151212E+002	
-7.50089820E+000	-1.17935132E+002	
-7.48018490E+000	-1.17719546E+002	
-7.45947159E+000	-1.17521578E+002	
-7.43875829E+000	-1.17394179E+002	
-7.41804498E+000	-1.17225560E+002	
-7.39733168E+000	-1.17010669E+002	
-7.37661837E+000	-1.17088931E+002	
-7.35590507E+000	-1.17373828E+002	
-7.33519176E+000	-1.17608099E+002	
-7.31447846E+000	-1.18055497E+002	
-7.29376515E+000	-1.18165816E+002	
-7.27305185E+000	-1.18113575E+002	
-7.25233854E+000	-1.18041202E+002	
-7.23162524E+000	-1.17742560E+002	
-7.21091193E+000	-1.17559237E+002	
-7.19019862E+000	-1.17737114E+002	
-7.16948532E+000	-1.17784465E+002	
-7.14877201E+000	-1.17913587E+002	
-7.12805871E+000	-1.18133563E+002	
-7.10734540E+000	-1.18287903E+002	
-7.08663210E+000	-1.18200771E+002	
-7.06591879E+000	-1.18104444E+002	
-7.04520549E+000	-1.18167821E+002	
-7.02449218E+000	-1.18186295E+002	
-7.00377888E+000	-1.17917184E+002	
-6.98306557E+000	-1.18010500E+002	
-6.96235227E+000	-1.18101498E+002	
-6.94163896E+000	-1.18108667E+002	
-6.92092566E+000	-1.18150900E+002	
-6.90021235E+000	-1.18330974E+002	
-6.87949904E+000	-1.18277770E+002	
-6.85878574E+000	-1.18091722E+002	
-6.83807243E+000	-1.18015747E+002	
-6.81735913E+000	-1.17882987E+002	
-6.79664582E+000	-1.17821014E+002	
-6.77593252E+000	-1.17894009E+002	
-6.75521921E+000	-1.17680009E+002	
-6.73450591E+000	-1.17747459E+002	
-6.71379260E+000	-1.17971196E+002	
-6.69307930E+000	-1.17899501E+002	
-6.67236599E+000	-1.17851109E+002	
-6.65165269E+000	-1.18100042E+002	
-6.63093938E+000	-1.18126305E+002	
-6.61022608E+000	-1.18195451E+002	
-6.58951277E+000	-1.18203799E+002	
-6.56879947E+000	-1.18236330E+002	
-6.54808616E+000	-1.18022833E+002	
-6.52737285E+000	-1.17855650E+002	
-6.50665955E+000	-1.17521404E+002	
-6.48594624E+000	-1.17464687E+002	
-6.46523294E+000	-1.17381597E+002	
-6.44451963E+000	-1.17536658E+002	
-6.42380633E+000	-1.17811997E+002	
-6.40309302E+000	-1.18143722E+002	
-6.38237972E+000	-1.18322615E+002	
-6.36166641E+000	-1.18137453E+002	
-6.34095311E+000	-1.18007285E+002	
-6.32023980E+000	-1.17791400E+002	
-6.29952650E+000	-1.17771843E+002	
-6.27881319E+000	-1.17957096E+002	
-6.25809989E+000	-1.18246038E+002	
-6.23738658E+000	-1.17784320E+002	
-6.21667327E+000	-1.17904099E+002	
-6.19595997E+000	-1.17725908E+002	
-6.17524666E+000	-1.17321115E+002	
-6.15453336E+000	-1.17468171E+002	
-6.13382005E+000	-1.17907059E+002	
-6.11310675E+000	-1.17945246E+002	
-6.09239344E+000	-1.18021038E+002	
-6.07168014E+000	-1.18113607E+002	
-6.05096683E+000	-1.17950019E+002	
-6.03025353E+000	-1.17741053E+002	
-6.00954022E+000	-1.17483407E+002	
-5.98882692E+000	-1.17487140E+002	
-5.96811361E+000	-1.17419581E+002	
-5.94740031E+000	-1.17447030E+002	
-5.92668700E+000	-1.17788552E+002	
-5.90597369E+000	-1.17997704E+002	
-5.88526039E+000	-1.18055899E+002	
-5.86454708E+000	-1.17901148E+002	
-5.84383378E+000	-1.18199959E+002	
-5.82312047E+000	-1.17886125E+002	
-5.80240717E+000	-1.17744076E+002	
-5.78169386E+000	-1.17873520E+002	
-5.76098056E+000	-1.18082257E+002	
-5.74026725E+000	-1.17846669E+002	
-5.71955395E+000	-1.18013280E+002	
-5.69884064E+000	-1.18227620E+002	
-5.67812734E+000	-1.18176398E+002	
-5.65741403E+000	-1.18123961E+002	
-5.63670073E+000	-1.18234749E+002	
-5.61598742E+000	-1.18247204E+002	
-5.59527412E+000	-1.18122956E+002	
