Acquired on 8/13/2021 at 12:22:00
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20695187E+002	
-9.98649484E+000	-1.20361887E+002	
-9.96578154E+000	-1.19999930E+002	
-9.94506823E+000	-1.19738737E+002	
-9.92435493E+000	-1.19507997E+002	
-9.90364162E+000	-1.19264861E+002	
-9.88292832E+000	-1.19049105E+002	
-9.86221501E+000	-1.18834107E+002	
-9.84150171E+000	-1.18632618E+002	
-9.82078840E+000	-1.18453247E+002	
-9.80007509E+000	-1.18254491E+002	
-9.77936179E+000	-1.18055327E+002	
-9.75864848E+000	-1.17996381E+002	
-9.73793518E+000	-1.18006408E+002	
-9.71722187E+000	-1.18001539E+002	
-9.69650857E+000	-1.18006546E+002	
-9.67579526E+000	-1.18063747E+002	
-9.65508196E+000	-1.18041638E+002	
-9.63436865E+000	-1.17989909E+002	
-9.61365535E+000	-1.17992189E+002	
-9.59294204E+000	-1.18018024E+002	
-9.57222874E+000	-1.18040758E+002	
-9.55151543E+000	-1.18054987E+002	
-9.53080213E+000	-1.18049307E+002	
-9.51008882E+000	-1.18075744E+002	
-9.48937552E+000	-1.18099252E+002	
-9.46866221E+000	-1.18102315E+002	
-9.44794890E+000	-1.18073803E+002	
-9.42723560E+000	-1.18023630E+002	
-9.40652229E+000	-1.18019502E+002	
-9.38580899E+000	-1.17992711E+002	
-9.36509568E+000	-1.17985650E+002	
-9.34438238E+000	-1.17953793E+002	
-9.32366907E+000	-1.17925593E+002	
-9.30295577E+000	-1.17921035E+002	
-9.28224246E+000	-1.17935753E+002	
-9.26152916E+000	-1.17889313E+002	
-9.24081585E+000	-1.17834025E+002	
-9.22010255E+000	-1.17819915E+002	
-9.19938924E+000	-1.17850534E+002	
-9.17867594E+000	-1.17836460E+002	
-9.15796263E+000	-1.17841253E+002	
-9.13724932E+000	-1.17899925E+002	
-9.11653602E+000	-1.17903408E+002	
-9.09582271E+000	-1.17860424E+002	
-9.07510941E+000	-1.17864952E+002	
-9.05439610E+000	-1.17867270E+002	
-9.03368280E+000	-1.17742801E+002	
-9.01296949E+000	-1.17729607E+002	
-8.99225619E+000	-1.17731702E+002	
-8.97154288E+000	-1.17778337E+002	
-8.95082958E+000	-1.17793897E+002	
-8.93011627E+000	-1.17820687E+002	
-8.90940297E+000	-1.17845230E+002	
-8.88868966E+000	-1.17872070E+002	
-8.86797636E+000	-1.17865392E+002	
-8.84726305E+000	-1.17879760E+002	
-8.82654974E+000	-1.17867112E+002	
-8.80583644E+000	-1.17878782E+002	
-8.78512313E+000	-1.17879858E+002	
-8.76440983E+000	-1.17895724E+002	
-8.74369652E+000	-1.17954557E+002	
-8.72298322E+000	-1.17975785E+002	
-8.70226991E+000	-1.17911977E+002	
-8.68155661E+000	-1.17879831E+002	
-8.66084330E+000	-1.17912795E+002	
-8.64013000E+000	-1.17886547E+002	
-8.61941669E+000	-1.17844021E+002	
-8.59870339E+000	-1.17886398E+002	
-8.57799008E+000	-1.17892820E+002	
-8.55727678E+000	-1.17857697E+002	
-8.53656347E+000	-1.17977522E+002	
-8.51585017E+000	-1.18007180E+002	
-8.49513686E+000	-1.18010948E+002	
-8.47442355E+000	-1.18000224E+002	
-8.45371025E+000	-1.18030749E+002	
-8.43299694E+000	-1.18070576E+002	
-8.41228364E+000	-1.18030340E+002	
-8.39157033E+000	-1.18007788E+002	
-8.37085703E+000	-1.18054428E+002	
-8.35014372E+000	-1.18073738E+002	
-8.32943042E+000	-1.18095438E+002	
-8.30871711E+000	-1.18046902E+002	
-8.28800381E+000	-1.18085308E+002	
-8.26729050E+000	-1.18072225E+002	
-8.24657720E+000	-1.18069059E+002	
-8.22586389E+000	-1.18044487E+002	
-8.20515059E+000	-1.18089754E+002	
-8.18443728E+000	-1.18083714E+002	
-8.16372397E+000	-1.18068566E+002	
-8.14301067E+000	-1.18017711E+002	
-8.12229736E+000	-1.18034801E+002	
-8.10158406E+000	-1.18025535E+002	
-8.08087075E+000	-1.18009443E+002	
-8.06015745E+000	-1.17984238E+002	
-8.03944414E+000	-1.17926771E+002	
-8.01873084E+000	-1.17930329E+002	
-7.99801753E+000	-1.17920248E+002	
-7.97730423E+000	-1.17917274E+002	
-7.95659092E+000	-1.17889490E+002	
-7.93587762E+000	-1.17900895E+002	
-7.91516431E+000	-1.17946336E+002	
-7.89445101E+000	-1.17945349E+002	
-7.87373770E+000	-1.17919613E+002	
-7.85302439E+000	-1.17909996E+002	
-7.83231109E+000	-1.17888396E+002	
-7.81159778E+000	-1.17948368E+002	
-7.79088448E+000	-1.17977282E+002	
-7.77017117E+000	-1.17993009E+002	
-7.74945787E+000	-1.18006665E+002	
-7.72874456E+000	-1.18019881E+002	
-7.70803126E+000	-1.17980665E+002	
-7.68731795E+000	-1.18020210E+002	
-7.66660465E+000	-1.18015820E+002	
-7.64589134E+000	-1.18018995E+002	
-7.62517804E+000	-1.18000948E+002	
-7.60446473E+000	-1.17942473E+002	
-7.58375143E+000	-1.17965294E+002	
-7.56303812E+000	-1.17998170E+002	
-7.54232482E+000	-1.18064922E+002	
-7.52161151E+000	-1.18058645E+002	
-7.50089820E+000	-1.18070009E+002	
-7.48018490E+000	-1.18039397E+002	
-7.45947159E+000	-1.18079914E+002	
-7.43875829E+000	-1.18012939E+002	
-7.41804498E+000	-1.17921768E+002	
-7.39733168E+000	-1.17969869E+002	
-7.37661837E+000	-1.17986567E+002	
-7.35590507E+000	-1.17996073E+002	
-7.33519176E+000	-1.18014019E+002	
-7.31447846E+000	-1.18030633E+002	
-7.29376515E+000	-1.18002630E+002	
-7.27305185E+000	-1.17974680E+002	
-7.25233854E+000	-1.18005511E+002	
-7.23162524E+000	-1.18020990E+002	
-7.21091193E+000	-1.18017568E+002	
-7.19019862E+000	-1.18012176E+002	
-7.16948532E+000	-1.18058725E+002	
-7.14877201E+000	-1.18128861E+002	
-7.12805871E+000	-1.18187044E+002	
-7.10734540E+000	-1.18259396E+002	
-7.08663210E+000	-1.18293081E+002	
-7.06591879E+000	-1.18273544E+002	
-7.04520549E+000	-1.18255850E+002	
-7.02449218E+000	-1.18230455E+002	
-7.00377888E+000	-1.18194399E+002	
-6.98306557E+000	-1.18234366E+002	
-6.96235227E+000	-1.18191951E+002	
-6.94163896E+000	-1.18210297E+002	
-6.92092566E+000	-1.18276299E+002	
