Acquired on 8/13/2021 at 11:30:58
Calibrated on 8/13/2021 at 11:06:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20520976E+002	
-9.98649484E+000	-1.20189234E+002	
-9.96578154E+000	-1.19836953E+002	
-9.94506823E+000	-1.19572240E+002	
-9.92435493E+000	-1.19337980E+002	
-9.90364162E+000	-1.19095209E+002	
-9.88292832E+000	-1.18882805E+002	
-9.86221501E+000	-1.18671709E+002	
-9.84150171E+000	-1.18471050E+002	
-9.82078840E+000	-1.18290120E+002	
-9.80007509E+000	-1.18092411E+002	
-9.77936179E+000	-1.17895859E+002	
-9.75864848E+000	-1.17834410E+002	
-9.73793518E+000	-1.17842870E+002	
-9.71722187E+000	-1.17840772E+002	
-9.69650857E+000	-1.17845410E+002	
-9.67579526E+000	-1.17903393E+002	
-9.65508196E+000	-1.17889379E+002	
-9.63436865E+000	-1.17833197E+002	
-9.61365535E+000	-1.17837298E+002	
-9.59294204E+000	-1.17871087E+002	
-9.57222874E+000	-1.17897393E+002	
-9.55151543E+000	-1.17911180E+002	
-9.53080213E+000	-1.17900263E+002	
-9.51008882E+000	-1.17927657E+002	
-9.48937552E+000	-1.17952245E+002	
-9.46866221E+000	-1.17952405E+002	
-9.44794890E+000	-1.17921580E+002	
-9.42723560E+000	-1.17876841E+002	
-9.40652229E+000	-1.17875020E+002	
-9.38580899E+000	-1.17850455E+002	
-9.36509568E+000	-1.17839372E+002	
-9.34438238E+000	-1.17806367E+002	
-9.32366907E+000	-1.17780164E+002	
-9.30295577E+000	-1.17772515E+002	
-9.28224246E+000	-1.17785788E+002	
-9.26152916E+000	-1.17738471E+002	
-9.24081585E+000	-1.17679859E+002	
-9.22010255E+000	-1.17667460E+002	
-9.19938924E+000	-1.17705201E+002	
-9.17867594E+000	-1.17690758E+002	
-9.15796263E+000	-1.17690547E+002	
-9.13724932E+000	-1.17754869E+002	
-9.11653602E+000	-1.17759509E+002	
-9.09582271E+000	-1.17708684E+002	
-9.07510941E+000	-1.17714975E+002	
-9.05439610E+000	-1.17715571E+002	
-9.03368280E+000	-1.17591569E+002	
-9.01296949E+000	-1.17579188E+002	
-8.99225619E+000	-1.17582835E+002	
-8.97154288E+000	-1.17630369E+002	
-8.95082958E+000	-1.17647264E+002	
-8.93011627E+000	-1.17676210E+002	
-8.90940297E+000	-1.17695656E+002	
-8.88868966E+000	-1.17721347E+002	
-8.86797636E+000	-1.17713640E+002	
-8.84726305E+000	-1.17727598E+002	
-8.82654974E+000	-1.17710750E+002	
-8.80583644E+000	-1.17728791E+002	
-8.78512313E+000	-1.17734711E+002	
-8.76440983E+000	-1.17754599E+002	
-8.74369652E+000	-1.17820301E+002	
-8.72298322E+000	-1.17839611E+002	
-8.70226991E+000	-1.17768812E+002	
-8.68155661E+000	-1.17742402E+002	
-8.66084330E+000	-1.17779684E+002	
-8.64013000E+000	-1.17749298E+002	
-8.61941669E+000	-1.17708936E+002	
-8.59870339E+000	-1.17752442E+002	
-8.57799008E+000	-1.17749580E+002	
-8.55727678E+000	-1.17712301E+002	
-8.53656347E+000	-1.17834480E+002	
-8.51585017E+000	-1.17861386E+002	
-8.49513686E+000	-1.17871685E+002	
-8.47442355E+000	-1.17860700E+002	
-8.45371025E+000	-1.17896245E+002	
-8.43299694E+000	-1.17936043E+002	
-8.41228364E+000	-1.17899295E+002	
-8.39157033E+000	-1.17870066E+002	
-8.37085703E+000	-1.17918688E+002	
-8.35014372E+000	-1.17937202E+002	
-8.32943042E+000	-1.17959491E+002	
-8.30871711E+000	-1.17912393E+002	
-8.28800381E+000	-1.17943006E+002	
-8.26729050E+000	-1.17916206E+002	
-8.24657720E+000	-1.17902133E+002	
-8.22586389E+000	-1.17877326E+002	
-8.20515059E+000	-1.17924119E+002	
-8.18443728E+000	-1.17918806E+002	
-8.16372397E+000	-1.17904738E+002	
-8.14301067E+000	-1.17857728E+002	
-8.12229736E+000	-1.17874263E+002	
-8.10158406E+000	-1.17867985E+002	
-8.08087075E+000	-1.17863396E+002	
-8.06015745E+000	-1.17844845E+002	
-8.03944414E+000	-1.17789562E+002	
-8.01873084E+000	-1.17801768E+002	
-7.99801753E+000	-1.17778798E+002	
-7.97730423E+000	-1.17776348E+002	
-7.95659092E+000	-1.17745628E+002	
-7.93587762E+000	-1.17752820E+002	
-7.91516431E+000	-1.17791068E+002	
-7.89445101E+000	-1.17790144E+002	
-7.87373770E+000	-1.17766985E+002	
-7.85302439E+000	-1.17761345E+002	
-7.83231109E+000	-1.17736892E+002	
-7.81159778E+000	-1.17792728E+002	
-7.79088448E+000	-1.17820909E+002	
-7.77017117E+000	-1.17849711E+002	
-7.74945787E+000	-1.17868385E+002	
-7.72874456E+000	-1.17884491E+002	
-7.70803126E+000	-1.17839060E+002	
-7.68731795E+000	-1.17870550E+002	
-7.66660465E+000	-1.17862796E+002	
-7.64589134E+000	-1.17863614E+002	
-7.62517804E+000	-1.17842283E+002	
-7.60446473E+000	-1.17779800E+002	
-7.58375143E+000	-1.17800758E+002	
-7.56303812E+000	-1.17832752E+002	
-7.54232482E+000	-1.17900685E+002	
-7.52161151E+000	-1.17885214E+002	
-7.50089820E+000	-1.17903537E+002	
-7.48018490E+000	-1.17869685E+002	
-7.45947159E+000	-1.17908194E+002	
-7.43875829E+000	-1.17840195E+002	
-7.41804498E+000	-1.17754465E+002	
-7.39733168E+000	-1.17807028E+002	
-7.37661837E+000	-1.17816917E+002	
-7.35590507E+000	-1.17823243E+002	
-7.33519176E+000	-1.17844848E+002	
-7.31447846E+000	-1.17866106E+002	
-7.29376515E+000	-1.17836456E+002	
-7.27305185E+000	-1.17805496E+002	
-7.25233854E+000	-1.17838139E+002	
-7.23162524E+000	-1.17854049E+002	
-7.21091193E+000	-1.17854471E+002	
-7.19019862E+000	-1.17859054E+002	
-7.16948532E+000	-1.17905947E+002	
-7.14877201E+000	-1.17973573E+002	
-7.12805871E+000	-1.18029549E+002	
-7.10734540E+000	-1.18104895E+002	
-7.08663210E+000	-1.18133746E+002	
-7.06591879E+000	-1.18109950E+002	
-7.04520549E+000	-1.18090404E+002	
-7.02449218E+000	-1.18063083E+002	
-7.00377888E+000	-1.18028946E+002	
-6.98306557E+000	-1.18071038E+002	
-6.96235227E+000	-1.18021494E+002	
-6.94163896E+000	-1.18048821E+002	
-6.92092566E+000	-1.18124618E+002	
-6.90021235E+000	-1.18110450E+002	
-6.87949904E+000	-1.18076996E+002	
-6.85878574E+000	-1.18060760E+002	
-6.83807243E+000	-1.18090954E+002	
-6.81735913E+000	-1.18105403E+002	
-6.79664582E+000	-1.18065123E+002	
-6.77593252E+000	-1.18108693E+002	
-6.75521921E+000	-1.18064832E+002	
-6.73450591E+000	-1.18050188E+002	
-6.71379260E+000	-1.18016309E+002	
-6.69307930E+000	-1.18009662E+002	
-6.67236599E+000	-1.17958644E+002	
-6.65165269E+000	-1.17936191E+002	
-6.63093938E+000	-1.17957831E+002	
-6.61022608E+000	-1.17980961E+002	
-6.58951277E+000	-1.17973575E+002	
-6.56879947E+000	-1.17960319E+002	
-6.54808616E+000	-1.17947887E+002	
-6.52737285E+000	-1.17929254E+002	
-6.50665955E+000	-1.17959881E+002	
-6.48594624E+000	-1.18002083E+002	
-6.46523294E+000	-1.18048325E+002	
-6.44451963E+000	-1.17979975E+002	
-6.42380633E+000	-1.17938668E+002	
-6.40309302E+000	-1.17934609E+002	
-6.38237972E+000	-1.17908603E+002	
-6.36166641E+000	-1.17907537E+002	
-6.34095311E+000	-1.17905920E+002	
-6.32023980E+000	-1.17892555E+002	
-6.29952650E+000	-1.17898676E+002	
-6.27881319E+000	-1.17872694E+002	
-6.25809989E+000	-1.17879467E+002	
-6.23738658E+000	-1.17869733E+002	
-6.21667327E+000	-1.17857370E+002	
-6.19595997E+000	-1.17873698E+002	
-6.17524666E+000	-1.17869899E+002	
-6.15453336E+000	-1.17870508E+002	
-6.13382005E+000	-1.17848902E+002	
-6.11310675E+000	-1.17851377E+002	
-6.09239344E+000	-1.17850242E+002	
-6.07168014E+000	-1.17804400E+002	
-6.05096683E+000	-1.17873824E+002	
-6.03025353E+000	-1.17892660E+002	
-6.00954022E+000	-1.17878773E+002	
-5.98882692E+000	-1.17828661E+002	
-5.96811361E+000	-1.17839615E+002	
-5.94740031E+000	-1.17892560E+002	
-5.92668700E+000	-1.17930208E+002	
-5.90597369E+000	-1.17945086E+002	
-5.88526039E+000	-1.18000141E+002	
-5.86454708E+000	-1.18030373E+002	
-5.84383378E+000	-1.17998158E+002	
-5.82312047E+000	-1.18022746E+002	
-5.80240717E+000	-1.18007294E+002	
-5.78169386E+000	-1.18019524E+002	
-5.76098056E+000	-1.18022307E+002	
-5.74026725E+000	-1.18028544E+002	
-5.71955395E+000	-1.18077423E+002	
-5.69884064E+000	-1.18081650E+002	
-5.67812734E+000	-1.18120338E+002	
-5.65741403E+000	-1.18123397E+002	
-5.63670073E+000	-1.18135712E+002	
-5.61598742E+000	-1.18107114E+002	
-5.59527412E+000	-1.18067376E+002	
-5.57456081E+000	-1.18136701E+002	
-5.55384750E+000	-1.18047463E+002	
-5.53313420E+000	-1.17976775E+002	
-5.51242089E+000	-1.17990284E+002	
-5.49170759E+000	-1.17986035E+002	
-5.47099428E+000	-1.17959163E+002	
-5.45028098E+000	-1.18016695E+002	
-5.42956767E+000	-1.18055602E+002	
-5.40885437E+000	-1.18043343E+002	
-5.38814106E+000	-1.18028057E+002	
-5.36742776E+000	-1.18002560E+002	
