Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20678285E+002	
-9.98649484E+000	-1.20346648E+002	
-9.96578154E+000	-1.19990877E+002	
-9.94506823E+000	-1.19728425E+002	
-9.92435493E+000	-1.19496997E+002	
-9.90364162E+000	-1.19253270E+002	
-9.88292832E+000	-1.19035512E+002	
-9.86221501E+000	-1.18821164E+002	
-9.84150171E+000	-1.18622432E+002	
-9.82078840E+000	-1.18437773E+002	
-9.80007509E+000	-1.18237805E+002	
-9.77936179E+000	-1.18040688E+002	
-9.75864848E+000	-1.17985274E+002	
-9.73793518E+000	-1.17993072E+002	
-9.71722187E+000	-1.17990125E+002	
-9.69650857E+000	-1.17989906E+002	
-9.67579526E+000	-1.18052168E+002	
-9.65508196E+000	-1.18036229E+002	
-9.63436865E+000	-1.17980154E+002	
-9.61365535E+000	-1.17983192E+002	
-9.59294204E+000	-1.18010254E+002	
-9.57222874E+000	-1.18035956E+002	
-9.55151543E+000	-1.18051989E+002	
-9.53080213E+000	-1.18041024E+002	
-9.51008882E+000	-1.18066760E+002	
-9.48937552E+000	-1.18090179E+002	
-9.46866221E+000	-1.18088782E+002	
-9.44794890E+000	-1.18056685E+002	
-9.42723560E+000	-1.18009137E+002	
-9.40652229E+000	-1.18009255E+002	
-9.38580899E+000	-1.17987706E+002	
-9.36509568E+000	-1.17977881E+002	
-9.34438238E+000	-1.17940056E+002	
-9.32366907E+000	-1.17909379E+002	
-9.30295577E+000	-1.17904753E+002	
-9.28224246E+000	-1.17919466E+002	
-9.26152916E+000	-1.17869381E+002	
-9.24081585E+000	-1.17810252E+002	
-9.22010255E+000	-1.17796204E+002	
-9.19938924E+000	-1.17832668E+002	
-9.17867594E+000	-1.17810372E+002	
-9.15796263E+000	-1.17810212E+002	
-9.13724932E+000	-1.17870370E+002	
-9.11653602E+000	-1.17875145E+002	
-9.09582271E+000	-1.17830461E+002	
-9.07510941E+000	-1.17837004E+002	
-9.05439610E+000	-1.17839820E+002	
-9.03368280E+000	-1.17718965E+002	
-9.01296949E+000	-1.17710732E+002	
-8.99225619E+000	-1.17717078E+002	
-8.97154288E+000	-1.17771130E+002	
-8.95082958E+000	-1.17790955E+002	
-8.93011627E+000	-1.17821385E+002	
-8.90940297E+000	-1.17839892E+002	
-8.88868966E+000	-1.17862564E+002	
-8.86797636E+000	-1.17858035E+002	
-8.84726305E+000	-1.17876488E+002	
-8.82654974E+000	-1.17869386E+002	
-8.80583644E+000	-1.17888406E+002	
-8.78512313E+000	-1.17893395E+002	
-8.76440983E+000	-1.17911887E+002	
-8.74369652E+000	-1.17979874E+002	
-8.72298322E+000	-1.18001916E+002	
-8.70226991E+000	-1.17932207E+002	
-8.68155661E+000	-1.17901618E+002	
-8.66084330E+000	-1.17934711E+002	
-8.64013000E+000	-1.17910892E+002	
-8.61941669E+000	-1.17874212E+002	
-8.59870339E+000	-1.17918215E+002	
-8.57799008E+000	-1.17922576E+002	
-8.55727678E+000	-1.17883083E+002	
-8.53656347E+000	-1.17999493E+002	
-8.51585017E+000	-1.18023173E+002	
-8.49513686E+000	-1.18028635E+002	
-8.47442355E+000	-1.18013107E+002	
-8.45371025E+000	-1.18041784E+002	
-8.43299694E+000	-1.18077506E+002	
-8.41228364E+000	-1.18040843E+002	
-8.39157033E+000	-1.18016600E+002	
-8.37085703E+000	-1.18063781E+002	
-8.35014372E+000	-1.18074988E+002	
-8.32943042E+000	-1.18098801E+002	
-8.30871711E+000	-1.18050558E+002	
-8.28800381E+000	-1.18084146E+002	
-8.26729050E+000	-1.18071380E+002	
-8.24657720E+000	-1.18064357E+002	
-8.22586389E+000	-1.18041333E+002	
-8.20515059E+000	-1.18089743E+002	
-8.18443728E+000	-1.18083824E+002	
-8.16372397E+000	-1.18072547E+002	
-8.14301067E+000	-1.18024193E+002	
-8.12229736E+000	-1.18037104E+002	
-8.10158406E+000	-1.18029680E+002	
-8.08087075E+000	-1.18023232E+002	
-8.06015745E+000	-1.18001373E+002	
-8.03944414E+000	-1.17944559E+002	
-8.01873084E+000	-1.17949688E+002	
-7.99801753E+000	-1.17929473E+002	
-7.97730423E+000	-1.17917102E+002	
-7.95659092E+000	-1.17883919E+002	
-7.93587762E+000	-1.17895026E+002	
-7.91516431E+000	-1.17933649E+002	
-7.89445101E+000	-1.17932142E+002	
-7.87373770E+000	-1.17908179E+002	
-7.85302439E+000	-1.17903035E+002	
-7.83231109E+000	-1.17879890E+002	
-7.81159778E+000	-1.17935955E+002	
-7.79088448E+000	-1.17963170E+002	
-7.77017117E+000	-1.17978525E+002	
-7.74945787E+000	-1.17990966E+002	
-7.72874456E+000	-1.18001848E+002	
-7.70803126E+000	-1.17961164E+002	
-7.68731795E+000	-1.17998178E+002	
-7.66660465E+000	-1.17987678E+002	
-7.64589134E+000	-1.17984209E+002	
-7.62517804E+000	-1.17965477E+002	
-7.60446473E+000	-1.17906103E+002	
-7.58375143E+000	-1.17925092E+002	
-7.56303812E+000	-1.17954897E+002	
-7.54232482E+000	-1.18024466E+002	
-7.52161151E+000	-1.18020493E+002	
-7.50089820E+000	-1.18037083E+002	
-7.48018490E+000	-1.18012525E+002	
-7.45947159E+000	-1.18054510E+002	
-7.43875829E+000	-1.17990474E+002	
-7.41804498E+000	-1.17902068E+002	
-7.39733168E+000	-1.17952749E+002	
-7.37661837E+000	-1.17963927E+002	
-7.35590507E+000	-1.17972845E+002	
-7.33519176E+000	-1.17992465E+002	
-7.31447846E+000	-1.18006333E+002	
-7.29376515E+000	-1.17980861E+002	
-7.27305185E+000	-1.17955080E+002	
-7.25233854E+000	-1.17983033E+002	
-7.23162524E+000	-1.17999270E+002	
-7.21091193E+000	-1.17994695E+002	
-7.19019862E+000	-1.17992106E+002	
-7.16948532E+000	-1.18043458E+002	
-7.14877201E+000	-1.18112112E+002	
-7.12805871E+000	-1.18167554E+002	
-7.10734540E+000	-1.18238984E+002	
-7.08663210E+000	-1.18266300E+002	
-7.06591879E+000	-1.18245652E+002	
-7.04520549E+000	-1.18222663E+002	
-7.02449218E+000	-1.18197309E+002	
-7.00377888E+000	-1.18161120E+002	
-6.98306557E+000	-1.18196663E+002	
-6.96235227E+000	-1.18154863E+002	
-6.94163896E+000	-1.18179394E+002	
-6.92092566E+000	-1.18255558E+002	
-6.90021235E+000	-1.18240973E+002	
-6.87949904E+000	-1.18207708E+002	
-6.85878574E+000	-1.18194243E+002	
-6.83807243E+000	-1.18220847E+002	
-6.81735913E+000	-1.18235549E+002	
-6.79664582E+000	-1.18190822E+002	
-6.77593252E+000	-1.18228560E+002	
-6.75521921E+000	-1.18183897E+002	
-6.73450591E+000	-1.18169821E+002	
-6.71379260E+000	-1.18144460E+002	
-6.69307930E+000	-1.18142434E+002	
-6.67236599E+000	-1.18097666E+002	
-6.65165269E+000	-1.18080316E+002	
-6.63093938E+000	-1.18103857E+002	
-6.61022608E+000	-1.18120373E+002	
-6.58951277E+000	-1.18106724E+002	
-6.56879947E+000	-1.18095760E+002	
-6.54808616E+000	-1.18085154E+002	
-6.52737285E+000	-1.18059733E+002	
-6.50665955E+000	-1.18083234E+002	
-6.48594624E+000	-1.18122892E+002	
-6.46523294E+000	-1.18164064E+002	
-6.44451963E+000	-1.18098416E+002	
-6.42380633E+000	-1.18051270E+002	
-6.40309302E+000	-1.18049613E+002	
-6.38237972E+000	-1.18025285E+002	
-6.36166641E+000	-1.18024681E+002	
-6.34095311E+000	-1.18027248E+002	
-6.32023980E+000	-1.18020904E+002	
-6.29952650E+000	-1.18029152E+002	
-6.27881319E+000	-1.18000805E+002	
-6.25809989E+000	-1.18004272E+002	
-6.23738658E+000	-1.17996635E+002	
-6.21667327E+000	-1.17986323E+002	
-6.19595997E+000	-1.18000896E+002	
-6.17524666E+000	-1.17995943E+002	
-6.15453336E+000	-1.17999997E+002	
-6.13382005E+000	-1.17978278E+002	
-6.11310675E+000	-1.17984615E+002	
-6.09239344E+000	-1.17992871E+002	
-6.07168014E+000	-1.17946562E+002	
-6.05096683E+000	-1.18016775E+002	
-6.03025353E+000	-1.18040406E+002	
-6.00954022E+000	-1.18034063E+002	
-5.98882692E+000	-1.17985419E+002	
-5.96811361E+000	-1.17997432E+002	
-5.94740031E+000	-1.18042447E+002	
-5.92668700E+000	-1.18087204E+002	
-5.90597369E+000	-1.18098814E+002	
-5.88526039E+000	-1.18147807E+002	
-5.86454708E+000	-1.18162944E+002	
-5.84383378E+000	-1.18116493E+002	
-5.82312047E+000	-1.18132871E+002	
-5.80240717E+000	-1.18104533E+002	
-5.78169386E+000	-1.18116420E+002	
-5.76098056E+000	-1.18126113E+002	
-5.74026725E+000	-1.18125892E+002	
-5.71955395E+000	-1.18163062E+002	
-5.69884064E+000	-1.18165573E+002	
-5.67812734E+000	-1.18191605E+002	
-5.65741403E+000	-1.18179281E+002	
-5.63670073E+000	-1.18181492E+002	
-5.61598742E+000	-1.18149978E+002	
-5.59527412E+000	-1.18109992E+002	
-5.57456081E+000	-1.18175723E+002	
-5.55384750E+000	-1.18097582E+002	
-5.53313420E+000	-1.18027652E+002	
-5.51242089E+000	-1.18034270E+002	
-5.49170759E+000	-1.18027245E+002	
-5.47099428E+000	-1.18005722E+002	
-5.45028098E+000	-1.18062166E+002	
-5.42956767E+000	-1.18094008E+002	
-5.40885437E+000	-1.18079313E+002	
-5.38814106E+000	-1.18065389E+002	
-5.36742776E+000	-1.18049402E+002	
-5.34671445E+000	-1.18085465E+002	
-5.32600115E+000	-1.18081423E+002	
-5.30528784E+000	-1.18101378E+002	
-5.28457454E+000	-1.18072927E+002	
-5.26386123E+000	-1.18062896E+002	
-5.24314792E+000	-1.18010899E+002	
-5.22243462E+000	-1.17978402E+002	
-5.20172131E+000	-1.17982026E+002	
-5.18100801E+000	-1.17935485E+002	
-5.16029470E+000	-1.17935120E+002	
-5.13958140E+000	-1.17900324E+002	
-5.11886809E+000	-1.17879533E+002	
-5.09815479E+000	-1.17882909E+002	
-5.07744148E+000	-1.17842439E+002	
-5.05672818E+000	-1.17900202E+002	
-5.03601487E+000	-1.17913605E+002	
-5.01530157E+000	-1.17948521E+002	
-4.99458826E+000	-1.17961988E+002	
-4.97387496E+000	-1.17908264E+002	
-4.95316165E+000	-1.17904159E+002	
-4.93244834E+000	-1.17868513E+002	
-4.91173504E+000	-1.17858995E+002	
-4.89102173E+000	-1.17861979E+002	
-4.87030843E+000	-1.17895344E+002	
-4.84959512E+000	-1.17883031E+002	
-4.82888182E+000	-1.17849881E+002	
-4.80816851E+000	-1.17840448E+002	
-4.78745521E+000	-1.17862596E+002	
-4.76674190E+000	-1.17894534E+002	
-4.74602860E+000	-1.17913687E+002	
-4.72531529E+000	-1.17961116E+002	
-4.70460199E+000	-1.17944796E+002	
-4.68388868E+000	-1.17988737E+002	
-4.66317538E+000	-1.17976193E+002	
-4.64246207E+000	-1.18008796E+002	
-4.62174877E+000	-1.18046827E+002	
-4.60103546E+000	-1.18091363E+002	
-4.58032215E+000	-1.18115941E+002	
-4.55960885E+000	-1.18084854E+002	
-4.53889554E+000	-1.18116184E+002	
-4.51818224E+000	-1.18045847E+002	
-4.49746893E+000	-1.17997881E+002	
-4.47675563E+000	-1.18049876E+002	
-4.45604232E+000	-1.18035140E+002	
-4.43532902E+000	-1.18032295E+002	
-4.41461571E+000	-1.18015747E+002	
-4.39390241E+000	-1.18027882E+002	
-4.37318910E+000	-1.18034638E+002	
-4.35247580E+000	-1.18008102E+002	
-4.33176249E+000	-1.17997775E+002	
-4.31104919E+000	-1.17990521E+002	
-4.29033588E+000	-1.17981167E+002	
-4.26962257E+000	-1.17971047E+002	
-4.24890927E+000	-1.18017602E+002	
-4.22819596E+000	-1.18037330E+002	
-4.20748266E+000	-1.18085921E+002	
-4.18676935E+000	-1.18043438E+002	
-4.16605605E+000	-1.18058696E+002	
-4.14534274E+000	-1.18077969E+002	
-4.12462944E+000	-1.18042822E+002	
-4.10391613E+000	-1.18031551E+002	
-4.08320283E+000	-1.18021638E+002	
-4.06248952E+000	-1.18020026E+002	
-4.04177622E+000	-1.17987075E+002	
-4.02106291E+000	-1.18026487E+002	
-4.00034961E+000	-1.18036736E+002	
-3.97963630E+000	-1.18000497E+002	
-3.95892299E+000	-1.18011575E+002	
-3.93820969E+000	-1.17997442E+002	
-3.91749638E+000	-1.18023961E+002	
-3.89678308E+000	-1.17993300E+002	
-3.87606977E+000	-1.17917990E+002	
-3.85535647E+000	-1.17923935E+002	
-3.83464316E+000	-1.17922545E+002	
-3.81392986E+000	-1.17920040E+002	
-3.79321655E+000	-1.17952241E+002	
-3.77250325E+000	-1.17885915E+002	
-3.75178994E+000	-1.17885470E+002	
-3.73107664E+000	-1.17890135E+002	
-3.71036333E+000	-1.17819967E+002	
-3.68965003E+000	-1.17843489E+002	
-3.66893672E+000	-1.17885483E+002	
-3.64822342E+000	-1.17848342E+002	
-3.62751011E+000	-1.17867523E+002	
-3.60679680E+000	-1.17866509E+002	
-3.58608350E+000	-1.17866835E+002	
-3.56537019E+000	-1.17891659E+002	
-3.54465689E+000	-1.17904482E+002	
-3.52394358E+000	-1.17933641E+002	
-3.50323028E+000	-1.17977779E+002	
-3.48251697E+000	-1.18016355E+002	
-3.46180367E+000	-1.18042906E+002	
-3.44109036E+000	-1.18054121E+002	
-3.42037706E+000	-1.18081698E+002	
-3.39966375E+000	-1.18112650E+002	
-3.37895045E+000	-1.18161688E+002	
-3.35823714E+000	-1.18156914E+002	
-3.33752384E+000	-1.18163518E+002	
-3.31681053E+000	-1.18175286E+002	
-3.29609722E+000	-1.18142153E+002	
-3.27538392E+000	-1.18156682E+002	
-3.25467061E+000	-1.18157187E+002	
-3.23395731E+000	-1.18143969E+002	
-3.21324400E+000	-1.18173663E+002	
-3.19253070E+000	-1.18173993E+002	
-3.17181739E+000	-1.18151718E+002	
-3.15110409E+000	-1.18127516E+002	
-3.13039078E+000	-1.18110434E+002	
-3.10967748E+000	-1.18149160E+002	
-3.08896417E+000	-1.18135185E+002	
-3.06825087E+000	-1.18127596E+002	
-3.04753756E+000	-1.18138593E+002	
-3.02682426E+000	-1.18100787E+002	
-3.00611095E+000	-1.18026901E+002	
-2.98539764E+000	-1.18059668E+002	
-2.96468434E+000	-1.18019738E+002	
-2.94397103E+000	-1.17991057E+002	
-2.92325773E+000	-1.17948586E+002	
-2.90254442E+000	-1.17954150E+002	
-2.88183112E+000	-1.17966207E+002	
-2.86111781E+000	-1.18010914E+002	
-2.84040451E+000	-1.18052586E+002	
-2.81969120E+000	-1.18086829E+002	
-2.79897790E+000	-1.18154263E+002	
-2.77826459E+000	-1.18113880E+002	
-2.75755129E+000	-1.18093276E+002	
-2.73683798E+000	-1.18102575E+002	
-2.71612468E+000	-1.18054524E+002	
-2.69541137E+000	-1.18036186E+002	
-2.67469807E+000	-1.18094618E+002	
-2.65398476E+000	-1.18116671E+002	
-2.63327145E+000	-1.18113915E+002	
-2.61255815E+000	-1.18053376E+002	
-2.59184484E+000	-1.18057591E+002	
-2.57113154E+000	-1.18045407E+002	
-2.55041823E+000	-1.18046493E+002	
-2.52970493E+000	-1.18102355E+002	
-2.50899162E+000	-1.18172831E+002	
-2.48827832E+000	-1.18156736E+002	
-2.46756501E+000	-1.18159680E+002	
-2.44685171E+000	-1.18167940E+002	
-2.42613840E+000	-1.18197968E+002	
-2.40542510E+000	-1.18206715E+002	
-2.38471179E+000	-1.18184656E+002	
-2.36399849E+000	-1.18162228E+002	
-2.34328518E+000	-1.18109114E+002	
-2.32257187E+000	-1.18055528E+002	
-2.30185857E+000	-1.17982041E+002	
-2.28114526E+000	-1.18004323E+002	
-2.26043196E+000	-1.18081551E+002	
-2.23971865E+000	-1.18071132E+002	
-2.21900535E+000	-1.18122705E+002	
-2.19829204E+000	-1.18144694E+002	
-2.17757874E+000	-1.18102283E+002	
-2.15686543E+000	-1.18093352E+002	
