Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20721412E+002	
-9.98649484E+000	-1.20385642E+002	
-9.96578154E+000	-1.20033520E+002	
-9.94506823E+000	-1.19766219E+002	
-9.92435493E+000	-1.19529618E+002	
-9.90364162E+000	-1.19286226E+002	
-9.88292832E+000	-1.19072868E+002	
-9.86221501E+000	-1.18862103E+002	
-9.84150171E+000	-1.18660123E+002	
-9.82078840E+000	-1.18480319E+002	
-9.80007509E+000	-1.18282587E+002	
-9.77936179E+000	-1.18083292E+002	
-9.75864848E+000	-1.18025218E+002	
-9.73793518E+000	-1.18033799E+002	
-9.71722187E+000	-1.18031147E+002	
-9.69650857E+000	-1.18033633E+002	
-9.67579526E+000	-1.18091884E+002	
-9.65508196E+000	-1.18070737E+002	
-9.63436865E+000	-1.18022324E+002	
-9.61365535E+000	-1.18028002E+002	
-9.59294204E+000	-1.18059822E+002	
-9.57222874E+000	-1.18089927E+002	
-9.55151543E+000	-1.18102773E+002	
-9.53080213E+000	-1.18091562E+002	
-9.51008882E+000	-1.18116155E+002	
-9.48937552E+000	-1.18141578E+002	
-9.46866221E+000	-1.18142461E+002	
-9.44794890E+000	-1.18119077E+002	
-9.42723560E+000	-1.18074795E+002	
-9.40652229E+000	-1.18077278E+002	
-9.38580899E+000	-1.18057820E+002	
-9.36509568E+000	-1.18048526E+002	
-9.34438238E+000	-1.18014533E+002	
-9.32366907E+000	-1.17985878E+002	
-9.30295577E+000	-1.17981380E+002	
-9.28224246E+000	-1.18000385E+002	
-9.26152916E+000	-1.17952798E+002	
-9.24081585E+000	-1.17896747E+002	
-9.22010255E+000	-1.17884164E+002	
-9.19938924E+000	-1.17920113E+002	
-9.17867594E+000	-1.17898443E+002	
-9.15796263E+000	-1.17901155E+002	
-9.13724932E+000	-1.17958029E+002	
-9.11653602E+000	-1.17961091E+002	
-9.09582271E+000	-1.17914996E+002	
-9.07510941E+000	-1.17920573E+002	
-9.05439610E+000	-1.17924284E+002	
-9.03368280E+000	-1.17801087E+002	
-9.01296949E+000	-1.17788988E+002	
-8.99225619E+000	-1.17793384E+002	
-8.97154288E+000	-1.17843287E+002	
-8.95082958E+000	-1.17853883E+002	
-8.93011627E+000	-1.17883814E+002	
-8.90940297E+000	-1.17905814E+002	
-8.88868966E+000	-1.17922324E+002	
-8.86797636E+000	-1.17911682E+002	
-8.84726305E+000	-1.17930491E+002	
-8.82654974E+000	-1.17920592E+002	
-8.80583644E+000	-1.17935846E+002	
-8.78512313E+000	-1.17935881E+002	
-8.76440983E+000	-1.17951870E+002	
-8.74369652E+000	-1.18012902E+002	
-8.72298322E+000	-1.18034653E+002	
-8.70226991E+000	-1.17968685E+002	
-8.68155661E+000	-1.17941185E+002	
-8.66084330E+000	-1.17976286E+002	
-8.64013000E+000	-1.17949787E+002	
-8.61941669E+000	-1.17911074E+002	
-8.59870339E+000	-1.17955063E+002	
-8.57799008E+000	-1.17957431E+002	
-8.55727678E+000	-1.17918027E+002	
-8.53656347E+000	-1.18035773E+002	
-8.51585017E+000	-1.18068191E+002	
-8.49513686E+000	-1.18079804E+002	
-8.47442355E+000	-1.18068043E+002	
-8.45371025E+000	-1.18103248E+002	
-8.43299694E+000	-1.18143060E+002	
-8.41228364E+000	-1.18108268E+002	
-8.39157033E+000	-1.18084374E+002	
-8.37085703E+000	-1.18134867E+002	
-8.35014372E+000	-1.18150674E+002	
-8.32943042E+000	-1.18164052E+002	
-8.30871711E+000	-1.18125713E+002	
-8.28800381E+000	-1.18161150E+002	
-8.26729050E+000	-1.18145431E+002	
-8.24657720E+000	-1.18136859E+002	
-8.22586389E+000	-1.18113604E+002	
-8.20515059E+000	-1.18160007E+002	
-8.18443728E+000	-1.18160380E+002	
-8.16372397E+000	-1.18146571E+002	
-8.14301067E+000	-1.18098486E+002	
-8.12229736E+000	-1.18113507E+002	
-8.10158406E+000	-1.18104848E+002	
-8.08087075E+000	-1.18096992E+002	
-8.06015745E+000	-1.18074288E+002	
-8.03944414E+000	-1.18020373E+002	
-8.01873084E+000	-1.18030105E+002	
-7.99801753E+000	-1.18006789E+002	
-7.97730423E+000	-1.17994612E+002	
-7.95659092E+000	-1.17956065E+002	
-7.93587762E+000	-1.17961821E+002	
-7.91516431E+000	-1.17995678E+002	
-7.89445101E+000	-1.17991332E+002	
-7.87373770E+000	-1.17970997E+002	
-7.85302439E+000	-1.17962251E+002	
-7.83231109E+000	-1.17949339E+002	
-7.81159778E+000	-1.17997885E+002	
-7.79088448E+000	-1.18020425E+002	
-7.77017117E+000	-1.18044874E+002	
-7.74945787E+000	-1.18065271E+002	
-7.72874456E+000	-1.18080089E+002	
-7.70803126E+000	-1.18041933E+002	
-7.68731795E+000	-1.18075216E+002	
-7.66660465E+000	-1.18066938E+002	
-7.64589134E+000	-1.18061570E+002	
-7.62517804E+000	-1.18047088E+002	
-7.60446473E+000	-1.17987360E+002	
-7.58375143E+000	-1.18003966E+002	
-7.56303812E+000	-1.18033325E+002	
-7.54232482E+000	-1.18097980E+002	
-7.52161151E+000	-1.18086795E+002	
-7.50089820E+000	-1.18107608E+002	
-7.48018490E+000	-1.18081715E+002	
-7.45947159E+000	-1.18131644E+002	
-7.43875829E+000	-1.18068904E+002	
-7.41804498E+000	-1.17983811E+002	
-7.39733168E+000	-1.18034755E+002	
-7.37661837E+000	-1.18049008E+002	
-7.35590507E+000	-1.18057128E+002	
-7.33519176E+000	-1.18073677E+002	
-7.31447846E+000	-1.18088406E+002	
-7.29376515E+000	-1.18063945E+002	
-7.27305185E+000	-1.18027712E+002	
-7.25233854E+000	-1.18056304E+002	
-7.23162524E+000	-1.18070081E+002	
-7.21091193E+000	-1.18059567E+002	
-7.19019862E+000	-1.18058433E+002	
-7.16948532E+000	-1.18107244E+002	
-7.14877201E+000	-1.18185705E+002	
-7.12805871E+000	-1.18242018E+002	
-7.10734540E+000	-1.18313506E+002	
-7.08663210E+000	-1.18347343E+002	
-7.06591879E+000	-1.18320584E+002	
-7.04520549E+000	-1.18305274E+002	
-7.02449218E+000	-1.18280103E+002	
-7.00377888E+000	-1.18239152E+002	
-6.98306557E+000	-1.18280540E+002	
-6.96235227E+000	-1.18238389E+002	
-6.94163896E+000	-1.18265161E+002	
-6.92092566E+000	-1.18336305E+002	
-6.90021235E+000	-1.18325986E+002	
-6.87949904E+000	-1.18295456E+002	
-6.85878574E+000	-1.18277985E+002	
-6.83807243E+000	-1.18302609E+002	
-6.81735913E+000	-1.18319029E+002	
-6.79664582E+000	-1.18276290E+002	
-6.77593252E+000	-1.18319958E+002	
-6.75521921E+000	-1.18277786E+002	
-6.73450591E+000	-1.18266318E+002	
-6.71379260E+000	-1.18238900E+002	
-6.69307930E+000	-1.18234994E+002	
-6.67236599E+000	-1.18183221E+002	
-6.65165269E+000	-1.18155688E+002	
-6.63093938E+000	-1.18174934E+002	
-6.61022608E+000	-1.18197027E+002	
-6.58951277E+000	-1.18192132E+002	
