Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20754973E+002	
-9.98649484E+000	-1.20423725E+002	
-9.96578154E+000	-1.20067653E+002	
-9.94506823E+000	-1.19802832E+002	
-9.92435493E+000	-1.19570930E+002	
-9.90364162E+000	-1.19328844E+002	
-9.88292832E+000	-1.19107598E+002	
-9.86221501E+000	-1.18893002E+002	
-9.84150171E+000	-1.18696844E+002	
-9.82078840E+000	-1.18516382E+002	
-9.80007509E+000	-1.18315445E+002	
-9.77936179E+000	-1.18121670E+002	
-9.75864848E+000	-1.18064832E+002	
-9.73793518E+000	-1.18078277E+002	
-9.71722187E+000	-1.18073916E+002	
-9.69650857E+000	-1.18074770E+002	
-9.67579526E+000	-1.18127122E+002	
-9.65508196E+000	-1.18113218E+002	
-9.63436865E+000	-1.18060493E+002	
-9.61365535E+000	-1.18059446E+002	
-9.59294204E+000	-1.18087665E+002	
-9.57222874E+000	-1.18110171E+002	
-9.55151543E+000	-1.18121278E+002	
-9.53080213E+000	-1.18117406E+002	
-9.51008882E+000	-1.18145286E+002	
-9.48937552E+000	-1.18166805E+002	
-9.46866221E+000	-1.18164592E+002	
-9.44794890E+000	-1.18134809E+002	
-9.42723560E+000	-1.18089674E+002	
-9.40652229E+000	-1.18084794E+002	
-9.38580899E+000	-1.18061609E+002	
-9.36509568E+000	-1.18054386E+002	
-9.34438238E+000	-1.18015038E+002	
-9.32366907E+000	-1.17983159E+002	
-9.30295577E+000	-1.17981011E+002	
-9.28224246E+000	-1.17992003E+002	
-9.26152916E+000	-1.17941167E+002	
-9.24081585E+000	-1.17880228E+002	
-9.22010255E+000	-1.17873230E+002	
-9.19938924E+000	-1.17910071E+002	
-9.17867594E+000	-1.17893852E+002	
-9.15796263E+000	-1.17894665E+002	
-9.13724932E+000	-1.17953862E+002	
-9.11653602E+000	-1.17962684E+002	
-9.09582271E+000	-1.17914373E+002	
-9.07510941E+000	-1.17923037E+002	
-9.05439610E+000	-1.17924717E+002	
-9.03368280E+000	-1.17799341E+002	
-9.01296949E+000	-1.17783050E+002	
-8.99225619E+000	-1.17787291E+002	
-8.97154288E+000	-1.17837198E+002	
-8.95082958E+000	-1.17855749E+002	
-8.93011627E+000	-1.17882699E+002	
-8.90940297E+000	-1.17906285E+002	
-8.88868966E+000	-1.17932723E+002	
-8.86797636E+000	-1.17925904E+002	
-8.84726305E+000	-1.17943937E+002	
-8.82654974E+000	-1.17934825E+002	
-8.80583644E+000	-1.17951734E+002	
-8.78512313E+000	-1.17954455E+002	
-8.76440983E+000	-1.17972808E+002	
-8.74369652E+000	-1.18037475E+002	
-8.72298322E+000	-1.18054381E+002	
-8.70226991E+000	-1.17982968E+002	
-8.68155661E+000	-1.17950528E+002	
-8.66084330E+000	-1.17982259E+002	
-8.64013000E+000	-1.17956014E+002	
-8.61941669E+000	-1.17914051E+002	
-8.59870339E+000	-1.17960887E+002	
-8.57799008E+000	-1.17958992E+002	
-8.55727678E+000	-1.17920563E+002	
-8.53656347E+000	-1.18034703E+002	
-8.51585017E+000	-1.18058761E+002	
-8.49513686E+000	-1.18061320E+002	
-8.47442355E+000	-1.18048490E+002	
-8.45371025E+000	-1.18077227E+002	
-8.43299694E+000	-1.18117278E+002	
-8.41228364E+000	-1.18082851E+002	
