Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20650473E+002	
-9.98649484E+000	-1.20320976E+002	
-9.96578154E+000	-1.19966187E+002	
-9.94506823E+000	-1.19703209E+002	
-9.92435493E+000	-1.19467773E+002	
-9.90364162E+000	-1.19229599E+002	
-9.88292832E+000	-1.19018226E+002	
-9.86221501E+000	-1.18805706E+002	
-9.84150171E+000	-1.18605658E+002	
-9.82078840E+000	-1.18427577E+002	
-9.80007509E+000	-1.18232826E+002	
-9.77936179E+000	-1.18035728E+002	
-9.75864848E+000	-1.17977419E+002	
-9.73793518E+000	-1.17985773E+002	
-9.71722187E+000	-1.17983155E+002	
-9.69650857E+000	-1.17985688E+002	
-9.67579526E+000	-1.18037701E+002	
-9.65508196E+000	-1.18022733E+002	
-9.63436865E+000	-1.17975280E+002	
-9.61365535E+000	-1.17980868E+002	
-9.59294204E+000	-1.18013486E+002	
-9.57222874E+000	-1.18037041E+002	
-9.55151543E+000	-1.18048432E+002	
-9.53080213E+000	-1.18040204E+002	
-9.51008882E+000	-1.18075817E+002	
-9.48937552E+000	-1.18101363E+002	
-9.46866221E+000	-1.18101654E+002	
-9.44794890E+000	-1.18072522E+002	
-9.42723560E+000	-1.18026993E+002	
-9.40652229E+000	-1.18021239E+002	
-9.38580899E+000	-1.17996054E+002	
-9.36509568E+000	-1.17988042E+002	
-9.34438238E+000	-1.17955079E+002	
-9.32366907E+000	-1.17928437E+002	
-9.30295577E+000	-1.17926695E+002	
-9.28224246E+000	-1.17944369E+002	
-9.26152916E+000	-1.17896894E+002	
-9.24081585E+000	-1.17841929E+002	
-9.22010255E+000	-1.17827387E+002	
-9.19938924E+000	-1.17866211E+002	
-9.17867594E+000	-1.17856495E+002	
-9.15796263E+000	-1.17863223E+002	
-9.13724932E+000	-1.17918964E+002	
-9.11653602E+000	-1.17921170E+002	
-9.09582271E+000	-1.17869484E+002	
-9.07510941E+000	-1.17875116E+002	
-9.05439610E+000	-1.17879284E+002	
-9.03368280E+000	-1.17754773E+002	
-9.01296949E+000	-1.17740340E+002	
-8.99225619E+000	-1.17744731E+002	
-8.97154288E+000	-1.17792874E+002	
-8.95082958E+000	-1.17812102E+002	
-8.93011627E+000	-1.17845269E+002	
-8.90940297E+000	-1.17868200E+002	
-8.88868966E+000	-1.17895809E+002	
-8.86797636E+000	-1.17882928E+002	
-8.84726305E+000	-1.17895876E+002	
-8.82654974E+000	-1.17882986E+002	
-8.80583644E+000	-1.17890968E+002	
-8.78512313E+000	-1.17888642E+002	
-8.76440983E+000	-1.17905034E+002	
-8.74369652E+000	-1.17963780E+002	
-8.72298322E+000	-1.17985023E+002	
-8.70226991E+000	-1.17914222E+002	
-8.68155661E+000	-1.17878000E+002	
-8.66084330E+000	-1.17905230E+002	
-8.64013000E+000	-1.17875279E+002	
-8.61941669E+000	-1.17835898E+002	
-8.59870339E+000	-1.17884807E+002	
-8.57799008E+000	-1.17887845E+002	
-8.55727678E+000	-1.17847973E+002	
-8.53656347E+000	-1.17963964E+002	
-8.51585017E+000	-1.17987507E+002	
-8.49513686E+000	-1.17991435E+002	
-8.47442355E+000	-1.17977346E+002	
-8.45371025E+000	-1.18002858E+002	
-8.43299694E+000	-1.18036866E+002	
-8.41228364E+000	-1.17997289E+002	
-8.39157033E+000	-1.17966261E+002	
-8.37085703E+000	-1.18013162E+002	
-8.35014372E+000	-1.18030719E+002	
-8.32943042E+000	-1.18052331E+002	
-8.30871711E+000	-1.18006272E+002	
-8.28800381E+000	-1.18043337E+002	
-8.26729050E+000	-1.18028758E+002	
-8.24657720E+000	-1.18021469E+002	
-8.22586389E+000	-1.18002769E+002	
