Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20548416E+002	
-9.98649484E+000	-1.20215295E+002	
-9.96578154E+000	-1.19854353E+002	
-9.94506823E+000	-1.19591169E+002	
-9.92435493E+000	-1.19356053E+002	
-9.90364162E+000	-1.19117427E+002	
-9.88292832E+000	-1.18904896E+002	
-9.86221501E+000	-1.18699136E+002	
-9.84150171E+000	-1.18501324E+002	
-9.82078840E+000	-1.18320747E+002	
-9.80007509E+000	-1.18119406E+002	
-9.77936179E+000	-1.17922980E+002	
-9.75864848E+000	-1.17863630E+002	
-9.73793518E+000	-1.17874498E+002	
-9.71722187E+000	-1.17874283E+002	
-9.69650857E+000	-1.17877562E+002	
-9.67579526E+000	-1.17933376E+002	
-9.65508196E+000	-1.17923223E+002	
-9.63436865E+000	-1.17871474E+002	
-9.61365535E+000	-1.17876010E+002	
-9.59294204E+000	-1.17904482E+002	
-9.57222874E+000	-1.17928663E+002	
-9.55151543E+000	-1.17939382E+002	
-9.53080213E+000	-1.17932316E+002	
-9.51008882E+000	-1.17963210E+002	
-9.48937552E+000	-1.17988957E+002	
-9.46866221E+000	-1.17991236E+002	
-9.44794890E+000	-1.17960882E+002	
-9.42723560E+000	-1.17918265E+002	
-9.40652229E+000	-1.17917757E+002	
-9.38580899E+000	-1.17897339E+002	
-9.36509568E+000	-1.17883720E+002	
-9.34438238E+000	-1.17848154E+002	
-9.32366907E+000	-1.17821668E+002	
-9.30295577E+000	-1.17819739E+002	
-9.28224246E+000	-1.17835297E+002	
-9.26152916E+000	-1.17791464E+002	
-9.24081585E+000	-1.17738380E+002	
-9.22010255E+000	-1.17730281E+002	
-9.19938924E+000	-1.17768050E+002	
-9.17867594E+000	-1.17755518E+002	
-9.15796263E+000	-1.17755400E+002	
-9.13724932E+000	-1.17813160E+002	
-9.11653602E+000	-1.17818937E+002	
-9.09582271E+000	-1.17770719E+002	
-9.07510941E+000	-1.17776660E+002	
-9.05439610E+000	-1.17781007E+002	
-9.03368280E+000	-1.17652950E+002	
-9.01296949E+000	-1.17643280E+002	
-8.99225619E+000	-1.17648586E+002	
-8.97154288E+000	-1.17702870E+002	
-8.95082958E+000	-1.17723105E+002	
-8.93011627E+000	-1.17756385E+002	
-8.90940297E+000	-1.17777783E+002	
-8.88868966E+000	-1.17800662E+002	
-8.86797636E+000	-1.17791954E+002	
-8.84726305E+000	-1.17803510E+002	
-8.82654974E+000	-1.17787516E+002	
-8.80583644E+000	-1.17804866E+002	
-8.78512313E+000	-1.17805952E+002	
-8.76440983E+000	-1.17819775E+002	
-8.74369652E+000	-1.17877744E+002	
-8.72298322E+000	-1.17896778E+002	
-8.70226991E+000	-1.17826474E+002	
-8.68155661E+000	-1.17792478E+002	
-8.66084330E+000	-1.17826788E+002	
-8.64013000E+000	-1.17798487E+002	
-8.61941669E+000	-1.17755524E+002	
-8.59870339E+000	-1.17801433E+002	
-8.57799008E+000	-1.17802345E+002	
-8.55727678E+000	-1.17760424E+002	
-8.53656347E+000	-1.17883652E+002	
-8.51585017E+000	-1.17906179E+002	
-8.49513686E+000	-1.17909507E+002	
-8.47442355E+000	-1.17893479E+002	
-8.45371025E+000	-1.17925353E+002	
-8.43299694E+000	-1.17963532E+002	
-8.41228364E+000	-1.17926733E+002	
-8.39157033E+000	-1.17900525E+002	
-8.37085703E+000	-1.17949344E+002	
-8.35014372E+000	-1.17967714E+002	
-8.32943042E+000	-1.17984756E+002	
-8.30871711E+000	-1.17941747E+002	
-8.28800381E+000	-1.17976483E+002	
-8.26729050E+000	-1.17958877E+002	
-8.24657720E+000	-1.17953311E+002	
-8.22586389E+000	-1.17925221E+002	
-8.20515059E+000	-1.17972583E+002	
-8.18443728E+000	-1.17974033E+002	
-8.16372397E+000	-1.17962254E+002	
-8.14301067E+000	-1.17916171E+002	
-8.12229736E+000	-1.17931362E+002	
-8.10158406E+000	-1.17925843E+002	
-8.08087075E+000	-1.17918167E+002	
-8.06015745E+000	-1.17900142E+002	
-8.03944414E+000	-1.17846493E+002	
-8.01873084E+000	-1.17859815E+002	
-7.99801753E+000	-1.17843523E+002	
-7.97730423E+000	-1.17839530E+002	
-7.95659092E+000	-1.17809205E+002	
-7.93587762E+000	-1.17815319E+002	
-7.91516431E+000	-1.17848789E+002	
-7.89445101E+000	-1.17842933E+002	
-7.87373770E+000	-1.17819128E+002	
-7.85302439E+000	-1.17815161E+002	
-7.83231109E+000	-1.17806254E+002	
-7.81159778E+000	-1.17862008E+002	
-7.79088448E+000	-1.17886897E+002	
-7.77017117E+000	-1.17914866E+002	
-7.74945787E+000	-1.17931710E+002	
-7.72874456E+000	-1.17947611E+002	
-7.70803126E+000	-1.17904329E+002	
-7.68731795E+000	-1.17934608E+002	
-7.66660465E+000	-1.17921709E+002	
-7.64589134E+000	-1.17918944E+002	
-7.62517804E+000	-1.17897240E+002	
-7.60446473E+000	-1.17831732E+002	
-7.58375143E+000	-1.17851225E+002	
-7.56303812E+000	-1.17882326E+002	
-7.54232482E+000	-1.17949831E+002	
-7.52161151E+000	-1.17934336E+002	
-7.50089820E+000	-1.17952159E+002	
-7.48018490E+000	-1.17922028E+002	
-7.45947159E+000	-1.17960722E+002	
-7.43875829E+000	-1.17894983E+002	
-7.41804498E+000	-1.17809154E+002	
-7.39733168E+000	-1.17864097E+002	
-7.37661837E+000	-1.17880606E+002	
-7.35590507E+000	-1.17889886E+002	
-7.33519176E+000	-1.17903179E+002	
-7.31447846E+000	-1.17915347E+002	
-7.29376515E+000	-1.17885916E+002	
-7.27305185E+000	-1.17851778E+002	
-7.25233854E+000	-1.17882138E+002	
-7.23162524E+000	-1.17893072E+002	
-7.21091193E+000	-1.17887776E+002	
-7.19019862E+000	-1.17885669E+002	
-7.16948532E+000	-1.17935901E+002	
-7.14877201E+000	-1.18007144E+002	
-7.12805871E+000	-1.18069573E+002	
-7.10734540E+000	-1.18146867E+002	
-7.08663210E+000	-1.18182602E+002	
-7.06591879E+000	-1.18159550E+002	
-7.04520549E+000	-1.18140999E+002	
-7.02449218E+000	-1.18117967E+002	
-7.00377888E+000	-1.18082390E+002	
-6.98306557E+000	-1.18124125E+002	
-6.96235227E+000	-1.18081534E+002	
-6.94163896E+000	-1.18105898E+002	
-6.92092566E+000	-1.18176727E+002	
-6.90021235E+000	-1.18161416E+002	
-6.87949904E+000	-1.18126884E+002	
-6.85878574E+000	-1.18109617E+002	
-6.83807243E+000	-1.18137142E+002	
-6.81735913E+000	-1.18156945E+002	
-6.79664582E+000	-1.18118158E+002	
-6.77593252E+000	-1.18156375E+002	
-6.75521921E+000	-1.18103111E+002	
-6.73450591E+000	-1.18094597E+002	
-6.71379260E+000	-1.18073597E+002	
-6.69307930E+000	-1.18076794E+002	
-6.67236599E+000	-1.18031631E+002	
-6.65165269E+000	-1.18005216E+002	
-6.63093938E+000	-1.18024889E+002	
-6.61022608E+000	-1.18046902E+002	
-6.58951277E+000	-1.18040129E+002	
-6.56879947E+000	-1.18032591E+002	
-6.54808616E+000	-1.18018310E+002	
-6.52737285E+000	-1.17992499E+002	
-6.50665955E+000	-1.18013252E+002	
-6.48594624E+000	-1.18052632E+002	
