Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20677515E+002	
-9.98649484E+000	-1.20348641E+002	
-9.96578154E+000	-1.19994411E+002	
-9.94506823E+000	-1.19730962E+002	
-9.92435493E+000	-1.19498778E+002	
-9.90364162E+000	-1.19254708E+002	
-9.88292832E+000	-1.19038853E+002	
-9.86221501E+000	-1.18825872E+002	
-9.84150171E+000	-1.18623048E+002	
-9.82078840E+000	-1.18444377E+002	
-9.80007509E+000	-1.18249057E+002	
-9.77936179E+000	-1.18051441E+002	
-9.75864848E+000	-1.17991544E+002	
-9.73793518E+000	-1.18004950E+002	
-9.71722187E+000	-1.18004157E+002	
-9.69650857E+000	-1.18000223E+002	
-9.67579526E+000	-1.18059483E+002	
-9.65508196E+000	-1.18045659E+002	
-9.63436865E+000	-1.17998884E+002	
-9.61365535E+000	-1.18001515E+002	
-9.59294204E+000	-1.18030192E+002	
-9.57222874E+000	-1.18053119E+002	
-9.55151543E+000	-1.18071558E+002	
-9.53080213E+000	-1.18065819E+002	
-9.51008882E+000	-1.18096424E+002	
-9.48937552E+000	-1.18119534E+002	
-9.46866221E+000	-1.18121456E+002	
-9.44794890E+000	-1.18091433E+002	
-9.42723560E+000	-1.18043460E+002	
-9.40652229E+000	-1.18040521E+002	
-9.38580899E+000	-1.18016059E+002	
-9.36509568E+000	-1.18006016E+002	
-9.34438238E+000	-1.17977417E+002	
-9.32366907E+000	-1.17949397E+002	
-9.30295577E+000	-1.17944526E+002	
-9.28224246E+000	-1.17957721E+002	
-9.26152916E+000	-1.17910002E+002	
-9.24081585E+000	-1.17853302E+002	
-9.22010255E+000	-1.17840012E+002	
-9.19938924E+000	-1.17881032E+002	
-9.17867594E+000	-1.17868855E+002	
-9.15796263E+000	-1.17869031E+002	
-9.13724932E+000	-1.17926116E+002	
-9.11653602E+000	-1.17928358E+002	
-9.09582271E+000	-1.17884560E+002	
-9.07510941E+000	-1.17890747E+002	
-9.05439610E+000	-1.17890112E+002	
-9.03368280E+000	-1.17769968E+002	
-9.01296949E+000	-1.17753802E+002	
-8.99225619E+000	-1.17752461E+002	
-8.97154288E+000	-1.17801682E+002	
-8.95082958E+000	-1.17821108E+002	
-8.93011627E+000	-1.17852051E+002	
-8.90940297E+000	-1.17877593E+002	
-8.88868966E+000	-1.17899711E+002	
-8.86797636E+000	-1.17889497E+002	
-8.84726305E+000	-1.17900777E+002	
