Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20439802E+002	
-9.98649484E+000	-1.20113885E+002	
-9.96578154E+000	-1.19768370E+002	
-9.94506823E+000	-1.19509397E+002	
-9.92435493E+000	-1.19279757E+002	
-9.90364162E+000	-1.19039537E+002	
-9.88292832E+000	-1.18823341E+002	
-9.86221501E+000	-1.18608351E+002	
-9.84150171E+000	-1.18409815E+002	
-9.82078840E+000	-1.18225082E+002	
-9.80007509E+000	-1.18024164E+002	
-9.77936179E+000	-1.17828853E+002	
-9.75864848E+000	-1.17771300E+002	
-9.73793518E+000	-1.17782852E+002	
-9.71722187E+000	-1.17778660E+002	
-9.69650857E+000	-1.17787635E+002	
-9.67579526E+000	-1.17850047E+002	
-9.65508196E+000	-1.17834872E+002	
-9.63436865E+000	-1.17781951E+002	
-9.61365535E+000	-1.17776757E+002	
-9.59294204E+000	-1.17807029E+002	
-9.57222874E+000	-1.17833994E+002	
-9.55151543E+000	-1.17848637E+002	
-9.53080213E+000	-1.17841901E+002	
-9.51008882E+000	-1.17874498E+002	
-9.48937552E+000	-1.17898661E+002	
-9.46866221E+000	-1.17891809E+002	
-9.44794890E+000	-1.17862801E+002	
-9.42723560E+000	-1.17812561E+002	
-9.40652229E+000	-1.17802857E+002	
-9.38580899E+000	-1.17777798E+002	
-9.36509568E+000	-1.17773006E+002	
-9.34438238E+000	-1.17734223E+002	
-9.32366907E+000	-1.17708595E+002	
-9.30295577E+000	-1.17707467E+002	
-9.28224246E+000	-1.17723535E+002	
-9.26152916E+000	-1.17676788E+002	
-9.24081585E+000	-1.17617134E+002	
-9.22010255E+000	-1.17609295E+002	
-9.19938924E+000	-1.17643095E+002	
-9.17867594E+000	-1.17620687E+002	
-9.15796263E+000	-1.17620683E+002	
-9.13724932E+000	-1.17682278E+002	
-9.11653602E+000	-1.17685265E+002	
-9.09582271E+000	-1.17638062E+002	
-9.07510941E+000	-1.17644790E+002	
-9.05439610E+000	-1.17642281E+002	
-9.03368280E+000	-1.17515479E+002	
-9.01296949E+000	-1.17504686E+002	
-8.99225619E+000	-1.17507078E+002	
-8.97154288E+000	-1.17563926E+002	
-8.95082958E+000	-1.17575352E+002	
-8.93011627E+000	-1.17611988E+002	
-8.90940297E+000	-1.17638397E+002	
-8.88868966E+000	-1.17663804E+002	
-8.86797636E+000	-1.17656327E+002	
-8.84726305E+000	-1.17669598E+002	
-8.82654974E+000	-1.17658550E+002	
-8.80583644E+000	-1.17674669E+002	
-8.78512313E+000	-1.17676074E+002	
-8.76440983E+000	-1.17689036E+002	
-8.74369652E+000	-1.17752619E+002	
-8.72298322E+000	-1.17764407E+002	
-8.70226991E+000	-1.17695620E+002	
-8.68155661E+000	-1.17671887E+002	
-8.66084330E+000	-1.17704115E+002	
-8.64013000E+000	-1.17669001E+002	
-8.61941669E+000	-1.17630676E+002	
-8.59870339E+000	-1.17676541E+002	
-8.57799008E+000	-1.17676450E+002	
-8.55727678E+000	-1.17642037E+002	
-8.53656347E+000	-1.17764475E+002	
-8.51585017E+000	-1.17786636E+002	
-8.49513686E+000	-1.17795518E+002	
-8.47442355E+000	-1.17777684E+002	
-8.45371025E+000	-1.17808412E+002	
-8.43299694E+000	-1.17840647E+002	
-8.41228364E+000	-1.17799291E+002	
-8.39157033E+000	-1.17775461E+002	
-8.37085703E+000	-1.17820811E+002	
-8.35014372E+000	-1.17837458E+002	
-8.32943042E+000	-1.17853180E+002	
-8.30871711E+000	-1.17809052E+002	
-8.28800381E+000	-1.17840514E+002	
-8.26729050E+000	-1.17825208E+002	
-8.24657720E+000	-1.17816997E+002	
