Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 15:53:54 5/20/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.06030   0.04166   0.99866   -0.03348   0.06030   0.04166   0.99866   -0.03348   97.32666
2   0.06033   0.04273   0.99872   -0.03333   0.06033   0.04273   0.99872   -0.03333   97.29614
3   0.06049   0.04285   0.99875   -0.03351   0.06049   0.04285   0.99875   -0.03351   97.27478
4   0.06054   0.04324   0.99878   -0.03378   0.06054   0.04324   0.99878   -0.03378   97.15576
5   0.06040   0.04151   0.99875   -0.03421   0.06040   0.04151   0.99875   -0.03421   97.25342
6   0.06038   0.04303   0.99866   -0.03391   0.06038   0.04303   0.99866   -0.03391   97.46704
7   0.06052   0.04279   0.99869   -0.03369   0.06052   0.04279   0.99869   -0.03369   97.14050
8   0.06046   0.04215   0.99875   -0.03253   0.06046   0.04215   0.99875   -0.03253   97.21069
9   0.06031   0.04239   0.99872   -0.03366   0.06031   0.04239   0.99872   -0.03366   97.37244
10   0.06035   0.04221   0.99863   -0.03366   0.06035   0.04221   0.99863   -0.03366   97.29919
11   0.06045   0.04172   0.99866   -0.03357   0.06045   0.04172   0.99866   -0.03357   97.28699
12   0.06047   0.04202   0.99869   -0.03354   0.06047   0.04202   0.99869   -0.03354   97.18323
13   0.06040   0.04233   0.99863   -0.03293   0.06040   0.04233   0.99863   -0.03293   97.31445
14   0.06045   0.04215   0.99869   -0.03375   0.06045   0.04215   0.99869   -0.03375   97.42432
15   0.06052   0.04233   0.99866   -0.03433   0.06052   0.04233   0.99866   -0.03433   97.21375
16   0.06052   0.04276   0.99863   -0.03391   0.06052   0.04276   0.99863   -0.03391   97.18323
17   0.06044   0.04135   0.99866   -0.03348   0.06044   0.04135   0.99866   -0.03348   97.34802
18   0.06048   0.04184   0.99878   -0.03415   0.06048   0.04184   0.99878   -0.03415   97.48535
19   0.06053   0.04236   0.99866   -0.03452   0.06053   0.04236   0.99866   -0.03452   97.20154
20   0.06043   0.04221   0.99863   -0.03394   0.06043   0.04221   0.99863   -0.03394   97.42126
21   0.06035   0.04242   0.99866   -0.03385   0.06035   0.04242   0.99866   -0.03385   97.29919
22   0.06046   0.04184   0.99866   -0.03427   0.06046   0.04184   0.99866   -0.03427   97.30225
23   0.06048   0.04263   0.99872   -0.03473   0.06048   0.04263   0.99872   -0.03473   97.21375
24   0.06043   0.04242   0.99866   -0.03363   0.06043   0.04242   0.99866   -0.03363   97.16492
