Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 15:55:38 5/20/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.05827   -0.01508   0.01791   -0.99982   0.05827   -0.01508   0.01791   -0.99982   99.71619
2   0.05831   -0.01495   0.01602   -0.99988   0.05831   -0.01495   0.01602   -0.99988   99.71619
3   0.05829   -0.01541   0.01645   -0.99988   0.05829   -0.01541   0.01645   -0.99988   99.84131
4   0.05824   -0.01614   0.01770   -0.99985   0.05824   -0.01614   0.01770   -0.99985   99.79553
5   0.05831   -0.01453   0.01807   -0.99982   0.05831   -0.01453   0.01807   -0.99982   99.68567
6   0.05825   -0.01575   0.01685   -0.99979   0.05825   -0.01575   0.01685   -0.99979   99.81079
7   0.05823   -0.01529   0.01758   -0.99979   0.05823   -0.01529   0.01758   -0.99979   99.87183
8   0.05827   -0.01682   0.01859   -0.99976   0.05827   -0.01682   0.01859   -0.99976   99.76196
9   0.05830   -0.01581   0.01761   -0.99976   0.05830   -0.01581   0.01761   -0.99976   99.70093
10   0.05825   -0.01526   0.01718   -0.99979   0.05825   -0.01526   0.01718   -0.99979   99.84131
11   0.05819   -0.01636   0.01639   -0.99988   0.05819   -0.01636   0.01639   -0.99988   99.85657
12   0.05820   -0.01483   0.01782   -0.99988   0.05820   -0.01483   0.01782   -0.99988   99.65210
13   0.05830   -0.01456   0.01749   -0.99976   0.05830   -0.01456   0.01749   -0.99976   99.62158
14   0.05821   -0.01541   0.01749   -0.99976   0.05821   -0.01541   0.01749   -0.99976   99.85657
15   0.05820   -0.01425   0.01712   -0.99988   0.05820   -0.01425   0.01712   -0.99988   99.90540
16   0.05830   -0.01477   0.01675   -0.99979   0.05830   -0.01477   0.01675   -0.99979   99.66736
17   0.05829   -0.01425   0.01822   -0.99988   0.05829   -0.01425   0.01822   -0.99988   99.70093
18   0.05823   -0.01535   0.01856   -0.99976   0.05823   -0.01535   0.01856   -0.99976   99.92065
19   0.05824   -0.01483   0.01794   -0.99982   0.05824   -0.01483   0.01794   -0.99982   99.84131
20   0.05830   -0.01523   0.01672   -0.99979   0.05830   -0.01523   0.01672   -0.99979   99.59106
21   0.05813   -0.01434   0.01611   -0.99979   0.05813   -0.01434   0.01611   -0.99979   99.69788
22   0.05812   -0.01514   0.01666   -0.99979   0.05812   -0.01514   0.01666   -0.99979   99.93591
23   0.05825   -0.01392   0.01630   -0.99979   0.05825   -0.01392   0.01630   -0.99979   99.77722
24   0.05829   -0.01492   0.01685   -0.99976   0.05829   -0.01492   0.01685   -0.99976   99.63684
25   0.05815   -0.01480   0.01724   -0.99982   0.05815   -0.01480   0.01724   -0.99982   99.73145
26   0.05811   -0.01520   0.01688   -0.99988   0.05811   -0.01520   0.01688   -0.99988   99.90540
27   0.05825   -0.01428   0.01804   -0.99976   0.05825   -0.01428   0.01804   -0.99976   99.74670
28   0.05833   -0.01489   0.01614   -0.99979   0.05833   -0.01489   0.01614   -0.99979   99.62158
29   0.05827   -0.01462   0.01669   -0.99982   0.05827   -0.01462   0.01669   -0.99982   99.77722
30   0.05817   -0.01694   0.01651   -0.99976   0.05817   -0.01694   0.01651   -0.99976   99.98169
31   0.05826   -0.01596   0.01645   -0.99985   0.05826   -0.01596   0.01645   -0.99985   99.74670
