Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 15:51:39 5/20/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.07067   0.99966   -0.02890   0.01331   0.07067   0.99966   -0.02890   0.01331   100.45166
2   0.07066   0.99966   -0.02835   0.01355   0.07066   0.99966   -0.02835   0.01355   100.45166
3   0.07066   0.99973   -0.02695   0.01434   0.07066   0.99973   -0.02695   0.01434   100.42725
4   0.07069   0.99969   -0.02817   0.01373   0.07069   0.99969   -0.02817   0.01373   100.43945
5   0.07069   0.99966   -0.02872   0.01267   0.07069   0.99966   -0.02872   0.01267   100.46387
6   0.07070   0.99969   -0.02799   0.01407   0.07070   0.99969   -0.02799   0.01407   100.43945
7   0.07072   0.99973   -0.02716   0.01337   0.07072   0.99973   -0.02716   0.01337   100.42419
8   0.07071   0.99969   -0.02820   0.01398   0.07071   0.99969   -0.02820   0.01398   100.43945
9   0.07074   0.99954   -0.02902   0.01361   0.07074   0.99954   -0.02902   0.01361   100.46387
10   0.07073   0.99973   -0.02762   0.01273   0.07073   0.99973   -0.02762   0.01273   100.43945
11   0.07071   0.99966   -0.02728   0.01447   0.07071   0.99966   -0.02728   0.01447   100.41199
12   0.07060   0.99963   -0.02792   0.01306   0.07060   0.99963   -0.02792   0.01306   100.45166
13   0.07073   0.99973   -0.02841   0.01358   0.07073   0.99973   -0.02841   0.01358   100.43945
14   0.07077   0.99963   -0.02811   0.01370   0.07077   0.99963   -0.02811   0.01370   100.45166
15   0.07069   0.99966   -0.02768   0.01389   0.07069   0.99966   -0.02768   0.01389   100.43945
16   0.07057   0.99966   -0.02774   0.01379   0.07057   0.99966   -0.02774   0.01379   100.43945
17   0.07069   0.99963   -0.02847   0.01306   0.07069   0.99963   -0.02847   0.01306   100.45166
18   0.07080   0.99973   -0.02756   0.01318   0.07080   0.99973   -0.02756   0.01318   100.43945
19   0.07083   0.99963   -0.02692   0.01386   0.07083   0.99963   -0.02692   0.01386   100.39978
20   0.07071   0.99973   -0.02750   0.01370   0.07071   0.99973   -0.02750   0.01370   100.43945
21   0.07065   0.99969   -0.02814   0.01346   0.07065   0.99969   -0.02814   0.01346   100.45166
22   0.07069   0.99963   -0.02808   0.01379   0.07069   0.99963   -0.02808   0.01379   100.45166
23   0.07071   0.99973   -0.02814   0.01440   0.07071   0.99973   -0.02814   0.01440   100.43945
24   0.07058   0.99963   -0.02725   0.01395   0.07058   0.99963   -0.02725   0.01395   100.43945
25   0.07062   0.99954   -0.02893   0.01386   0.07062   0.99954   -0.02893   0.01386   100.46387
26   0.07062   0.99973   -0.02664   0.01437   0.07062   0.99973   -0.02664   0.01437   100.41199
27   0.07067   0.99966   -0.02820   0.01370   0.07067   0.99966   -0.02820   0.01370   100.45166
28   0.07067   0.99973   -0.02875   0.01248   0.07067   0.99973   -0.02875   0.01248   100.45166
29   0.07068   0.99969   -0.02826   0.01282   0.07068   0.99969   -0.02826   0.01282   100.45166
30   0.07084   0.99966   -0.02722   0.01453   0.07084   0.99966   -0.02722   0.01453   100.39978
31   0.07071   0.99976   -0.02789   0.01450   0.07071   0.99976   -0.02789   0.01450   100.42725
32   0.07047   0.99973   -0.02841   0.01276   0.07047   0.99973   -0.02841   0.01276   100.45471
33   0.07065   0.99969   -0.02783   0.01410   0.07065   0.99969   -0.02783   0.01410   100.43945
34   0.07074   0.99969   -0.02713   0.01471   0.07074   0.99969   -0.02713   0.01471   100.42419
35   0.07062   0.99969   -0.02695   0.01321   0.07062   0.99969   -0.02695   0.01321   100.42725
36   0.07048   0.99966   -0.02847   0.01334   0.07048   0.99966   -0.02847   0.01334   100.45166
37   0.07058   0.99966   -0.02820   0.01315   0.07058   0.99966   -0.02820   0.01315   100.45166
38   0.07068   0.99969   -0.02701   0.01425   0.07068   0.99969   -0.02701   0.01425   100.41199
39   0.07064   0.99966   -0.02738   0.01373   0.07064   0.99966   -0.02738   0.01373   100.43945
40   0.07061   0.99963   -0.02789   0.01340   0.07061   0.99963   -0.02789   0.01340   100.45166
41   0.07065   0.99966   -0.02719   0.01373   0.07065   0.99966   -0.02719   0.01373   100.43945
42   0.07074   0.99966   -0.02792   0.01440   0.07074   0.99966   -0.02792   0.01440   100.43945
43   0.07068   0.99969   -0.02792   0.01413   0.07068   0.99969   -0.02792   0.01413   100.43945
44   0.07066   0.99966   -0.02734   0.01276   0.07066   0.99966   -0.02734   0.01276   100.43945
45   0.07067   0.99963   -0.02765   0.01410   0.07067   0.99963   -0.02765   0.01410   100.43945
46   0.07070   0.99969   -0.02771   0.01453   0.07070   0.99969   -0.02771   0.01453   100.39978
47   0.07059   0.99969   -0.02835   0.01349   0.07059   0.99969   -0.02835   0.01349   100.45166
48   0.07063   0.99969   -0.02789   0.01325   0.07063   0.99969   -0.02789   0.01325   100.43945
49   0.07061   0.99969   -0.02738   0.01465   0.07061   0.99969   -0.02738   0.01465   100.42725
50   0.07067   0.99973   -0.02765   0.01462   0.07067   0.99973   -0.02765   0.01462   100.42725
51   0.07063   0.99973   -0.02765   0.01382   0.07063   0.99973   -0.02765   0.01382   100.43945
52   0.07064   0.99969   -0.02753   0.01343   0.07064   0.99969   -0.02753   0.01343   100.43945
53   0.07066   0.99969   -0.02768   0.01444   0.07066   0.99969   -0.02768   0.01444   100.42725
54   0.07067   0.99969   -0.02771   0.01453   0.07067   0.99969   -0.02771   0.01453   100.43945
55   0.07070   0.99973   -0.02799   0.01355   0.07070   0.99973   -0.02799   0.01355   100.43945
56   0.07072   0.99976   -0.02802   0.01334   0.07072   0.99976   -0.02802   0.01334   100.43945
57   0.07068   0.99976   -0.02698   0.01410   0.07068   0.99976   -0.02698   0.01410   100.42725
58   0.07067   0.99969   -0.02780   0.01346   0.07067   0.99969   -0.02780   0.01346   100.43945
