Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 15:50:15 5/20/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.05332   -0.99823   0.05341   -0.03214   0.05332   -0.99823   0.05341   -0.03214   86.17554
2   0.05321   -0.99805   0.05527   -0.03009   0.05321   -0.99805   0.05527   -0.03009   86.19995
3   0.05329   -0.99796   0.05649   -0.03009   0.05329   -0.99796   0.05649   -0.03009   86.09924
4   0.05338   -0.99820   0.05371   -0.02988   0.05338   -0.99820   0.05371   -0.02988   85.98328
5   0.05329   -0.99786   0.05527   -0.03085   0.05329   -0.99786   0.05527   -0.03085   86.19995
6   0.05324   -0.99799   0.05594   -0.03195   0.05324   -0.99799   0.05594   -0.03195   86.30981
7   0.05329   -0.99823   0.05594   -0.02838   0.05329   -0.99823   0.05594   -0.02838   86.04736
8   0.05331   -0.99796   0.05622   -0.03076   0.05331   -0.99796   0.05622   -0.03076   86.12366
9   0.05318   -0.99796   0.05585   -0.03085   0.05318   -0.99796   0.05585   -0.03085   86.20911
10   0.05318   -0.99808   0.05390   -0.03018   0.05318   -0.99808   0.05390   -0.03018   86.24268
11   0.05335   -0.99802   0.05634   -0.02896   0.05335   -0.99802   0.05634   -0.02896   86.11450
12   0.05338   -0.99823   0.05493   -0.02957   0.05338   -0.99823   0.05493   -0.02957   86.07178
13   0.05310   -0.99817   0.05408   -0.03040   0.05310   -0.99817   0.05408   -0.03040   86.16943
14   0.05313   -0.99792   0.05506   -0.03217   0.05313   -0.99792   0.05506   -0.03217   86.33423
15   0.05339   -0.99796   0.05603   -0.02933   0.05339   -0.99796   0.05603   -0.02933   86.02295
16   0.05338   -0.99802   0.05731   -0.02911   0.05338   -0.99802   0.05731   -0.02911   86.01990
17   0.05317   -0.99817   0.05420   -0.03122   0.05317   -0.99817   0.05420   -0.03122   86.23962
18   0.05322   -0.99820   0.05469   -0.03122   0.05322   -0.99820   0.05469   -0.03122   86.15112
19   0.05333   -0.99823   0.05472   -0.03006   0.05333   -0.99823   0.05472   -0.03006   86.00769
20   0.05326   -0.99805   0.05521   -0.03058   0.05326   -0.99805   0.05521   -0.03058   86.14197
21   0.05316   -0.99808   0.05380   -0.03040   0.05316   -0.99808   0.05380   -0.03040   86.21826
22   0.05330   -0.99811   0.05502   -0.02942   0.05330   -0.99811   0.05502   -0.02942   86.11755
23   0.05331   -0.99823   0.05466   -0.03043   0.05331   -0.99823   0.05466   -0.03043   86.00159
24   0.05329   -0.99811   0.05402   -0.02960   0.05329   -0.99811   0.05402   -0.02960   86.01074
25   0.05324   -0.99789   0.05545   -0.03034   0.05324   -0.99789   0.05545   -0.03034   86.19080
26   0.05327   -0.99805   0.05557   -0.03021   0.05327   -0.99805   0.05557   -0.03021   86.14502
27   0.05332   -0.99805   0.05472   -0.03046   0.05332   -0.99805   0.05472   -0.03046   86.09009
28   0.05329   -0.99805   0.05554   -0.03021   0.05329   -0.99805   0.05554   -0.03021   86.11450
29   0.05326   -0.99796   0.05548   -0.03088   0.05326   -0.99796   0.05548   -0.03088   86.26404
30   0.05329   -0.99823   0.05567   -0.02957   0.05329   -0.99823   0.05567   -0.02957   86.11450
31   0.05329   -0.99814   0.05362   -0.03195   0.05329   -0.99814   0.05362   -0.03195   86.08093
32   0.05320   -0.99796   0.05579   -0.03073   0.05320   -0.99796   0.05579   -0.03073   86.14502
33   0.05323   -0.99786   0.05542   -0.03098   0.05323   -0.99786   0.05542   -0.03098   86.16943
34   0.05326   -0.99820   0.05527   -0.03058   0.05326   -0.99820   0.05527   -0.03058   86.10840
35   0.05327   -0.99805   0.05573   -0.02994   0.05327   -0.99805   0.05573   -0.02994   86.05957
36   0.05325   -0.99799   0.05524   -0.03162   0.05325   -0.99799   0.05524   -0.03162   86.15723
37   0.05330   -0.99823   0.05527   -0.03006   0.05330   -0.99823   0.05527   -0.03006   86.05042
38   0.05328   -0.99814   0.05399   -0.03055   0.05328   -0.99814   0.05399   -0.03055   86.09619
