Acquired on 5/14/2021 at 12:42:09
Calibrated on 5/14/2021 at 11:47:28
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20314851E+002	
-9.98649484E+000	-1.19990003E+002	
-9.96578154E+000	-1.19659658E+002	
-9.94506823E+000	-1.19396634E+002	
-9.92435493E+000	-1.19168577E+002	
-9.90364162E+000	-1.18938398E+002	
-9.88292832E+000	-1.18719808E+002	
-9.86221501E+000	-1.18506629E+002	
-9.84150171E+000	-1.18319974E+002	
-9.82078840E+000	-1.18145494E+002	
-9.80007509E+000	-1.17941096E+002	
-9.77936179E+000	-1.17751314E+002	
-9.75864848E+000	-1.17698447E+002	
-9.73793518E+000	-1.17733665E+002	
-9.71722187E+000	-1.17735039E+002	
-9.69650857E+000	-1.17743377E+002	
-9.67579526E+000	-1.17810850E+002	
-9.65508196E+000	-1.17795074E+002	
-9.63436865E+000	-1.17737647E+002	
-9.61365535E+000	-1.17733822E+002	
-9.59294204E+000	-1.17742110E+002	
-9.57222874E+000	-1.17777242E+002	
-9.55151543E+000	-1.17800620E+002	
-9.53080213E+000	-1.17782174E+002	
-9.51008882E+000	-1.17815582E+002	
-9.48937552E+000	-1.17839203E+002	
-9.46866221E+000	-1.17826755E+002	
-9.44794890E+000	-1.17807369E+002	
-9.42723560E+000	-1.17754576E+002	
-9.40652229E+000	-1.17734951E+002	
-9.38580899E+000	-1.17705730E+002	
-9.36509568E+000	-1.17697461E+002	
-9.34438238E+000	-1.17646448E+002	
-9.32366907E+000	-1.17609722E+002	
-9.30295577E+000	-1.17613756E+002	
-9.28224246E+000	-1.17621317E+002	
-9.26152916E+000	-1.17573872E+002	
-9.24081585E+000	-1.17506583E+002	
-9.22010255E+000	-1.17480994E+002	
-9.19938924E+000	-1.17512400E+002	
-9.17867594E+000	-1.17490506E+002	
-9.15796263E+000	-1.17479881E+002	
-9.13724932E+000	-1.17542484E+002	
-9.11653602E+000	-1.17547662E+002	
-9.09582271E+000	-1.17526087E+002	
-9.07510941E+000	-1.17519484E+002	
-9.05439610E+000	-1.17509527E+002	
-9.03368280E+000	-1.17393945E+002	
-9.01296949E+000	-1.17377815E+002	
-8.99225619E+000	-1.17373766E+002	
-8.97154288E+000	-1.17419566E+002	
-8.95082958E+000	-1.17427397E+002	
-8.93011627E+000	-1.17452507E+002	
-8.90940297E+000	-1.17480005E+002	
-8.88868966E+000	-1.17503448E+002	
-8.86797636E+000	-1.17491350E+002	
-8.84726305E+000	-1.17497554E+002	
-8.82654974E+000	-1.17480953E+002	
-8.80583644E+000	-1.17498875E+002	
-8.78512313E+000	-1.17494237E+002	
-8.76440983E+000	-1.17495640E+002	
-8.74369652E+000	-1.17559152E+002	
-8.72298322E+000	-1.17584626E+002	
-8.70226991E+000	-1.17522343E+002	
-8.68155661E+000	-1.17499487E+002	
-8.66084330E+000	-1.17526859E+002	
-8.64013000E+000	-1.17481402E+002	
-8.61941669E+000	-1.17437373E+002	
-8.59870339E+000	-1.17459456E+002	
-8.57799008E+000	-1.17459369E+002	
-8.55727678E+000	-1.17434590E+002	
-8.53656347E+000	-1.17551710E+002	
-8.51585017E+000	-1.17559466E+002	
-8.49513686E+000	-1.17559863E+002	
-8.47442355E+000	-1.17546412E+002	
-8.45371025E+000	-1.17563265E+002	
-8.43299694E+000	-1.17595807E+002	
-8.41228364E+000	-1.17563522E+002	
-8.39157033E+000	-1.17550238E+002	
-8.37085703E+000	-1.17594568E+002	
-8.35014372E+000	-1.17610221E+002	
-8.32943042E+000	-1.17644402E+002	
-8.30871711E+000	-1.17596373E+002	
-8.28800381E+000	-1.17628428E+002	
-8.26729050E+000	-1.17633635E+002	
-8.24657720E+000	-1.17625915E+002	
-8.22586389E+000	-1.17600391E+002	
-8.20515059E+000	-1.17650989E+002	
-8.18443728E+000	-1.17649497E+002	
-8.16372397E+000	-1.17635234E+002	
-8.14301067E+000	-1.17607128E+002	
-8.12229736E+000	-1.17623610E+002	
-8.10158406E+000	-1.17630875E+002	
-8.08087075E+000	-1.17631512E+002	
-8.06015745E+000	-1.17606021E+002	
-8.03944414E+000	-1.17553646E+002	
-8.01873084E+000	-1.17573195E+002	
-7.99801753E+000	-1.17570748E+002	
-7.97730423E+000	-1.17563430E+002	
-7.95659092E+000	-1.17542891E+002	
-7.93587762E+000	-1.17565586E+002	
-7.91516431E+000	-1.17605042E+002	
-7.89445101E+000	-1.17600625E+002	
-7.87373770E+000	-1.17576633E+002	
-7.85302439E+000	-1.17575920E+002	
-7.83231109E+000	-1.17552136E+002	
-7.81159778E+000	-1.17598655E+002	
-7.79088448E+000	-1.17622149E+002	
-7.77017117E+000	-1.17637249E+002	
-7.74945787E+000	-1.17648407E+002	
-7.72874456E+000	-1.17672924E+002	
-7.70803126E+000	-1.17636535E+002	
-7.68731795E+000	-1.17669976E+002	
-7.66660465E+000	-1.17665046E+002	
-7.64589134E+000	-1.17670292E+002	
-7.62517804E+000	-1.17670605E+002	
-7.60446473E+000	-1.17590982E+002	
-7.58375143E+000	-1.17603983E+002	
-7.56303812E+000	-1.17636894E+002	
-7.54232482E+000	-1.17698623E+002	
-7.52161151E+000	-1.17687852E+002	
-7.50089820E+000	-1.17697347E+002	
-7.48018490E+000	-1.17680873E+002	
-7.45947159E+000	-1.17728032E+002	
-7.43875829E+000	-1.17657235E+002	
-7.41804498E+000	-1.17576670E+002	
-7.39733168E+000	-1.17609551E+002	
-7.37661837E+000	-1.17606288E+002	
-7.35590507E+000	-1.17616345E+002	
-7.33519176E+000	-1.17642476E+002	
-7.31447846E+000	-1.17664437E+002	
-7.29376515E+000	-1.17647153E+002	
-7.27305185E+000	-1.17618051E+002	
-7.25233854E+000	-1.17644488E+002	
-7.23162524E+000	-1.17642809E+002	
-7.21091193E+000	-1.17629484E+002	
-7.19019862E+000	-1.17618018E+002	
-7.16948532E+000	-1.17661799E+002	
-7.14877201E+000	-1.17721727E+002	
-7.12805871E+000	-1.17765381E+002	
-7.10734540E+000	-1.17845029E+002	
-7.08663210E+000	-1.17889165E+002	
-7.06591879E+000	-1.17871539E+002	
-7.04520549E+000	-1.17868722E+002	
-7.02449218E+000	-1.17851067E+002	
-7.00377888E+000	-1.17819920E+002	
-6.98306557E+000	-1.17848490E+002	
-6.96235227E+000	-1.17807667E+002	
-6.94163896E+000	-1.17843589E+002	
-6.92092566E+000	-1.17902707E+002	
-6.90021235E+000	-1.17913486E+002	
-6.87949904E+000	-1.17901317E+002	
-6.85878574E+000	-1.17880999E+002	
-6.83807243E+000	-1.17900197E+002	
-6.81735913E+000	-1.17914443E+002	
-6.79664582E+000	-1.17867280E+002	
-6.77593252E+000	-1.17899417E+002	
-6.75521921E+000	-1.17848172E+002	
-6.73450591E+000	-1.17847609E+002	
-6.71379260E+000	-1.17829613E+002	
-6.69307930E+000	-1.17831960E+002	
-6.67236599E+000	-1.17794133E+002	
-6.65165269E+000	-1.17778903E+002	
-6.63093938E+000	-1.17783886E+002	
-6.61022608E+000	-1.17793011E+002	
-6.58951277E+000	-1.17788299E+002	
-6.56879947E+000	-1.17769980E+002	
-6.54808616E+000	-1.17735173E+002	
-6.52737285E+000	-1.17714279E+002	
-6.50665955E+000	-1.17744944E+002	
-6.48594624E+000	-1.17785942E+002	
-6.46523294E+000	-1.17820487E+002	
-6.44451963E+000	-1.17751208E+002	
-6.42380633E+000	-1.17704388E+002	
-6.40309302E+000	-1.17690461E+002	
-6.38237972E+000	-1.17663038E+002	
-6.36166641E+000	-1.17658593E+002	
-6.34095311E+000	-1.17658689E+002	
-6.32023980E+000	-1.17651808E+002	
-6.29952650E+000	-1.17673489E+002	
-6.27881319E+000	-1.17647899E+002	
-6.25809989E+000	-1.17665682E+002	
-6.23738658E+000	-1.17659900E+002	
-6.21667327E+000	-1.17644391E+002	
-6.19595997E+000	-1.17649922E+002	
-6.17524666E+000	-1.17635044E+002	
-6.15453336E+000	-1.17641031E+002	
-6.13382005E+000	-1.17628245E+002	
-6.11310675E+000	-1.17636971E+002	
-6.09239344E+000	-1.17630773E+002	
-6.07168014E+000	-1.17586085E+002	
-6.05096683E+000	-1.17658164E+002	
-6.03025353E+000	-1.17671542E+002	
-6.00954022E+000	-1.17642100E+002	
-5.98882692E+000	-1.17591043E+002	
-5.96811361E+000	-1.17596347E+002	
-5.94740031E+000	-1.17643196E+002	
-5.92668700E+000	-1.17687639E+002	
-5.90597369E+000	-1.17700176E+002	
-5.88526039E+000	-1.17745138E+002	
-5.86454708E+000	-1.17771735E+002	
-5.84383378E+000	-1.17739438E+002	
-5.82312047E+000	-1.17744626E+002	
-5.80240717E+000	-1.17705594E+002	
-5.78169386E+000	-1.17711135E+002	
-5.76098056E+000	-1.17713054E+002	
-5.74026725E+000	-1.17711734E+002	
-5.71955395E+000	-1.17742826E+002	
-5.69884064E+000	-1.17742831E+002	
-5.67812734E+000	-1.17764576E+002	
-5.65741403E+000	-1.17760301E+002	
-5.63670073E+000	-1.17763982E+002	
-5.61598742E+000	-1.17739644E+002	
-5.59527412E+000	-1.17696121E+002	
-5.57456081E+000	-1.17757521E+002	
-5.55384750E+000	-1.17680427E+002	
-5.53313420E+000	-1.17605946E+002	
-5.51242089E+000	-1.17623435E+002	
-5.49170759E+000	-1.17632938E+002	
-5.47099428E+000	-1.17614421E+002	
-5.45028098E+000	-1.17658321E+002	
-5.42956767E+000	-1.17699482E+002	
-5.40885437E+000	-1.17682628E+002	
-5.38814106E+000	-1.17669590E+002	
-5.36742776E+000	-1.17647341E+002	
-5.34671445E+000	-1.17683153E+002	
-5.32600115E+000	-1.17693724E+002	
-5.30528784E+000	-1.17718668E+002	
-5.28457454E+000	-1.17701026E+002	
-5.26386123E+000	-1.17683295E+002	
-5.24314792E+000	-1.17625988E+002	
-5.22243462E+000	-1.17606625E+002	
-5.20172131E+000	-1.17608492E+002	
-5.18100801E+000	-1.17575050E+002	
-5.16029470E+000	-1.17567023E+002	
