Acquired on 5/14/2021 at 12:47:06
Calibrated on 5/14/2021 at 11:47:28
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.16290595E+002	
-9.98649484E+000	-1.15927256E+002	
-9.96578154E+000	-1.15630044E+002	
-9.94506823E+000	-1.15355588E+002	
-9.92435493E+000	-1.15014810E+002	
-9.90364162E+000	-1.14741829E+002	
-9.88292832E+000	-1.14519458E+002	
-9.86221501E+000	-1.14315175E+002	
-9.84150171E+000	-1.14112912E+002	
-9.82078840E+000	-1.13924592E+002	
-9.80007509E+000	-1.13697649E+002	
-9.77936179E+000	-1.13553098E+002	
-9.75864848E+000	-1.13463576E+002	
-9.73793518E+000	-1.13397573E+002	
-9.71722187E+000	-1.13365652E+002	
-9.69650857E+000	-1.13309423E+002	
-9.67579526E+000	-1.13302596E+002	
-9.65508196E+000	-1.13281854E+002	
-9.63436865E+000	-1.13282110E+002	
-9.61365535E+000	-1.13270349E+002	
-9.59294204E+000	-1.13320399E+002	
-9.57222874E+000	-1.13320239E+002	
-9.55151543E+000	-1.13316435E+002	
-9.53080213E+000	-1.13324153E+002	
-9.51008882E+000	-1.13362158E+002	
-9.48937552E+000	-1.13433302E+002	
-9.46866221E+000	-1.13399248E+002	
-9.44794890E+000	-1.13367281E+002	
-9.42723560E+000	-1.13405098E+002	
-9.40652229E+000	-1.13425033E+002	
-9.38580899E+000	-1.13418501E+002	
-9.36509568E+000	-1.13416491E+002	
-9.34438238E+000	-1.13405984E+002	
-9.32366907E+000	-1.13400223E+002	
-9.30295577E+000	-1.13442914E+002	
-9.28224246E+000	-1.13383028E+002	
-9.26152916E+000	-1.13398867E+002	
-9.24081585E+000	-1.13412307E+002	
-9.22010255E+000	-1.13465335E+002	
-9.19938924E+000	-1.13555974E+002	
-9.17867594E+000	-1.13521334E+002	
-9.15796263E+000	-1.13522186E+002	
-9.13724932E+000	-1.13475797E+002	
-9.11653602E+000	-1.13460060E+002	
-9.09582271E+000	-1.13376370E+002	
-9.07510941E+000	-1.13345728E+002	
-9.05439610E+000	-1.13342014E+002	
-9.03368280E+000	-1.13336902E+002	
-9.01296949E+000	-1.13355313E+002	
-8.99225619E+000	-1.13302635E+002	
-8.97154288E+000	-1.13365415E+002	
-8.95082958E+000	-1.13395370E+002	
-8.93011627E+000	-1.13368052E+002	
-8.90940297E+000	-1.13412757E+002	
-8.88868966E+000	-1.13411695E+002	
-8.86797636E+000	-1.13381356E+002	
-8.84726305E+000	-1.13390772E+002	
-8.82654974E+000	-1.13382887E+002	
-8.80583644E+000	-1.13397108E+002	
-8.78512313E+000	-1.13453845E+002	
-8.76440983E+000	-1.13440777E+002	
-8.74369652E+000	-1.13446822E+002	
-8.72298322E+000	-1.13397621E+002	
-8.70226991E+000	-1.13341006E+002	
-8.68155661E+000	-1.13340380E+002	
-8.66084330E+000	-1.13358297E+002	
-8.64013000E+000	-1.13409817E+002	
-8.61941669E+000	-1.13424185E+002	
-8.59870339E+000	-1.13467953E+002	
-8.57799008E+000	-1.13484395E+002	
-8.55727678E+000	-1.13510998E+002	
-8.53656347E+000	-1.13499148E+002	
-8.51585017E+000	-1.13469216E+002	
-8.49513686E+000	-1.13489518E+002	
-8.47442355E+000	-1.13459167E+002	
-8.45371025E+000	-1.13430726E+002	
-8.43299694E+000	-1.13479887E+002	
-8.41228364E+000	-1.13361497E+002	
-8.39157033E+000	-1.13354168E+002	
-8.37085703E+000	-1.13417128E+002	
-8.35014372E+000	-1.13476364E+002	
-8.32943042E+000	-1.13442204E+002	
-8.30871711E+000	-1.13373117E+002	
-8.28800381E+000	-1.13354044E+002	
-8.26729050E+000	-1.13321723E+002	
-8.24657720E+000	-1.13289708E+002	
-8.22586389E+000	-1.13370870E+002	
-8.20515059E+000	-1.13409686E+002	
-8.18443728E+000	-1.13465612E+002	
-8.16372397E+000	-1.13471528E+002	
-8.14301067E+000	-1.13478950E+002	
-8.12229736E+000	-1.13454995E+002	
-8.10158406E+000	-1.13466523E+002	
-8.08087075E+000	-1.13470162E+002	
-8.06015745E+000	-1.13504151E+002	
-8.03944414E+000	-1.13496142E+002	
-8.01873084E+000	-1.13509202E+002	
-7.99801753E+000	-1.13558159E+002	
