Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:41:24 5/3/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08521   0.99643   -0.04508   0.07312   0.08521   0.99643   -0.04508   0.07312   100.57983
2   0.08534   0.99640   -0.04486   0.07352   0.08534   0.99640   -0.04486   0.07352   100.57678
3   0.08540   0.99646   -0.04453   0.07392   0.08540   0.99646   -0.04453   0.07392   100.54626
4   0.08534   0.99646   -0.04526   0.07324   0.08534   0.99646   -0.04526   0.07324   100.57678
5   0.08524   0.99643   -0.04544   0.07300   0.08524   0.99643   -0.04544   0.07300   100.57983
6   0.08530   0.99643   -0.04501   0.07361   0.08530   0.99643   -0.04501   0.07361   100.55542
7   0.08537   0.99646   -0.04483   0.07324   0.08537   0.99646   -0.04483   0.07324   100.55542
8   0.08530   0.99646   -0.04572   0.07257   0.08530   0.99646   -0.04572   0.07257   100.58899
9   0.08524   0.99634   -0.04532   0.07382   0.08524   0.99634   -0.04532   0.07382   100.57983
10   0.08520   0.99640   -0.04474   0.07379   0.08520   0.99640   -0.04474   0.07379   100.55847
11   0.08535   0.99643   -0.04505   0.07303   0.08535   0.99643   -0.04505   0.07303   100.57678
12   0.08533   0.99643   -0.04593   0.07257   0.08533   0.99643   -0.04593   0.07257   100.58899
13   0.08539   0.99637   -0.04489   0.07401   0.08539   0.99637   -0.04489   0.07401   100.54626
14   0.08541   0.99649   -0.04501   0.07337   0.08541   0.99649   -0.04501   0.07337   100.56763
15   0.08516   0.99643   -0.04498   0.07306   0.08516   0.99643   -0.04498   0.07306   100.57983
16   0.08512   0.99646   -0.04517   0.07294   0.08512   0.99646   -0.04517   0.07294   100.57983
17   0.08539   0.99640   -0.04553   0.07312   0.08539   0.99640   -0.04553   0.07312   100.53406
18   0.08537   0.99646   -0.04559   0.07312   0.08537   0.99646   -0.04559   0.07312   100.57678
19   0.08521   0.99646   -0.04547   0.07285   0.08521   0.99646   -0.04547   0.07285   100.57983
20   0.08520   0.99649   -0.04511   0.07327   0.08520   0.99649   -0.04511   0.07327   100.56763
21   0.08538   0.99646   -0.04529   0.07312   0.08538   0.99646   -0.04529   0.07312   100.52490
