Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 14:42:43 5/17/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09577   -0.48241   0.85113   0.20771   0.09577   -0.48241   0.85113   0.20771   89.00452
2   0.09601   -0.48250   0.85122   0.20728   0.09601   -0.48250   0.85122   0.20728   89.03198
3   0.09606   -0.48289   0.85076   0.20783   0.09606   -0.48289   0.85076   0.20783   88.98010
4   0.09602   -0.48357   0.85046   0.20804   0.09602   -0.48357   0.85046   0.20804   89.01367
5   0.09605   -0.48335   0.85052   0.20750   0.09605   -0.48335   0.85052   0.20750   88.98926
6   0.09607   -0.48347   0.85052   0.20771   0.09607   -0.48347   0.85052   0.20771   88.94348
7   0.09604   -0.48430   0.85018   0.20701   0.09604   -0.48430   0.85018   0.20701   89.05334
8   0.09609   -0.48341   0.85064   0.20704   0.09609   -0.48341   0.85064   0.20704   89.05945
9   0.09613   -0.48344   0.85052   0.20759   0.09613   -0.48344   0.85052   0.20759   88.93127
10   0.09607   -0.48311   0.85098   0.20621   0.09607   -0.48311   0.85098   0.20621   89.00146
11   0.09599   -0.48332   0.85070   0.20722   0.09599   -0.48332   0.85070   0.20722   89.01062
12   0.09593   -0.48442   0.85003   0.20707   0.09593   -0.48442   0.85003   0.20707   88.94653
13   0.09602   -0.48433   0.84991   0.20808   0.09602   -0.48433   0.84991   0.20808   88.86108
14   0.09598   -0.48427   0.85006   0.20737   0.09598   -0.48427   0.85006   0.20737   88.93433
15   0.09597   -0.48534   0.84970   0.20634   0.09597   -0.48534   0.84970   0.20634   88.97095
16   0.09601   -0.48555   0.84945   0.20682   0.09601   -0.48555   0.84945   0.20682   89.03198
17   0.09609   -0.48564   0.84945   0.20698   0.09609   -0.48564   0.84945   0.20698   88.98315
18   0.09617   -0.48415   0.85009   0.20771   0.09617   -0.48415   0.85009   0.20771   88.93738
19   0.09615   -0.48317   0.85034   0.20887   0.09615   -0.48317   0.85034   0.20887   88.95264
20   0.09600   -0.48299   0.85031   0.20954   0.09600   -0.48299   0.85031   0.20954   88.86719
21   0.09598   -0.48350   0.85052   0.20774   0.09598   -0.48350   0.85052   0.20774   88.96179
