Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 14:40:58 5/17/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09500   -0.16999   -0.90292   -0.39500   0.09500   -0.16999   -0.90292   -0.39500   101.25122
2   0.09495   -0.17063   -0.90286   -0.39457   0.09495   -0.17063   -0.90286   -0.39457   101.28174
3   0.09488   -0.17060   -0.90310   -0.39418   0.09488   -0.17060   -0.90310   -0.39418   101.33057
4   0.09469   -0.16990   -0.90374   -0.39317   0.09469   -0.16990   -0.90374   -0.39317   101.22681
5   0.09477   -0.16956   -0.90399   -0.39259   0.09477   -0.16956   -0.90399   -0.39259   101.19629
6   0.09489   -0.17005   -0.90310   -0.39445   0.09489   -0.17005   -0.90310   -0.39445   101.32141
7   0.09490   -0.17032   -0.90332   -0.39393   0.09490   -0.17032   -0.90332   -0.39393   101.26343
8   0.09483   -0.17072   -0.90356   -0.39314   0.09483   -0.17072   -0.90356   -0.39314   101.20544
9   0.09482   -0.17106   -0.90295   -0.39445   0.09482   -0.17106   -0.90295   -0.39445   101.26343
10   0.09483   -0.17081   -0.90295   -0.39454   0.09483   -0.17081   -0.90295   -0.39454   101.29089
11   0.09489   -0.17084   -0.90304   -0.39418   0.09489   -0.17084   -0.90304   -0.39418   101.23291
12   0.09494   -0.17093   -0.90411   -0.39171   0.09494   -0.17093   -0.90411   -0.39171   101.17493
13   0.09489   -0.17158   -0.90332   -0.39302   0.09489   -0.17158   -0.90332   -0.39302   101.23291
14   0.09486   -0.17093   -0.90396   -0.39210   0.09486   -0.17093   -0.90396   -0.39210   101.23291
15   0.09495   -0.16962   -0.90429   -0.39174   0.09495   -0.16962   -0.90429   -0.39174   101.20239
16   0.09497   -0.17014   -0.90393   -0.39247   0.09497   -0.17014   -0.90393   -0.39247   101.24207
17   0.09495   -0.17002   -0.90356   -0.39332   0.09495   -0.17002   -0.90356   -0.39332   101.30920
18   0.09485   -0.16999   -0.90378   -0.39314   0.09485   -0.16999   -0.90378   -0.39314   101.26343
19   0.09483   -0.17054   -0.90371   -0.39296   0.09483   -0.17054   -0.90371   -0.39296   101.18713
20   0.09488   -0.16852   -0.90457   -0.39164   0.09488   -0.16852   -0.90457   -0.39164   101.21460
21   0.09487   -0.16977   -0.90368   -0.39314   0.09487   -0.16977   -0.90368   -0.39314   101.32141
22   0.09495   -0.17057   -0.90356   -0.39317   0.09495   -0.17057   -0.90356   -0.39317   101.30920
23   0.09500   -0.17127   -0.90252   -0.39531   0.09500   -0.17127   -0.90252   -0.39531   101.21155
24   0.09494   -0.17078   -0.90316   -0.39378   0.09494   -0.17078   -0.90316   -0.39378   101.23291
25   0.09492   -0.17054   -0.90249   -0.39567   0.09492   -0.17054   -0.90249   -0.39567   101.36719
26   0.09498   -0.17078   -0.90277   -0.39482   0.09498   -0.17078   -0.90277   -0.39482   101.28174
