Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 16:23:50 5/18/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.07961   0.88711   -0.41691   0.19874   0.07961   0.88711   -0.41691   0.19874   102.23999
2   0.07971   0.88684   -0.41816   0.19703   0.07971   0.88684   -0.41816   0.19703   102.24915
3   0.07969   0.88665   -0.41810   0.19810   0.07969   0.88665   -0.41810   0.19810   102.19421
4   0.07968   0.88659   -0.41835   0.19755   0.07968   0.88659   -0.41835   0.19755   102.18201
5   0.07962   0.88675   -0.41853   0.19712   0.07962   0.88675   -0.41853   0.19712   102.25220
6   0.07954   0.88681   -0.41838   0.19669   0.07954   0.88681   -0.41838   0.19669   102.28882
7   0.07966   0.88702   -0.41774   0.19718   0.07966   0.88702   -0.41774   0.19718   102.19421
8   0.07964   0.88665   -0.41847   0.19718   0.07964   0.88665   -0.41847   0.19718   102.22778
9   0.07965   0.88653   -0.41926   0.19617   0.07965   0.88653   -0.41926   0.19617   102.27356
10   0.07959   0.88690   -0.41780   0.19782   0.07959   0.88690   -0.41780   0.19782   102.28882
11   0.07970   0.88678   -0.41826   0.19715   0.07970   0.88678   -0.41826   0.19715   102.22778
12   0.07970   0.88653   -0.41835   0.19828   0.07970   0.88653   -0.41835   0.19828   102.20337
13   0.07964   0.88687   -0.41813   0.19712   0.07964   0.88687   -0.41813   0.19712   102.28577
14   0.07966   0.88650   -0.41865   0.19764   0.07966   0.88650   -0.41865   0.19764   102.29797
15   0.07975   0.88650   -0.41865   0.19816   0.07975   0.88650   -0.41865   0.19816   102.17896
16   0.07976   0.88690   -0.41844   0.19639   0.07976   0.88690   -0.41844   0.19639   102.20337
17   0.07964   0.88656   -0.41865   0.19742   0.07964   0.88656   -0.41865   0.19742   102.27356
18   0.07966   0.88678   -0.41810   0.19791   0.07966   0.88678   -0.41810   0.19791   102.21558
19   0.07969   0.88675   -0.41835   0.19755   0.07969   0.88675   -0.41835   0.19755   102.16980
20   0.07961   0.88690   -0.41792   0.19736   0.07961   0.88690   -0.41792   0.19736   102.23083
21   0.07957   0.88656   -0.41838   0.19776   0.07957   0.88656   -0.41838   0.19776   102.30103
22   0.07964   0.88681   -0.41792   0.19773   0.07964   0.88681   -0.41792   0.19773   102.25220
23   0.07974   0.88672   -0.41850   0.19724   0.07974   0.88672   -0.41850   0.19724   102.17896
24   0.07966   0.88687   -0.41801   0.19749   0.07966   0.88687   -0.41801   0.19749   102.25220
25   0.07960   0.88702   -0.41823   0.19593   0.07960   0.88702   -0.41823   0.19593   102.29797
26   0.07966   0.88714   -0.41780   0.19614   0.07966   0.88714   -0.41780   0.19614   102.21558
27   0.07967   0.88690   -0.41768   0.19776   0.07967   0.88690   -0.41768   0.19776   102.19421
28   0.07967   0.88668   -0.41868   0.19697   0.07967   0.88668   -0.41868   0.19697   102.25220
29   0.07968   0.88610   -0.41911   0.19855   0.07968   0.88610   -0.41911   0.19855   102.24915
30   0.07974   0.88626   -0.41887   0.19825   0.07974   0.88626   -0.41887   0.19825   102.23694
31   0.07970   0.88647   -0.41914   0.19681   0.07970   0.88647   -0.41914   0.19681   102.21558
32   0.07963   0.88699   -0.41786   0.19739   0.07963   0.88699   -0.41786   0.19739   102.25220
33   0.07962   0.88672   -0.41826   0.19739   0.07962   0.88672   -0.41826   0.19739   102.20642
34   0.07966   0.88668   -0.41899   0.19633   0.07966   0.88668   -0.41899   0.19633   102.20642
35   0.07961   0.88668   -0.41826   0.19755   0.07961   0.88668   -0.41826   0.19755   102.26440
36   0.07959   0.88656   -0.41856   0.19782   0.07959   0.88656   -0.41856   0.19782   102.24304
37   0.07968   0.88638   -0.41853   0.19822   0.07968   0.88638   -0.41853   0.19822   102.20337
38   0.07967   0.88662   -0.41856   0.19745   0.07967   0.88662   -0.41856   0.19745   102.26135
39   0.07969   0.88702   -0.41829   0.19599   0.07969   0.88702   -0.41829   0.19599   102.29492
40   0.07969   0.88659   -0.41862   0.19745   0.07969   0.88659   -0.41862   0.19745   102.22778
41   0.07976   0.88675   -0.41826   0.19718   0.07976   0.88675   -0.41826   0.19718   102.20337
42   0.07969   0.88681   -0.41801   0.19742   0.07969   0.88681   -0.41801   0.19742   102.26135
43   0.07958   0.88589   -0.42061   0.19666   0.07958   0.88589   -0.42061   0.19666   102.32239
44   0.07970   0.88672   -0.41911   0.19575   0.07970   0.88672   -0.41911   0.19575   102.15759
45   0.07966   0.88635   -0.41914   0.19687   0.07966   0.88635   -0.41914   0.19687   102.20642
46   0.07962   0.88638   -0.41905   0.19697   0.07962   0.88638   -0.41905   0.19697   102.31018
47   0.07953   0.88659   -0.41893   0.19663   0.07953   0.88659   -0.41893   0.19663   102.28882
48   0.07970   0.88568   -0.42039   0.19770   0.07970   0.88568   -0.42039   0.19770   102.16980
49   0.07967   0.88586   -0.42033   0.19733   0.07967   0.88586   -0.42033   0.19733   102.19421
50   0.07962   0.88644   -0.41932   0.19691   0.07962   0.88644   -0.41932   0.19691   102.29797
51   0.07961   0.88610   -0.41957   0.19773   0.07961   0.88610   -0.41957   0.19773   102.23999
52   0.07972   0.88586   -0.41981   0.19819   0.07972   0.88586   -0.41981   0.19819   102.15759
53   0.07966   0.88665   -0.41899   0.19623   0.07966   0.88665   -0.41899   0.19623   102.21558
54   0.07959   0.88647   -0.41972   0.19498   0.07959   0.88647   -0.41972   0.19498   102.32239
55   0.07965   0.88678   -0.41939   0.19532   0.07965   0.88678   -0.41939   0.19532   102.22778
56   0.07966   0.88595   -0.42064   0.19572   0.07966   0.88595   -0.42064   0.19572   102.23999
57   0.07970   0.88610   -0.41963   0.19727   0.07970   0.88610   -0.41963   0.19727   102.24915
58   0.07968   0.88580   -0.42027   0.19730   0.07968   0.88580   -0.42027   0.19730   102.30713
