Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 16:24:53 5/18/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.07939   0.89096   -0.41206   0.19169   0.07939   0.89096   -0.41206   0.19169   102.32849
2   0.07949   0.89142   -0.41124   0.19105   0.07949   0.89142   -0.41124   0.19105   102.24304
3   0.07956   0.89154   -0.41069   0.19181   0.07956   0.89154   -0.41069   0.19181   102.18506
4   0.07959   0.89080   -0.41261   0.19095   0.07959   0.89080   -0.41261   0.19095   102.26440
5   0.07953   0.89087   -0.41270   0.19098   0.07953   0.89087   -0.41270   0.19098   102.32544
6   0.07955   0.89099   -0.41215   0.19111   0.07955   0.89099   -0.41215   0.19111   102.24304
7   0.07956   0.89123   -0.41133   0.19184   0.07956   0.89123   -0.41133   0.19184   102.21863
8   0.07954   0.89117   -0.41142   0.19138   0.07954   0.89117   -0.41142   0.19138   102.26746
9   0.07953   0.89108   -0.41160   0.19184   0.07953   0.89108   -0.41160   0.19184   102.31323
10   0.07956   0.89151   -0.41072   0.19163   0.07956   0.89151   -0.41072   0.19163   102.20642
11   0.07951   0.89114   -0.41151   0.19144   0.07951   0.89114   -0.41151   0.19144   102.25525
12   0.07946   0.89151   -0.41093   0.19132   0.07946   0.89151   -0.41093   0.19132   102.27966
13   0.07945   0.89151   -0.41050   0.19221   0.07945   0.89151   -0.41050   0.19221   102.22168
14   0.07954   0.89163   -0.41063   0.19163   0.07954   0.89163   -0.41063   0.19163   102.18506
15   0.07951   0.89120   -0.41160   0.19105   0.07951   0.89120   -0.41160   0.19105   102.27966
16   0.07960   0.89111   -0.41221   0.19028   0.07960   0.89111   -0.41221   0.19028   102.32239
17   0.07951   0.89142   -0.41209   0.18958   0.07951   0.89142   -0.41209   0.18958   102.24304
18   0.07938   0.89157   -0.41194   0.18906   0.07938   0.89157   -0.41194   0.18906   102.23694
19   0.07949   0.89105   -0.41173   0.19129   0.07949   0.89105   -0.41173   0.19129   102.29187
20   0.07956   0.89120   -0.41163   0.19108   0.07956   0.89120   -0.41163   0.19108   102.31018
21   0.07967   0.89172   -0.41053   0.19102   0.07967   0.89172   -0.41053   0.19102   102.21558
22   0.07959   0.89148   -0.41087   0.19141   0.07959   0.89148   -0.41087   0.19141   102.23083
23   0.07950   0.89148   -0.41124   0.19095   0.07950   0.89148   -0.41124   0.19095   102.31323
24   0.07951   0.89129   -0.41163   0.19080   0.07951   0.89129   -0.41163   0.19080   102.31323
25   0.07960   0.89163   -0.41053   0.19187   0.07960   0.89163   -0.41053   0.19187   102.19421
26   0.07954   0.89117   -0.41182   0.19068   0.07954   0.89117   -0.41182   0.19068   102.24304
27   0.07940   0.89145   -0.41102   0.19144   0.07940   0.89145   -0.41102   0.19144   102.32849
28   0.07949   0.89093   -0.41188   0.19166   0.07949   0.89093   -0.41188   0.19166   102.27966
29   0.07957   0.89148   -0.41063   0.19156   0.07957   0.89148   -0.41063   0.19156   102.17285
30   0.07951   0.89135   -0.41118   0.19160   0.07951   0.89135   -0.41118   0.19160   102.30103
31   0.07950   0.89135   -0.41169   0.19059   0.07950   0.89135   -0.41169   0.19059   102.32544
32   0.07963   0.89126   -0.41151   0.19144   0.07963   0.89126   -0.41151   0.19144   102.28577
33   0.07968   0.89108   -0.41179   0.19105   0.07968   0.89108   -0.41179   0.19105   102.19421
