Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 14:49:53 5/19/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.05133   0.05750   0.01340   0.99835   0.05133   0.05750   0.01340   0.99835   91.21094
2   0.05133   0.05875   0.01337   0.99832   0.05133   0.05875   0.01337   0.99832   91.28113
3   0.05140   0.05774   0.01309   0.99838   0.05140   0.05774   0.01309   0.99838   91.17737
4   0.05144   0.05667   0.01199   0.99847   0.05144   0.05667   0.01199   0.99847   91.24756
5   0.05145   0.05737   0.01221   0.99838   0.05145   0.05737   0.01221   0.99838   91.17737
6   0.05130   0.05707   0.01373   0.99838   0.05130   0.05707   0.01373   0.99838   91.36047
7   0.05132   0.05899   0.01239   0.99829   0.05132   0.05899   0.01239   0.99829   91.18958
8   0.05142   0.05960   0.01080   0.99829   0.05142   0.05960   0.01080   0.99829   91.14380
9   0.05141   0.05826   0.01215   0.99832   0.05141   0.05826   0.01215   0.99832   91.21399
10   0.05134   0.05774   0.01404   0.99835   0.05134   0.05774   0.01404   0.99835   91.34827
11   0.05140   0.05698   0.01282   0.99841   0.05140   0.05698   0.01282   0.99841   91.14990
12   0.05133   0.05850   0.01114   0.99835   0.05133   0.05850   0.01114   0.99835   91.18347
13   0.05129   0.05814   0.01331   0.99832   0.05129   0.05814   0.01331   0.99832   91.31470
14   0.05135   0.05960   0.01328   0.99832   0.05135   0.05960   0.01328   0.99832   91.32385
15   0.05145   0.06034   0.01187   0.99823   0.05145   0.06034   0.01187   0.99823   91.15601
16   0.05137   0.05811   0.01202   0.99832   0.05137   0.05811   0.01202   0.99832   91.12549
17   0.05133   0.05911   0.01453   0.99823   0.05133   0.05911   0.01453   0.99823   91.41235
18   0.05142   0.05991   0.01370   0.99832   0.05142   0.05991   0.01370   0.99832   91.29028
19   0.05145   0.05948   0.01352   0.99829   0.05145   0.05948   0.01352   0.99829   91.19568
20   0.05139   0.05878   0.01434   0.99829   0.05139   0.05878   0.01434   0.99829   91.29333
21   0.05138   0.05948   0.01199   0.99829   0.05138   0.05948   0.01199   0.99829   91.37268
22   0.05145   0.05930   0.01230   0.99826   0.05145   0.05930   0.01230   0.99826   91.27502
23   0.05142   0.06027   0.01437   0.99823   0.05142   0.06027   0.01437   0.99823   91.26892
24   0.05137   0.05930   0.01422   0.99823   0.05137   0.05930   0.01422   0.99823   91.29028
25   0.05131   0.05890   0.01376   0.99826   0.05131   0.05890   0.01376   0.99826   91.37878
26   0.05142   0.05957   0.01254   0.99829   0.05142   0.05957   0.01254   0.99829   91.24451
27   0.05139   0.06015   0.01251   0.99826   0.05139   0.06015   0.01251   0.99826   91.15601
28   0.05136   0.05957   0.01111   0.99823   0.05136   0.05957   0.01111   0.99823   91.29639
29   0.05138   0.05988   0.01233   0.99823   0.05138   0.05988   0.01233   0.99823   91.20178
30   0.05145   0.05930   0.01144   0.99832   0.05145   0.05930   0.01144   0.99832   91.13770
31   0.05143   0.06061   0.01297   0.99820   0.05143   0.06061   0.01297   0.99820   91.24451
32   0.05141   0.05884   0.01315   0.99826   0.05141   0.05884   0.01315   0.99826   91.25061
33   0.05146   0.05930   0.01294   0.99829   0.05146   0.05930   0.01294   0.99829   91.31470
34   0.05144   0.05948   0.01303   0.99829   0.05144   0.05948   0.01303   0.99829   91.25671
35   0.05139   0.06009   0.01254   0.99823   0.05139   0.06009   0.01254   0.99823   91.24756
36   0.05138   0.05927   0.01166   0.99823   0.05138   0.05927   0.01166   0.99823   91.21704
37   0.05141   0.06049   0.01221   0.99817   0.05141   0.06049   0.01221   0.99817   91.22314
38   0.05137   0.06153   0.01291   0.99820   0.05137   0.06153   0.01291   0.99820   91.27197
39   0.05130   0.05991   0.01306   0.99823   0.05130   0.05991   0.01306   0.99823   91.30554
40   0.05142   0.06122   0.01163   0.99820   0.05142   0.06122   0.01163   0.99820   91.21704
41   0.05145   0.06149   0.01294   0.99820   0.05145   0.06149   0.01294   0.99820   91.22925
42   0.05139   0.06073   0.01346   0.99814   0.05139   0.06073   0.01346   0.99814   91.24756
43   0.05137   0.05988   0.01215   0.99832   0.05137   0.05988   0.01215   0.99832   91.27197
44   0.05145   0.06076   0.01285   0.99820   0.05145   0.06076   0.01285   0.99820   91.19568
45   0.05148   0.05988   0.01093   0.99829   0.05148   0.05988   0.01093   0.99829   91.11633
46   0.05139   0.06046   0.01303   0.99820   0.05139   0.06046   0.01303   0.99820   91.18347
47   0.05137   0.06049   0.01178   0.99826   0.05137   0.06049   0.01178   0.99826   91.25366
48   0.05144   0.05945   0.01160   0.99829   0.05144   0.05945   0.01160   0.99829   91.13770
49   0.05143   0.06116   0.01074   0.99817   0.05143   0.06116   0.01074   0.99817   91.21704
50   0.05129   0.06009   0.01126   0.99826   0.05129   0.06009   0.01126   0.99826   91.25671
51   0.05134   0.05969   0.01334   0.99829   0.05134   0.05969   0.01334   0.99829   91.24756
52   0.05142   0.05884   0.01257   0.99826   0.05142   0.05884   0.01257   0.99826   91.13464
53   0.05141   0.06018   0.01337   0.99820   0.05141   0.06018   0.01337   0.99820   91.22314
54   0.05136   0.06073   0.01270   0.99817   0.05136   0.06073   0.01270   0.99817   91.33301
55   0.05140   0.06113   0.01187   0.99820   0.05140   0.06113   0.01187   0.99820   91.30249
56   0.05143   0.06024   0.01294   0.99829   0.05143   0.06024   0.01294   0.99829   91.23535
57   0.05144   0.06159   0.01227   0.99820   0.05144   0.06159   0.01227   0.99820   91.26587
58   0.05137   0.06027   0.01245   0.99826   0.05137   0.06027   0.01245   0.99826   91.33606
59   0.05143   0.05969   0.01111   0.99826   0.05143   0.05969   0.01111   0.99826   91.18042
60   0.05143   0.06095   0.01288   0.99817   0.05143   0.06095   0.01288   0.99817   91.18958
61   0.05137   0.06003   0.01312   0.99829   0.05137   0.06003   0.01312   0.99829   91.32690
62   0.05138   0.06223   0.01187   0.99808   0.05138   0.06223   0.01187   0.99808   91.19263
63   0.05135   0.06040   0.01035   0.99826   0.05135   0.06040   0.01035   0.99826   91.24146
64   0.05140   0.06055   0.01166   0.99826   0.05140   0.06055   0.01166   0.99826   91.09497
65   0.05133   0.05982   0.01166   0.99826   0.05133   0.05982   0.01166   0.99826   91.32690
66   0.05140   0.06122   0.01294   0.99814   0.05140   0.06122   0.01294   0.99814   91.22925
67   0.05143   0.06000   0.01285   0.99826   0.05143   0.06000   0.01285   0.99826   91.18042
68   0.05139   0.06043   0.01166   0.99832   0.05139   0.06043   0.01166   0.99832   91.28418
69   0.05138   0.06217   0.01205   0.99805   0.05138   0.06217   0.01205   0.99805   91.28418
70   0.05152   0.06116   0.01300   0.99817   0.05152   0.06116   0.01300   0.99817   91.25977
71   0.05149   0.05878   0.01254   0.99823   0.05149   0.05878   0.01254   0.99823   91.15601
72   0.05137   0.05960   0.01349   0.99826   0.05137   0.05960   0.01349   0.99826   91.39099
73   0.05132   0.05966   0.01035   0.99829   0.05132   0.05966   0.01035   0.99829   91.28113
74   0.05141   0.05994   0.01209   0.99829   0.05141   0.05994   0.01209   0.99829   91.21399
75   0.05139   0.05878   0.01251   0.99835   0.05139   0.05878   0.01251   0.99835   91.00037
76   0.05130   0.05863   0.01349   0.99823   0.05130   0.05863   0.01349   0.99823   91.30554
77   0.05127   0.05725   0.01199   0.99832   0.05127   0.05725   0.01199   0.99832   91.29944
78   0.05140   0.05921   0.01138   0.99829   0.05140   0.05921   0.01138   0.99829   91.23230
79   0.05141   0.05896   0.01111   0.99835   0.05141   0.05896   0.01111   0.99835   91.04309
80   0.05132   0.05826   0.01160   0.99835   0.05132   0.05826   0.01160   0.99835   91.24451
81   0.05135   0.05853   0.01294   0.99835   0.05135   0.05853   0.01294   0.99835   91.25061
82   0.05144   0.05927   0.01306   0.99823   0.05144   0.05927   0.01306   0.99823   91.18347
83   0.05144   0.05820   0.01025   0.99841   0.05144   0.05820   0.01025   0.99841   91.04614
84   0.05132   0.05957   0.01315   0.99826   0.05132   0.05957   0.01315   0.99826   91.40930
85   0.05141   0.05866   0.01193   0.99835   0.05141   0.05866   0.01193   0.99835   91.20483
86   0.05142   0.05881   0.01294   0.99826   0.05142   0.05881   0.01294   0.99826   91.20789
87   0.05131   0.05841   0.01215   0.99832   0.05131   0.05841   0.01215   0.99832   91.21399
88   0.05110   0.05756   0.01096   0.99835   0.05110   0.05756   0.01096   0.99835   91.22620
89   0.05127   0.05658   0.01117   0.99844   0.05127   0.05658   0.01117   0.99844   91.18042
90   0.05140   0.05853   0.01379   0.99823   0.05140   0.05853   0.01379   0.99823   91.20483
91   0.05137   0.05802   0.01236   0.99832   0.05137   0.05802   0.01236   0.99832   91.16211
92   0.05128   0.05774   0.01016   0.99841   0.05128   0.05774   0.01016   0.99841   91.12854
93   0.05133   0.05625   0.01367   0.99850   0.05133   0.05625   0.01367   0.99850   91.29333
94   0.05137   0.05826   0.01254   0.99838   0.05137   0.05826   0.01254   0.99838   91.16211
95   0.05139   0.05976   0.01239   0.99826   0.05139   0.05976   0.01239   0.99826   91.22925
96   0.05140   0.05695   0.01236   0.99850   0.05140   0.05695   0.01236   0.99850   91.14990
97   0.05140   0.05780   0.01321   0.99832   0.05140   0.05780   0.01321   0.99832   91.20483
98   0.05139   0.05780   0.01047   0.99835   0.05139   0.05780   0.01047   0.99835   91.11938
99   0.05130   0.05710   0.01123   0.99844   0.05130   0.05710   0.01123   0.99844   91.39709
100   0.05133   0.05707   0.01334   0.99841   0.05133   0.05707   0.01334   0.99841   91.15601
101   0.05137   0.05612   0.01416   0.99844   0.05137   0.05612   0.01416   0.99844   91.02478
102   0.05130   0.05585   0.01321   0.99841   0.05130   0.05585   0.01321   0.99841   91.14990
103   0.05129   0.05426   0.01428   0.99860   0.05129   0.05426   0.01428   0.99860   91.22009
104   0.05139   0.05539   0.01474   0.99850   0.05139   0.05539   0.01474   0.99850   91.15601
105   0.05144   0.05527   0.01505   0.99850   0.05144   0.05527   0.01505   0.99850   91.10107
106   0.05138   0.05564   0.01440   0.99844   0.05138   0.05564   0.01440   0.99844   91.10107
107   0.05137   0.05762   0.01239   0.99835   0.05137   0.05762   0.01239   0.99835   91.20789
108   0.05148   0.05634   0.01071   0.99844   0.05148   0.05634   0.01071   0.99844   91.03699
109   0.05145   0.05878   0.01230   0.99826   0.05145   0.05878   0.01230   0.99826   91.14990
110   0.05141   0.05664   0.01096   0.99844   0.05141   0.05664   0.01096   0.99844   91.14990
111   0.05139   0.05536   0.01199   0.99841   0.05139   0.05536   0.01199   0.99841   91.25671
112   0.05142   0.05670   0.01263   0.99844   0.05142   0.05670   0.01263   0.99844   91.12549
113   0.05127   0.05231   0.01468   0.99866   0.05127   0.05231   0.01468   0.99866   91.24451
114   0.05128   0.05359   0.01276   0.99857   0.05128   0.05359   0.01276   0.99857   91.13770
115   0.05132   0.05286   0.01541   0.99863   0.05132   0.05286   0.01541   0.99863   91.15295
116   0.05139   0.05393   0.01584   0.99857   0.05139   0.05393   0.01584   0.99857   91.01868
117   0.05132   0.05402   0.01648   0.99857   0.05132   0.05402   0.01648   0.99857   91.21704
118   0.05131   0.05502   0.01386   0.99850   0.05131   0.05502   0.01386   0.99850   91.21704
119   0.05137   0.05582   0.01343   0.99844   0.05137   0.05582   0.01343   0.99844   91.14380
120   0.05141   0.05646   0.01276   0.99850   0.05141   0.05646   0.01276   0.99850   91.11328
121   0.05137   0.05683   0.01386   0.99841   0.05137   0.05683   0.01386   0.99841   91.18042
122   0.05137   0.05698   0.01395   0.99835   0.05137   0.05698   0.01395   0.99835   91.31775
123   0.05138   0.05466   0.01505   0.99844   0.05138   0.05466   0.01505   0.99844   91.20178
124   0.05135   0.05490   0.01440   0.99850   0.05135   0.05490   0.01440   0.99850   91.17737
125   0.05131   0.05383   0.01386   0.99850   0.05131   0.05383   0.01386   0.99850   91.17126
126   0.05127   0.05176   0.01410   0.99869   0.05127   0.05176   0.01410   0.99869   91.21704
127   0.05132   0.05219   0.01407   0.99869   0.05132   0.05219   0.01407   0.99869   91.24451
128   0.05128   0.05267   0.01529   0.99860   0.05128   0.05267   0.01529   0.99860   91.26587
129   0.05130   0.05298   0.01569   0.99857   0.05130   0.05298   0.01569   0.99857   91.25061
130   0.05135   0.05420   0.01706   0.99847   0.05135   0.05420   0.01706   0.99847   91.25061
131   0.05138   0.05469   0.01831   0.99850   0.05138   0.05469   0.01831   0.99850   91.18042
132   0.05131   0.05274   0.01578   0.99857   0.05131   0.05274   0.01578   0.99857   91.11633
133   0.05136   0.05423   0.01688   0.99847   0.05136   0.05423   0.01688   0.99847   91.16821
134   0.05139   0.05179   0.01669   0.99863   0.05139   0.05179   0.01669   0.99863   91.11023
135   0.05141   0.05515   0.01715   0.99850   0.05141   0.05515   0.01715   0.99850   91.09497
136   0.05132   0.05387   0.01617   0.99854   0.05132   0.05387   0.01617   0.99854   91.18958
137   0.05135   0.05359   0.01645   0.99860   0.05135   0.05359   0.01645   0.99860   91.11328
138   0.05134   0.05145   0.01312   0.99863   0.05134   0.05145   0.01312   0.99863   90.95764
139   0.05129   0.05121   0.01367   0.99866   0.05129   0.05121   0.01367   0.99866   91.13770
