Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.05216   0.00507   1.00000   0.00287   0.05216   0.00507   1.00000   0.00287   123.33069
2   0.05216   0.00369   1.00000   0.00070   0.05216   0.00369   1.00000   0.00070   123.36731
3   0.05213   0.00455   1.00000   0.00150   0.05213   0.00455   1.00000   0.00150   123.44055
4   0.05214   0.00381   1.00000   0.00229   0.05214   0.00381   1.00000   0.00229   123.49243
5   0.05221   0.00443   1.00000   0.00208   0.05221   0.00443   1.00000   0.00208   123.28186
6   0.05219   0.00479   1.00000   0.00107   0.05219   0.00479   1.00000   0.00107   123.26965
7   0.05214   0.00452   1.00000   0.00143   0.05214   0.00452   1.00000   0.00143   123.36731
8   0.05221   0.00568   1.00000   0.00165   0.05221   0.00568   1.00000   0.00165   123.26355
9   0.05223   0.00461   1.00000   0.00186   0.05223   0.00461   1.00000   0.00186   123.19031
10   0.05218   0.00482   1.00000   0.00092   0.05218   0.00482   1.00000   0.00092   123.34290
11   0.05211   0.00455   1.00000   0.00159   0.05211   0.00455   1.00000   0.00159   123.46802
12   0.05219   0.00501   1.00000   0.00211   0.05219   0.00501   1.00000   0.00211   123.26050
13   0.05216   0.00497   1.00000   0.00165   0.05216   0.00497   1.00000   0.00165   123.10486
14   0.05211   0.00470   1.00000   0.00171   0.05211   0.00470   1.00000   0.00171   123.40393
15   0.05207   0.00369   1.00000   0.00250   0.05207   0.00369   1.00000   0.00250   123.51379
16   0.05219   0.00455   1.00000   0.00241   0.05219   0.00455   1.00000   0.00241   123.31848
17   0.05218   0.00363   1.00000   0.00162   0.05218   0.00363   1.00000   0.00162   123.26050
18   0.05212   0.00516   1.00000   0.00156   0.05212   0.00516   1.00000   0.00156   123.40088
19   0.05214   0.00424   1.00000   0.00217   0.05214   0.00424   1.00000   0.00217   123.40393
20   0.05223   0.00351   1.00000   0.00201   0.05223   0.00351   1.00000   0.00201   123.21777
21   0.05221   0.00391   1.00000   0.00116   0.05221   0.00391   1.00000   0.00116   123.31543
22   0.05212   0.00296   1.00000   0.00076   0.05212   0.00296   1.00000   0.00076   123.41919
23   0.05212   0.00330   1.00000   0.00275   0.05212   0.00330   1.00000   0.00275   123.51685
24   0.05222   0.00494   1.00000   0.00052   0.05222   0.00494   1.00000   0.00052   123.17810
25   0.05215   0.00333   1.00000   0.00198   0.05215   0.00333   1.00000   0.00198   123.33374
26   0.05203   0.00320   1.00000   0.00137   0.05203   0.00320   1.00000   0.00137   123.48938
27   0.05210   0.00348   1.00000   0.00195   0.05210   0.00348   1.00000   0.00195   123.59009
28   0.05214   0.00314   1.00000   0.00211   0.05214   0.00314   1.00000   0.00211   123.39172
29   0.05211   0.00217   1.00000   0.00150   0.05211   0.00217   1.00000   0.00150   123.42529
30   0.05209   0.00320   1.00000   0.00095   0.05209   0.00320   1.00000   0.00095   123.50464
31   0.05213   0.00262   1.00000   0.00131   0.05213   0.00262   1.00000   0.00131   123.40698
32   0.05216   0.00235   1.00000   0.00146   0.05216   0.00235   1.00000   0.00146   123.45581
33   0.05215   0.00208   1.00000   0.00113   0.05215   0.00208   1.00000   0.00113   123.43445
34   0.05215   0.00302   1.00000   0.00107   0.05215   0.00302   1.00000   0.00107   123.43445
35   0.05219   0.00272   1.00000   0.00153   0.05219   0.00272   1.00000   0.00153   123.34290
36   0.05217   0.00317   1.00000   0.00189   0.05217   0.00317   1.00000   0.00189   123.41919
37   0.05213   0.00333   1.00000   0.00073   0.05213   0.00333   1.00000   0.00073   123.35205
38   0.05208   0.00323   1.00000   0.00159   0.05208   0.00323   1.00000   0.00159   123.49548
39   0.05213   0.00287   1.00000   0.00046   0.05213   0.00287   1.00000   0.00046   123.34595
40   0.05210   0.00220   1.00000   0.00235   0.05210   0.00220   1.00000   0.00235   123.44666
41   0.05208   0.00195   1.00000   0.00034   0.05208   0.00195   1.00000   0.00034   123.52905
42   0.05212   0.00195   1.00000   -0.00018   0.05212   0.00195   1.00000   -0.00018   123.41309
43   0.05215   0.00214   1.00000   0.00034   0.05215   0.00214   1.00000   0.00034   123.36426
44   0.05215   0.00226   1.00000   0.00076   0.05215   0.00226   1.00000   0.00076   123.37341
45   0.05210   0.00211   1.00000   -0.00018   0.05210   0.00211   1.00000   -0.00018   123.52295
46   0.05218   0.00204   1.00000   0.00153   0.05218   0.00204   1.00000   0.00153   123.46497
47   0.05218   0.00104   1.00000   0.00046   0.05218   0.00104   1.00000   0.00046   123.39478
48   0.05213   0.00211   1.00000   -0.00067   0.05213   0.00211   1.00000   -0.00067   123.46802
49   0.05210   0.00116   1.00000   0.00085   0.05210   0.00116   1.00000   0.00085   123.48328
50   0.05216   0.00146   1.00000   0.00171   0.05216   0.00146   1.00000   0.00171   123.37646
51   0.05210   0.00143   1.00000   0.00070   0.05210   0.00143   1.00000   0.00070   123.36731
52   0.05208   0.00162   1.00000   -0.00006   0.05208   0.00162   1.00000   -0.00006   123.51074
53   0.05207   0.00119   1.00000   0.00198   0.05207   0.00119   1.00000   0.00198   123.51685
54   0.05216   0.00232   1.00000   0.00024   0.05216   0.00232   1.00000   0.00024   123.35815
55   0.05213   0.00070   1.00000   0.00122   0.05213   0.00070   1.00000   0.00122   123.36121
56   0.05209   0.00150   1.00000   0.00043   0.05209   0.00150   1.00000   0.00043   123.52600
57   0.05204   0.00055   1.00000   0.00055   0.05204   0.00055   1.00000   0.00055   123.60229
58   0.05208   0.00107   1.00000   0.00040   0.05208   0.00107   1.00000   0.00040   123.26050
59   0.05213   0.00107   1.00000   -0.00046   0.05213   0.00107   1.00000   -0.00046   123.30017
60   0.05211   0.00031   1.00000   0.00150   0.05211   0.00031   1.00000   0.00150   123.66943
61   0.05215   0.00110   1.00000   0.00113   0.05215   0.00110   1.00000   0.00113   123.52600
62   0.05219   0.00095   1.00000   0.00027   0.05219   0.00095   1.00000   0.00027   123.26660
63   0.05211   0.00116   1.00000   0.00031   0.05211   0.00116   1.00000   0.00031   123.38257
64   0.05203   0.00177   1.00000   0.00128   0.05203   0.00177   1.00000   0.00128   123.54126
65   0.05215   0.00113   1.00000   0.00238   0.05215   0.00113   1.00000   0.00238   123.40088
66   0.05217   0.00159   1.00000   0.00235   0.05217   0.00159   1.00000   0.00235   123.31848
67   0.05211   0.00043   1.00000   0.00061   0.05211   0.00043   1.00000   0.00061   123.47107
68   0.05210   0.00107   1.00000   -0.00015   0.05210   0.00107   1.00000   -0.00015   123.52295
69   0.05217   0.00085   1.00000   0.00049   0.05217   0.00085   1.00000   0.00049   123.46191
70   0.05215   0.00082   1.00000   -0.00021   0.05215   0.00082   1.00000   -0.00021   123.43445
71   0.05213   0.00085   1.00000   0.00070   0.05213   0.00085   1.00000   0.00070   123.40698
72   0.05212   0.00150   1.00000   0.00217   0.05212   0.00150   1.00000   0.00217   123.49854
73   0.05219   0.00180   1.00000   0.00092   0.05219   0.00180   1.00000   0.00092   123.38867
