Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.05002   -0.00491   0.00204   -0.99997   0.05002   -0.00491   0.00204   -0.99997   99.30420
2   0.05010   -0.00394   0.00165   -0.99997   0.05010   -0.00394   0.00165   -0.99997   99.09058
3   0.05005   -0.00375   0.00235   -1.00000   0.05005   -0.00375   0.00235   -1.00000   99.28589
4   0.05004   -0.00244   -0.00073   -1.00000   0.05004   -0.00244   -0.00073   -1.00000   99.34387
5   0.05010   -0.00247   0.00000   -0.99997   0.05010   -0.00247   0.00000   -0.99997   99.13940
6   0.05015   -0.00339   -0.00439   -1.00003   0.05015   -0.00339   -0.00439   -1.00003   99.05396
7   0.05007   -0.00385   -0.00690   -1.00003   0.05007   -0.00385   -0.00690   -1.00003   99.31641
8   0.05002   -0.00409   -0.00595   -1.00003   0.05002   -0.00409   -0.00595   -1.00003   99.38965
9   0.05007   -0.00616   -0.00604   -0.99997   0.05007   -0.00616   -0.00604   -0.99997   99.17603
10   0.05007   -0.00745   -0.00397   -1.00003   0.05007   -0.00745   -0.00397   -1.00003   99.14856
11   0.04995   -0.01062   -0.00107   -1.00000   0.04995   -0.01062   -0.00107   -1.00000   99.47205
12   0.04990   -0.00836   0.00101   -1.00003   0.04990   -0.00836   0.00101   -1.00003   99.47205
13   0.05003   -0.00861   0.00183   -0.99997   0.05003   -0.00861   0.00183   -0.99997   99.17603
14   0.05005   -0.00583   0.00055   -1.00003   0.05005   -0.00583   0.00055   -1.00003   99.18518
15   0.05003   -0.00256   0.00024   -1.00003   0.05003   -0.00256   0.00024   -1.00003   99.37134
16   0.05004   -0.00058   -0.00006   -0.99997   0.05004   -0.00058   -0.00006   -0.99997   99.32556
17   0.05013   0.00061   -0.00101   -1.00000   0.05013   0.00061   -0.00101   -1.00000   98.94104
18   0.05010   -0.00101   -0.00043   -0.99997   0.05010   -0.00101   -0.00043   -0.99997   99.13940
19   0.05005   -0.00116   -0.00259   -0.99997   0.05005   -0.00116   -0.00259   -0.99997   99.36218
20   0.05004   -0.00522   -0.00232   -0.99997   0.05004   -0.00522   -0.00232   -0.99997   99.24011
21   0.05013   -0.00653   -0.00067   -0.99997   0.05013   -0.00653   -0.00067   -0.99997   99.15771
22   0.05006   -0.00793   -0.00220   -1.00003   0.05006   -0.00793   -0.00220   -1.00003   99.28589
23   0.04998   -0.00693   -0.00073   -0.99997   0.04998   -0.00693   -0.00073   -0.99997   99.38965
24   0.04998   -0.00623   -0.00247   -0.99997   0.04998   -0.00623   -0.00247   -0.99997   99.24011
25   0.05007   -0.00412   -0.00156   -0.99997   0.05007   -0.00412   -0.00156   -0.99997   99.16687
26   0.05004   -0.00232   -0.00287   -1.00003   0.05004   -0.00232   -0.00287   -1.00003   99.24927
27   0.05002   -0.00214   -0.00214   -0.99997   0.05002   -0.00214   -0.00214   -0.99997   99.30420
28   0.05008   -0.00208   0.00095   -1.00003   0.05008   -0.00208   0.00095   -1.00003   99.09973
29   0.05007   -0.00168   0.00198   -1.00003   0.05007   -0.00168   0.00198   -1.00003   99.22180
30   0.05007   -0.00281   -0.00021   -1.00003   0.05007   -0.00281   -0.00021   -1.00003   99.32556
31   0.05005   -0.00394   0.00073   -0.99997   0.05005   -0.00394   0.00073   -0.99997   99.27673
32   0.05008   -0.00586   -0.00058   -1.00000   0.05008   -0.00586   -0.00058   -1.00000   99.20349
33   0.05005   -0.00592   -0.00006   -1.00003   0.05005   -0.00592   -0.00006   -1.00003   99.37134
34   0.04998   -0.00775   -0.00037   -0.99994   0.04998   -0.00775   -0.00037   -0.99994   99.43542
35   0.05004   -0.00497   -0.00287   -1.00003   0.05004   -0.00497   -0.00287   -1.00003   99.19434
36   0.05006   -0.00568   -0.00580   -1.00000   0.05006   -0.00568   -0.00580   -1.00000   99.15771
37   0.04994   -0.00458   -0.00571   -0.99997   0.04994   -0.00458   -0.00571   -0.99997   99.33167
38   0.04997   -0.00580   -0.00491   -1.00000   0.04997   -0.00580   -0.00491   -1.00000   99.38049
39   0.05004   -0.00565   -0.00378   -0.99997   0.05004   -0.00565   -0.00378   -0.99997   99.11804
40   0.05005   -0.00626   -0.00150   -1.00000   0.05005   -0.00626   -0.00150   -1.00000   99.20349
41   0.05000   -0.00635   -0.00037   -1.00003   0.05000   -0.00635   -0.00037   -1.00003   99.42627
42   0.05001   -0.00464   -0.00153   -1.00003   0.05001   -0.00464   -0.00153   -1.00003   99.36218
43   0.05011   -0.00348   -0.00076   -0.99997   0.05011   -0.00348   -0.00076   -0.99997   99.06311
44   0.05007   -0.00513   -0.00031   -1.00000   0.05007   -0.00513   -0.00031   -1.00000   99.20349
45   0.05001   -0.00250   0.00244   -1.00003   0.05001   -0.00250   0.00244   -1.00003   99.38049
46   0.05006   -0.00198   0.00137   -1.00003   0.05006   -0.00198   0.00137   -1.00003   99.24011
47   0.05011   -0.00253   0.00076   -1.00003   0.05011   -0.00253   0.00076   -1.00003   99.03564
48   0.05005   -0.00232   -0.00275   -0.99997   0.05005   -0.00232   -0.00275   -0.99997   99.20349
49   0.04994   -0.00223   -0.00211   -1.00003   0.04994   -0.00223   -0.00211   -1.00003   99.35913
50   0.04998   -0.00348   -0.00314   -1.00003   0.04998   -0.00348   -0.00314   -1.00003   99.16382
51   0.05005   -0.00638   -0.00098   -1.00000   0.05005   -0.00638   -0.00098   -1.00000   99.17603
52   0.05001   -0.00848   -0.00116   -1.00000   0.05001   -0.00848   -0.00116   -1.00000   99.27673
53   0.04997   -0.00583   -0.00049   -0.99997   0.04997   -0.00583   -0.00049   -0.99997   99.42627
54   0.04995   -0.00504   -0.00226   -1.00000   0.04995   -0.00504   -0.00226   -1.00000   99.19128
55   0.04998   -0.00504   -0.00137   -1.00000   0.04998   -0.00504   -0.00137   -1.00000   99.16382
56   0.05004   -0.00458   -0.00253   -1.00000   0.05004   -0.00458   -0.00253   -1.00000   99.32556
57   0.05008   -0.00381   -0.00311   -0.99997   0.05008   -0.00381   -0.00311   -0.99997   99.30725
58   0.05014   -0.00296   -0.00201   -1.00000   0.05014   -0.00296   -0.00201   -1.00000   99.07227
59   0.05007   -0.00482   -0.00128   -1.00003   0.05007   -0.00482   -0.00128   -1.00003   99.24927
60   0.05002   -0.00497   -0.00180   -0.99997   0.05002   -0.00497   -0.00180   -0.99997   99.36218
61   0.05004   -0.00394   0.00003   -1.00003   0.05004   -0.00394   0.00003   -1.00003   99.19434
62   0.05005   -0.00507   -0.00107   -1.00003   0.05005   -0.00507   -0.00107   -1.00003   99.16687
63   0.05006   -0.00476   -0.00021   -1.00000   0.05006   -0.00476   -0.00021   -1.00000   99.32556
64   0.04997   -0.00388   -0.00143   -0.99997   0.04997   -0.00388   -0.00143   -0.99997   99.34082
65   0.05007   -0.00351   -0.00208   -1.00003   0.05007   -0.00351   -0.00208   -1.00003   99.12720
66   0.05010   -0.00366   -0.00162   -1.00003   0.05010   -0.00366   -0.00162   -1.00003   99.23096
67   0.05005   -0.00415   -0.00168   -1.00003   0.05005   -0.00415   -0.00168   -1.00003   99.35303
68   0.05004   -0.00323   -0.00220   -1.00000   0.05004   -0.00323   -0.00220   -1.00000   99.33472
69   0.05011   -0.00403   -0.00043   -1.00003   0.05011   -0.00403   -0.00043   -1.00003   99.13025
70   0.05011   -0.00079   0.00119   -1.00000   0.05011   -0.00079   0.00119   -1.00000   99.17603
71   0.05005   -0.00360   0.00076   -1.00000   0.05005   -0.00360   0.00076   -1.00000   99.41711
72   0.05007   -0.00290   0.00125   -1.00000   0.05007   -0.00290   0.00125   -1.00000   99.27673
73   0.05019   -0.00159   -0.00076   -1.00000   0.05019   -0.00159   -0.00076   -1.00000   99.07532
74   0.05006   -0.00281   -0.00116   -1.00000   0.05006   -0.00281   -0.00116   -1.00000   99.21265
75   0.04993   -0.00287   -0.00223   -1.00003   0.04993   -0.00287   -0.00223   -1.00003   99.38965
76   0.04997   -0.00403   -0.00180   -1.00003   0.04997   -0.00403   -0.00180   -1.00003   99.25842
77   0.05011   -0.00406   -0.00339   -0.99997   0.05011   -0.00406   -0.00339   -0.99997   99.06311
78   0.05007   -0.00574   -0.00281   -1.00000   0.05007   -0.00574   -0.00281   -1.00000   99.31641
79   0.05002   -0.00702   -0.00241   -1.00003   0.05002   -0.00702   -0.00241   -1.00003   99.42627
80   0.05004   -0.00839   -0.00186   -1.00000   0.05004   -0.00839   -0.00186   -1.00000   99.27673
81   0.05009   -0.00668   -0.00031   -0.99997   0.05009   -0.00668   -0.00031   -0.99997   99.11804
82   0.05005   -0.00534   -0.00217   -0.99997   0.05005   -0.00534   -0.00217   -0.99997   99.30725
83   0.05003   -0.00455   -0.00330   -0.99997   0.05003   -0.00455   -0.00330   -0.99997   99.39880
