Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.05607   0.99173   0.11350   -0.06131   0.05607   0.99173   0.11350   -0.06131   96.09680
2   0.05603   0.99164   0.11390   -0.06241   0.05603   0.99164   0.11390   -0.06241   96.18530
3   0.05592   0.99182   0.11219   -0.06363   0.05592   0.99182   0.11219   -0.06363   96.24634
4   0.05596   0.99170   0.11386   -0.06171   0.05596   0.99170   0.11386   -0.06171   96.17310
5   0.05605   0.99170   0.11258   -0.06394   0.05605   0.99170   0.11258   -0.06394   96.05408
6   0.05596   0.99185   0.11234   -0.06137   0.05596   0.99185   0.11234   -0.06137   96.22192
7   0.05598   0.99161   0.11402   -0.06284   0.05598   0.99161   0.11402   -0.06284   96.22498
8   0.05604   0.99182   0.11353   -0.06122   0.05604   0.99182   0.11353   -0.06122   96.15173
9   0.05600   0.99167   0.11328   -0.06287   0.05600   0.99167   0.11328   -0.06287   96.15784
10   0.05598   0.99170   0.11209   -0.06381   0.05598   0.99170   0.11209   -0.06381   96.22498
11   0.05605   0.99185   0.11249   -0.06253   0.05605   0.99185   0.11249   -0.06253   96.10291
12   0.05607   0.99188   0.11151   -0.06241   0.05607   0.99188   0.11151   -0.06241   96.12122
13   0.05602   0.99188   0.11118   -0.06357   0.05602   0.99188   0.11118   -0.06357   96.17615
14   0.05598   0.99179   0.11097   -0.06497   0.05598   0.99179   0.11097   -0.06497   96.21582
15   0.05604   0.99191   0.11151   -0.06262   0.05604   0.99191   0.11151   -0.06262   96.10291
16   0.05599   0.99194   0.11176   -0.06128   0.05599   0.99194   0.11176   -0.06128   96.16699
17   0.05594   0.99207   0.11103   -0.06140   0.05594   0.99207   0.11103   -0.06140   96.24634
18   0.05597   0.99203   0.11145   -0.05972   0.05597   0.99203   0.11145   -0.05972   96.27380
19   0.05598   0.99188   0.11328   -0.05924   0.05598   0.99188   0.11328   -0.05924   96.15784
20   0.05591   0.99213   0.11087   -0.06024   0.05591   0.99213   0.11087   -0.06024   96.17004
21   0.05584   0.99188   0.11167   -0.06278   0.05584   0.99188   0.11167   -0.06278   96.34094
22   0.05600   0.99194   0.11109   -0.06262   0.05600   0.99194   0.11109   -0.06262   96.24939
23   0.05610   0.99191   0.11182   -0.06204   0.05610   0.99191   0.11182   -0.06204   96.09070
24   0.05606   0.99200   0.11039   -0.06357   0.05606   0.99200   0.11039   -0.06357   96.14563
25   0.05595   0.99179   0.11219   -0.06272   0.05595   0.99179   0.11219   -0.06272   96.31348
26   0.05607   0.99219   0.11151   -0.05902   0.05607   0.99219   0.11151   -0.05902   96.17310
27   0.05613   0.99203   0.11151   -0.05960   0.05613   0.99203   0.11151   -0.05960   96.09985
28   0.05602   0.99213   0.10993   -0.06168   0.05602   0.99213   0.10993   -0.06168   96.21887
29   0.05591   0.99197   0.11112   -0.06153   0.05591   0.99197   0.11112   -0.06153   96.30432
30   0.05603   0.99185   0.11185   -0.06159   0.05603   0.99185   0.11185   -0.06159   96.14258
31   0.05603   0.99191   0.11240   -0.06149   0.05603   0.99191   0.11240   -0.06149   96.14258
32   0.05596   0.99191   0.11191   -0.06247   0.05596   0.99191   0.11191   -0.06247   96.24023
33   0.05597   0.99179   0.11277   -0.06183   0.05597   0.99179   0.11277   -0.06183   96.22498
34   0.05606   0.99179   0.11283   -0.06134   0.05606   0.99179   0.11283   -0.06134   96.14563
35   0.05605   0.99203   0.11106   -0.06040   0.05605   0.99203   0.11106   -0.06040   96.18835
36   0.05601   0.99200   0.11252   -0.05945   0.05601   0.99200   0.11252   -0.05945   96.28601
37   0.05606   0.99182   0.11264   -0.06149   0.05606   0.99182   0.11264   -0.06149   96.16394
38   0.05612   0.99188   0.11277   -0.06009   0.05612   0.99188   0.11277   -0.06009   96.18530
39   0.05613   0.99188   0.11173   -0.06207   0.05613   0.99188   0.11173   -0.06207   96.21887
40   0.05600   0.99210   0.11020   -0.06284   0.05600   0.99210   0.11020   -0.06284   96.28601
41   0.05589   0.99194   0.11100   -0.06253   0.05589   0.99194   0.11100   -0.06253   96.15173
42   0.05594   0.99188   0.11066   -0.06409   0.05594   0.99188   0.11066   -0.06409   96.17920
43   0.05601   0.99194   0.11133   -0.06217   0.05601   0.99194   0.11133   -0.06217   96.24329
44   0.05605   0.99194   0.11109   -0.06165   0.05605   0.99194   0.11109   -0.06165   96.22192
45   0.05609   0.99207   0.11237   -0.05872   0.05609   0.99207   0.11237   -0.05872   96.13037
46   0.05598   0.99197   0.11194   -0.06064   0.05598   0.99197   0.11194   -0.06064   96.23413
47   0.05599   0.99207   0.11255   -0.05841   0.05599   0.99207   0.11255   -0.05841   96.33484
48   0.05607   0.99207   0.11249   -0.05799   0.05607   0.99207   0.11249   -0.05799   96.22192
49   0.05609   0.99210   0.11237   -0.05811   0.05609   0.99210   0.11237   -0.05811   96.15784
50   0.05604   0.99210   0.11100   -0.06085   0.05604   0.99210   0.11100   -0.06085   96.23718
51   0.05596   0.99179   0.11267   -0.06165   0.05596   0.99179   0.11267   -0.06165   96.28296
52   0.05604   0.99194   0.11090   -0.06311   0.05604   0.99194   0.11090   -0.06311   96.10291
53   0.05603   0.99191   0.11194   -0.06165   0.05603   0.99191   0.11194   -0.06165   96.07849
54   0.05594   0.99191   0.11109   -0.06336   0.05594   0.99191   0.11109   -0.06336   96.22192
55   0.05602   0.99185   0.11200   -0.06189   0.05602   0.99185   0.11200   -0.06189   96.25244
56   0.05606   0.99197   0.11206   -0.06024   0.05606   0.99197   0.11206   -0.06024   96.08765
57   0.05591   0.99200   0.11090   -0.06079   0.05591   0.99200   0.11090   -0.06079   96.13647
58   0.05586   0.99185   0.11277   -0.06095   0.05586   0.99185   0.11277   -0.06095   96.33484
59   0.05601   0.99225   0.11161   -0.05655   0.05601   0.99225   0.11161   -0.05655   96.29211
60   0.05611   0.99210   0.11258   -0.05777   0.05611   0.99210   0.11258   -0.05777   96.13342
61   0.05604   0.99185   0.11289   -0.06040   0.05604   0.99185   0.11289   -0.06040   96.17004
62   0.05593   0.99191   0.11197   -0.06177   0.05593   0.99191   0.11197   -0.06177   96.25549
63   0.05603   0.99179   0.11161   -0.06397   0.05603   0.99179   0.11161   -0.06397   96.12732
64   0.05603   0.99176   0.11298   -0.06183   0.05603   0.99176   0.11298   -0.06183   96.11816
65   0.05600   0.99200   0.11182   -0.06107   0.05600   0.99200   0.11182   -0.06107   96.20056
66   0.05591   0.99179   0.11252   -0.06177   0.05591   0.99179   0.11252   -0.06177   96.23718
67   0.05596   0.99188   0.11307   -0.05954   0.05596   0.99188   0.11307   -0.05954   96.20667
68   0.05600   0.99200   0.11039   -0.06171   0.05600   0.99200   0.11039   -0.06171   96.17615
69   0.05596   0.99197   0.11100   -0.06217   0.05596   0.99197   0.11100   -0.06217   96.22192
70   0.05598   0.99191   0.11252   -0.06165   0.05598   0.99191   0.11252   -0.06165   96.18225
71   0.05603   0.99179   0.11338   -0.06119   0.05603   0.99179   0.11338   -0.06119   96.13647
72   0.05599   0.99203   0.10974   -0.06247   0.05599   0.99203   0.10974   -0.06247   96.20056
73   0.05600   0.99197   0.11127   -0.06211   0.05600   0.99197   0.11127   -0.06211   96.25854
74   0.05604   0.99194   0.11176   -0.06113   0.05604   0.99194   0.11176   -0.06113   96.12732
75   0.05605   0.99203   0.11155   -0.05936   0.05605   0.99203   0.11155   -0.05936   96.17004
76   0.05599   0.99207   0.11188   -0.05933   0.05599   0.99207   0.11188   -0.05933   96.30127
77   0.05596   0.99213   0.11081   -0.05924   0.05596   0.99213   0.11081   -0.05924   96.30737
78   0.05600   0.99222   0.11136   -0.05786   0.05600   0.99222   0.11136   -0.05786   96.15784
79   0.05599   0.99234   0.10913   -0.05988   0.05599   0.99234   0.10913   -0.05988   96.16699
80   0.05593   0.99219   0.10962   -0.06104   0.05593   0.99219   0.10962   -0.06104   96.33789
81   0.05596   0.99210   0.10974   -0.06265   0.05596   0.99210   0.10974   -0.06265   96.20667
82   0.05604   0.99210   0.11008   -0.06091   0.05604   0.99210   0.11008   -0.06091   96.11816
83   0.05601   0.99203   0.11029   -0.06259   0.05601   0.99203   0.11029   -0.06259   96.18530
84   0.05595   0.99203   0.11139   -0.06070   0.05595   0.99203   0.11139   -0.06070   96.29822
85   0.05599   0.99210   0.11139   -0.05945   0.05599   0.99210   0.11139   -0.05945   96.23413
86   0.05604   0.99240   0.10953   -0.05853   0.05604   0.99240   0.10953   -0.05853   96.12122
87   0.05598   0.99219   0.10971   -0.06082   0.05598   0.99219   0.10971   -0.06082   96.22498
88   0.05596   0.99200   0.11194   -0.06006   0.05596   0.99200   0.11194   -0.06006   96.36536
89   0.05601   0.99194   0.11209   -0.05960   0.05601   0.99194   0.11209   -0.05960   96.21887
90   0.05604   0.99207   0.11155   -0.05939   0.05604   0.99207   0.11155   -0.05939   96.16089
91   0.05593   0.99222   0.10971   -0.06104   0.05593   0.99222   0.10971   -0.06104   96.23108
92   0.05595   0.99219   0.10965   -0.06180   0.05595   0.99219   0.10965   -0.06180   96.26465
93   0.05600   0.99231   0.10825   -0.06110   0.05600   0.99231   0.10825   -0.06110   96.15173
94   0.05603   0.99225   0.11005   -0.05942   0.05603   0.99225   0.11005   -0.05942   96.20361
95   0.05597   0.99219   0.11020   -0.06070   0.05597   0.99219   0.11020   -0.06070   96.24023
96   0.05599   0.99200   0.11182   -0.06049   0.05599   0.99200   0.11182   -0.06049   96.23413
97   0.05603   0.99213   0.11008   -0.06110   0.05603   0.99213   0.11008   -0.06110   96.17004
98   0.05605   0.99203   0.11078   -0.06043   0.05605   0.99203   0.11078   -0.06043   96.20361
99   0.05602   0.99203   0.11112   -0.06055   0.05602   0.99203   0.11112   -0.06055   96.26160
100   0.05604   0.99249   0.10904   -0.05741   0.05604   0.99249   0.10904   -0.05741   96.26160
101   0.05607   0.99234   0.11011   -0.05731   0.05607   0.99234   0.11011   -0.05731   96.23108
102   0.05598   0.99234   0.10981   -0.05841   0.05598   0.99234   0.10981   -0.05841   96.30127
103   0.05591   0.99240   0.10962   -0.05753   0.05591   0.99240   0.10962   -0.05753   96.31958
104   0.05600   0.99228   0.11017   -0.05838   0.05600   0.99228   0.11017   -0.05838   96.17615
105   0.05598   0.99225   0.11032   -0.05954   0.05598   0.99225   0.11032   -0.05954   96.22498
106   0.05597   0.99234   0.10938   -0.05963   0.05597   0.99234   0.10938   -0.05963   96.33179
107   0.05600   0.99246   0.10825   -0.05908   0.05600   0.99246   0.10825   -0.05908   96.26770
108   0.05604   0.99207   0.10990   -0.06250   0.05604   0.99207   0.10990   -0.06250   96.14563
109   0.05599   0.99207   0.10999   -0.06198   0.05599   0.99207   0.10999   -0.06198   96.24329
110   0.05595   0.99219   0.10907   -0.06122   0.05595   0.99219   0.10907   -0.06122   96.33179
111   0.05606   0.99225   0.10978   -0.06079   0.05606   0.99225   0.10978   -0.06079   96.15479
112   0.05605   0.99216   0.11002   -0.06040   0.05605   0.99216   0.11002   -0.06040   96.18835
113   0.05598   0.99228   0.10874   -0.06198   0.05598   0.99228   0.10874   -0.06198   96.25854
114   0.05594   0.99185   0.11209   -0.06198   0.05594   0.99185   0.11209   -0.06198   96.25549
115   0.05601   0.99216   0.11075   -0.05982   0.05601   0.99216   0.11075   -0.05982   96.15173
116   0.05600   0.99219   0.10910   -0.06149   0.05600   0.99219   0.10910   -0.06149   96.13342
117   0.05593   0.99240   0.10828   -0.06024   0.05593   0.99240   0.10828   -0.06024   96.32874
118   0.05594   0.99228   0.10886   -0.06079   0.05594   0.99228   0.10886   -0.06079   96.30432
119   0.05602   0.99225   0.11093   -0.05884   0.05602   0.99225   0.11093   -0.05884   96.14258
120   0.05607   0.99234   0.10886   -0.06067   0.05607   0.99234   0.10886   -0.06067   96.17310
121   0.05602   0.99234   0.10947   -0.05908   0.05602   0.99234   0.10947   -0.05908   96.32874
122   0.05602   0.99222   0.11005   -0.05939   0.05602   0.99222   0.11005   -0.05939   96.24329
123   0.05605   0.99216   0.11069   -0.05979   0.05605   0.99216   0.11069   -0.05979   96.14563
124   0.05601   0.99200   0.11127   -0.06122   0.05601   0.99200   0.11127   -0.06122   96.23413
125   0.05601   0.99197   0.11081   -0.06278   0.05601   0.99197   0.11081   -0.06278   96.24329
126   0.05604   0.99216   0.11026   -0.06034   0.05604   0.99216   0.11026   -0.06034   96.17004
127   0.05603   0.99225   0.10959   -0.06104   0.05603   0.99225   0.10959   -0.06104   96.14258
128   0.05594   0.99216   0.11032   -0.06116   0.05594   0.99216   0.11032   -0.06116   96.18835
129   0.05594   0.99207   0.11075   -0.06110   0.05594   0.99207   0.11075   -0.06110   96.24634
130   0.05598   0.99222   0.11020   -0.06012   0.05598   0.99222   0.11020   -0.06012   96.20056
131   0.05599   0.99234   0.10843   -0.06064   0.05599   0.99234   0.10843   -0.06064   96.21582
132   0.05598   0.99216   0.11039   -0.06058   0.05598   0.99216   0.11039   -0.06058   96.27380
133   0.05600   0.99191   0.11158   -0.06211   0.05600   0.99191   0.11158   -0.06211   96.16699
134   0.05605   0.99213   0.11014   -0.06137   0.05605   0.99213   0.11014   -0.06137   96.15479
135   0.05601   0.99231   0.10843   -0.06122   0.05601   0.99231   0.10843   -0.06122   96.26770
136   0.05598   0.99219   0.10907   -0.06098   0.05598   0.99219   0.10907   -0.06098   96.26770
137   0.05607   0.99207   0.11023   -0.06207   0.05607   0.99207   0.11023   -0.06207   96.08765
138   0.05598   0.99225   0.10862   -0.06226   0.05598   0.99225   0.10862   -0.06226   96.13953
139   0.05577   0.99207   0.10916   -0.06476   0.05577   0.99207   0.10916   -0.06476   96.26770
140   0.05587   0.99225   0.10852   -0.06244   0.05587   0.99225   0.10852   -0.06244   96.29211
141   0.05605   0.99210   0.10892   -0.06272   0.05605   0.99210   0.10892   -0.06272   96.11206
142   0.05602   0.99210   0.11090   -0.06095   0.05602   0.99210   0.11090   -0.06095   96.19446
143   0.05589   0.99213   0.11023   -0.06101   0.05589   0.99213   0.11023   -0.06101   96.31958
144   0.05595   0.99210   0.11078   -0.06131   0.05595   0.99210   0.11078   -0.06131   96.17920
145   0.05606   0.99203   0.11066   -0.06186   0.05606   0.99203   0.11066   -0.06186   96.11206
146   0.05603   0.99207   0.11008   -0.06183   0.05603   0.99207   0.11008   -0.06183   96.20972
147   0.05595   0.99203   0.11035   -0.06272   0.05595   0.99203   0.11035   -0.06272   96.34094
148   0.05603   0.99197   0.11158   -0.06162   0.05603   0.99197   0.11158   -0.06162   96.14563
149   0.05606   0.99207   0.11127   -0.06101   0.05606   0.99207   0.11127   -0.06101   96.14563
150   0.05599   0.99176   0.11179   -0.06388   0.05599   0.99176   0.11179   -0.06388   96.24939
151   0.05597   0.99191   0.11127   -0.06284   0.05597   0.99191   0.11127   -0.06284   96.28296
152   0.05601   0.99207   0.11078   -0.06134   0.05601   0.99207   0.11078   -0.06134   96.14258
153   0.05599   0.99203   0.10947   -0.06427   0.05599   0.99203   0.10947   -0.06427   96.06628
154   0.05598   0.99210   0.11008   -0.06308   0.05598   0.99210   0.11008   -0.06308   96.20667
155   0.05600   0.99191   0.11115   -0.06336   0.05600   0.99191   0.11115   -0.06336   96.16699
156   0.05607   0.99179   0.11209   -0.06293   0.05607   0.99179   0.11209   -0.06293   96.16394
157   0.05604   0.99188   0.11084   -0.06412   0.05604   0.99188   0.11084   -0.06412   96.16089
158   0.05599   0.99185   0.11093   -0.06400   0.05599   0.99185   0.11093   -0.06400   96.22498
159   0.05605   0.99200   0.11066   -0.06272   0.05605   0.99200   0.11066   -0.06272   96.17004
160   0.05611   0.99185   0.11090   -0.06384   0.05611   0.99185   0.11090   -0.06384   96.13342
