Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.04386   -0.99658   -0.02326   0.07920   0.04386   -0.99658   -0.02326   0.07920   88.58948
2   0.04383   -0.99655   -0.02356   0.08097   0.04383   -0.99655   -0.02356   0.08097   88.57422
3   0.04380   -0.99646   -0.02100   0.08112   0.04380   -0.99646   -0.02100   0.08112   88.67493
4   0.04385   -0.99625   -0.02023   0.08460   0.04385   -0.99625   -0.02023   0.08460   88.57727
5   0.04391   -0.99625   -0.02478   0.08417   0.04391   -0.99625   -0.02478   0.08417   88.36975
6   0.04385   -0.99631   -0.02289   0.08286   0.04385   -0.99631   -0.02289   0.08286   88.57727
7   0.04374   -0.99615   -0.02329   0.08493   0.04374   -0.99615   -0.02329   0.08493   88.65662
8   0.04377   -0.99625   -0.02167   0.08506   0.04377   -0.99625   -0.02167   0.08506   88.55896
9   0.04383   -0.99649   -0.02176   0.08185   0.04383   -0.99649   -0.02176   0.08185   88.52844
10   0.04374   -0.99646   -0.02322   0.08094   0.04374   -0.99646   -0.02322   0.08094   88.69934
11   0.04375   -0.99664   -0.02451   0.07871   0.04375   -0.99664   -0.02451   0.07871   88.71460
12   0.04386   -0.99658   -0.02420   0.07987   0.04386   -0.99658   -0.02420   0.07987   88.53760
13   0.04386   -0.99652   -0.02310   0.08081   0.04386   -0.99652   -0.02310   0.08081   88.51624
14   0.04377   -0.99652   -0.02304   0.08094   0.04377   -0.99652   -0.02304   0.08094   88.74817
15   0.04378   -0.99628   -0.02231   0.08356   0.04378   -0.99628   -0.02231   0.08356   88.69934
16   0.04390   -0.99622   -0.02203   0.08484   0.04390   -0.99622   -0.02203   0.08484   88.46436
17   0.04388   -0.99619   -0.02292   0.08426   0.04388   -0.99619   -0.02292   0.08426   88.48877
18   0.04380   -0.99649   -0.02295   0.08057   0.04380   -0.99649   -0.02295   0.08057   88.72681
19   0.04380   -0.99631   -0.02271   0.08335   0.04380   -0.99631   -0.02271   0.08335   88.65356
20   0.04381   -0.99649   -0.02170   0.08158   0.04381   -0.99649   -0.02170   0.08158   88.58948
21   0.04378   -0.99649   -0.02322   0.08173   0.04378   -0.99649   -0.02322   0.08173   88.61389
22   0.04376   -0.99646   -0.02326   0.08121   0.04376   -0.99646   -0.02326   0.08121   88.70544
23   0.04382   -0.99625   -0.02194   0.08365   0.04382   -0.99625   -0.02194   0.08365   88.55896
24   0.04384   -0.99664   -0.02130   0.07944   0.04384   -0.99664   -0.02130   0.07944   88.63831
25   0.04381   -0.99689   -0.02203   0.07746   0.04381   -0.99689   -0.02203   0.07746   88.70544
26   0.04380   -0.99658   -0.02173   0.08011   0.04380   -0.99658   -0.02173   0.08011   88.68408
27   0.04386   -0.99670   -0.02124   0.07791   0.04386   -0.99670   -0.02124   0.07791   88.71765
