Sampling rate: 10.000 samples/sec
Screen size: 20000 samples
Total points: 18525 samples
DOP average: 1 SOPsamples
Start time: 16:32:6 6/3/2021
Interval: 0.100000000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   10.17804   -0.16489   -0.17518   0.97076   0.00000   0.00000   0.00000   0.00000   0.00000
2   10.17338   -0.16471   -0.17515   0.97079   0.00000   0.00000   0.00000   0.00000   0.00000
3   10.17183   -0.16541   -0.17502   0.97073   0.00000   0.00000   0.00000   0.00000   0.00000
4   10.18115   -0.16440   -0.17420   0.97116   0.00000   0.00000   0.00000   0.00000   0.00000
5   10.17028   -0.16449   -0.17368   0.97104   0.00000   0.00000   0.00000   0.00000   0.00000
6   10.18115   -0.16489   -0.17490   0.97079   0.00000   0.00000   0.00000   0.00000   0.00000
7   10.17959   -0.16517   -0.17463   0.97076   0.00000   0.00000   0.00000   0.00000   0.00000
8   10.17183   -0.16544   -0.17444   0.97089   0.00000   0.00000   0.00000   0.00000   0.00000
9   10.17338   -0.16559   -0.17527   0.97067   0.00000   0.00000   0.00000   0.00000   0.00000
10   10.17494   -0.16605   -0.17536   0.97049   0.00000   0.00000   0.00000   0.00000   0.00000
11   10.17028   -0.16568   -0.17475   0.97073   0.00000   0.00000   0.00000   0.00000   0.00000
12   10.17804   -0.16587   -0.17597   0.97040   0.00000   0.00000   0.00000   0.00000   0.00000
13   10.17183   -0.16602   -0.17637   0.97037   0.00000   0.00000   0.00000   0.00000   0.00000
14   10.17494   -0.16623   -0.17490   0.97064   0.00000   0.00000   0.00000   0.00000   0.00000
15   10.17183   -0.16623   -0.17570   0.97052   0.00000   0.00000   0.00000   0.00000   0.00000
16   10.17183   -0.16648   -0.17594   0.97024   0.00000   0.00000   0.00000   0.00000   0.00000
17   10.17959   -0.16669   -0.17551   0.97037   0.00000   0.00000   0.00000   0.00000   0.00000
18   10.17183   -0.16639   -0.17612   0.97027   0.00000   0.00000   0.00000   0.00000   0.00000
19   10.17338   -0.16642   -0.17591   0.97046   0.00000   0.00000   0.00000   0.00000   0.00000
20   10.17959   -0.16651   -0.17631   0.97027   0.00000   0.00000   0.00000   0.00000   0.00000
21   10.17183   -0.16703   -0.17597   0.97027   0.00000   0.00000   0.00000   0.00000   0.00000
22   10.17649   -0.16605   -0.17615   0.97034   0.00000   0.00000   0.00000   0.00000   0.00000
23   10.17649   -0.16688   -0.17640   0.97031   0.00000   0.00000   0.00000   0.00000   0.00000
24   10.17338   -0.16727   -0.17704   0.97000   0.00000   0.00000   0.00000   0.00000   0.00000
25   10.17649   -0.16688   -0.17618   0.97031   0.00000   0.00000   0.00000   0.00000   0.00000
26   10.17649   -0.16633   -0.17637   0.97027   0.00000   0.00000   0.00000   0.00000   0.00000
27   10.18115   -0.16669   -0.17710   0.97012   0.00000   0.00000   0.00000   0.00000   0.00000
28   10.16872   -0.16639   -0.17670   0.97034   0.00000   0.00000   0.00000   0.00000   0.00000
29   10.17649   -0.16614   -0.17661   0.97031   0.00000   0.00000   0.00000   0.00000   0.00000
30   10.18270   -0.16681   -0.17573   0.97034   0.00000   0.00000   0.00000   0.00000   0.00000
31   10.17959   -0.16651   -0.17679   0.97024   0.00000   0.00000   0.00000   0.00000   0.00000
32   10.17649   -0.16660   -0.17637   0.97037   0.00000   0.00000   0.00000   0.00000   0.00000
