Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   10.18736   -0.14866   -0.16614   0.97494   0.00000   0.00000   0.00000   0.00000   0.00000
2   10.19202   -0.14847   -0.16666   0.97491   0.00000   0.00000   0.00000   0.00000   0.00000
3   10.18581   -0.14963   -0.16666   0.97479   0.00000   0.00000   0.00000   0.00000   0.00000
4   10.18425   -0.14826   -0.16807   0.97485   0.00000   0.00000   0.00000   0.00000   0.00000
5   10.18581   -0.14847   -0.16678   0.97497   0.00000   0.00000   0.00000   0.00000   0.00000
6   10.18270   -0.14820   -0.16666   0.97497   0.00000   0.00000   0.00000   0.00000   0.00000
7   10.19202   -0.14823   -0.16703   0.97501   0.00000   0.00000   0.00000   0.00000   0.00000
8   10.18425   -0.14866   -0.16645   0.97501   0.00000   0.00000   0.00000   0.00000   0.00000
9   10.19047   -0.14774   -0.16605   0.97507   0.00000   0.00000   0.00000   0.00000   0.00000
10   10.18736   -0.14682   -0.16590   0.97525   0.00000   0.00000   0.00000   0.00000   0.00000
11   10.18425   -0.14847   -0.16596   0.97513   0.00000   0.00000   0.00000   0.00000   0.00000
12   10.19202   -0.14774   -0.16605   0.97507   0.00000   0.00000   0.00000   0.00000   0.00000
13   10.18270   -0.14789   -0.16596   0.97510   0.00000   0.00000   0.00000   0.00000   0.00000
14   10.19047   -0.14838   -0.16742   0.97482   0.00000   0.00000   0.00000   0.00000   0.00000
15   10.19357   -0.14777   -0.16639   0.97513   0.00000   0.00000   0.00000   0.00000   0.00000
16   10.19202   -0.14731   -0.16596   0.97525   0.00000   0.00000   0.00000   0.00000   0.00000
17   10.18425   -0.14789   -0.16626   0.97504   0.00000   0.00000   0.00000   0.00000   0.00000
18   10.19202   -0.14661   -0.16501   0.97552   0.00000   0.00000   0.00000   0.00000   0.00000
19   10.18736   -0.14792   -0.16559   0.97522   0.00000   0.00000   0.00000   0.00000   0.00000
20   10.18736   -0.14734   -0.16541   0.97519   0.00000   0.00000   0.00000   0.00000   0.00000
21   10.19668   -0.14780   -0.16556   0.97528   0.00000   0.00000   0.00000   0.00000   0.00000
22   10.19202   -0.14847   -0.16636   0.97497   0.00000   0.00000   0.00000   0.00000   0.00000
23   10.17959   -0.14808   -0.16681   0.97488   0.00000   0.00000   0.00000   0.00000   0.00000
24   10.18425   -0.14734   -0.16584   0.97516   0.00000   0.00000   0.00000   0.00000   0.00000
25   10.18736   -0.14722   -0.16614   0.97531   0.00000   0.00000   0.00000   0.00000   0.00000
26   10.18891   -0.14719   -0.16636   0.97510   0.00000   0.00000   0.00000   0.00000   0.00000
27   10.19202   -0.14704   -0.16584   0.97525   0.00000   0.00000   0.00000   0.00000   0.00000
28   10.18425   -0.14753   -0.16617   0.97504   0.00000   0.00000   0.00000   0.00000   0.00000
29   10.18891   -0.14719   -0.16575   0.97528   0.00000   0.00000   0.00000   0.00000   0.00000
30   10.19357   -0.14686   -0.16633   0.97522   0.00000   0.00000   0.00000   0.00000   0.00000
31   10.18736   -0.14673   -0.16550   0.97540   0.00000   0.00000   0.00000   0.00000   0.00000
32   10.19978   -0.14777   -0.16575   0.97513   0.00000   0.00000   0.00000   0.00000   0.00000
33   10.19047   -0.14722   -0.16514   0.97543   0.00000   0.00000   0.00000   0.00000   0.00000
34   10.19357   -0.14695   -0.16578   0.97531   0.00000   0.00000   0.00000   0.00000   0.00000
35   10.19357   -0.14624   -0.16486   0.97555   0.00000   0.00000   0.00000   0.00000   0.00000
36   10.19202   -0.14713   -0.16642   0.97510   0.00000   0.00000   0.00000   0.00000   0.00000
37   10.19047   -0.14765   -0.16501   0.97525   0.00000   0.00000   0.00000   0.00000   0.00000
38   10.18891   -0.14747   -0.16599   0.97519   0.00000   0.00000   0.00000   0.00000   0.00000
39   10.19202   -0.14777   -0.16562   0.97522   0.00000   0.00000   0.00000   0.00000   0.00000
40   10.18581   -0.14774   -0.16477   0.97543   0.00000   0.00000   0.00000   0.00000   0.00000
41   10.19047   -0.14774   -0.16578   0.97510   0.00000   0.00000   0.00000   0.00000   0.00000
42   10.18581   -0.14808   -0.16553   0.97507   0.00000   0.00000   0.00000   0.00000   0.00000
43   10.18270   -0.14844   -0.16633   0.97501   0.00000   0.00000   0.00000   0.00000   0.00000
44   10.19512   -0.14759   -0.16565   0.97528   0.00000   0.00000   0.00000   0.00000   0.00000
45   10.18425   -0.14771   -0.16608   0.97504   0.00000   0.00000   0.00000   0.00000   0.00000
46   10.18270   -0.14902   -0.16556   0.97516   0.00000   0.00000   0.00000   0.00000   0.00000
47   10.19512   -0.14768   -0.16605   0.97507   0.00000   0.00000   0.00000   0.00000   0.00000
48   10.17804   -0.14753   -0.16517   0.97531   0.00000   0.00000   0.00000   0.00000   0.00000
49   10.18270   -0.14835   -0.16593   0.97504   0.00000   0.00000   0.00000   0.00000   0.00000
50   10.17494   -0.14826   -0.16556   0.97516   0.00000   0.00000   0.00000   0.00000   0.00000
51   10.18891   -0.14863   -0.16596   0.97491   0.00000   0.00000   0.00000   0.00000   0.00000
52   10.19357   -0.14884   -0.16651   0.97494   0.00000   0.00000   0.00000   0.00000   0.00000
53   10.18891   -0.14750   -0.16666   0.97513   0.00000   0.00000   0.00000   0.00000   0.00000
54   10.18115   -0.14890   -0.16623   0.97497   0.00000   0.00000   0.00000   0.00000   0.00000
55   10.18425   -0.14917   -0.16611   0.97501   0.00000   0.00000   0.00000   0.00000   0.00000
56   10.18891   -0.14838   -0.16562   0.97510   0.00000   0.00000   0.00000   0.00000   0.00000
57   10.18581   -0.14917   -0.16599   0.97491   0.00000   0.00000   0.00000   0.00000   0.00000
58   10.18736   -0.14875   -0.16587   0.97513   0.00000   0.00000   0.00000   0.00000   0.00000
59   10.19047   -0.14856   -0.16605   0.97504   0.00000   0.00000   0.00000   0.00000   0.00000
60   10.18891   -0.14899   -0.16590   0.97488   0.00000   0.00000   0.00000   0.00000   0.00000
61   10.17959   -0.14905   -0.16657   0.97482   0.00000   0.00000   0.00000   0.00000   0.00000
62   10.19357   -0.14777   -0.16596   0.97513   0.00000   0.00000   0.00000   0.00000   0.00000
63   10.18270   -0.14863   -0.16590   0.97516   0.00000   0.00000   0.00000   0.00000   0.00000
64   10.17804   -0.14933   -0.16691   0.97482   0.00000   0.00000   0.00000   0.00000   0.00000
65   10.18891   -0.14914   -0.16645   0.97473   0.00000   0.00000   0.00000   0.00000   0.00000
66   10.19357   -0.14875   -0.16626   0.97497   0.00000   0.00000   0.00000   0.00000   0.00000
67   10.18425   -0.14863   -0.16517   0.97504   0.00000   0.00000   0.00000   0.00000   0.00000
68   10.19047   -0.14866   -0.16626   0.97501   0.00000   0.00000   0.00000   0.00000   0.00000
69   10.18736   -0.14936   -0.16761   0.97461   0.00000   0.00000   0.00000   0.00000   0.00000
70   10.18115   -0.14896   -0.16669   0.97476   0.00000   0.00000   0.00000   0.00000   0.00000
71   10.18581   -0.14927   -0.16700   0.97476   0.00000   0.00000   0.00000   0.00000   0.00000
72   10.18425   -0.14936   -0.16666   0.97485   0.00000   0.00000   0.00000   0.00000   0.00000
73   10.18425   -0.14887   -0.16608   0.97491   0.00000   0.00000   0.00000   0.00000   0.00000
74   10.19357   -0.14750   -0.16623   0.97516   0.00000   0.00000   0.00000   0.00000   0.00000
75   10.19512   -0.14841   -0.16639   0.97497   0.00000   0.00000   0.00000   0.00000   0.00000
76   10.18115   -0.14930   -0.16706   0.97470   0.00000   0.00000   0.00000   0.00000   0.00000
77   10.18736   -0.14829   -0.16700   0.97501   0.00000   0.00000   0.00000   0.00000   0.00000
78   10.19047   -0.14801   -0.16694   0.97497   0.00000   0.00000   0.00000   0.00000   0.00000
79   10.18736   -0.14820   -0.16602   0.97516   0.00000   0.00000   0.00000   0.00000   0.00000
80   10.19202   -0.14902   -0.16666   0.97476   0.00000   0.00000   0.00000   0.00000   0.00000
81   10.18581   -0.14853   -0.16721   0.97476   0.00000   0.00000   0.00000   0.00000   0.00000
82   10.18425   -0.14863   -0.16791   0.97470   0.00000   0.00000   0.00000   0.00000   0.00000
83   10.19047   -0.14838   -0.16703   0.97479   0.00000   0.00000   0.00000   0.00000   0.00000
84   10.19512   -0.14875   -0.16697   0.97476   0.00000   0.00000   0.00000   0.00000   0.00000
85   10.18115   -0.14933   -0.16703   0.97473   0.00000   0.00000   0.00000   0.00000   0.00000
86   10.18425   -0.14863   -0.16651   0.97497   0.00000   0.00000   0.00000   0.00000   0.00000
