Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:34:5 9/1/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.08217   -0.04279   0.88250   -0.46849   1.08217   -0.04279   0.88250   -0.46849   96.41418
2   1.08188   -0.04181   0.88278   -0.46812   1.08188   -0.04181   0.88278   -0.46812   96.42029
3   1.08261   -0.04178   0.88260   -0.46840   1.08261   -0.04178   0.88260   -0.46840   96.42944
4   1.08290   -0.04260   0.88235   -0.46886   1.08290   -0.04260   0.88235   -0.46886   96.38977
5   1.08224   -0.04331   0.88263   -0.46821   1.08224   -0.04331   0.88263   -0.46821   96.44165
6   1.08239   -0.04392   0.88250   -0.46846   1.08239   -0.04392   0.88250   -0.46846   96.44165
7   1.08261   -0.04294   0.88272   -0.46794   1.08261   -0.04294   0.88272   -0.46794   96.41724
8   1.08253   -0.04202   0.88284   -0.46782   1.08253   -0.04202   0.88284   -0.46782   96.38977
9   1.08195   -0.04126   0.88272   -0.46825   1.08195   -0.04126   0.88272   -0.46825   96.38062
10   1.08239   -0.04273   0.88281   -0.46797   1.08239   -0.04273   0.88281   -0.46797   96.44165
11   1.08253   -0.04309   0.88272   -0.46803   1.08253   -0.04309   0.88272   -0.46803   96.42944
12   1.08290   -0.04266   0.88284   -0.46785   1.08290   -0.04266   0.88284   -0.46785   96.41113
13   1.08217   -0.04202   0.88266   -0.46831   1.08217   -0.04202   0.88266   -0.46831   96.40808
14   1.08239   -0.04138   0.88266   -0.46831   1.08239   -0.04138   0.88266   -0.46831   96.43555
15   1.08290   -0.04175   0.88287   -0.46797   1.08290   -0.04175   0.88287   -0.46797   96.40503
16   1.08290   -0.04285   0.88281   -0.46797   1.08290   -0.04285   0.88281   -0.46797   96.38367
17   1.08246   -0.04328   0.88272   -0.46803   1.08246   -0.04328   0.88272   -0.46803   96.41724
18   1.08239   -0.04273   0.88238   -0.46867   1.08239   -0.04273   0.88238   -0.46867   96.44165
19   1.08268   -0.04306   0.88345   -0.46675   1.08268   -0.04306   0.88345   -0.46675   96.42334
20   1.08275   -0.04147   0.88238   -0.46876   1.08275   -0.04147   0.88238   -0.46876   96.39587
21   1.08239   -0.04273   0.88299   -0.46754   1.08239   -0.04273   0.88299   -0.46754   96.42944
22   1.08239   -0.04260   0.88290   -0.46773   1.08239   -0.04260   0.88290   -0.46773   96.38062
23   1.08232   -0.04315   0.88357   -0.46638   1.08232   -0.04315   0.88357   -0.46638   96.40808
24   1.08290   -0.04300   0.88287   -0.46779   1.08290   -0.04300   0.88287   -0.46779   96.41724
25   1.08290   -0.04227   0.88235   -0.46883   1.08290   -0.04227   0.88235   -0.46883   96.39587
26   1.08261   -0.04209   0.88321   -0.46736   1.08261   -0.04209   0.88321   -0.46736   96.40808
27   1.08232   -0.04288   0.88318   -0.46727   1.08232   -0.04288   0.88318   -0.46727   96.40808
28   1.08246   -0.04285   0.88314   -0.46730   1.08246   -0.04285   0.88314   -0.46730   96.39587
29   1.08239   -0.04291   0.88324   -0.46712   1.08239   -0.04291   0.88324   -0.46712   96.39587
30   1.08174   -0.04230   0.88330   -0.46702   1.08174   -0.04230   0.88330   -0.46702   96.42639
31   1.08181   -0.04254   0.88388   -0.46599   1.08181   -0.04254   0.88388   -0.46599   96.42639
32   1.08246   -0.04239   0.88278   -0.46806   1.08246   -0.04239   0.88278   -0.46806   96.37451
33   1.08239   -0.04318   0.88290   -0.46770   1.08239   -0.04318   0.88290   -0.46770   96.40808
34   1.08239   -0.04288   0.88290   -0.46779   1.08239   -0.04288   0.88290   -0.46779   96.45691
35   1.08224   -0.04340   0.88342   -0.46681   1.08224   -0.04340   0.88342   -0.46681   96.42029
36   1.08246   -0.04312   0.88299   -0.46754   1.08246   -0.04312   0.88299   -0.46754   96.37451
37   1.08319   -0.04266   0.88305   -0.46754   1.08319   -0.04266   0.88305   -0.46754   96.36536
38   1.08253   -0.04340   0.88324   -0.46715   1.08253   -0.04340   0.88324   -0.46715   96.42944
39   1.08232   -0.04358   0.88385   -0.46593   1.08232   -0.04358   0.88385   -0.46593   96.37451
40   1.08224   -0.04349   0.88321   -0.46699   1.08224   -0.04349   0.88321   -0.46699   96.42944
41   1.08217   -0.04334   0.88342   -0.46672   1.08217   -0.04334   0.88342   -0.46672   96.41418
42   1.08253   -0.04389   0.88299   -0.46754   1.08253   -0.04389   0.88299   -0.46754   96.42944
43   1.08326   -0.04303   0.88302   -0.46751   1.08326   -0.04303   0.88302   -0.46751   96.40503
44   1.08297   -0.04239   0.88333   -0.46693   1.08297   -0.04239   0.88333   -0.46693   96.39893
45   1.08203   -0.04297   0.88351   -0.46666   1.08203   -0.04297   0.88351   -0.46666   96.42639
46   1.08232   -0.04297   0.88351   -0.46644   1.08232   -0.04297   0.88351   -0.46644   96.44775
47   1.08362   -0.04306   0.88302   -0.46748   1.08362   -0.04306   0.88302   -0.46748   96.39282
48   1.08348   -0.04437   0.88360   -0.46620   1.08348   -0.04437   0.88360   -0.46620   96.36536
49   1.08282   -0.04440   0.88296   -0.46748   1.08282   -0.04440   0.88296   -0.46748   96.41724
50   1.08297   -0.04358   0.88348   -0.46657   1.08297   -0.04358   0.88348   -0.46657   96.41113
51   1.08261   -0.04437   0.88321   -0.46709   1.08261   -0.04437   0.88321   -0.46709   96.42944
52   1.08355   -0.04288   0.88299   -0.46754   1.08355   -0.04288   0.88299   -0.46754   96.35925
53   1.08275   -0.04486   0.88318   -0.46709   1.08275   -0.04486   0.88318   -0.46709   96.41113
54   1.08224   -0.04443   0.88324   -0.46699   1.08224   -0.04443   0.88324   -0.46699   96.43555
55   1.08195   -0.04382   0.88336   -0.46675   1.08195   -0.04382   0.88336   -0.46675   96.42639
56   1.08282   -0.04306   0.88345   -0.46678   1.08282   -0.04306   0.88345   -0.46678   96.38367
57   1.08304   -0.04343   0.88339   -0.46669   1.08304   -0.04343   0.88339   -0.46669   96.36536
58   1.08239   -0.04428   0.88382   -0.46587   1.08239   -0.04428   0.88382   -0.46587   96.40808
59   1.08217   -0.04541   0.88324   -0.46684   1.08217   -0.04541   0.88324   -0.46684   96.40198
60   1.08210   -0.04498   0.88339   -0.46675   1.08210   -0.04498   0.88339   -0.46675   96.38672
61   1.08246   -0.04434   0.88327   -0.46684   1.08246   -0.04434   0.88327   -0.46684   96.42334
62   1.08261   -0.04456   0.88348   -0.46654   1.08261   -0.04456   0.88348   -0.46654   96.42334
63   1.08195   -0.04392   0.88379   -0.46596   1.08195   -0.04392   0.88379   -0.46596   96.44775
64   1.08188   -0.04416   0.88345   -0.46657   1.08188   -0.04416   0.88345   -0.46657   96.40808
65   1.08217   -0.04489   0.88354   -0.46632   1.08217   -0.04489   0.88354   -0.46632   96.42944
66   1.08232   -0.04328   0.88369   -0.46623   1.08232   -0.04328   0.88369   -0.46623   96.42334
67   1.08261   -0.04489   0.88336   -0.46678   1.08261   -0.04489   0.88336   -0.46678   96.37756
68   1.08195   -0.04447   0.88311   -0.46715   1.08195   -0.04447   0.88311   -0.46715   96.41418
69   1.08174   -0.04520   0.88321   -0.46693   1.08174   -0.04520   0.88321   -0.46693   96.41418
70   1.08239   -0.04367   0.88305   -0.46733   1.08239   -0.04367   0.88305   -0.46733   96.41418
71   1.08232   -0.04492   0.88351   -0.46651   1.08232   -0.04492   0.88351   -0.46651   96.42334
72   1.08181   -0.04425   0.88327   -0.46693   1.08181   -0.04425   0.88327   -0.46693   96.39893
73   1.08217   -0.04431   0.88314   -0.46727   1.08217   -0.04431   0.88314   -0.46727   96.41418
74   1.08239   -0.04575   0.88348   -0.46626   1.08239   -0.04575   0.88348   -0.46626   96.43555
75   1.08188   -0.04495   0.88351   -0.46635   1.08188   -0.04495   0.88351   -0.46635   96.41418
76   1.08253   -0.04419   0.88287   -0.46776   1.08253   -0.04419   0.88287   -0.46776   96.38367
77   1.08232   -0.04459   0.88339   -0.46657   1.08232   -0.04459   0.88339   -0.46657   96.41418
78   1.08210   -0.04517   0.88293   -0.46754   1.08210   -0.04517   0.88293   -0.46754   96.40808
79   1.08261   -0.04416   0.88305   -0.46736   1.08261   -0.04416   0.88305   -0.46736   96.40198
80   1.08282   -0.04584   0.88275   -0.46782   1.08282   -0.04584   0.88275   -0.46782   96.37146
81   1.08203   -0.04483   0.88308   -0.46721   1.08203   -0.04483   0.88308   -0.46721   96.44775
82   1.08166   -0.04434   0.88260   -0.46821   1.08166   -0.04434   0.88260   -0.46821   96.43860
83   1.08253   -0.04477   0.88278   -0.46779   1.08253   -0.04477   0.88278   -0.46779   96.36841
84   1.08261   -0.04544   0.88284   -0.46776   1.08261   -0.04544   0.88284   -0.46776   96.40808
85   1.08297   -0.04410   0.88293   -0.46754   1.08297   -0.04410   0.88293   -0.46754   96.41724
86   1.08166   -0.04572   0.88269   -0.46788   1.08166   -0.04572   0.88269   -0.46788   96.41418
87   1.08166   -0.04505   0.88293   -0.46748   1.08166   -0.04505   0.88293   -0.46748   96.41418
88   1.08268   -0.04480   0.88290   -0.46764   1.08268   -0.04480   0.88290   -0.46764   96.41113
89   1.08311   -0.04389   0.88278   -0.46779   1.08311   -0.04389   0.88278   -0.46779   96.40503
90   1.08217   -0.04447   0.88260   -0.46815   1.08217   -0.04447   0.88260   -0.46815   96.45386
91   1.08166   -0.04605   0.88308   -0.46709   1.08166   -0.04605   0.88308   -0.46709   96.41418
92   1.08261   -0.04633   0.88305   -0.46712   1.08261   -0.04633   0.88305   -0.46712   96.40198
93   1.08304   -0.04544   0.88250   -0.46825   1.08304   -0.04544   0.88250   -0.46825   96.41113
94   1.08275   -0.04453   0.88293   -0.46764   1.08275   -0.04453   0.88293   -0.46764   96.40198
95   1.08239   -0.04450   0.88275   -0.46794   1.08239   -0.04450   0.88275   -0.46794   96.40808
96   1.08203   -0.04492   0.88269   -0.46806   1.08203   -0.04492   0.88269   -0.46806   96.43555
97   1.08246   -0.04477   0.88293   -0.46742   1.08246   -0.04477   0.88293   -0.46742   96.42944
98   1.08246   -0.04508   0.88296   -0.46736   1.08246   -0.04508   0.88296   -0.46736   96.43555
99   1.08174   -0.04498   0.88302   -0.46721   1.08174   -0.04498   0.88302   -0.46721   96.40808
100   1.08174   -0.04535   0.88263   -0.46797   1.08174   -0.04535   0.88263   -0.46797   96.39893
101   1.08203   -0.04410   0.88281   -0.46785   1.08203   -0.04410   0.88281   -0.46785   96.40808
102   1.08203   -0.04477   0.88253   -0.46821   1.08203   -0.04477   0.88253   -0.46821   96.42639
103   1.08217   -0.04450   0.88281   -0.46782   1.08217   -0.04450   0.88281   -0.46782   96.39587
104   1.08217   -0.04450   0.88311   -0.46715   1.08217   -0.04450   0.88311   -0.46715   96.40808
105   1.08224   -0.04547   0.88293   -0.46748   1.08224   -0.04547   0.88293   -0.46748   96.42029
106   1.08304   -0.04572   0.88302   -0.46727   1.08304   -0.04572   0.88302   -0.46727   96.37146
107   1.08319   -0.04624   0.88357   -0.46623   1.08319   -0.04624   0.88357   -0.46623   96.39282
108   1.08304   -0.04691   0.88244   -0.46818   1.08304   -0.04691   0.88244   -0.46818   96.41113
109   1.08195   -0.04706   0.88293   -0.46733   1.08195   -0.04706   0.88293   -0.46733   96.43555
110   1.08159   -0.04547   0.88327   -0.46672   1.08159   -0.04547   0.88327   -0.46672   96.45386
111   1.08232   -0.04462   0.88336   -0.46678   1.08232   -0.04462   0.88336   -0.46678   96.41418
112   1.08232   -0.04532   0.88299   -0.46727   1.08232   -0.04532   0.88299   -0.46727   96.38062
113   1.08188   -0.04617   0.88278   -0.46764   1.08188   -0.04617   0.88278   -0.46764   96.43250
114   1.08232   -0.04614   0.88260   -0.46794   1.08232   -0.04614   0.88260   -0.46794   96.44165
