Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:48:43 9/1/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.06260   -0.50780   0.38813   0.76925   1.06260   -0.50780   0.38813   0.76925   96.43860
2   1.06151   -0.50703   0.39222   0.76763   1.06151   -0.50703   0.39222   0.76763   96.45386
3   1.06216   -0.50615   0.39161   0.76855   1.06216   -0.50615   0.39161   0.76855   96.43555
4   1.06354   -0.50685   0.39158   0.76812   1.06354   -0.50685   0.39158   0.76812   96.44165
5   1.06354   -0.50783   0.38804   0.76925   1.06354   -0.50783   0.38804   0.76925   96.42029
6   1.06325   -0.50813   0.38694   0.76952   1.06325   -0.50813   0.38694   0.76952   96.44775
7   1.06289   -0.50575   0.38847   0.77035   1.06289   -0.50575   0.38847   0.77035   96.47217
8   1.06383   -0.50517   0.39116   0.76943   1.06383   -0.50517   0.39116   0.76943   96.41418
9   1.06441   -0.50499   0.39088   0.76968   1.06441   -0.50499   0.39088   0.76968   96.45081
10   1.06383   -0.50578   0.38807   0.77059   1.06383   -0.50578   0.38807   0.77059   96.41418
11   1.06260   -0.50713   0.38691   0.77020   1.06260   -0.50713   0.38691   0.77020   96.41113
12   1.06231   -0.50591   0.38957   0.76968   1.06231   -0.50591   0.38957   0.76968   96.40808
13   1.06274   -0.50688   0.38969   0.76904   1.06274   -0.50688   0.38969   0.76904   96.45081
14   1.06267   -0.50633   0.39158   0.76840   1.06267   -0.50633   0.39158   0.76840   96.45691
15   1.06340   -0.50673   0.39048   0.76876   1.06340   -0.50673   0.39048   0.76876   96.42639
16   1.06296   -0.50505   0.39351   0.76830   1.06296   -0.50505   0.39351   0.76830   96.45996
17   1.06289   -0.50453   0.39274   0.76904   1.06289   -0.50453   0.39274   0.76904   96.44470
18   1.06405   -0.50407   0.38847   0.77142   1.06405   -0.50407   0.38847   0.77142   96.42334
19   1.06361   -0.50517   0.38508   0.77236   1.06361   -0.50517   0.38508   0.77236   96.45386
20   1.06282   -0.50526   0.38246   0.77367   1.06282   -0.50526   0.38246   0.77367   96.41724
21   1.06245   -0.50603   0.38713   0.77090   1.06245   -0.50603   0.38713   0.77090   96.44470
22   1.06340   -0.50609   0.38902   0.76980   1.06340   -0.50609   0.38902   0.76980   96.43250
23   1.06369   -0.50700   0.38926   0.76913   1.06369   -0.50700   0.38926   0.76913   96.45386
24   1.06274   -0.50768   0.38389   0.77136   1.06274   -0.50768   0.38389   0.77136   96.49353
25   1.06253   -0.50829   0.38450   0.77062   1.06253   -0.50829   0.38450   0.77062   96.44470
26   1.06296   -0.50822   0.38682   0.76959   1.06296   -0.50822   0.38682   0.76959   96.44470
27   1.06361   -0.50685   0.39094   0.76833   1.06361   -0.50685   0.39094   0.76833   96.39893
28   1.06398   -0.50682   0.38801   0.76986   1.06398   -0.50682   0.38801   0.76986   96.46301
29   1.06318   -0.50542   0.38505   0.77233   1.06318   -0.50542   0.38505   0.77233   96.46606
30   1.06311   -0.50609   0.38408   0.77233   1.06311   -0.50609   0.38408   0.77233   96.41113
31   1.06340   -0.50542   0.39051   0.76952   1.06340   -0.50542   0.39051   0.76952   96.45996
