Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:53:9 9/1/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.05861   0.86694   0.14975   0.47554   1.05861   0.86694   0.14975   0.47554   99.60938
2   1.05818   0.86697   0.14930   0.47557   1.05818   0.86697   0.14930   0.47557   99.63684
3   1.05847   0.86770   0.14451   0.47572   1.05847   0.86770   0.14451   0.47572   99.62769
4   1.05905   0.86850   0.14328   0.47468   1.05905   0.86850   0.14328   0.47468   99.64294
5   1.05861   0.86834   0.14704   0.47392   1.05861   0.86834   0.14704   0.47392   99.61548
6   1.05781   0.86801   0.15098   0.47322   1.05781   0.86801   0.15098   0.47322   99.60022
7   1.05731   0.86865   0.14814   0.47288   1.05731   0.86865   0.14814   0.47288   99.60632
8   1.05731   0.86837   0.14646   0.47411   1.05731   0.86837   0.14646   0.47411   99.62769
9   1.05818   0.86798   0.14426   0.47539   1.05818   0.86798   0.14426   0.47539   99.64294
10   1.05847   0.86816   0.14673   0.47420   1.05847   0.86816   0.14673   0.47420   99.61548
11   1.05803   0.86828   0.15009   0.47298   1.05803   0.86828   0.15009   0.47298   99.61548
12   1.05803   0.86850   0.15027   0.47261   1.05803   0.86850   0.15027   0.47261   99.62158
13   1.05919   0.86847   0.14771   0.47337   1.05919   0.86847   0.14771   0.47337   99.62158
14   1.05926   0.86789   0.14713   0.47456   1.05926   0.86789   0.14713   0.47456   99.62769
15   1.05796   0.86813   0.14716   0.47426   1.05796   0.86813   0.14716   0.47426   99.62158
16   1.05716   0.86758   0.15128   0.47392   1.05716   0.86758   0.15128   0.47392   99.63379
17   1.05789   0.86843   0.15165   0.47215   1.05789   0.86843   0.15165   0.47215   99.62158
18   1.05890   0.86807   0.15155   0.47298   1.05890   0.86807   0.15155   0.47298   99.60022
19   1.05890   0.86905   0.14664   0.47276   1.05890   0.86905   0.14664   0.47276   99.58801
20   1.05709   0.86874   0.14899   0.47246   1.05709   0.86874   0.14899   0.47246   99.64294
21   1.05774   0.86880   0.15259   0.47130   1.05774   0.86880   0.15259   0.47130   99.63379
22   1.05912   0.86920   0.15390   0.47008   1.05912   0.86920   0.15390   0.47008   99.62769
23   1.05883   0.86892   0.15183   0.47136   1.05883   0.86892   0.15183   0.47136   99.60022
24   1.05803   0.86969   0.14777   0.47124   1.05803   0.86969   0.14777   0.47124   99.62769
25   1.05796   0.86862   0.15229   0.47185   1.05796   0.86862   0.15229   0.47185   99.65515
26   1.05897   0.86871   0.15955   0.46916   1.05897   0.86871   0.15955   0.46916   99.60022
27   1.05905   0.86883   0.15735   0.46962   1.05905   0.86883   0.15735   0.46962   99.62158
28   1.05774   0.86886   0.15113   0.47166   1.05774   0.86886   0.15113   0.47166   99.64294
29   1.05723   0.86938   0.14682   0.47197   1.05723   0.86938   0.14682   0.47197   99.62158
30   1.05702   0.86941   0.15122   0.47053   1.05702   0.86941   0.15122   0.47053   99.61548
31   1.05738   0.86938   0.15720   0.46858   1.05738   0.86938   0.15720   0.46858   99.63379
32   1.05789   0.86917   0.15827   0.46873   1.05789   0.86917   0.15827   0.46873   99.62769
33   1.05803   0.86941   0.14994   0.47105   1.05803   0.86941   0.14994   0.47105   99.64294
34   1.05810   0.86944   0.14722   0.47166   1.05810   0.86944   0.14722   0.47166   99.62769
35   1.05883   0.86987   0.14969   0.47026   1.05883   0.86987   0.14969   0.47026   99.59412
36   1.05897   0.86929   0.15714   0.46879   1.05897   0.86929   0.15714   0.46879   99.63684
37   1.05897   0.86935   0.15668   0.46889   1.05897   0.86935   0.15668   0.46889   99.62769
38   1.05781   0.86944   0.14917   0.47111   1.05781   0.86944   0.14917   0.47111   99.62769
39   1.05767   0.86975   0.14414   0.47218   1.05767   0.86975   0.14414   0.47218   99.62769
40   1.05839   0.86920   0.14896   0.47160   1.05839   0.86920   0.14896   0.47160   99.60938
41   1.05832   0.86834   0.15748   0.47050   1.05832   0.86834   0.15748   0.47050   99.58801
42   1.05789   0.86850   0.15558   0.47084   1.05789   0.86850   0.15558   0.47084   99.60022
43   1.05774   0.86840   0.14765   0.47368   1.05774   0.86840   0.14765   0.47368   99.61548
44   1.05810   0.86843   0.14603   0.47395   1.05810   0.86843   0.14603   0.47395   99.66431
45   1.05883   0.86901   0.15064   0.47148   1.05883   0.86901   0.15064   0.47148   99.58191
46   1.05847   0.86828   0.16138   0.46925   1.05847   0.86828   0.16138   0.46925   99.59412
47   1.05876   0.86853   0.15983   0.46934   1.05876   0.86853   0.15983   0.46934   99.62158
48   1.05752   0.86923   0.15250   0.47050   1.05752   0.86923   0.15250   0.47050   99.67041
49   1.05825   0.86975   0.14820   0.47087   1.05825   0.86975   0.14820   0.47087   99.60938
50   1.05868   0.86938   0.14939   0.47130   1.05868   0.86938   0.14939   0.47130   99.60938
51   1.05774   0.86889   0.15601   0.46992   1.05774   0.86889   0.15601   0.46992   99.64905
52   1.05738   0.86898   0.15842   0.46907   1.05738   0.86898   0.15842   0.46907   99.62158
53   1.05760   0.86926   0.15082   0.47102   1.05760   0.86926   0.15082   0.47102   99.61548
54   1.05861   0.86813   0.15116   0.47288   1.05861   0.86813   0.15116   0.47288   99.61548
55   1.05883   0.86895   0.15226   0.47102   1.05883   0.86895   0.15226   0.47102   99.61548
56   1.05861   0.86886   0.15433   0.47060   1.05861   0.86886   0.15433   0.47060   99.60938
57   1.05825   0.86859   0.15204   0.47191   1.05825   0.86859   0.15204   0.47191   99.61548
58   1.05868   0.86807   0.15400   0.47203   1.05868   0.86807   0.15400   0.47203   99.62769
59   1.05883   0.86868   0.15564   0.47047   1.05883   0.86868   0.15564   0.47047   99.59412
60   1.05818   0.86914   0.15900   0.46861   1.05818   0.86914   0.15900   0.46861   99.61548
61   1.05789   0.86847   0.16224   0.46858   1.05789   0.86847   0.16224   0.46858   99.62158
62   1.05738   0.86886   0.16599   0.46657   1.05738   0.86886   0.16599   0.46657   99.62769
63   1.05876   0.86877   0.15744   0.46977   1.05876   0.86877   0.15744   0.46977   99.60938
64   1.05883   0.86679   0.14502   0.47719   1.05883   0.86679   0.14502   0.47719   99.64294
65   1.05868   0.86749   0.14844   0.47502   1.05868   0.86749   0.14844   0.47502   99.63684
66   1.05839   0.86917   0.15839   0.46864   1.05839   0.86917   0.15839   0.46864   99.58801
67   1.05854   0.86886   0.16251   0.46785   1.05854   0.86886   0.16251   0.46785   99.63684
68   1.05926   0.86825   0.17411   0.46474   1.05926   0.86825   0.17411   0.46474   99.59412
69   1.05941   0.86834   0.17328   0.46480   1.05941   0.86834   0.17328   0.46480   99.60022
70   1.05760   0.86892   0.15549   0.47011   1.05760   0.86892   0.15549   0.47011   99.64294
71   1.05767   0.86892   0.15455   0.47029   1.05767   0.86892   0.15455   0.47029   99.64294
72   1.05839   0.86908   0.15625   0.46947   1.05839   0.86908   0.15625   0.46947   99.63684
73   1.05832   0.86996   0.15171   0.46944   1.05832   0.86996   0.15171   0.46944   99.62769
74   1.05767   0.86908   0.16346   0.46709   1.05767   0.86908   0.16346   0.46709   99.59412
75   1.05767   0.86843   0.15683   0.47050   1.05767   0.86843   0.15683   0.47050   99.63379
76   1.05796   0.86789   0.14426   0.47557   1.05796   0.86789   0.14426   0.47557   99.64294
77   1.05948   0.86746   0.15223   0.47392   1.05948   0.86746   0.15223   0.47392   99.62769
78   1.05934   0.86663   0.16321   0.47169   1.05934   0.86663   0.16321   0.47169   99.58191
79   1.05789   0.86682   0.16480   0.47087   1.05789   0.86682   0.16480   0.47087   99.60022
80   1.05745   0.86648   0.15836   0.47362   1.05745   0.86648   0.15836   0.47362   99.57886
81   1.05883   0.86706   0.14982   0.47536   1.05883   0.86706   0.14982   0.47536   99.60022
82   1.05883   0.86706   0.15366   0.47414   1.05883   0.86706   0.15366   0.47414   99.62158
83   1.05781   0.86740   0.15421   0.47325   1.05781   0.86740   0.15421   0.47325   99.61548
84   1.05658   0.86761   0.15806   0.47163   1.05658   0.86761   0.15806   0.47163   99.62769
85   1.05796   0.86688   0.16028   0.47237   1.05796   0.86688   0.16028   0.47237   99.58801
86   1.05926   0.86645   0.15622   0.47441   1.05926   0.86645   0.15622   0.47441   99.60938
87   1.05868   0.86709   0.15162   0.47475   1.05868   0.86709   0.15162   0.47475   99.63684
88   1.05731   0.86547   0.15821   0.47563   1.05731   0.86547   0.15821   0.47563   99.58801
