Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:39:43 6/15/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.80241   0.35780   -0.74310   -0.56566   3.80241   0.35780   -0.74310   -0.56566   100.46997
2   3.80241   0.35707   -0.74355   -0.56566   3.80241   0.35707   -0.74355   -0.56566   100.46997
3   3.80353   0.35810   -0.74273   -0.56587   3.80353   0.35810   -0.74273   -0.56587   100.52795
4   3.80353   0.35749   -0.74346   -0.56539   3.80353   0.35749   -0.74346   -0.56539   100.52795
5   3.80297   0.35746   -0.74340   -0.56548   3.80297   0.35746   -0.74340   -0.56548   100.51270
6   3.80465   0.35710   -0.74340   -0.56572   3.80465   0.35710   -0.74340   -0.56572   100.51270
7   3.80185   0.35777   -0.74395   -0.56450   3.80185   0.35777   -0.74395   -0.56450   100.52795
8   3.80297   0.35734   -0.74389   -0.56499   3.80297   0.35734   -0.74389   -0.56499   100.50049
9   3.80297   0.35688   -0.74337   -0.56581   3.80297   0.35688   -0.74337   -0.56581   100.52795
10   3.80353   0.35676   -0.74343   -0.56560   3.80353   0.35676   -0.74343   -0.56560   100.48523
11   3.80409   0.35716   -0.74343   -0.56551   3.80409   0.35716   -0.74343   -0.56551   100.49744
12   3.80409   0.35759   -0.74371   -0.56490   3.80409   0.35759   -0.74371   -0.56490   100.51270
13   3.80521   0.35783   -0.74429   -0.56410   3.80521   0.35783   -0.74429   -0.56410   100.45471
14   3.80409   0.35728   -0.74361   -0.56529   3.80409   0.35728   -0.74361   -0.56529   100.48523
15   3.80241   0.35713   -0.74407   -0.56490   3.80241   0.35713   -0.74407   -0.56490   100.48523
16   3.80521   0.35643   -0.74377   -0.56563   3.80521   0.35643   -0.74377   -0.56563   100.48523
17   3.80297   0.35792   -0.74389   -0.56456   3.80297   0.35792   -0.74389   -0.56456   100.46997
18   3.80409   0.35804   -0.74364   -0.56478   3.80409   0.35804   -0.74364   -0.56478   100.46997
19   3.80241   0.35643   -0.74389   -0.56520   3.80241   0.35643   -0.74389   -0.56520   100.46997
20   3.80353   0.35734   -0.74380   -0.56499   3.80353   0.35734   -0.74380   -0.56499   100.43945
21   3.80353   0.35676   -0.74398   -0.56502   3.80353   0.35676   -0.74398   -0.56502   100.48523
22   3.80241   0.35789   -0.74371   -0.56478   3.80241   0.35789   -0.74371   -0.56478   100.46997
23   3.80353   0.35759   -0.74358   -0.56508   3.80353   0.35759   -0.74358   -0.56508   100.48523
24   3.80297   0.35679   -0.74435   -0.56462   3.80297   0.35679   -0.74435   -0.56462   100.50049
25   3.80409   0.35737   -0.74407   -0.56441   3.80409   0.35737   -0.74407   -0.56441   100.48523
26   3.80521   0.35633   -0.74398   -0.56523   3.80521   0.35633   -0.74398   -0.56523   100.46997
27   3.80297   0.35752   -0.74395   -0.56478   3.80297   0.35752   -0.74395   -0.56478   100.45471
28   3.80353   0.35820   -0.74404   -0.56410   3.80353   0.35820   -0.74404   -0.56410   100.49744
29   3.80297   0.35630   -0.74438   -0.56484   3.80297   0.35630   -0.74438   -0.56484   100.51270
30   3.80297   0.35755   -0.74404   -0.56441   3.80297   0.35755   -0.74404   -0.56441   100.51270
31   3.80409   0.35752   -0.74410   -0.56432   3.80409   0.35752   -0.74410   -0.56432   100.49744
32   3.80297   0.35768   -0.74422   -0.56420   3.80297   0.35768   -0.74422   -0.56420   100.50049
33   3.80185   0.35627   -0.74468   -0.56453   3.80185   0.35627   -0.74468   -0.56453   100.51270
