Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.80297   0.35737   -0.74496   -0.56343   3.80297   0.35737   -0.74496   -0.56343   100.51270
2   3.80297   0.35780   -0.74422   -0.56420   3.80297   0.35780   -0.74422   -0.56420   100.48523
3   3.80297   0.35752   -0.74471   -0.56352   3.80297   0.35752   -0.74471   -0.56352   100.48523
4   3.80297   0.35777   -0.74468   -0.56352   3.80297   0.35777   -0.74468   -0.56352   100.50049
5   3.80409   0.35798   -0.74514   -0.56282   3.80409   0.35798   -0.74514   -0.56282   100.45471
6   3.80465   0.35694   -0.74517   -0.56346   3.80465   0.35694   -0.74517   -0.56346   100.49744
7   3.80353   0.35743   -0.74529   -0.56304   3.80353   0.35743   -0.74529   -0.56304   100.51270
8   3.80353   0.35771   -0.74471   -0.56352   3.80353   0.35771   -0.74471   -0.56352   100.46997
9   3.80185   0.35731   -0.74535   -0.56285   3.80185   0.35731   -0.74535   -0.56285   100.52795
10   3.80409   0.35725   -0.74514   -0.56325   3.80409   0.35725   -0.74514   -0.56325   100.49744
11   3.80185   0.35823   -0.74459   -0.56337   3.80185   0.35823   -0.74459   -0.56337   100.48523
12   3.80185   0.35755   -0.74557   -0.56224   3.80185   0.35755   -0.74557   -0.56224   100.50049
13   3.80297   0.35792   -0.74526   -0.56282   3.80297   0.35792   -0.74526   -0.56282   100.51270
14   3.80297   0.35740   -0.74477   -0.56352   3.80297   0.35740   -0.74477   -0.56352   100.45471
15   3.80353   0.35755   -0.74557   -0.56243   3.80353   0.35755   -0.74557   -0.56243   100.45471
16   3.80297   0.35743   -0.74538   -0.56282   3.80297   0.35743   -0.74538   -0.56282   100.48523
17   3.80353   0.35713   -0.74483   -0.56365   3.80353   0.35713   -0.74483   -0.56365   100.48523
18   3.80521   0.35661   -0.74496   -0.56377   3.80521   0.35661   -0.74496   -0.56377   100.46997
19   3.80185   0.35740   -0.74523   -0.56322   3.80185   0.35740   -0.74523   -0.56322   100.50049
20   3.80185   0.35661   -0.74496   -0.56383   3.80185   0.35661   -0.74496   -0.56383   100.48523
21   3.80241   0.35694   -0.74535   -0.56316   3.80241   0.35694   -0.74535   -0.56316   100.48523
22   3.80297   0.35716   -0.74532   -0.56294   3.80297   0.35716   -0.74532   -0.56294   100.48523
23   3.80409   0.35777   -0.74526   -0.56264   3.80409   0.35777   -0.74526   -0.56264   100.49744
24   3.80353   0.35762   -0.74554   -0.56243   3.80353   0.35762   -0.74554   -0.56243   100.46997
25   3.80353   0.35707   -0.74587   -0.56255   3.80353   0.35707   -0.74587   -0.56255   100.48523
26   3.80353   0.35798   -0.74560   -0.56224   3.80353   0.35798   -0.74560   -0.56224   100.51270
27   3.80297   0.35719   -0.74572   -0.56267   3.80297   0.35719   -0.74572   -0.56267   100.51270
28   3.80465   0.35725   -0.74551   -0.56285   3.80465   0.35725   -0.74551   -0.56285   100.48523
29   3.80353   0.35649   -0.74584   -0.56279   3.80353   0.35649   -0.74584   -0.56279   100.52795
30   3.80297   0.35832   -0.74532   -0.56233   3.80297   0.35832   -0.74532   -0.56233   100.50049
31   3.80465   0.35774   -0.74548   -0.56246   3.80465   0.35774   -0.74548   -0.56246   100.46997
32   3.80465   0.35682   -0.74609   -0.56230   3.80465   0.35682   -0.74609   -0.56230   100.51270
33   3.80353   0.35725   -0.74575   -0.56246   3.80353   0.35725   -0.74575   -0.56246   100.46997
