second,Volt,Volt
-100.0000E-03,+3.5950937E+00,-145.7250E-03
-99.8000E-03,+3.6263437E+00,-136.7406E-03
-99.6000E-03,+3.6575937E+00,-128.1469E-03
-99.4000E-03,+3.6888437E+00,-119.1625E-03
-99.2000E-03,+3.7200937E+00,-110.1781E-03
-99.0000E-03,+3.7513437E+00,-100.4125E-03
-98.8000E-03,+3.7786875E+00,-91.0375E-03
-98.6000E-03,+3.8060312E+00,-82.0531E-03
-98.4000E-03,+3.8333750E+00,-71.8969E-03
-98.2000E-03,+3.8607187E+00,-63.3031E-03
-98.0000E-03,+3.8880625E+00,-53.1469E-03
-97.8000E-03,+3.9115000E+00,-44.1625E-03
-97.6000E-03,+3.9349375E+00,-34.7875E-03
-97.4000E-03,+3.9583750E+00,-26.1938E-03
-97.2000E-03,+3.9818125E+00,-16.8187E-03
-97.0000E-03,+4.0052500E+00,-6.2719E-03
-96.8000E-03,+4.0247812E+00,+3.8844E-03
-96.6000E-03,+4.0404062E+00,+12.8688E-03
-96.4000E-03,+4.0599375E+00,+22.2438E-03
-96.2000E-03,+4.0755625E+00,+31.2281E-03
-96.0000E-03,+4.0950937E+00,+40.9938E-03
-95.8000E-03,+4.1107187E+00,+50.7594E-03
-95.6000E-03,+4.1224375E+00,+59.7438E-03
-95.4000E-03,+4.1380625E+00,+69.1188E-03
-95.2000E-03,+4.1497812E+00,+78.4938E-03
-95.0000E-03,+4.1575937E+00,+87.0875E-03
-94.8000E-03,+4.1693125E+00,+95.6813E-03
-94.6000E-03,+4.1771250E+00,+105.4469E-03
-94.4000E-03,+4.1849375E+00,+114.4313E-03
-94.2000E-03,+4.1927500E+00,+123.8063E-03
-94.0000E-03,+4.2005625E+00,+133.1813E-03
-93.8000E-03,+4.2044687E+00,+143.3375E-03
-93.6000E-03,+4.2083750E+00,+153.1031E-03
-93.4000E-03,+4.2122812E+00,+162.0875E-03
-93.2000E-03,+4.2161875E+00,+171.0719E-03
-93.0000E-03,+4.2161875E+00,+180.0563E-03
