second,Volt,Volt
-100.0000E-03,+2.1000000E+00,+335.0000E-03
-99.8000E-03,+2.1000000E+00,+328.7500E-03
-99.6000E-03,+2.0375000E+00,+322.5000E-03
-99.4000E-03,+2.0375000E+00,+322.5000E-03
-99.2000E-03,+1.9750000E+00,+316.2500E-03
-99.0000E-03,+1.9125000E+00,+303.7500E-03
-98.8000E-03,+1.8500000E+00,+303.7500E-03
-98.6000E-03,+1.8500000E+00,+291.2500E-03
-98.4000E-03,+1.7875000E+00,+285.0000E-03
-98.2000E-03,+1.7250000E+00,+278.7500E-03
-98.0000E-03,+1.6625000E+00,+272.5000E-03
-97.8000E-03,+1.6625000E+00,+266.2500E-03
-97.6000E-03,+1.6000000E+00,+260.0000E-03
-97.4000E-03,+1.5375000E+00,+260.0000E-03
-97.2000E-03,+1.4750000E+00,+241.2500E-03
-97.0000E-03,+1.4750000E+00,+241.2500E-03
-96.8000E-03,+1.4125000E+00,+235.0000E-03
-96.6000E-03,+1.3500000E+00,+228.7500E-03
-96.4000E-03,+1.3500000E+00,+222.5000E-03
-96.2000E-03,+1.2250000E+00,+216.2500E-03
-96.0000E-03,+1.1625000E+00,+210.0000E-03
-95.8000E-03,+1.1625000E+00,+210.0000E-03
-95.6000E-03,+1.1000000E+00,+197.5000E-03
-95.4000E-03,+1.0375000E+00,+185.0000E-03
-95.2000E-03,+975.0000E-03,+185.0000E-03
-95.0000E-03,+912.5000E-03,+178.7500E-03
-94.8000E-03,+912.5000E-03,+172.5000E-03
-94.6000E-03,+912.5000E-03,+160.0000E-03
-94.4000E-03,+787.5000E-03,+160.0000E-03
-94.2000E-03,+787.5000E-03,+147.5000E-03
-94.0000E-03,+725.0000E-03,+147.5000E-03
-93.8000E-03,+662.5000E-03,+141.2500E-03
-93.6000E-03,+662.5000E-03,+135.0000E-03
-93.4000E-03,+600.0000E-03,+128.7500E-03
-93.2000E-03,+537.5000E-03,+122.5000E-03
-93.0000E-03,+475.0000E-03,+116.2500E-03
-92.8000E-03,+475.0000E-03,+103.7500E-03
-92.6000E-03,+412.5000E-03,+103.7500E-03
