Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 10:33:33 6/15/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   6.38437   0.45958   -0.71480   -0.52718   6.38437   0.45958   -0.71480   -0.52718   100.21667
2   6.38325   0.46077   -0.71422   -0.52690   6.38325   0.46077   -0.71422   -0.52690   100.24414
3   6.38605   0.46101   -0.71477   -0.52599   6.38605   0.46101   -0.71477   -0.52599   100.24414
4   6.38493   0.46001   -0.71456   -0.52727   6.38493   0.46001   -0.71456   -0.52727   100.20142
5   6.38717   0.46095   -0.71404   -0.52702   6.38717   0.46095   -0.71404   -0.52702   100.26245
6   6.38605   0.46068   -0.71426   -0.52696   6.38605   0.46068   -0.71426   -0.52696   100.21667
7   6.38829   0.46001   -0.71502   -0.52657   6.38829   0.46001   -0.71502   -0.52657   100.24414
8   6.38493   0.45982   -0.71505   -0.52651   6.38493   0.45982   -0.71505   -0.52651   100.26245
9   6.38605   0.45869   -0.71505   -0.52770   6.38605   0.45869   -0.71505   -0.52770   100.25330
10   6.38437   0.45958   -0.71465   -0.52730   6.38437   0.45958   -0.71465   -0.52730   100.25330
11   6.38717   0.45958   -0.71517   -0.52675   6.38717   0.45958   -0.71517   -0.52675   100.24414
12   6.38773   0.45988   -0.71480   -0.52696   6.38773   0.45988   -0.71480   -0.52696   100.23499
13   6.38661   0.45930   -0.71490   -0.52733   6.38661   0.45930   -0.71490   -0.52733   100.23499
14   6.38493   0.46010   -0.71502   -0.52635   6.38493   0.46010   -0.71502   -0.52635   100.24414
15   6.38605   0.45973   -0.71541   -0.52623   6.38605   0.45973   -0.71541   -0.52623   100.26245
16   6.38661   0.45946   -0.71514   -0.52681   6.38661   0.45946   -0.71514   -0.52681   100.23499
17   6.38661   0.45967   -0.71529   -0.52647   6.38661   0.45967   -0.71529   -0.52647   100.27161
18   6.38381   0.46001   -0.71490   -0.52663   6.38381   0.46001   -0.71490   -0.52663   100.24414
19   6.38381   0.45964   -0.71487   -0.52712   6.38381   0.45964   -0.71487   -0.52712   100.22583
20   6.38437   0.45915   -0.71450   -0.52791   6.38437   0.45915   -0.71450   -0.52791   100.25330
21   6.38605   0.46019   -0.71453   -0.52699   6.38605   0.46019   -0.71453   -0.52699   100.23499
22   6.38325   0.46107   -0.71419   -0.52666   6.38325   0.46107   -0.71419   -0.52666   100.23499
23   6.38493   0.45967   -0.71487   -0.52696   6.38493   0.45967   -0.71487   -0.52696   100.24414
24   6.38381   0.45927   -0.71520   -0.52690   6.38381   0.45927   -0.71520   -0.52690   100.24414
25   6.38717   0.45744   -0.71554   -0.52800   6.38717   0.45744   -0.71554   -0.52800   100.24414
26   6.38661   0.45723   -0.71590   -0.52788   6.38661   0.45723   -0.71590   -0.52788   100.24414
27   6.38829   0.45759   -0.71593   -0.52742   6.38829   0.45759   -0.71593   -0.52742   100.24414
28   6.38493   0.45882   -0.71557   -0.52681   6.38493   0.45882   -0.71557   -0.52681   100.25330
29   6.38605   0.46040   -0.71526   -0.52596   6.38605   0.46040   -0.71526   -0.52596   100.23499
30   6.38605   0.46141   -0.71474   -0.52574   6.38605   0.46141   -0.71474   -0.52574   100.23499
31   6.38773   0.46184   -0.71441   -0.52580   6.38773   0.46184   -0.71441   -0.52580   100.22583
32   6.38493   0.46193   -0.71398   -0.52626   6.38493   0.46193   -0.71398   -0.52626   100.20752
33   6.38493   0.46034   -0.71468   -0.52681   6.38493   0.46034   -0.71468   -0.52681   100.24414
34   6.38717   0.45982   -0.71462   -0.52730   6.38717   0.45982   -0.71462   -0.52730   100.21667
35   6.38437   0.45997   -0.71535   -0.52617   6.38437   0.45997   -0.71535   -0.52617   100.22583
36   6.38661   0.45888   -0.71569   -0.52663   6.38661   0.45888   -0.71569   -0.52663   100.23499
