Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 10:34:22 6/15/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   6.38381   0.46077   -0.71273   -0.52895   6.38381   0.46077   -0.71273   -0.52895   100.24414
2   6.38493   0.45903   -0.71310   -0.53001   6.38493   0.45903   -0.71310   -0.53001   100.23499
3   6.38493   0.46013   -0.71273   -0.52950   6.38493   0.46013   -0.71273   -0.52950   100.24414
4   6.38325   0.45894   -0.71361   -0.52934   6.38325   0.45894   -0.71361   -0.52934   100.24414
5   6.38325   0.45891   -0.71349   -0.52962   6.38325   0.45891   -0.71349   -0.52962   100.21667
6   6.38381   0.45946   -0.71316   -0.52953   6.38381   0.45946   -0.71316   -0.52953   100.25330
7   6.38270   0.46022   -0.71352   -0.52846   6.38270   0.46022   -0.71352   -0.52846   100.21667
8   6.38270   0.46098   -0.71288   -0.52852   6.38270   0.46098   -0.71288   -0.52852   100.24414
9   6.38213   0.46065   -0.71334   -0.52821   6.38213   0.46065   -0.71334   -0.52821   100.22583
10   6.38493   0.46013   -0.71316   -0.52892   6.38493   0.46013   -0.71316   -0.52892   100.25330
11   6.38493   0.46077   -0.71288   -0.52879   6.38493   0.46077   -0.71288   -0.52879   100.24414
12   6.38493   0.45915   -0.71352   -0.52940   6.38493   0.45915   -0.71352   -0.52940   100.23499
13   6.38270   0.45943   -0.71358   -0.52898   6.38270   0.45943   -0.71358   -0.52898   100.23499
14   6.38437   0.45918   -0.71358   -0.52925   6.38437   0.45918   -0.71358   -0.52925   100.24414
15   6.38325   0.45979   -0.71358   -0.52855   6.38325   0.45979   -0.71358   -0.52855   100.23499
16   6.38381   0.45973   -0.71325   -0.52916   6.38381   0.45973   -0.71325   -0.52916   100.23499
17   6.38270   0.45976   -0.71325   -0.52916   6.38270   0.45976   -0.71325   -0.52916   100.26245
18   6.38381   0.45891   -0.71355   -0.52944   6.38381   0.45891   -0.71355   -0.52944   100.24414
19   6.38270   0.45842   -0.71343   -0.53011   6.38270   0.45842   -0.71343   -0.53011   100.23499
20   6.38270   0.45952   -0.71386   -0.52843   6.38270   0.45952   -0.71386   -0.52843   100.21667
21   6.38213   0.46022   -0.71340   -0.52858   6.38213   0.46022   -0.71340   -0.52858   100.22583
22   6.38437   0.45927   -0.71349   -0.52931   6.38437   0.45927   -0.71349   -0.52931   100.25330
23   6.38437   0.45927   -0.71380   -0.52889   6.38437   0.45927   -0.71380   -0.52889   100.23499
24   6.38325   0.45882   -0.71398   -0.52901   6.38325   0.45882   -0.71398   -0.52901   100.23499
25   6.38270   0.45979   -0.71349   -0.52879   6.38270   0.45979   -0.71349   -0.52879   100.23499
26   6.38381   0.45976   -0.71346   -0.52892   6.38381   0.45976   -0.71346   -0.52892   100.24414
27   6.38381   0.45964   -0.71364   -0.52873   6.38381   0.45964   -0.71364   -0.52873   100.22583
28   6.38493   0.45979   -0.71352   -0.52882   6.38493   0.45979   -0.71352   -0.52882   100.24414
29   6.38381   0.45967   -0.71395   -0.52821   6.38381   0.45967   -0.71395   -0.52821   100.21667
30   6.38437   0.45961   -0.71288   -0.52980   6.38437   0.45961   -0.71288   -0.52980   100.23499
31   6.38661   0.45958   -0.71358   -0.52879   6.38661   0.45958   -0.71358   -0.52879   100.23499
32   6.38270   0.46025   -0.71352   -0.52831   6.38270   0.46025   -0.71352   -0.52831   100.25330
33   6.38381   0.45875   -0.71352   -0.52962   6.38381   0.45875   -0.71352   -0.52962   100.25330
34   6.38381   0.45991   -0.71331   -0.52895   6.38381   0.45991   -0.71331   -0.52895   100.26245
35   6.38381   0.45906   -0.71337   -0.52947   6.38381   0.45906   -0.71337   -0.52947   100.24414
36   6.38325   0.45906   -0.71346   -0.52953   6.38325   0.45906   -0.71346   -0.52953   100.23499
37   6.38270   0.45933   -0.71322   -0.52962   6.38270   0.45933   -0.71322   -0.52962   100.22583
38   6.38270   0.46007   -0.71306   -0.52919   6.38270   0.46007   -0.71306   -0.52919   100.23499
39   6.38270   0.45897   -0.71340   -0.52971   6.38270   0.45897   -0.71340   -0.52971   100.26245
40   6.38437   0.45872   -0.71395   -0.52916   6.38437   0.45872   -0.71395   -0.52916   100.20752
41   6.38437   0.45891   -0.71352   -0.52959   6.38437   0.45891   -0.71352   -0.52959   100.21667
42   6.38325   0.45976   -0.71389   -0.52824   6.38325   0.45976   -0.71389   -0.52824   100.26245
43   6.38046   0.45906   -0.71361   -0.52925   6.38046   0.45906   -0.71361   -0.52925   100.23499
44   6.38270   0.45814   -0.71438   -0.52892   6.38270   0.45814   -0.71438   -0.52892   100.24414
45   6.38493   0.45888   -0.71352   -0.52944   6.38493   0.45888   -0.71352   -0.52944   100.25330
46   6.38325   0.45796   -0.71429   -0.52928   6.38325   0.45796   -0.71429   -0.52928   100.24414
47   6.38381   0.45875   -0.71371   -0.52940   6.38381   0.45875   -0.71371   -0.52940   100.22583
48   6.38270   0.45802   -0.71453   -0.52901   6.38270   0.45802   -0.71453   -0.52901   100.22583
49   6.38325   0.45888   -0.71401   -0.52895   6.38325   0.45888   -0.71401   -0.52895   100.24414
