Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   6.37094   0.46202   -0.71270   -0.52800   6.37094   0.46202   -0.71270   -0.52800   100.22583
2   6.37094   0.46257   -0.71261   -0.52751   6.37094   0.46257   -0.71261   -0.52751   100.23499
3   6.37094   0.46306   -0.71249   -0.52721   6.37094   0.46306   -0.71249   -0.52721   100.24414
4   6.36982   0.46187   -0.71343   -0.52712   6.36982   0.46187   -0.71343   -0.52712   100.24414
5   6.36870   0.46089   -0.71264   -0.52895   6.36870   0.46089   -0.71264   -0.52895   100.24414
6   6.37150   0.46098   -0.71291   -0.52852   6.37150   0.46098   -0.71291   -0.52852   100.22583
7   6.37150   0.46052   -0.71316   -0.52855   6.37150   0.46052   -0.71316   -0.52855   100.25330
8   6.37150   0.46065   -0.71322   -0.52846   6.37150   0.46065   -0.71322   -0.52846   100.23499
9   6.37094   0.46150   -0.71285   -0.52824   6.37094   0.46150   -0.71285   -0.52824   100.22583
10   6.37150   0.46153   -0.71306   -0.52779   6.37150   0.46153   -0.71306   -0.52779   100.23499
11   6.37038   0.46156   -0.71297   -0.52800   6.37038   0.46156   -0.71297   -0.52800   100.21667
12   6.37206   0.46199   -0.71352   -0.52684   6.37206   0.46199   -0.71352   -0.52684   100.23499
13   6.37038   0.46110   -0.71352   -0.52760   6.37038   0.46110   -0.71352   -0.52760   100.23499
14   6.36758   0.46089   -0.71334   -0.52821   6.36758   0.46089   -0.71334   -0.52821   100.21973
15   6.36982   0.45882   -0.71429   -0.52858   6.36982   0.45882   -0.71429   -0.52858   100.24414
16   6.37318   0.45817   -0.71438   -0.52910   6.37318   0.45817   -0.71438   -0.52910   100.26245
17   6.37150   0.45894   -0.71389   -0.52907   6.37150   0.45894   -0.71389   -0.52907   100.26245
18   6.37206   0.45970   -0.71310   -0.52944   6.37206   0.45970   -0.71310   -0.52944   100.23499
19   6.36982   0.46098   -0.71285   -0.52861   6.36982   0.46098   -0.71285   -0.52861   100.21667
20   6.37262   0.46263   -0.71267   -0.52742   6.37262   0.46263   -0.71267   -0.52742   100.23499
21   6.37094   0.46345   -0.71267   -0.52672   6.37094   0.46345   -0.71267   -0.52672   100.22583
22   6.37206   0.46254   -0.71267   -0.52757   6.37206   0.46254   -0.71267   -0.52757   100.22583
23   6.37150   0.46156   -0.71313   -0.52773   6.37150   0.46156   -0.71313   -0.52773   100.22583
24   6.37150   0.46025   -0.71313   -0.52886   6.37150   0.46025   -0.71313   -0.52886   100.25330
25   6.37094   0.46059   -0.71328   -0.52840   6.37094   0.46059   -0.71328   -0.52840   100.24414
26   6.37038   0.46065   -0.71337   -0.52821   6.37038   0.46065   -0.71337   -0.52821   100.21667
27   6.36982   0.46065   -0.71349   -0.52809   6.36982   0.46065   -0.71349   -0.52809   100.22583
28   6.36926   0.46040   -0.71337   -0.52849   6.36926   0.46040   -0.71337   -0.52849   100.21057
29   6.36926   0.46043   -0.71319   -0.52867   6.36926   0.46043   -0.71319   -0.52867   100.23499
30   6.37038   0.46019   -0.71337   -0.52861   6.37038   0.46019   -0.71337   -0.52861   100.25330
31   6.37094   0.46083   -0.71267   -0.52916   6.37094   0.46083   -0.71267   -0.52916   100.23499
32   6.37094   0.45970   -0.71340   -0.52901   6.37094   0.45970   -0.71340   -0.52901   100.23499
33   6.37206   0.45988   -0.71355   -0.52882   6.37206   0.45988   -0.71355   -0.52882   100.21667
34   6.37150   0.45924   -0.71306   -0.52980   6.37150   0.45924   -0.71306   -0.52980   100.23499
35   6.37262   0.45973   -0.71319   -0.52922   6.37262   0.45973   -0.71319   -0.52922   100.23499
36   6.37206   0.45976   -0.71303   -0.52937   6.37206   0.45976   -0.71303   -0.52937   100.24414
37   6.37094   0.46095   -0.71267   -0.52889   6.37094   0.46095   -0.71267   -0.52889   100.26245
38   6.36926   0.45964   -0.71300   -0.52959   6.36926   0.45964   -0.71300   -0.52959   100.23499
39   6.36814   0.46068   -0.71297   -0.52864   6.36814   0.46068   -0.71297   -0.52864   100.22583
40   6.37038   0.45982   -0.71316   -0.52913   6.37038   0.45982   -0.71316   -0.52913   100.25330
41   6.36926   0.45952   -0.71334   -0.52922   6.36926   0.45952   -0.71334   -0.52922   100.23499
42   6.37150   0.45985   -0.71310   -0.52931   6.37150   0.45985   -0.71310   -0.52931   100.22583
43   6.37206   0.45949   -0.71273   -0.52998   6.37206   0.45949   -0.71273   -0.52998   100.25330
44   6.37038   0.46019   -0.71261   -0.52953   6.37038   0.46019   -0.71261   -0.52953   100.25330
45   6.37262   0.46016   -0.71279   -0.52947   6.37262   0.46016   -0.71279   -0.52947   100.21667
46   6.37094   0.45949   -0.71236   -0.53050   6.37094   0.45949   -0.71236   -0.53050   100.25330
47   6.37150   0.45930   -0.71279   -0.53032   6.37150   0.45930   -0.71279   -0.53032   100.23499
48   6.37038   0.45891   -0.71245   -0.53096   6.37038   0.45891   -0.71245   -0.53096   100.24414
49   6.37150   0.45955   -0.71294   -0.52974   6.37150   0.45955   -0.71294   -0.52974   100.25330
50   6.37206   0.45875   -0.71297   -0.53041   6.37206   0.45875   -0.71297   -0.53041   100.24414
51   6.37150   0.45903   -0.71255   -0.53075   6.37150   0.45903   -0.71255   -0.53075   100.23499
52   6.37206   0.45857   -0.71267   -0.53099   6.37206   0.45857   -0.71267   -0.53099   100.25330
53   6.37262   0.45976   -0.71270   -0.52995   6.37262   0.45976   -0.71270   -0.52995   100.22583
54   6.37430   0.45915   -0.71239   -0.53084   6.37430   0.45915   -0.71239   -0.53084   100.25330
55   6.37430   0.45860   -0.71258   -0.53121   6.37430   0.45860   -0.71258   -0.53121   100.24414
56   6.37094   0.45949   -0.71252   -0.53035   6.37094   0.45949   -0.71252   -0.53035   100.21667
57   6.37038   0.45921   -0.71255   -0.53072   6.37038   0.45921   -0.71255   -0.53072   100.23499
58   6.37206   0.45921   -0.71224   -0.53090   6.37206   0.45921   -0.71224   -0.53090   100.23499
59   6.37094   0.45869   -0.71282   -0.53063   6.37094   0.45869   -0.71282   -0.53063   100.23499
