Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:46:13 6/15/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   6.32559   0.42698   -0.70046   -0.57198   6.32559   0.42698   -0.70046   -0.57198   100.30823
2   6.32391   0.42720   -0.70025   -0.57198   6.32391   0.42720   -0.70025   -0.57198   100.29907
3   6.32279   0.42726   -0.70055   -0.57155   6.32279   0.42726   -0.70055   -0.57155   100.28076
4   6.32447   0.42689   -0.70074   -0.57173   6.32447   0.42689   -0.70074   -0.57173   100.28992
5   6.32447   0.42686   -0.69982   -0.57292   6.32447   0.42686   -0.69982   -0.57292   100.31738
6   6.32615   0.42744   -0.69982   -0.57237   6.32615   0.42744   -0.69982   -0.57237   100.28992
7   6.32503   0.42763   -0.69927   -0.57295   6.32503   0.42763   -0.69927   -0.57295   100.26550
8   6.32335   0.42756   -0.69857   -0.57390   6.32335   0.42756   -0.69857   -0.57390   100.33569
9   6.32559   0.42705   -0.69857   -0.57424   6.32559   0.42705   -0.69857   -0.57424   100.32654
10   6.32503   0.42692   -0.69817   -0.57482   6.32503   0.42692   -0.69817   -0.57482   100.29907
11   6.32559   0.42695   -0.69845   -0.57448   6.32559   0.42695   -0.69845   -0.57448   100.33569
12   6.32447   0.42674   -0.69814   -0.57500   6.32447   0.42674   -0.69814   -0.57500   100.29907
13   6.32447   0.42647   -0.69863   -0.57460   6.32447   0.42647   -0.69863   -0.57460   100.33569
14   6.32727   0.42662   -0.69811   -0.57512   6.32727   0.42662   -0.69811   -0.57512   100.31738
15   6.32447   0.42750   -0.69771   -0.57497   6.32447   0.42750   -0.69771   -0.57497   100.29907
16   6.32559   0.42753   -0.69811   -0.57439   6.32559   0.42753   -0.69811   -0.57439   100.33569
17   6.32503   0.42659   -0.69723   -0.57625   6.32503   0.42659   -0.69723   -0.57625   100.28992
18   6.32447   0.42647   -0.69704   -0.57643   6.32447   0.42647   -0.69704   -0.57643   100.31738
19   6.32503   0.42677   -0.69750   -0.57564   6.32503   0.42677   -0.69750   -0.57564   100.31738
20   6.32503   0.42711   -0.69716   -0.57588   6.32503   0.42711   -0.69716   -0.57588   100.28992
21   6.32671   0.42726   -0.69744   -0.57540   6.32671   0.42726   -0.69744   -0.57540   100.30823
22   6.32559   0.42738   -0.69677   -0.57610   6.32559   0.42738   -0.69677   -0.57610   100.29907
23   6.32615   0.42705   -0.69720   -0.57582   6.32615   0.42705   -0.69720   -0.57582   100.30823
24   6.32615   0.42817   -0.69634   -0.57619   6.32615   0.42817   -0.69634   -0.57619   100.29907
25   6.32503   0.42805   -0.69607   -0.57656   6.32503   0.42805   -0.69607   -0.57656   100.28076
26   6.32671   0.42796   -0.69646   -0.57598   6.32671   0.42796   -0.69646   -0.57598   100.29907
27   6.32615   0.42759   -0.69668   -0.57604   6.32615   0.42759   -0.69668   -0.57604   100.30823
28   6.32391   0.42750   -0.69634   -0.57656   6.32391   0.42750   -0.69634   -0.57656   100.29907
29   6.32447   0.42793   -0.69637   -0.57610   6.32447   0.42793   -0.69637   -0.57610   100.32654
30   6.32503   0.42808   -0.69613   -0.57631   6.32503   0.42808   -0.69613   -0.57631   100.32654
31   6.32671   0.42787   -0.69585   -0.57686   6.32671   0.42787   -0.69585   -0.57686   100.32654
32   6.32503   0.42802   -0.69558   -0.57720   6.32503   0.42802   -0.69558   -0.57720   100.28992
33   6.32391   0.42790   -0.69503   -0.57790   6.32391   0.42790   -0.69503   -0.57790   100.29907
34   6.32615   0.42848   -0.69500   -0.57747   6.32615   0.42848   -0.69500   -0.57747   100.29907
35   6.32671   0.42778   -0.69567   -0.57720   6.32671   0.42778   -0.69567   -0.57720   100.28992
36   6.32671   0.42665   -0.69497   -0.57900   6.32671   0.42665   -0.69497   -0.57900   100.27161
37   6.32391   0.42717   -0.69512   -0.57830   6.32391   0.42717   -0.69512   -0.57830   100.30823
38   6.32111   0.42811   -0.69494   -0.57790   6.32111   0.42811   -0.69494   -0.57790   100.30823
39   6.32335   0.42830   -0.69481   -0.57784   6.32335   0.42830   -0.69481   -0.57784   100.31738
40   6.32223   0.42930   -0.69436   -0.57775   6.32223   0.42930   -0.69436   -0.57775   100.29907
41   6.32559   0.42848   -0.69396   -0.57884   6.32559   0.42848   -0.69396   -0.57884   100.28992
42   6.32447   0.42784   -0.69381   -0.57933   6.32447   0.42784   -0.69381   -0.57933   100.31738
43   6.32391   0.42781   -0.69399   -0.57915   6.32391   0.42781   -0.69399   -0.57915   100.29907
44   6.32615   0.42781   -0.69372   -0.57952   6.32615   0.42781   -0.69372   -0.57952   100.32654
45   6.32447   0.42756   -0.69332   -0.58016   6.32447   0.42756   -0.69332   -0.58016   100.29907
46   6.32671   0.42851   -0.69347   -0.57930   6.32671   0.42851   -0.69347   -0.57930   100.31738
47   6.32727   0.42851   -0.69295   -0.58000   6.32727   0.42851   -0.69295   -0.58000   100.27161
48   6.32559   0.42949   -0.69317   -0.57903   6.32559   0.42949   -0.69317   -0.57903   100.30823
49   6.32391   0.42885   -0.69301   -0.57958   6.32391   0.42885   -0.69301   -0.57958   100.28076
50   6.32615   0.42784   -0.69280   -0.58061   6.32615   0.42784   -0.69280   -0.58061   100.28992
51   6.32559   0.42732   -0.69286   -0.58089   6.32559   0.42732   -0.69286   -0.58089   100.30823
52   6.32559   0.42665   -0.69378   -0.58025   6.32559   0.42665   -0.69378   -0.58025   100.30823
53   6.32503   0.42701   -0.69301   -0.58089   6.32503   0.42701   -0.69301   -0.58089   100.31738
54   6.32783   0.42674   -0.69311   -0.58092   6.32783   0.42674   -0.69311   -0.58092   100.32654
55   6.32671   0.42811   -0.69256   -0.58061   6.32671   0.42811   -0.69256   -0.58061   100.29907
56   6.32615   0.42888   -0.69198   -0.58077   6.32615   0.42888   -0.69198   -0.58077   100.28992
57   6.32559   0.42915   -0.69301   -0.57952   6.32559   0.42915   -0.69301   -0.57952   100.26550
58   6.32503   0.42732   -0.69219   -0.58177   6.32503   0.42732   -0.69219   -0.58177   100.28992
59   6.32615   0.42698   -0.69280   -0.58126   6.32615   0.42698   -0.69280   -0.58126   100.28992
60   6.32447   0.42644   -0.69259   -0.58196   6.32447   0.42644   -0.69259   -0.58196   100.28076
61   6.32335   0.42650   -0.69262   -0.58180   6.32335   0.42650   -0.69262   -0.58180   100.29907
62   6.32167   0.42524   -0.69304   -0.58214   6.32167   0.42524   -0.69304   -0.58214   100.32654
63   6.32503   0.42384   -0.69320   -0.58303   6.32503   0.42384   -0.69320   -0.58303   100.30823
64   6.32727   0.42421   -0.69344   -0.58242   6.32727   0.42421   -0.69344   -0.58242   100.31738
65   6.32783   0.42515   -0.69326   -0.58196   6.32783   0.42515   -0.69326   -0.58196   100.31738
66   6.32559   0.42680   -0.69271   -0.58150   6.32559   0.42680   -0.69271   -0.58150   100.30823
67   6.32503   0.42598   -0.69326   -0.58141   6.32503   0.42598   -0.69326   -0.58141   100.29907
68   6.32503   0.42521   -0.69308   -0.58220   6.32503   0.42521   -0.69308   -0.58220   100.30823
69   6.32559   0.42235   -0.69372   -0.58354   6.32559   0.42235   -0.69372   -0.58354   100.29907
70   6.32223   0.41881   -0.69524   -0.58419   6.32223   0.41881   -0.69524   -0.58419   100.30823
71   6.32671   0.41395   -0.69652   -0.58626   6.32671   0.41395   -0.69652   -0.58626   100.29907
72   6.32615   0.41490   -0.69662   -0.58541   6.32615   0.41490   -0.69662   -0.58541   100.33569
73   6.32559   0.41865   -0.69579   -0.58379   6.32559   0.41865   -0.69579   -0.58379   100.32654
74   6.32783   0.42582   -0.69323   -0.58153   6.32783   0.42582   -0.69323   -0.58153   100.30823
75   6.32447   0.42805   -0.69338   -0.57979   6.32447   0.42805   -0.69338   -0.57979   100.27161
76   6.32559   0.42753   -0.69323   -0.58034   6.32559   0.42753   -0.69323   -0.58034   100.31738
77   6.32727   0.42103   -0.69457   -0.58336   6.32727   0.42103   -0.69457   -0.58336   100.33569
78   6.32503   0.42524   -0.69341   -0.58171   6.32503   0.42524   -0.69341   -0.58171   100.28992
79   6.32671   0.42695   -0.69359   -0.58025   6.32671   0.42695   -0.69359   -0.58025   100.32654
80   6.32223   0.42839   -0.69237   -0.58061   6.32223   0.42839   -0.69237   -0.58061   100.28992
81   6.32447   0.43211   -0.69167   -0.57869   6.32447   0.43211   -0.69167   -0.57869   100.27161
82   6.32503   0.42985   -0.69207   -0.58003   6.32503   0.42985   -0.69207   -0.58003   100.30823
83   6.32447   0.42860   -0.69149   -0.58159   6.32447   0.42860   -0.69149   -0.58159   100.29907
84   6.32727   0.42366   -0.69362   -0.58266   6.32727   0.42366   -0.69362   -0.58266   100.30823
85   6.32447   0.42470   -0.69366   -0.58180   6.32447   0.42470   -0.69366   -0.58180   100.30823
86   6.32559   0.42433   -0.69338   -0.58248   6.32559   0.42433   -0.69338   -0.58248   100.32654
87   6.32503   0.42628   -0.69280   -0.58174   6.32503   0.42628   -0.69280   -0.58174   100.28992
88   6.32503   0.42769   -0.69243   -0.58104   6.32503   0.42769   -0.69243   -0.58104   100.30823
89   6.32671   0.42726   -0.69189   -0.58217   6.32671   0.42726   -0.69189   -0.58217   100.29907
90   6.32279   0.42573   -0.69341   -0.58129   6.32279   0.42573   -0.69341   -0.58129   100.32654
91   6.32615   0.42463   -0.69247   -0.58327   6.32615   0.42463   -0.69247   -0.58327   100.31738
92   6.32447   0.42369   -0.69359   -0.58272   6.32447   0.42369   -0.69359   -0.58272   100.31738
93   6.32783   0.42381   -0.69268   -0.58361   6.32783   0.42381   -0.69268   -0.58361   100.32654
94   6.32671   0.42503   -0.69262   -0.58284   6.32671   0.42503   -0.69262   -0.58284   100.28076
95   6.32503   0.42540   -0.69195   -0.58336   6.32503   0.42540   -0.69195   -0.58336   100.30823
96   6.32615   0.42622   -0.69158   -0.58327   6.32615   0.42622   -0.69158   -0.58327   100.28992
97   6.32727   0.42570   -0.69182   -0.58330   6.32727   0.42570   -0.69182   -0.58330   100.31738
98   6.32559   0.42701   -0.69146   -0.58266   6.32559   0.42701   -0.69146   -0.58266   100.31738
